experiment;time;measurement;value;unit;replicate
all;0;fucose;0;g/L;1
all;2;fucose;0;g/L;1
all;4;fucose;0;g/L;1
all;6;fucose;0;g/L;1
all;8;fucose;0;g/L;1
all;10;fucose;0;g/L;1
all;12;fucose;0;g/L;1
all;14;fucose;3.142412664;g/L;1
all;16;fucose;2.442407184;g/L;1
all;18;fucose;1.955790073;g/L;1
all;20;fucose;3.418684514;g/L;1
all;0;galactose;0;g/L;1
all;2;galactose;0;g/L;1
all;4;galactose;0.307809354;g/L;1
all;6;galactose;0;g/L;1
all;8;galactose;0;g/L;1
all;10;galactose;0;g/L;1
all;12;galactose;0;g/L;1
all;14;galactose;0;g/L;1
all;16;galactose;0;g/L;1
all;18;galactose;0;g/L;1
all;20;galactose;0;g/L;1
all;0;glucose;0;g/L;1
all;2;glucose;0;g/L;1
all;4;glucose;0.385454779;g/L;1
all;6;glucose;0;g/L;1
all;8;glucose;0;g/L;1
all;10;glucose;0;g/L;1
all;12;glucose;0;g/L;1
all;14;glucose;0;g/L;1
all;16;glucose;0;g/L;1
all;18;glucose;0;g/L;1
all;20;glucose;0;g/L;1
all;0;lactose;1.3338158;g/L;1
all;2;lactose;0.835576289;g/L;1
all;4;lactose;1.554160829;g/L;1
all;6;lactose;1.601106731;g/L;1
all;8;lactose;1.99227375;g/L;1
all;10;lactose;1.907416839;g/L;1
all;12;lactose;2.722338748;g/L;1
all;14;lactose;1.885366059;g/L;1
all;16;lactose;0;g/L;1
all;18;lactose;0;g/L;1
all;20;lactose;0;g/L;1
all;0;2fl;8;g/L;1
all;2;2fl;6.931885313;g/L;1
all;4;2fl;7.81074719;g/L;1
all;6;2fl;9.691553416;g/L;1
all;8;2fl;9.266332447;g/L;1
all;10;2fl;9.014780462;g/L;1
all;12;2fl;7.675573089;g/L;1
all;14;2fl;2.048795614;g/L;1
all;16;2fl;0;g/L;1
all;18;2fl;0;g/L;1
all;20;2fl;0;g/L;1
all;0;3sl;3.440686591;g/L;1
all;2;3sl;2.618484921;g/L;1
all;4;3sl;2.463571977;g/L;1
all;6;3sl;3.12109924;g/L;1
all;8;3sl;2.165133528;g/L;1
all;10;3sl;2.839887893;g/L;1
all;12;3sl;3.187201018;g/L;1
all;14;3sl;2.011222552;g/L;1
all;16;3sl;0;g/L;1
all;18;3sl;0;g/L;1
all;20;3sl;0;g/L;1
all;0;lnt;8.896883329;g/L;1
all;2;lnt;9.582558944;g/L;1
all;4;lnt;9.129271387;g/L;1
all;6;lnt;13.29227018;g/L;1
all;8;lnt;13.65803405;g/L;1
all;10;lnt;12.63253446;g/L;1
all;12;lnt;8.55085936;g/L;1
all;14;lnt;1.886821262;g/L;1
all;16;lnt;0;g/L;1
all;18;lnt;0;g/L;1
all;20;lnt;0;g/L;1
all;0;fucose;0;g/L;2
all;2;fucose;0;g/L;2
all;4;fucose;0;g/L;2
all;6;fucose;0;g/L;2
all;8;fucose;0;g/L;2
all;10;fucose;0.657363663;g/L;2
all;12;fucose;2.465868667;g/L;2
all;14;fucose;4.334062165;g/L;2
all;16;fucose;5.411709621;g/L;2
all;18;fucose;2.653387173;g/L;2
all;20;fucose;0;g/L;2
all;0;galactose;0;g/L;2
all;2;galactose;0;g/L;2
all;4;galactose;0;g/L;2
all;6;galactose;0;g/L;2
all;8;galactose;0;g/L;2
all;10;galactose;0.302569891;g/L;2
all;12;galactose;0;g/L;2
all;14;galactose;0;g/L;2
all;16;galactose;0;g/L;2
all;18;galactose;0;g/L;2
all;20;galactose;0;g/L;2
all;0;glucose;0;g/L;2
all;2;glucose;0;g/L;2
all;4;glucose;0;g/L;2
all;6;glucose;0;g/L;2
all;8;glucose;0;g/L;2
all;10;glucose;0.444128406;g/L;2
all;12;glucose;0.378861192;g/L;2
all;14;glucose;0;g/L;2
all;16;glucose;0;g/L;2
all;18;glucose;0;g/L;2
all;20;glucose;0;g/L;2
all;0;lactose;1.07559252;g/L;2
all;2;lactose;1.56243252;g/L;2
all;4;lactose;2.421939374;g/L;2
all;6;lactose;1.358559613;g/L;2
all;8;lactose;3.209955098;g/L;2
all;10;lactose;5.432351182;g/L;2
all;12;lactose;4.895655914;g/L;2
all;14;lactose;0;g/L;2
all;16;lactose;0;g/L;2
all;18;lactose;0;g/L;2
all;20;lactose;0;g/L;2
all;0;2fl;8;g/L;2
all;2;2fl;11.89336668;g/L;2
all;4;2fl;12.55823589;g/L;2
all;6;2fl;9.34771543;g/L;2
all;8;2fl;14.71542161;g/L;2
all;10;2fl;13.49281436;g/L;2
all;12;2fl;7.026760188;g/L;2
all;14;2fl;0;g/L;2
all;16;2fl;0;g/L;2
all;18;2fl;0;g/L;2
all;20;2fl;0;g/L;2
all;0;3sl;5.429115273;g/L;2
all;2;3sl;5.1820095;g/L;2
all;4;3sl;4.843310531;g/L;2
all;6;3sl;7.048329035;g/L;2
all;8;3sl;8.043363946;g/L;2
all;10;3sl;8.386447845;g/L;2
all;12;3sl;4.678275026;g/L;2
all;14;3sl;0;g/L;2
all;16;3sl;0;g/L;2
all;18;3sl;0;g/L;2
all;20;3sl;0;g/L;2
all;0;lnt;12.10348882;g/L;2
all;2;lnt;18.68734877;g/L;2
all;4;lnt;19.59139125;g/L;2
all;6;lnt;14.15947206;g/L;2
all;8;lnt;21.96130087;g/L;2
all;10;lnt;19.97067287;g/L;2
all;12;lnt;8.72018765;g/L;2
all;14;lnt;0;g/L;2
all;16;lnt;0;g/L;2
all;18;lnt;0;g/L;2
all;20;lnt;0;g/L;2
all;10;acetate;1.184334939;g/L;1
all;10;succinate;0.56671466;g/L;1
all;10;lactate;2.025486964;g/L;1
all;10;butyrate;0.074710107;g/L;1
all;18;acetate;3.342214403;g/L;1
all;18;succinate;0.709391986;g/L;1
all;18;lactate;7.774198552;g/L;1
all;18;butyrate;0;g/L;1
all;10;acetate;1.120463844;g/L;2
all;10;succinate;0.498243414;g/L;2
all;10;lactate;1.753951817;g/L;2
all;10;butyrate;0.06301764;g/L;2
all;18;acetate;3.916219809;g/L;2
all;18;succinate;0.661467067;g/L;2
all;18;lactate;8.060454342;g/L;2
all;18;butyrate;0;g/L;2
all;0;neuac;4.891659286;g/L;1
all;4;neuac;5.334039336;g/L;1
all;8;neuac;6.405763836;g/L;1
all;12;neuac;14.08164956;g/L;1
all;16;neuac;14.0325451;g/L;1
all;20;neuac;5.922513516;g/L;1
all;0;neuac;4.653591708;g/L;2
all;4;neuac;4.72529982;g/L;2
all;8;neuac;6.727670904;g/L;2
all;12;neuac;12.53602798;g/L;2
all;16;neuac;12.50874772;g/L;2
all;20;neuac;5.210109012;g/L;2
all;0;biomass;0.146133333;od600;1
all;2;biomass;0.143066665;od600;1
all;4;biomass;0.15853333;od600;1
all;6;biomass;0.219566668;od600;1
all;8;biomass;0.449266672;od600;1
all;10;biomass;1.815999995;od600;1
all;12;biomass;2.114333361;od600;1
all;14;biomass;2.222000013;od600;1
all;16;biomass;2.182833304;od600;1
all;18;biomass;2.220333318;od600;1
all;20;biomass;2.167166716;od600;1
all;0;biomass;0.140833333;od600;2
all;2;biomass;0.139166668;od600;2
all;4;biomass;0.148099999;od600;2
all;6;biomass;0.187233334;od600;2
all;8;biomass;0.359299997;od600;2
all;10;biomass;1.437999954;od600;2
all;12;biomass;2.235000034;od600;2
all;14;biomass;2.316499949;od600;2
all;16;biomass;2.115000039;od600;2
all;18;biomass;2.240833392;od600;2
all;20;biomass;2.185166394;od600;2
all;10;bbif;0.1511;relative abundance;na
all;10;bthe;0.1864;relative abundance;na
all;10;lsym;0.0225;relative abundance;na
all;10;ecol;0.5964;relative abundance;na
