exp	replicate	species	num
ecol	r2	bbif	7749409
ecol	r2	bbre	11354075
ecol	r2	binf	633448
ecol	r2	bthe	3876254
ecol	r2	lsym	1253361
ecol	r2	ecol	0
ecol	r2	paci	3746775
ecol	r1	bbif	836709
ecol	r1	bbre	1894992
ecol	r1	binf	130913
ecol	r1	bthe	1164161
ecol	r1	lsym	505720
ecol	r1	ecol	0
ecol	r1	paci	570531
ecol	r3	bbif	6278970
ecol	r3	bbre	10736720
ecol	r3	binf	593515
ecol	r3	bthe	3641132
ecol	r3	lsym	1239953
ecol	r3	ecol	0
ecol	r3	paci	3402606
lsym	r2	bbif	660
lsym	r2	bbre	66680
lsym	r2	binf	586507
lsym	r2	bthe	2201242
lsym	r2	lsym	0
lsym	r2	ecol	9784829
lsym	r2	paci	25682
lsym	r3	bbif	310268
lsym	r3	bbre	25515
lsym	r3	binf	1339
lsym	r3	bthe	3524014
lsym	r3	lsym	0
lsym	r3	ecol	11586691
lsym	r3	paci	311373
lsym	r1	bbif	856544
lsym	r1	bbre	73234
lsym	r1	binf	4498
lsym	r1	bthe	8860912
lsym	r1	lsym	0
lsym	r1	ecol	30572052
lsym	r1	paci	875716
binf	r3	bbif	3097130
binf	r3	bbre	356818
binf	r3	binf	0
binf	r3	bthe	2294323
binf	r3	lsym	1025593
binf	r3	ecol	7904448
binf	r3	paci	696700
binf	r1	bbif	670281
binf	r1	bbre	98853
binf	r1	binf	0
binf	r1	bthe	841586
binf	r1	lsym	440909
binf	r1	ecol	2409290
binf	r1	paci	229839
binf	r2	bbif	4455622
binf	r2	bbre	492206
binf	r2	binf	0
binf	r2	bthe	4092088
binf	r2	lsym	1041453
binf	r2	ecol	12747601
binf	r2	paci	2829434
all	r3	bbif	146504
all	r3	bbre	82664
all	r3	binf	17568
all	r3	bthe	341640
all	r3	lsym	220404
all	r3	ecol	11941782
all	r3	paci	68154
all	r1	bbif	85483
all	r1	bbre	62066
all	r1	binf	11290
all	r1	bthe	155165
all	r1	lsym	101021
all	r1	ecol	6442016
all	r1	paci	18917
all	r2	bbif	91984
all	r2	bbre	55802
all	r2	binf	13193
all	r2	bthe	237227
all	r2	lsym	145197
all	r2	ecol	7269422
all	r2	paci	74149
bbre	r3	bbif	77804
bbre	r3	bbre	0
bbre	r3	binf	11255
bbre	r3	bthe	4745092
bbre	r3	lsym	8209
bbre	r3	ecol	18619770
bbre	r3	paci	46330
bbre	r1	bbif	70837
bbre	r1	bbre	0
bbre	r1	binf	20553
bbre	r1	bthe	8487058
bbre	r1	lsym	11481
bbre	r1	ecol	28957023
bbre	r1	paci	19610
bbre	r2	bbif	134633
bbre	r2	bbre	0
bbre	r2	binf	13824
bbre	r2	bthe	2607820
bbre	r2	lsym	7648
bbre	r2	ecol	14744470
bbre	r2	paci	88539
bbif	r1	bbif	0
bbif	r1	bbre	31591
bbif	r1	binf	13049
bbif	r1	bthe	3196198
bbif	r1	lsym	2
bbif	r1	ecol	9125192
bbif	r1	paci	215328
bbif	r3	bbif	0
bbif	r3	bbre	648171
bbif	r3	binf	12690071
bbif	r3	bthe	3391030
bbif	r3	lsym	1996723
bbif	r3	ecol	21627355
bbif	r3	paci	146104
bbif	r2	bbif	0
bbif	r2	bbre	773811
bbif	r2	binf	17298020
bbif	r2	bthe	174740
bbif	r2	lsym	61179
bbif	r2	ecol	8663159
bbif	r2	paci	154045
bthe	r1	bbif	1673599
bthe	r1	bbre	71938
bthe	r1	binf	5223
bthe	r1	bthe	0
bthe	r1	lsym	673642
bthe	r1	ecol	5401205
bthe	r1	paci	286801
bthe	r2	bbif	2199658
bthe	r2	bbre	204128
bthe	r2	binf	11472
bthe	r2	bthe	0
bthe	r2	lsym	649712
bthe	r2	ecol	8092712
bthe	r2	paci	610688
bthe	r3	bbif	2254858
bthe	r3	bbre	139886
bthe	r3	binf	8667
bthe	r3	bthe	0
bthe	r3	lsym	884208
bthe	r3	ecol	8338838
bthe	r3	paci	518639
paci	r2	bbif	113731
paci	r2	bbre	140830
paci	r2	binf	7307
paci	r2	bthe	3210312
paci	r2	lsym	174933
paci	r2	ecol	44481871
paci	r2	paci	0
paci	r3	bbif	115187
paci	r3	bbre	184458
paci	r3	binf	9522
paci	r3	bthe	1858704
paci	r3	lsym	134518
paci	r3	ecol	42079745
paci	r3	paci	0
paci	r1	bbif	119500
paci	r1	bbre	228771
paci	r1	binf	10968
paci	r1	bthe	395630
paci	r1	lsym	95684
paci	r1	ecol	41030015
paci	r1	paci	0
