microorganism	locus_tag	log2FoldChange	padj	diffexpr
B. infantis	Blon_2284	-8.11149180691424	6.04805829441223e-55	Downregulated
B. infantis	Blon_2270	-9.30886161707788	1.20720506385283e-50	Downregulated
B. infantis	Blon_0702	-7.12150687935053	9.34603073720914e-46	Downregulated
E. coli	b3165	2.30533040139853	2.13204040548185e-44	Upregulated
B. infantis	Blon_0307	-7.74517147090173	1.07838419281402e-41	Downregulated
B. infantis	Blon_1722	-8.02285132086981	2.74137571093781e-41	Downregulated
B. infantis	Blon_0900	-7.77637202784463	5.34204322607565e-41	Downregulated
E. coli	b2039	2.55115200964307	6.47375665143803e-41	Upregulated
B. infantis	Blon_0612	-8.98086502165494	1.11072255301165e-40	Downregulated
B. infantis	Blon_2334	-9.30372156232365	3.48071648906793e-39	Downregulated
B. infantis	Blon_0614	-7.48987939435543	7.29907174328659e-38	Downregulated
E. coli	b0411	3.05807183513489	6.41800353409774e-37	Upregulated
E. coli	b1093	2.10730249322041	6.41800353409774e-37	Upregulated
B. infantis	Blon_1087	-6.00849897930303	1.62146354750478e-36	Downregulated
B. infantis	Blon_0922	-9.46451839090696	2.25619335441251e-36	Downregulated
E. coli	b0565	4.13543369364734	3.83668716216723e-36	Upregulated
B. infantis	Blon_0417	-9.60407166974027	1.55765231022399e-35	Downregulated
B. infantis	Blon_1836	-7.60784325604056	1.60966299895896e-35	Downregulated
E. coli	b1123	3.1572760939273	2.6084753124216e-35	Upregulated
B. infantis	Blon_0309	-8.20846754824033	3.78502685100536e-34	Downregulated
B. infantis	Blon_1095	-8.21395498440407	4.19767776757606e-34	Downregulated
B. infantis	Blon_0738	-9.46989849105653	2.60470803638286e-33	Downregulated
B. infantis	Blon_2198	-10.0605635506518	1.20523022223282e-32	Downregulated
B. infantis	Blon_2049	-9.97459004165163	3.45807322955919e-31	Downregulated
B. infantis	Blon_1153	-8.36109064679657	6.56360979140548e-31	Downregulated
B. infantis	Blon_1715	-9.31267806205735	6.56360979140548e-31	Downregulated
B. infantis	Blon_0260	-9.20014320285912	2.00605387993526e-30	Downregulated
B. infantis	Blon_0925	-9.35590837969572	1.06764820630937e-29	Downregulated
B. infantis	Blon_0584	-8.90313370071963	1.41664066371082e-29	Downregulated
B. infantis	Blon_1731	-9.7559674221943	2.35102120093669e-29	Downregulated
B. infantis	Blon_0840	-8.13726689952076	2.35102120093669e-29	Downregulated
B. infantis	Blon_1922	-8.69210588215644	4.76882960650352e-29	Downregulated
B. infantis	Blon_2016	-7.14423384147347	5.44144035927577e-28	Downregulated
E. coli	b2606	4.09537764446765	1.26830672572856e-27	Upregulated
B. infantis	Blon_0070	-5.90402354085774	1.87961737761e-27	Downregulated
B. infantis	Blon_0170	-8.21729256020338	1.9402789378536e-27	Downregulated
B. infantis	Blon_2264	-8.59902488234439	1.11075392269982e-26	Downregulated
E. coli	b0407	2.80231384795153	1.89876688185883e-26	Upregulated
B. infantis	Blon_0181	-8.69245394605082	5.70327664928695e-26	Downregulated
E. coli	b1831	2.22484340847302	5.70327664928695e-26	Upregulated
B. infantis	Blon_0308	-7.27057558812176	6.60910342593926e-26	Downregulated
B. infantis	Blon_2184	-9.39817530587213	7.41064496161176e-26	Downregulated
E. coli	b0739	2.4411692235954	9.2251123517382e-26	Upregulated
E. coli	b4122	2.81334395375797	1.29363899508662e-25	Upregulated
B. infantis	Blon_1096	-8.22042047688743	1.93191198874066e-25	Downregulated
B. infantis	Blon_1923	-8.85255703195017	4.52503752377413e-25	Downregulated
E. coli	b0176	2.05019826425733	8.87389595743485e-25	Upregulated
B. infantis	Blon_2328	-8.68443543149182	1.3661065475998e-24	Downregulated
B. infantis	Blon_2469	-9.83128460844625	2.74151770884948e-24	Downregulated
B. infantis	Blon_2171	-7.14881821350902	4.93764589451243e-24	Downregulated
E. coli	b3891	2.37611327927276	6.18514936067032e-24	Upregulated
E. coli	b1722	4.22588544227544	3.1281849349349e-23	Upregulated
E. coli	b0408	2.49125865407663	3.1426716783496e-23	Upregulated
E. coli	b3739	2.41273928822689	6.44755910498844e-23	Upregulated
B. infantis	Blon_0704	-8.86354349093845	9.75993158946552e-23	Downregulated
B. infantis	Blon_2062	-10.1578908516687	1.24499163864861e-22	Downregulated
B. infantis	Blon_0355	-7.47006330412701	1.24499163864861e-22	Downregulated
E. coli	b0898	2.9386236951083	3.27723357381315e-22	Upregulated
B. infantis	Blon_0305	-6.6571993873947	3.34697211023836e-22	Downregulated
B. infantis	Blon_2238	-9.0257191019192	5.22567336766683e-22	Downregulated
E. coli	b2721	4.0615109350611	5.22567336766683e-22	Upregulated
B. infantis	Blon_0191	-9.38380722210017	7.19167846391807e-22	Downregulated
E. coli	b2171	3.8321294470482	7.89115466918808e-22	Upregulated
E. coli	b2891	2.32183226490075	7.99915970271962e-22	Upregulated
E. coli	b0440	2.2080337687821	1.26689800608626e-21	Upregulated
B. infantis	Blon_2478	-10.1000383327316	1.35846466753815e-21	Downregulated
B. infantis	Blon_0007	-9.96127538132502	1.62118249431908e-21	Downregulated
E. coli	b3733	3.4832476804714	1.64160424762967e-21	Upregulated
E. coli	b4000	2.57109149359616	2.40110456305333e-21	Upregulated
B. infantis	Blon_1007	-8.66454063413366	2.99479350581447e-21	Downregulated
B. infantis	Blon_0059	-6.05747664928683	3.97609089774843e-21	Downregulated
E. coli	b3737	2.67228901704071	4.09973095958684e-21	Upregulated
B. infantis	Blon_0540	-7.53932573104607	4.7415489557182e-21	Downregulated
E. coli	b3294	2.80436270527635	1.23259367449024e-20	Upregulated
B. infantis	Blon_1893	-6.82656285693274	1.44199564288926e-20	Downregulated
B. infantis	Blon_0932	-9.1693561050331	1.44199564288926e-20	Downregulated
E. coli	b3982	2.07915324702389	1.44199564288926e-20	Upregulated
E. coli	b3525	5.06579779590995	2.49969656904347e-20	Upregulated
B. infantis	Blon_0952	-9.63790908691958	2.55883771792438e-20	Downregulated
B. infantis	Blon_0951	-6.47615587863106	2.60810444677749e-20	Downregulated
B. infantis	Blon_0960	-7.21984217433599	2.61466035501468e-20	Downregulated
B. infantis	Blon_1315	-8.34421552057529	3.08559000582611e-20	Downregulated
B. infantis	Blon_1847	-10.1921899589095	3.16696236284278e-20	Downregulated
E. coli	b4359	2.89243020196672	3.59565833783435e-20	Upregulated
B. infantis	Blon_0275	-9.32142706966594	3.74605232228616e-20	Downregulated
E. coli	b0740	2.0245559032827	4.17294730396656e-20	Upregulated
B. infantis	Blon_0123	-9.49513588087608	5.02534737560424e-20	Downregulated
E. coli	b2720	3.56081729924078	5.53572893179718e-20	Upregulated
E. coli	b3183	3.09341631357643	6.34975851834503e-20	Upregulated
E. coli	b1094	2.11924495018099	7.43949717325694e-20	Upregulated
E. coli	b3261	3.24601068151799	8.41660482110179e-20	Upregulated
E. coli	b3260	3.1002003229226	8.79342041755833e-20	Upregulated
E. coli	b3736	2.95348191767666	9.90570025735745e-20	Upregulated
B. infantis	Blon_0931	-9.0656638905172	9.90570025735745e-20	Downregulated
E. coli	b3738	2.5967264177306	1.41009514553654e-19	Upregulated
E. coli	b2036	2.47041016997966	1.72311111770105e-19	Upregulated
B. infantis	Blon_2134	-9.03643447446079	1.8900958089178e-19	Downregulated
B. infantis	Blon_0949	-6.5009956550662	1.95606121880831e-19	Downregulated
B. infantis	Blon_0961	-7.78522959345056	1.95606121880831e-19	Downregulated
E. coli	b4355	4.54062398065696	1.95606121880831e-19	Upregulated
E. coli	b2185	2.17729518840921	2.02105616611592e-19	Upregulated
B. infantis	Blon_0420	-9.99225797705634	2.45021459947448e-19	Downregulated
E. coli	b1864	2.04796751618192	2.54577432632505e-19	Upregulated
B. infantis	Blon_1761	-9.48476304538841	2.54805505012928e-19	Downregulated
E. coli	b2722	4.12452626338765	2.63760909743012e-19	Upregulated
E. coli	b0742	2.4435368537659	2.89504791674357e-19	Upregulated
E. coli	b4147	2.2520959018649	2.95209100462351e-19	Upregulated
B. infantis	Blon_1745	-7.84326172421027	3.17354283545574e-19	Downregulated
B. infantis	Blon_1602	-9.10436229934235	3.44064953190951e-19	Downregulated
B. infantis	Blon_0363	-7.79162879271174	3.6360660436673e-19	Downregulated
B. infantis	Blon_0281	-7.74194851533024	5.76963977468945e-19	Downregulated
B. infantis	Blon_1164	-10.9999429401434	5.93703374380398e-19	Downregulated
B. infantis	Blon_2152	-7.64341103939963	6.20410954926512e-19	Downregulated
B. infantis	Blon_2483	-9.04901796310505	9.54496555578252e-19	Downregulated
B. infantis	Blon_1147	-5.60236493862639	1.07744201511457e-18	Downregulated
B. infantis	Blon_2426	-9.36719276667005	1.11165384861692e-18	Downregulated
B. infantis	Blon_1941	-8.61709700956002	1.15860294716251e-18	Downregulated
B. infantis	Blon_0904	-6.8914075801431	1.17729778087659e-18	Downregulated
E. coli	b4200	3.798202783644	1.24894691942689e-18	Upregulated
E. coli	b4348	2.26592030792932	1.24894691942689e-18	Upregulated
E. coli	b1091	2.72733615374807	1.80847308181999e-18	Upregulated
B. infantis	Blon_0084	-8.77375645322106	2.08407116624354e-18	Downregulated
E. coli	b4079	3.40535752881486	3.59603267104694e-18	Upregulated
E. coli	b2037	2.62215036662933	4.17845771069417e-18	Upregulated
B. infantis	Blon_1842	-9.83816878165266	5.93992715934112e-18	Downregulated
B. infantis	Blon_2233	-8.1295442577237	8.82997618350994e-18	Downregulated
E. coli	b3195	2.41170935133573	1.02095022128856e-17	Upregulated
B. infantis	Blon_0131	-5.73740157323542	1.18178499802305e-17	Downregulated
B. infantis	Blon_0882	-15.4991990873094	1.19121283813651e-17	Downregulated
B. infantis	Blon_1259	-6.15257383997523	1.35056809101971e-17	Downregulated
B. infantis	Blon_2217	-10.7849428692432	2.07322622341968e-17	Downregulated
