microorganism	locus_tag	log2FoldChange	padj	diffexpr
E. coli	b0411	3.36286907975347	2.46340571794888e-43	Upregulated
B. thetaiotaomicron	BT_4295	-8.10203686073743	2.95168035394774e-26	Downregulated
E. coli	b2803	-5.70595757514564	2.96035053017917e-24	Downregulated
E. coli	b0873	2.78016279060551	3.67353314360718e-19	Upregulated
E. coli	b0898	2.77244091817162	1.60891242520534e-18	Upregulated
E. coli	b1967	-3.87505357677306	1.45883893201911e-17	Downregulated
B. thetaiotaomicron	BT_3789	-8.67108132346259	5.68424625213513e-17	Downregulated
E. coli	b1722	3.65145454192811	1.16014009545204e-16	Upregulated
E. coli	b2804	-4.47153408553952	2.12405397351853e-16	Downregulated
E. coli	b2802	-5.66953695420035	1.44689964770289e-15	Downregulated
E. coli	b4122	2.21896805392618	2.97014315315198e-15	Upregulated
B. thetaiotaomicron	BT_3788	-9.73222468774826	4.14140848750204e-14	Downregulated
E. coli	b0872	2.65627432504046	4.14140848750204e-14	Upregulated
B. bifidum	BbifJCM1254_13340	2.10974848760034	7.69957343161068e-14	Upregulated
B. bifidum	BbifJCM1254_09020	2.47726057800326	1.24061254174056e-13	Upregulated
L. symbiosum	HMPREF9475_00201	7.87573552588754	3.30455067136367e-13	Upregulated
E. coli	b1597	2.24153677189205	4.82941465645915e-13	Upregulated
B. thetaiotaomicron	BT_3774	-6.63445857558565	1.04445716306073e-12	Downregulated
B. bifidum	BbifJCM1254_13360	3.28752461297015	1.0815419792112e-12	Upregulated
L. symbiosum	HMPREF9475_02232	3.87353035628588	2.06942635605957e-12	Upregulated
E. coli	b2799	-5.18683234708638	3.00113130434515e-12	Downregulated
B. thetaiotaomicron	BT_4135	-12.7525371719029	4.32172810314312e-12	Downregulated
B. bifidum	BbifJCM1254_05300	5.47211204617808	5.38227956562384e-12	Upregulated
B. thetaiotaomicron	BT_2626	-8.90799938400534	6.269192671431e-12	Downregulated
E. coli	b4484	-2.97996520511628	1.27066271343043e-11	Downregulated
B. bifidum	BbifJCM1254_01140	2.72098281172146	1.95655878139276e-11	Upregulated
E. coli	b2964	3.24170486267497	2.0501897092712e-11	Upregulated
B. thetaiotaomicron	BT_3787	-12.434077884008	2.54328004438111e-11	Downregulated
B. thetaiotaomicron	BT_3792	-7.95760431972297	2.5812015960568e-11	Downregulated
L. symbiosum	HMPREF9475_04142	4.75262371065622	8.03608817720029e-11	Upregulated
B. thetaiotaomicron	BT_4296	-13.1096462745285	9.81449664363811e-11	Downregulated
L. symbiosum	HMPREF9475_03712	7.23810228589065	1.01955312117862e-10	Upregulated
B. bifidum	BbifJCM1254_06150	2.77063704082263	2.06013540253312e-10	Upregulated
B. thetaiotaomicron	BT_2486	-5.5361605067346	2.39117228592755e-10	Downregulated
E. coli	b0485	-3.74143784030237	2.68145244810535e-10	Downregulated
B. thetaiotaomicron	BT_2623	-7.95531413624725	2.79664929830751e-10	Downregulated
B. bifidum	BbifJCM1254_09130	2.32249401924005	2.94977846533253e-10	Upregulated
E. coli	b1747	-5.00767991008457	4.21016239535017e-10	Downregulated
E. coli	b4123	2.06400375659984	4.31999420597271e-10	Upregulated
E. coli	b0486	-4.33706396006644	4.34952271848666e-10	Downregulated
B. bifidum	BbifJCM1254_17360	2.20031158321635	4.40015896840014e-10	Upregulated
E. coli	b4359	2.07064577633723	4.56713740153981e-10	Upregulated
B. thetaiotaomicron	BT_0565	2.4462173210681	5.07105392147061e-10	Upregulated
E. coli	b2147	3.34719507306557	5.30228828365009e-10	Upregulated
B. thetaiotaomicron	BT_3784	-12.7793693623684	5.30228828365009e-10	Downregulated
E. coli	b4002	-3.00479026675727	5.98848641345454e-10	Downregulated
E. coli	b1474	2.72438994856461	6.57412494043099e-10	Upregulated
B. bifidum	BbifJCM1254_03690	3.2139281958218	6.57412494043099e-10	Upregulated
L. symbiosum	HMPREF9475_00792	7.39806400638252	7.04137819711597e-10	Upregulated
