microorganism	locus_tag	log2FoldChange	padj	diffexpr
E. coli	b0411	4.26104179724332	1.40634312468142e-58	Upregulated
E. coli	b4147	4.39267569990778	4.30803542571878e-54	Upregulated
E. coli	b4177	2.17323814832951	1.83425985142017e-49	Upregulated
E. coli	b1093	2.54477170335187	6.0948467238472e-47	Upregulated
E. coli	b2296	2.75536840554855	1.0272349637396e-44	Upregulated
E. coli	b3833	2.22459705331394	3.09058616198903e-42	Upregulated
E. coli	b1831	2.99320378007218	2.49851918217114e-41	Upregulated
E. coli	b2585	3.30146245174346	2.59491258258777e-38	Upregulated
E. coli	b4375	2.51391372539431	8.19669573148793e-38	Upregulated
E. coli	b0431	3.51424172844101	6.41187766036385e-37	Upregulated
E. coli	b0025	2.93225240749656	8.90047263961676e-36	Upregulated
E. coli	b0176	2.76149980192361	3.88342858093118e-35	Upregulated
E. coli	b4122	3.75892203488293	6.4390300360915e-35	Upregulated
E. coli	b2286	3.08348880267463	1.81817834292278e-34	Upregulated
E. coli	b1123	3.75254083273585	1.84217280257967e-34	Upregulated
E. coli	b0726	4.07523491141004	2.13661310534889e-33	Upregulated
E. coli	b1637	3.03786753671142	3.25027324052642e-33	Upregulated
E. coli	b3165	2.0389491630753	4.95226885777642e-33	Upregulated
E. coli	b0736	2.52907173655707	9.8187946774652e-33	Upregulated
E. coli	b3891	2.95919034838465	1.24439646401708e-32	Upregulated
E. coli	b0503	3.02735398634665	4.23516996589847e-32	Upregulated
E. coli	b0931	3.07381615338011	1.37798762478266e-31	Upregulated
E. coli	b2092	4.13165006521896	1.40943386370529e-31	Upregulated
E. coli	b2316	2.5886839659814	3.95980966444404e-31	Upregulated
E. coli	b2697	2.86014565526722	1.35782212685304e-30	Upregulated
E. coli	b4348	3.89281832223973	3.08748110868506e-30	Upregulated
E. coli	b2156	4.01016096225475	5.78542974469168e-30	Upregulated
E. coli	b0181	2.27010168969929	9.67098750376428e-30	Upregulated
E. coli	b0432	3.13782376464586	1.0213650555222e-29	Upregulated
E. coli	b0910	2.72192249285186	2.43716054565527e-29	Upregulated
E. coli	b2287	2.33313907473575	3.64930023161057e-29	Upregulated
E. coli	b3982	2.70215559032276	4.52595357109987e-29	Upregulated
E. coli	b3871	3.34108355788704	6.8852009323914e-29	Upregulated
E. coli	b2183	2.23860673775397	7.11245288748068e-29	Upregulated
E. coli	b3738	3.40196419759788	1.50533835481179e-28	Upregulated
E. coli	b2237	3.86568506160378	4.87437299835522e-28	Upregulated
E. coli	b1876	3.5432291924325	5.89833230948592e-28	Upregulated
E. coli	b3260	3.87552638909807	6.99404735815665e-28	Upregulated
E. coli	b0408	2.94271810207964	8.02218404015362e-28	Upregulated
E. coli	b2891	2.74296634518591	1.22577426130192e-27	Upregulated
E. coli	b1638	2.64301113449751	1.46408448312373e-27	Upregulated
E. coli	b3163	2.70568976253557	1.46408448312373e-27	Upregulated
E. coli	b2095	3.67470341471225	1.72318196217978e-27	Upregulated
E. coli	b3752	3.36246638944772	2.00339836837334e-27	Upregulated
E. coli	b1704	3.03555678137086	3.34639649081453e-27	Upregulated
E. coli	b4355	5.95355387141838	4.59508911155717e-27	Upregulated
E. coli	b3739	3.41509054967096	7.28841787840901e-27	Upregulated
E. coli	b2780	2.32776887175937	7.41048100451519e-27	Upregulated
E. coli	b0739	2.65744855441531	8.91505382756619e-27	Upregulated
E. coli	b3195	3.30832081183521	1.13090565913071e-26	Upregulated
E. coli	b1091	3.60479180597054	1.21104736011642e-26	Upregulated
E. coli	b4352	4.32577311060182	1.21104736011642e-26	Upregulated
