microorganism	locus_tag	log2FoldChange	padj	diffexpr
E. coli	b0411	4.15175273245249	6.09377830609064e-59	Upregulated
B. bifidum	BbifJCM1254_09610	-3.70254226558993	5.07155840029452e-50	Downregulated
B. bifidum	BbifJCM1254_13340	-3.61946482387208	1.91317744407812e-45	Downregulated
B. bifidum	BbifJCM1254_05750	-4.08807105245173	7.62505170867483e-45	Downregulated
B. bifidum	BbifJCM1254_02610	-5.01925051929649	8.78922349461354e-42	Downregulated
B. bifidum	BbifJCM1254_01140	-3.65951926306714	1.28749450514619e-39	Downregulated
B. bifidum	BbifJCM1254_10410	-5.38309485569839	1.27254892828972e-38	Downregulated
B. bifidum	BbifJCM1254_14670	-3.72764108989714	1.98150428117727e-38	Downregulated
B. bifidum	BbifJCM1254_08460	-5.23761061158092	5.95348303002997e-38	Downregulated
B. bifidum	BbifJCM1254_12100	-4.10299719557091	1.77343911832588e-37	Downregulated
B. bifidum	BbifJCM1254_07740	-4.78358334971185	5.77530563623782e-37	Downregulated
B. bifidum	BbifJCM1254_08470	-4.04142023796308	4.1358489398762e-36	Downregulated
B. bifidum	BbifJCM1254_05760	-3.96437907803177	6.0227428382248e-36	Downregulated
B. bifidum	BbifJCM1254_14660	-3.2712879951886	1.65016659573317e-35	Downregulated
B. bifidum	BbifJCM1254_08040	-4.07772294897127	2.00926333496692e-35	Downregulated
B. bifidum	BbifJCM1254_14650	-4.55689185612936	2.27447224232159e-35	Downregulated
B. bifidum	BbifJCM1254_14710	-4.26625297763841	1.97239074909229e-34	Downregulated
B. bifidum	BbifJCM1254_17780	-4.27008696508882	9.60586507463541e-34	Downregulated
B. bifidum	BbifJCM1254_12670	-3.262469861513	3.15562041311343e-33	Downregulated
B. bifidum	BbifJCM1254_02840	-3.5484831537843	3.70645481960635e-33	Downregulated
B. bifidum	BbifJCM1254_03330	-4.23883164159177	4.61234768165686e-33	Downregulated
B. bifidum	BbifJCM1254_17930	-3.88560220270551	4.61234768165686e-33	Downregulated
B. bifidum	BbifJCM1254_07580	-4.24772452753834	1.32770513227144e-32	Downregulated
B. bifidum	BbifJCM1254_09160	-3.42261188465056	3.83981091629131e-32	Downregulated
B. bifidum	BbifJCM1254_01660	-4.05468307805335	4.76335365915187e-32	Downregulated
B. bifidum	BbifJCM1254_02860	-4.25547834433084	5.35226398560811e-32	Downregulated
B. bifidum	BbifJCM1254_17360	-3.68412228701436	1.79434191107866e-31	Downregulated
B. bifidum	BbifJCM1254_09130	-3.4593831254114	2.10177042625546e-31	Downregulated
B. bifidum	BbifJCM1254_03950	-5.80393999877458	4.42080525923504e-30	Downregulated
B. bifidum	BbifJCM1254_09020	-3.27522469131047	4.42080525923504e-30	Downregulated
B. bifidum	BbifJCM1254_11990	-4.68338847232414	8.26290991973475e-30	Downregulated
B. bifidum	BbifJCM1254_12000	-3.8807387845155	9.20768065786439e-30	Downregulated
B. bifidum	BbifJCM1254_17680	-3.82970882039977	1.18870846609098e-29	Downregulated
B. bifidum	BbifJCM1254_06730	-4.47719562430127	1.27238272287111e-29	Downregulated
B. bifidum	BbifJCM1254_05230	-5.86439159656642	2.3389421737578e-29	Downregulated
B. bifidum	BbifJCM1254_11540	-4.16280234267103	2.54234938237578e-28	Downregulated
B. bifidum	BbifJCM1254_07730	-5.04276267826335	2.81599626943143e-28	Downregulated
B. bifidum	BbifJCM1254_06810	-4.56056465811541	2.9320848371995e-28	Downregulated
B. bifidum	BbifJCM1254_06150	-3.67514304412962	5.54259442269996e-28	Downregulated
B. bifidum	BbifJCM1254_07040	-4.55814553747972	6.02934105258815e-28	Downregulated
B. bifidum	BbifJCM1254_17340	-4.36672879514946	6.53465863992329e-28	Downregulated
B. bifidum	BbifJCM1254_13540	-5.03598442479839	1.29044926274653e-27	Downregulated
B. bifidum	BbifJCM1254_08900	-3.62112765376984	1.61867328575153e-27	Downregulated
B. bifidum	BbifJCM1254_16920	-4.4187254889734	1.61867328575153e-27	Downregulated
B. bifidum	BbifJCM1254_09040	-3.45924275227269	1.9276073747532e-27	Downregulated
B. bifidum	BbifJCM1254_17750	-3.74698496593703	3.33542276224453e-27	Downregulated
B. bifidum	BbifJCM1254_14930	-4.28953237894014	4.10202352106906e-27	Downregulated
E. coli	b2240	5.44976940332095	9.60781048821468e-27	Upregulated
B. bifidum	BbifJCM1254_12080	-4.16790456076574	2.61107372287977e-26	Downregulated
B. bifidum	BbifJCM1254_10160	-4.5513029739787	3.75642894713589e-26	Downregulated
B. bifidum	BbifJCM1254_02800	-3.59424523459225	9.71401328076469e-26	Downregulated
B. bifidum	BbifJCM1254_01030	-5.63907351431575	6.67946170553045e-25	Downregulated
B. bifidum	BbifJCM1254_15690	-5.52664489569364	7.20255196232572e-25	Downregulated
B. bifidum	BbifJCM1254_05150	-4.55545726978113	7.9594398881397e-25	Downregulated
B. bifidum	BbifJCM1254_01650	-3.61057680077442	8.47851904897541e-25	Downregulated
B. bifidum	BbifJCM1254_10960	-5.14595408283402	1.10558878076932e-24	Downregulated
B. bifidum	BbifJCM1254_08740	-4.04671744039876	1.10558878076932e-24	Downregulated
B. bifidum	BbifJCM1254_17440	-4.06669877636961	1.33264036591135e-24	Downregulated
B. bifidum	BbifJCM1254_07600	-6.84959346130997	1.85087485181078e-24	Downregulated
B. bifidum	BbifJCM1254_17400	-6.66502779513831	2.09146830044859e-24	Downregulated
B. bifidum	BbifJCM1254_15630	-4.17871709601194	2.43043493067476e-24	Downregulated
B. bifidum	BbifJCM1254_07720	-4.84921382990036	5.08543379380101e-24	Downregulated
B. bifidum	BbifJCM1254_16000	-3.98536371795009	5.25369418364935e-24	Downregulated
B. bifidum	BbifJCM1254_00170	-4.14163039598615	5.34952237829792e-24	Downregulated
B. bifidum	BbifJCM1254_13420	-3.63117353329773	7.02119633803057e-24	Downregulated
B. bifidum	BbifJCM1254_12150	-3.57205130648115	1.05368765927197e-23	Downregulated
B. bifidum	BbifJCM1254_05560	-3.8074995124512	1.6791665513693e-23	Downregulated
B. bifidum	BbifJCM1254_15360	-5.26320609412532	1.72487219975462e-23	Downregulated
E. coli	b2092	3.50926856192783	2.22029527566478e-23	Upregulated
B. bifidum	BbifJCM1254_03980	-5.26975986331542	2.42617644153737e-23	Downregulated
B. bifidum	BbifJCM1254_10150	-4.1093903627899	3.46872966270738e-23	Downregulated
B. bifidum	BbifJCM1254_15210	-4.45174312605142	4.58326437870209e-23	Downregulated
B. bifidum	BbifJCM1254_11300	-3.91611022862089	5.74553184373941e-23	Downregulated
B. bifidum	BbifJCM1254_03730	-4.39417475974859	5.74553184373941e-23	Downregulated
B. bifidum	BbifJCM1254_02130	-4.67029428275139	7.48864529864122e-23	Downregulated
B. bifidum	BbifJCM1254_11410	-4.56706803764972	7.90078254910109e-23	Downregulated
B. bifidum	BbifJCM1254_17670	-3.40444736091005	9.9912697144283e-23	Downregulated
B. bifidum	BbifJCM1254_13130	-4.60824904550864	1.07002668278507e-22	Downregulated
B. bifidum	BbifJCM1254_05080	-3.78276167494771	1.10872946853814e-22	Downregulated
B. bifidum	BbifJCM1254_09200	-3.75407086947372	1.78396841660351e-22	Downregulated
B. bifidum	BbifJCM1254_08060	-5.1073221537789	1.80646995299088e-22	Downregulated
B. bifidum	BbifJCM1254_09090	-4.12835244919817	1.84480575069165e-22	Downregulated
B. bifidum	BbifJCM1254_08030	-4.32957196759889	4.2000849606638e-22	Downregulated
B. bifidum	BbifJCM1254_10390	-6.70175219838789	4.2000849606638e-22	Downregulated
E. coli	b2239	4.50813362574507	6.21331006166606e-22	Upregulated
B. bifidum	BbifJCM1254_09050	-3.4632118708447	6.93167981747685e-22	Downregulated
E. coli	b4355	5.01053637145988	7.27738650728683e-22	Upregulated
B. bifidum	BbifJCM1254_10460	-5.33353929747535	8.25135277912959e-22	Downregulated
