microorganism	locus_tag	log2FoldChange	padj	diffexpr
B. breve	BBBR_1204	-6.38964020172421	3.2873343152937e-52	Downregulated
B. breve	BBBR_0062	5.80591383820605	1.76436780025284e-48	Upregulated
B. breve	BBBR_0705	-7.27284850420674	3.78736939299753e-48	Downregulated
B. breve	BBBR_1484	-5.82877360028304	3.78736939299753e-48	Downregulated
B. breve	BBBR_1177	-6.01407035640756	4.48849721674619e-48	Downregulated
B. breve	BBBR_1720	-5.54432043366285	1.37412407060405e-46	Downregulated
B. breve	BBBR_1685	-6.78983521262628	5.88568073922399e-45	Downregulated
B. breve	BBBR_1573	-6.95389657979555	1.59088556946858e-41	Downregulated
B. breve	BBBR_1548	-5.91777081808079	2.50505181187196e-41	Downregulated
B. breve	BBBR_0263	-5.37675844294382	5.20548197116324e-40	Downregulated
B. breve	BBBR_1594	-6.96773114694374	7.47021067698089e-40	Downregulated
B. breve	BBBR_0423	-6.59829545427247	1.33295053699396e-38	Downregulated
B. breve	BBBR_0952	-4.9437935459929	3.79503400136894e-38	Downregulated
B. breve	BBBR_1728	-6.54604131125274	3.72280285444912e-37	Downregulated
B. breve	BBBR_1654	-7.32606185495982	4.14967781563244e-37	Downregulated
B. breve	BBBR_0442	-7.48895092703695	9.23713386788006e-37	Downregulated
B. breve	BBBR_1640	-6.22660285441358	1.19383551890547e-36	Downregulated
B. breve	BBBR_0675	-4.95459645237758	4.57074889015158e-36	Downregulated
B. breve	BBBR_0349	-7.20250917824107	1.01833539703868e-35	Downregulated
B. breve	BBBR_0266	-6.24937476041943	4.08917318960754e-35	Downregulated
B. breve	BBBR_1625	-6.38302010882052	6.6882501089163e-35	Downregulated
B. breve	BBBR_0422	-6.2295405359318	1.57467822949843e-34	Downregulated
B. breve	BBBR_0454	-5.45874674759254	2.38530765144776e-34	Downregulated
B. breve	BBBR_1686	-6.76976499212895	1.35880523470749e-33	Downregulated
B. breve	BBBR_0510	-7.72585119731938	2.12291608337465e-33	Downregulated
B. breve	BBBR_0265	-5.42822238561568	5.60517535744699e-33	Downregulated
B. bifidum	BbifJCM1254_13340	-3.05268285724578	7.288899817318e-33	Downregulated
B. breve	BBBR_0435	-6.02649520669898	1.13585657582247e-32	Downregulated
B. breve	BBBR_1552	-8.43104285911809	2.53624129180162e-32	Downregulated
B. breve	BBBR_1605	-6.53038310479428	2.7086728017359e-32	Downregulated
B. breve	BBBR_0240	-6.13579543320435	1.12082999798846e-31	Downregulated
B. breve	BBBR_0434	-7.03152013880491	1.46826423870241e-31	Downregulated
B. breve	BBBR_0709	-5.06263945443377	1.48921062929932e-31	Downregulated
B. infantis	Blon_2419	-4.89020769400463	1.67007633507525e-31	Downregulated
B. breve	BBBR_1502	-6.21653312930345	1.90225010009162e-31	Downregulated
B. breve	BBBR_0723	-6.21466243027531	1.90225010009162e-31	Downregulated
B. breve	BBBR_1614	-5.56349177331712	3.43710678102866e-31	Downregulated
B. breve	BBBR_1361	-6.34233848545514	5.30322257028426e-31	Downregulated
B. breve	BBBR_1641	-8.41177735987193	6.72686208166846e-31	Downregulated
B. breve	BBBR_0011	-6.93250260962617	6.87418963364525e-31	Downregulated
B. breve	BBBR_1534	-5.82950549555615	6.96437780845479e-31	Downregulated
B. breve	BBBR_0535	-6.43803556681086	1.12400177041502e-30	Downregulated
B. breve	BBBR_0345	-5.92806385500834	1.15100197316536e-30	Downregulated
B. breve	BBBR_0308	-6.74614207015786	1.56911886422899e-30	Downregulated
B. breve	BBBR_1232	-5.5415296539089	1.62009282938861e-30	Downregulated
B. breve	BBBR_1085	-6.28973173332708	1.98456833801399e-30	Downregulated
