microorganism	locus_tag	log2FoldChange	padj	diffexpr
E. coli	b0411	4.55563898670692	4.60545822135607e-76	Upregulated
E. coli	b2092	5.1128880919128	7.06196768142709e-48	Upregulated
E. coli	b2095	4.11697336605665	1.36679435492813e-33	Upregulated
E. coli	b2091	4.93059224428288	9.46394987749368e-31	Upregulated
E. coli	b2240	5.29489833061857	3.0712863833871e-25	Upregulated
E. coli	b2093	4.56433001234598	1.20490829124613e-23	Upregulated
E. coli	b2239	4.5434393150834	7.92856262402236e-22	Upregulated
E. coli	b0837	-3.01745376661531	2.44392579856077e-20	Downregulated
E. coli	b3753	2.64122541090753	2.61719444707625e-20	Upregulated
B. infantis	Blon_0141	6.90871912017292	4.49571638407172e-20	Upregulated
E. coli	b3751	3.21731282026662	9.89619114842688e-20	Upregulated
E. coli	b2797	4.6692883742962	2.84558602807904e-19	Upregulated
E. coli	b0699	-2.24942396877121	6.56855971382095e-19	Downregulated
E. coli	b2147	4.78909319231055	1.69400477631632e-18	Upregulated
E. coli	b1597	2.66815074827478	1.69400477631632e-18	Upregulated
E. coli	b2964	4.26979722416625	2.30049005045266e-18	Upregulated
E. coli	b2148	6.0191475311882	6.67109559275115e-17	Upregulated
E. coli	b2096	3.12563820504397	9.74097130561036e-17	Upregulated
E. coli	b2518	3.18497822346251	1.4803285663178e-16	Upregulated
E. coli	b2149	6.32643383938584	1.74982204683958e-16	Upregulated
E. coli	b1123	2.12084095878826	8.61075279434583e-16	Upregulated
E. coli	b3750	3.48562906249237	9.28196658113475e-16	Upregulated
E. coli	b1967	-3.60185614769204	1.74290399578478e-15	Downregulated
E. coli	b3604	3.63333416100582	4.30839305042277e-15	Upregulated
E. coli	b2146	4.76743193132295	1.05049125423447e-14	Upregulated
B. thetaiotaomicron	BT_3392	-5.29334778149988	2.34344720199256e-14	Downregulated
E. coli	b1782	3.19563919427466	4.17562757566136e-14	Upregulated
E. coli	b1722	3.30121782869047	6.15991207495341e-14	Upregulated
E. coli	b2796	4.31121164800794	6.4135175268622e-14	Upregulated
B. thetaiotaomicron	BT_0656	-5.42309356169878	7.84497766020232e-14	Downregulated
E. coli	b1955	-4.68070101759735	1.05495842721923e-13	Downregulated
B. thetaiotaomicron	BT_0901	-3.90643402790748	1.39633763241525e-13	Downregulated
E. coli	b4379	3.10880897480765	2.5883849113e-13	Upregulated
E. coli	b1226	-2.73416941185602	3.41967541804663e-13	Downregulated
E. coli	b2171	3.00291319114663	3.64077707181467e-13	Upregulated
E. coli	b0485	-4.22414025831171	3.64077707181467e-13	Downregulated
E. coli	b0915	2.40307382676629	1.15967895950029e-12	Upregulated
B. thetaiotaomicron	BT_1820	-5.10023409919148	2.40046168446042e-12	Downregulated
B. thetaiotaomicron	BT_1693	-5.76876650994075	3.07316222738635e-12	Downregulated
