microorganism	locus_tag	log2FoldChange	padj	diffexpr
E. coli	b2167	-4.51016480724878	3.08985366987804e-27	Downregulated
B. infantis	Blon_0141	6.6035015407848	2.58385689802179e-23	Upregulated
E. coli	b0411	2.38483163491693	7.65283004814274e-22	Upregulated
E. coli	b1597	2.908884576242	9.84519906825136e-22	Upregulated
E. coli	b1967	-4.29812227482895	9.84519906825136e-22	Downregulated
E. coli	b2168	-5.64581977256011	4.94467148637219e-19	Downregulated
E. coli	b2169	-5.71547600507802	2.19070202083726e-18	Downregulated
E. coli	b0837	-2.66834926061966	1.07404377331602e-15	Downregulated
E. coli	b1955	-5.03755819670762	1.91168657448627e-15	Downregulated
E. coli	b0485	-4.46630777495539	3.2694461325782e-14	Downregulated
E. coli	b0871	-4.57325537087004	1.17567338975321e-13	Downregulated
E. coli	b3092	-3.32972970631252	1.56874226950181e-13	Downregulated
E. coli	b4376	-4.02884565999114	1.69118844666393e-13	Downregulated
E. coli	b1747	-5.81443992056237	2.70688514704609e-13	Downregulated
E. coli	b1164	-3.81146233110916	7.56364738341783e-13	Downregulated
B. bifidum	BbifJCM1254_09610	2.14944042361879	9.73837000063426e-13	Upregulated
E. coli	b3023	-2.25828221569342	1.30878255095034e-12	Downregulated
E. coli	b1276	-3.27041798206157	5.1430200507553e-12	Downregulated
E. coli	b0486	-4.77989924129074	5.15042771903286e-12	Downregulated
E. coli	b1683	-4.15960785544105	1.13337348163173e-11	Downregulated
E. coli	b1953	-4.5087910198299	3.87987981544326e-11	Downregulated
E. coli	b1990	-2.99337703225694	4.63128434148743e-11	Downregulated
E. coli	b2661	-4.01293084848685	6.93178195979443e-11	Downregulated
E. coli	b4568	-3.98476584640379	1.00575345595273e-10	Downregulated
E. coli	b3003	-3.84136296753507	1.06478258221157e-10	Downregulated
E. coli	b1226	-2.42199718221317	2.68905586772444e-10	Downregulated
E. coli	b3097	-2.98344881361301	2.68905586772444e-10	Downregulated
E. coli	b1003	-3.62052187227175	2.70250501603153e-10	Downregulated
E. coli	b2465	-3.94375877361578	3.04139133690937e-10	Downregulated
E. coli	b3091	-2.52151595412003	3.96100176267184e-10	Downregulated
E. coli	b2097	-4.28636144735086	4.24170091729044e-10	Downregulated
E. coli	b0865	-3.53645393284444	4.48228638486692e-10	Downregulated
E. coli	b3516	-4.41353105365777	4.48228638486692e-10	Downregulated
E. coli	b3601	-2.46335499343765	5.13743614409799e-10	Downregulated
E. coli	b2127	-3.57545762967356	5.51339281243188e-10	Downregulated
E. coli	b4131	3.54877729327167	5.99509880485236e-10	Upregulated
E. coli	b2606	2.44567809939792	6.65967359023851e-10	Upregulated
E. coli	b4051	-2.04379343244893	7.94494081248715e-10	Downregulated
E. coli	b0186	-3.14857515455401	8.09113212928104e-10	Downregulated
E. coli	b2660	-3.64886400870099	8.89257066917235e-10	Downregulated
E. coli	b2464	-4.3146397297676	9.44057816691265e-10	Downregulated
E. coli	b4127	-3.32983614329404	1.01968245776907e-09	Downregulated
E. coli	b1678	-3.48169992792208	1.06125086618604e-09	Downregulated
E. coli	b0453	-3.74938736554828	1.06125086618604e-09	Downregulated
E. coli	b4062	-3.10478474706804	1.14001332285648e-09	Downregulated
B. infantis	Blon_2372	10.3334641029411	1.25055525628873e-09	Upregulated
B. bifidum	BbifJCM1254_02840	2.04931100755334	1.36563346479495e-09	Upregulated
E. coli	b1492	-5.84891210191383	1.99566943238337e-09	Downregulated
E. coli	b0790	-3.98981774414544	1.99807573932283e-09	Downregulated
E. coli	b1722	2.63653704548744	1.99807573932283e-09	Upregulated
E. coli	b1784	-4.07663583985712	2.14889411675656e-09	Downregulated
E. coli	b3099	-3.01263429296036	2.34543606451963e-09	Downregulated
E. coli	b3012	-3.27908362985804	2.65628343325946e-09	Downregulated
E. coli	b3365	-2.26638168217954	2.81282764403827e-09	Downregulated
E. coli	b3830	-3.53388568480194	5.44374144153514e-09	Downregulated
E. coli	b2803	-3.37215062183424	5.83703862446998e-09	Downregulated
E. coli	b0789	-3.79065978315914	6.82022073555133e-09	Downregulated
E. coli	b3548	-2.89373229102255	7.20482899345465e-09	Downregulated
E. coli	b1748	-5.19478809780997	7.2548576798911e-09	Downregulated
E. coli	b1004	-3.72840082147225	1.0409044848345e-08	Downregulated
E. coli	b1428	-3.70634175777116	1.17912842248917e-08	Downregulated
E. coli	b1482	-3.43816102446582	1.17969548664112e-08	Downregulated
E. coli	b4132	3.32405502202853	1.19151771688428e-08	Upregulated
E. coli	b1376	-2.82086888364957	1.21706781871586e-08	Downregulated
E. coli	b1782	2.43971885494516	1.28650064830608e-08	Upregulated
