microorganism	locus_tag	log2FoldChange	padj	diffexpr
B. infantis	Blon_2284	8.13583355876532	6.04572709014072e-55	Upregulated
B. infantis	Blon_2270	9.34215675095309	1.20665885480965e-50	Upregulated
B. infantis	Blon_0702	7.14755146251353	9.34265360132192e-46	Upregulated
E. coli	b3165	-2.30381084844604	2.13216508567206e-44	Downregulated
B. infantis	Blon_0307	7.78069588938837	1.07795566787585e-41	Upregulated
B. infantis	Blon_1722	8.05672724354303	2.74033913861083e-41	Upregulated
B. infantis	Blon_0900	7.81453029591644	5.33986140910087e-41	Upregulated
E. coli	b2039	-2.54784901322631	6.4740745328574e-41	Downregulated
B. infantis	Blon_0612	9.0447883034753	1.11012669721205e-40	Upregulated
B. infantis	Blon_2334	9.37108821643054	3.47888517537215e-39	Upregulated
B. infantis	Blon_0614	7.51733655880332	7.29664115199074e-38	Upregulated
E. coli	b0411	-3.04200305376861	6.41833972316919e-37	Downregulated
E. coli	b1093	-2.10579329210149	6.41833972316919e-37	Downregulated
B. infantis	Blon_1087	6.02467404772167	1.62109794653308e-36	Upregulated
B. infantis	Blon_0922	9.50862159987264	2.25514907978944e-36	Upregulated
E. coli	b0565	-4.13044603972079	3.83701887571098e-36	Downregulated
B. infantis	Blon_0417	9.66139653239519	1.55688218997765e-35	Upregulated
B. infantis	Blon_1836	7.65096789710387	1.60900611428154e-35	Upregulated
E. coli	b1123	-3.1540323800477	2.60866550832403e-35	Downregulated
B. infantis	Blon_0309	8.25252614330982	3.78351771500442e-34	Upregulated
B. infantis	Blon_1095	8.27521840736387	4.19561387354564e-34	Upregulated
B. infantis	Blon_0738	9.53436122772031	2.60345987936214e-33	Upregulated
B. infantis	Blon_2198	10.1297676300818	1.20460522108591e-32	Upregulated
B. infantis	Blon_2049	10.0450338837807	3.45625984235908e-31	Upregulated
B. infantis	Blon_1153	8.39039283007272	6.56025116364878e-31	Upregulated
B. infantis	Blon_1715	9.38093051698758	6.56025116364878e-31	Upregulated
B. infantis	Blon_0260	9.24360907552077	2.00518284614975e-30	Upregulated
B. infantis	Blon_0925	9.41526839045161	1.06715612427441e-29	Upregulated
B. infantis	Blon_0584	8.94760176484811	1.41604449568987e-29	Upregulated
B. infantis	Blon_1731	9.81398634441132	2.34999132955502e-29	Upregulated
B. infantis	Blon_0840	8.2040819156889	2.34999132955502e-29	Upregulated
B. infantis	Blon_1922	8.77741237757447	4.7663182157532e-29	Upregulated
B. infantis	Blon_2016	7.16890983705286	5.43995750340173e-28	Upregulated
E. coli	b2606	-4.08884374421316	1.26841734869307e-27	Downregulated
B. infantis	Blon_0070	5.92429135664754	1.87920963466593e-27	Upregulated
B. infantis	Blon_0170	8.25760751942992	1.93956169431956e-27	Upregulated
B. infantis	Blon_2264	8.66852761007656	1.11028087767163e-26	Upregulated
E. coli	b0407	-2.79933636519367	1.89887152125167e-26	Downregulated
B. infantis	Blon_0181	8.7646480153225	5.70361893979962e-26	Upregulated
E. coli	b1831	-2.2251257449283	5.70361893979962e-26	Downregulated
B. infantis	Blon_0308	7.31513780896399	6.60679535927536e-26	Upregulated
B. infantis	Blon_2184	9.4968053697203	7.4067996976197e-26	Upregulated
E. coli	b0739	-2.4383920175955	9.22564033263043e-26	Downregulated
E. coli	b4122	-2.80944031302436	1.29372954961487e-25	Downregulated
B. infantis	Blon_1096	8.30442921173448	1.93089517606533e-25	Upregulated
B. infantis	Blon_1923	8.94200254907085	4.52267649413058e-25	Upregulated
E. coli	b0176	-2.0481689617038	8.87432033135452e-25	Downregulated
B. infantis	Blon_2328	8.75585456497373	1.36557558396951e-24	Upregulated
B. infantis	Blon_2469	9.90633788013943	2.74024597408541e-24	Upregulated
B. infantis	Blon_2171	7.21277936997589	4.93576016718771e-24	Upregulated
E. coli	b3891	-2.37320939501005	6.18550237949121e-24	Downregulated
E. coli	b1722	-4.21658211624427	3.12851454693674e-23	Downregulated
E. coli	b0408	-2.4879743826674	3.14285969815666e-23	Downregulated
E. coli	b3739	-2.41008260432138	6.44787576014988e-23	Downregulated
B. infantis	Blon_0704	8.95259567077998	9.75561503315822e-23	Upregulated
