microorganism	locus_tag	log2FoldChange	padj	diffexpr
B. infantis	Blon_2284	11.1459734889325	1.87791353627161e-72	Upregulated
B. infantis	Blon_2270	11.1019333768314	2.11057380462433e-65	Upregulated
B. infantis	Blon_1722	9.710357146621	1.6836292753043e-59	Upregulated
B. infantis	Blon_0900	9.24494836255775	5.66222997807854e-57	Upregulated
B. infantis	Blon_0307	8.59041164200667	1.91175480038108e-54	Upregulated
B. infantis	Blon_1087	9.56641234092771	2.05066682570244e-54	Upregulated
B. infantis	Blon_0614	8.68785974482254	9.47695000121758e-53	Upregulated
B. infantis	Blon_0612	10.0535381850584	1.35433117586218e-52	Upregulated
B. infantis	Blon_0702	7.01111873538693	7.78873350895018e-52	Upregulated
B. infantis	Blon_2334	10.9880273256833	9.95394048584759e-52	Upregulated
B. infantis	Blon_1836	9.52216502863927	4.60571876183253e-51	Upregulated
B. infantis	Blon_0922	10.7015806972717	1.05812094989885e-47	Upregulated
B. infantis	Blon_0309	9.87358079340669	1.95855543424303e-46	Upregulated
B. infantis	Blon_0417	9.7795687190242	9.08980325891705e-45	Upregulated
B. infantis	Blon_0070	8.5793360853514	3.75365893031588e-44	Upregulated
B. infantis	Blon_0260	10.0352128343185	6.43192047777363e-44	Upregulated
B. infantis	Blon_2198	10.9432609342614	6.79505539894989e-44	Upregulated
B. infantis	Blon_1095	9.00042277146522	2.40144547722146e-42	Upregulated
B. infantis	Blon_0738	11.3169929128653	1.679989532054e-41	Upregulated
B. infantis	Blon_2049	10.7918946817269	8.09277174631794e-41	Upregulated
B. infantis	Blon_1715	10.7799664926739	9.34838828330876e-41	Upregulated
B. infantis	Blon_0925	10.2114457929578	3.41075872788952e-40	Upregulated
B. thetaiotaomicron	BT_4295	-9.29677778794857	5.48797629078837e-40	Downregulated
B. infantis	Blon_0840	9.04540734771287	1.99765199951145e-38	Upregulated
B. infantis	Blon_0170	8.95934699969027	7.67413183420601e-38	Upregulated
B. infantis	Blon_1164	9.96609978128783	2.18925594145379e-37	Upregulated
B. infantis	Blon_0308	9.05511600376847	2.18925594145379e-37	Upregulated
B. infantis	Blon_1922	9.78683719685877	3.24329065708553e-37	Upregulated
B. infantis	Blon_0882	10.1222374163238	1.43372339498372e-36	Upregulated
E. coli	b2039	-2.36229729388559	1.6130692157858e-36	Downregulated
B. infantis	Blon_1731	11.3984773207499	2.55862722109111e-36	Upregulated
B. infantis	Blon_0181	9.38140484892827	5.79433089053339e-36	Upregulated
B. infantis	Blon_2328	9.38738295128287	2.38110614826991e-35	Upregulated
E. coli	b2803	-6.53093440555851	1.22238692788096e-34	Downregulated
B. infantis	Blon_2469	10.9020844929728	7.47146377835852e-34	Upregulated
B. infantis	Blon_2271	10.5138259524742	8.16675433854525e-34	Upregulated
B. infantis	Blon_2062	10.1256299486621	1.29816526136873e-33	Upregulated
B. infantis	Blon_2171	8.44549810526166	1.6580443233996e-33	Upregulated
B. infantis	Blon_0305	8.58980257260208	4.07760343340614e-33	Upregulated
B. infantis	Blon_0059	7.67288690414784	8.19868060504017e-33	Upregulated
B. infantis	Blon_1923	10.1907360684823	8.60380886904848e-33	Upregulated
B. infantis	Blon_1153	10.845191468664	8.71555653964919e-33	Upregulated
B. infantis	Blon_1893	9.24180730857876	1.72544011157571e-32	Upregulated
B. infantis	Blon_2264	10.9630327577519	4.42942798163521e-32	Upregulated
B. infantis	Blon_1096	9.16267933498834	1.54152218482159e-31	Upregulated
B. infantis	Blon_0355	8.91209277333279	1.67690990407668e-31	Upregulated
B. infantis	Blon_2184	9.58593663030157	6.8037381650073e-31	Upregulated
B. infantis	Blon_2016	10.5991294589119	1.650087569726e-30	Upregulated
B. thetaiotaomicron	BT_4135	-9.8178655606164	5.94097851568996e-30	Downregulated
B. infantis	Blon_0704	9.16682269233003	1.07854323824893e-29	Upregulated
B. thetaiotaomicron	BT_3789	-9.54329722421089	1.38316968632788e-29	Downregulated
B. infantis	Blon_0932	10.1062051764231	3.80221224584343e-29	Upregulated
B. infantis	Blon_0083	10.1285372576162	5.4175239921311e-29	Upregulated
B. infantis	Blon_0584	11.827736384647	5.6305974714732e-29	Upregulated
B. infantis	Blon_2078	10.3593802908629	1.49775665515353e-28	Upregulated
B. infantis	Blon_0123	10.4926422559821	6.12147917711345e-28	Upregulated
B. infantis	Blon_1847	10.5833671239257	7.29592076491055e-28	Upregulated
B. infantis	Blon_0007	11.4358809935522	1.26857110473548e-27	Upregulated
B. infantis	Blon_2238	11.0629888359247	1.42148023050842e-27	Upregulated
B. infantis	Blon_2478	11.5580800686709	2.59927410125084e-27	Upregulated
E. coli	b2804	-5.45469535600419	4.25943064427421e-27	Downregulated
B. infantis	Blon_2152	9.44165849295529	6.90308217300273e-27	Upregulated
B. infantis	Blon_2414	8.09850494841301	7.16836783338023e-27	Upregulated
B. thetaiotaomicron	BT_2626	-8.13271473674435	1.59280367283465e-26	Downregulated
E. coli	b2720	-4.0343542583042	2.11670898896289e-26	Downregulated
B. infantis	Blon_1315	9.99149348198682	2.37573006362348e-26	Upregulated
B. infantis	Blon_0960	7.85181727096337	2.42186366603369e-26	Upregulated
B. infantis	Blon_1745	9.29999728892209	4.23743494834085e-26	Upregulated
B. infantis	Blon_0363	9.60938285543954	4.92247097284694e-26	Upregulated
B. infantis	Blon_2483	10.1407375751605	5.80620585070732e-26	Upregulated
B. thetaiotaomicron	BT_3791	-9.35090659003558	7.29113722552574e-26	Downregulated
