microorganism	locus_tag	log2FoldChange	padj	diffexpr
B. infantis	Blon_2284	9.23343483646383	5.21841142208926e-58	Upregulated
B. infantis	Blon_2270	8.87750345950769	5.05647803509128e-50	Upregulated
B. infantis	Blon_1722	8.53960928607879	3.42145871493247e-45	Upregulated
B. infantis	Blon_0307	9.6397188789427	1.87940535882515e-43	Upregulated
B. infantis	Blon_1087	6.37445926405058	2.163109989431e-38	Upregulated
B. infantis	Blon_0922	8.91944680625109	7.41576193635492e-35	Upregulated
B. infantis	Blon_1153	7.69899879942069	1.63378415777079e-31	Upregulated
B. infantis	Blon_0309	9.92501134108026	4.63273443932701e-31	Upregulated
B. infantis	Blon_0070	7.13711599355706	4.63273443932701e-31	Upregulated
B. infantis	Blon_0059	8.80863070042587	4.63273443932701e-31	Upregulated
B. infantis	Blon_0614	9.92789067911395	1.93800719664976e-28	Upregulated
B. infantis	Blon_0308	9.11277528853712	1.13990731974022e-26	Upregulated
P. acidilactici	HN015_02220	-5.38072151861516	4.168688301205e-26	Downregulated
B. infantis	Blon_1715	12.5988139117472	5.04522344413988e-26	Upregulated
B. infantis	Blon_0584	10.21327281311	7.51484405340613e-25	Upregulated
B. infantis	Blon_2062	9.62968830352512	2.2545842820229e-24	Upregulated
B. infantis	Blon_1731	10.768357181432	3.05010449999941e-24	Upregulated
B. infantis	Blon_2016	5.9992182355877	2.66630408941782e-23	Upregulated
B. infantis	Blon_0702	11.4740425288194	3.09070839538995e-23	Upregulated
B. infantis	Blon_1836	11.5991661453353	5.88484022644709e-22	Upregulated
B. infantis	Blon_1923	12.8669668272704	1.38331927166613e-21	Upregulated
B. infantis	Blon_2238	9.92780671501199	7.71934888055902e-21	Upregulated
E. coli	b2185	-2.25882602564672	1.27932063773677e-20	Downregulated
B. infantis	Blon_0142	4.56782464258297	1.36600313550394e-20	Upregulated
B. infantis	Blon_0925	11.3170974357855	1.39363831585096e-20	Upregulated
B. infantis	Blon_0612	16.2228289327689	2.23370257463044e-20	Upregulated
B. infantis	Blon_1096	16.3385954507747	7.16512770337645e-20	Upregulated
B. infantis	Blon_0260	10.8282252315732	8.91113908629107e-20	Upregulated
B. infantis	Blon_2134	9.01388893545037	1.02430217322149e-19	Upregulated
B. infantis	Blon_2334	15.9482628367952	1.2669253371125e-19	Upregulated
B. infantis	Blon_2233	6.19501912384195	2.09943319108067e-19	Upregulated
B. infantis	Blon_0281	7.08879708276029	2.51771032714778e-19	Upregulated
B. infantis	Blon_1095	13.4715275564916	3.71331230289398e-19	Upregulated
B. infantis	Blon_1147	6.70869285656569	3.71331230289398e-19	Upregulated
B. infantis	Blon_0565	8.21787558483727	6.11904436560528e-19	Upregulated
B. infantis	Blon_1922	15.9831874815236	6.19557424877085e-19	Upregulated
B. infantis	Blon_0417	15.3488421091005	9.05723178430001e-19	Upregulated
B. infantis	Blon_0900	14.8013123612507	1.62218526108891e-18	Upregulated
B. infantis	Blon_1941	8.44087074583896	2.44117906520327e-18	Upregulated
B. infantis	Blon_2198	15.3300530173722	2.69730410921116e-18	Upregulated
B. infantis	Blon_0904	6.45451483426425	3.1897564942487e-18	Upregulated
B. infantis	Blon_2271	10.5648489514229	6.01096312940274e-18	Upregulated
B. infantis	Blon_0738	15.0649606633341	6.4298647467528e-18	Upregulated
B. infantis	Blon_2049	13.1377987939675	1.01265821527223e-17	Upregulated
E. coli	b3916	-2.44973780119835	1.04793891078626e-17	Downregulated
B. infantis	Blon_0170	10.5706787123998	1.18553313164495e-17	Upregulated
P. acidilactici	HN015_02120	-3.21034820502818	2.91243833275123e-17	Downregulated
B. infantis	Blon_2184	15.4064264604036	3.50210801040472e-17	Upregulated
B. infantis	Blon_0029	9.11213233355819	3.78770834199905e-17	Upregulated
B. infantis	Blon_0882	13.0316624205741	4.68111532380598e-17	Upregulated
