microorganism	locus_tag	log2FoldChange	padj	diffexpr
B. infantis	Blon_0702	6.28142867924239	9.30034637281667e-41	Upregulated
B. infantis	Blon_0612	7.73569782899459	1.11308198094245e-33	Upregulated
B. infantis	Blon_2469	8.51358171726688	2.31547273277752e-33	Upregulated
B. breve	BBBR_0062	4.81472376613213	2.64107018119624e-33	Upregulated
B. infantis	Blon_1836	6.94377393738017	1.17214560070858e-32	Upregulated
B. breve	BBBR_1380	-4.28719444871606	8.96167746569329e-32	Downregulated
B. infantis	Blon_2334	7.52062263841124	1.68043246585922e-31	Upregulated
B. infantis	Blon_0900	6.14985466350127	7.99382337361372e-31	Upregulated
B. breve	BBBR_1593	-4.37770504695401	9.85877677432578e-31	Downregulated
B. infantis	Blon_0882	8.89803385430777	1.4021998797073e-29	Upregulated
B. thetaiotaomicron	BT_0687	-6.90206675856387	1.55155666303635e-29	Downregulated
B. breve	BBBR_0059	-4.05667665796784	1.70689195215574e-28	Downregulated
B. infantis	Blon_0307	5.84099649866685	6.25716382222506e-28	Upregulated
B. infantis	Blon_2284	5.17499630741859	1.4895740866516e-27	Upregulated
B. infantis	Blon_0738	7.04126657937987	3.3650984140211e-27	Upregulated
B. infantis	Blon_1164	7.51385847023761	6.01822537840387e-27	Upregulated
B. infantis	Blon_2478	7.29681140002149	6.49323923422746e-27	Upregulated
B. infantis	Blon_2328	6.89591460951894	3.05477081990254e-26	Upregulated
B. infantis	Blon_0181	7.18642496831248	3.05694540398793e-26	Upregulated
B. infantis	Blon_2217	8.44678319141443	3.05694540398793e-26	Upregulated
B. infantis	Blon_1095	6.91959460537449	3.06443213002035e-26	Upregulated
B. infantis	Blon_0614	5.32475375451004	4.05623545930427e-26	Upregulated
B. infantis	Blon_0083	8.10212751866886	6.71191580112356e-26	Upregulated
B. infantis	Blon_2264	7.29070714426125	7.4546542060643e-26	Upregulated
B. infantis	Blon_0417	6.81348989135089	5.57020475575896e-25	Upregulated
B. infantis	Blon_2198	6.88310006327361	1.28660963411643e-24	Upregulated
B. infantis	Blon_2171	6.87859937371616	2.44305554520625e-24	Upregulated
B. infantis	Blon_0840	6.75961532449233	2.99650750354134e-24	Upregulated
B. breve	BBBR_0002	-4.32022370551834	3.64290194473249e-24	Downregulated
B. infantis	Blon_0191	6.82456742209396	1.04345462556595e-23	Upregulated
B. breve	BBBR_1722	-4.17306213702722	1.29235871383197e-23	Downregulated
B. infantis	Blon_1315	7.56582645908048	1.3537507222102e-23	Upregulated
B. breve	BBBR_1177	-3.65716094883491	1.53556579029866e-23	Downregulated
B. breve	BBBR_0576	-3.94445472394886	1.58052363853863e-23	Downregulated
B. breve	BBBR_0263	-3.67289455017921	1.70274373047648e-23	Downregulated
B. breve	BBBR_0435	-3.66178952145592	1.70274373047648e-23	Downregulated
P. acidilactici	HN015_06870	-4.42221382773121	2.45356806735739e-23	Downregulated
B. infantis	Blon_0932	7.19848152130558	2.45356806735739e-23	Upregulated
B. infantis	Blon_0305	6.52691155069446	2.45356806735739e-23	Upregulated
B. infantis	Blon_0102	6.10957651049305	3.75790554549044e-23	Upregulated
B. infantis	Blon_0355	7.30261117734054	6.57382806912015e-23	Upregulated
