microorganism	locus_tag	log2FoldChange	padj	diffexpr
B. infantis	Blon_1722	10.8103897532505	1.27481275013694e-67	Upregulated
B. infantis	Blon_1087	8.01296689107058	1.37602148016125e-55	Upregulated
B. infantis	Blon_2284	12.1168639975131	6.8266071853135e-55	Upregulated
B. infantis	Blon_0070	7.65913296835769	8.79918883966138e-41	Upregulated
B. infantis	Blon_0059	9.54494512536901	1.79645557676159e-39	Upregulated
B. infantis	Blon_0141	9.56886583387964	3.52391990793241e-39	Upregulated
B. infantis	Blon_2016	7.73573325257795	1.4874138835076e-35	Upregulated
B. breve	BBBR_1484	5.50520996589991	1.4874138835076e-35	Upregulated
B. breve	BBBR_0705	6.88926835433584	5.44197162976337e-28	Upregulated
B. breve	BBBR_1204	5.53494826805758	7.08834833105351e-28	Upregulated
B. infantis	Blon_1153	11.05549014031	3.17908040266183e-27	Upregulated
B. infantis	Blon_0417	13.1960434825107	6.22206653710245e-27	Upregulated
B. infantis	Blon_1836	12.6265986117211	2.46987454561555e-26	Upregulated
E. coli	b2039	-2.01558486133157	8.38429114637797e-26	Downregulated
B. infantis	Blon_0029	9.22928561067281	1.19034097721614e-25	Upregulated
B. infantis	Blon_1147	6.40989448619029	2.26707470716153e-25	Upregulated
B. infantis	Blon_0614	11.932755338532	2.83473355894719e-24	Upregulated
B. breve	BBBR_0423	5.78610070515045	1.19412753703572e-23	Upregulated
B. infantis	Blon_0694	12.655830464848	2.68978451480779e-23	Upregulated
B. infantis	Blon_2270	16.5395455922813	3.04651281276958e-23	Upregulated
B. infantis	Blon_0612	17.2066268621486	4.60512520985109e-23	Upregulated
B. infantis	Blon_1907	8.87987132027175	1.705544338528e-22	Upregulated
B. infantis	Blon_2334	16.9355269806504	3.58172292437204e-22	Upregulated
B. infantis	Blon_1095	16.7851908848533	3.83756754760597e-22	Upregulated
B. breve	BBBR_0422	6.02865820928647	4.56053679469292e-22	Upregulated
B. infantis	Blon_2177	5.99250258330739	4.56053679469292e-22	Upregulated
B. thetaiotaomicron	BT_0541	-5.3714258271967	7.71003638658658e-22	Downregulated
B. thetaiotaomicron	BT_0924	-5.12969178750214	9.80579041046774e-22	Downregulated
B. infantis	Blon_0307	15.9957378724382	1.02762535798763e-21	Upregulated
B. breve	BBBR_1685	4.62350845806623	1.43812115558586e-21	Upregulated
B. infantis	Blon_1922	16.9729540800069	2.30207873843258e-21	Upregulated
B. infantis	Blon_0170	11.5726197519141	2.72808273929677e-21	Upregulated
B. infantis	Blon_1923	17.0410165986885	3.30944356512489e-21	Upregulated
B. infantis	Blon_1096	15.0557696318174	4.54532785292404e-21	Upregulated
B. breve	BBBR_1573	5.18869264028952	6.96575735734246e-21	Upregulated
B. breve	BBBR_1640	5.54423528213739	7.1784009471469e-21	Upregulated
B. infantis	Blon_1715	14.9658347151899	9.83373220964006e-21	Upregulated
B. infantis	Blon_2198	16.3241303124687	9.83373220964006e-21	Upregulated
E. coli	b3471	-3.27871616131573	1.00549138069746e-20	Downregulated
B. infantis	Blon_2049	16.3956569959423	1.01410157988108e-20	Upregulated
B. thetaiotaomicron	BT_0656	-6.40432835999031	1.13077607890914e-20	Downregulated
B. infantis	Blon_0738	16.0601220500248	2.54918437558499e-20	Upregulated
E. coli	b2720	-3.57284306060822	3.24580446301587e-20	Downregulated
B. infantis	Blon_0922	14.151881717957	3.31199085009782e-20	Upregulated
B. infantis	Blon_0882	16.5599255501997	5.13513300717924e-20	Upregulated
B. breve	BBBR_1177	4.22765793322934	5.55303327007515e-20	Upregulated
P. acidilactici	HN015_09210	-4.46672591586995	6.36813236633634e-20	Downregulated
B. infantis	Blon_0309	15.4790241145526	7.38259028969573e-20	Upregulated
B. infantis	Blon_0702	13.4003386255623	1.16217344128145e-19	Upregulated
B. infantis	Blon_0900	13.629497746024	1.2171286965743e-19	Upregulated
B. thetaiotaomicron	BT_3902	-5.82439168185231	1.37612828529335e-19	Downregulated
B. infantis	Blon_1731	15.5420894082572	1.80598228668224e-19	Upregulated
B. infantis	Blon_2184	16.4003008784167	1.9680426661848e-19	Upregulated
B. infantis	Blon_0925	15.5773385467334	2.19063662481789e-19	Upregulated
B. infantis	Blon_0840	15.7401918256487	2.65956305821008e-19	Upregulated
P. acidilactici	HN015_09970	-3.32644630673105	3.19338463151833e-19	Downregulated
B. breve	BBBR_1686	5.87333823858498	3.38746039480182e-19	Upregulated
E. coli	b2092	3.19177658605538	4.0260167730656e-19	Upregulated
B. breve	BBBR_1625	4.88462702775501	4.82336829688859e-19	Upregulated
E. coli	b2091	3.81418900011315	4.82336829688859e-19	Upregulated
B. breve	BBBR_1654	6.42610522304425	5.32311822545591e-19	Upregulated
B. breve	BBBR_1534	4.95986783887494	5.86366312813437e-19	Upregulated
B. breve	BBBR_1641	5.89495477778548	6.05282841951992e-19	Upregulated
