microorganism	locus_tag	log2FoldChange	padj	diffexpr
B. infantis	Blon_2284	10.3009243533492	8.46627919774338e-82	Upregulated
B. infantis	Blon_2270	10.9090041249783	1.07711398515213e-70	Upregulated
B. infantis	Blon_1722	9.47327783087067	1.41145983347196e-57	Upregulated
B. infantis	Blon_1087	7.03660196332481	2.69531353959131e-53	Upregulated
E. coli	b0104	-2.35773731278055	5.72114499410217e-51	Downregulated
B. infantis	Blon_0141	9.25798390832232	4.35011483279208e-48	Upregulated
B. infantis	Blon_0614	10.6902282457087	1.65258380189239e-47	Upregulated
B. infantis	Blon_0922	12.0989778892612	2.80274509463627e-46	Upregulated
B. infantis	Blon_1153	9.97449101564782	5.23779167798426e-44	Upregulated
E. coli	b3612	-2.65945653114691	1.12719168693609e-40	Downregulated
B. infantis	Blon_1715	13.2936258492297	3.41016197746638e-40	Upregulated
B. infantis	Blon_0059	8.43641657192326	5.39325234079152e-38	Upregulated
B. infantis	Blon_0584	11.3825591361387	2.67914892281243e-36	Upregulated
B. infantis	Blon_2016	6.88449302038237	7.2750759776521e-33	Upregulated
B. infantis	Blon_0070	6.05975117131203	8.20051802195809e-33	Upregulated
B. infantis	Blon_0309	12.3760948366543	8.25200227583561e-33	Upregulated
B. infantis	Blon_2062	11.4749673302876	4.75075126006431e-32	Upregulated
B. infantis	Blon_0170	11.1020625231594	1.45592147299252e-31	Upregulated
B. infantis	Blon_0260	11.8098819963559	1.62002251765042e-31	Upregulated
B. infantis	Blon_0029	8.32028717972568	4.4055244880835e-31	Upregulated
B. infantis	Blon_0307	13.440150680222	2.43125086660364e-30	Upregulated
E. coli	b2720	-4.27286348921782	2.70190152391008e-29	Downregulated
B. infantis	Blon_0900	13.1861295975138	2.8308761032477e-29	Upregulated
B. infantis	Blon_0417	13.6996215988898	1.51985734200766e-28	Upregulated
B. infantis	Blon_2233	9.18896070679907	4.22899211767e-28	Upregulated
B. infantis	Blon_2198	13.5423488613303	1.30592751090672e-27	Upregulated
B. infantis	Blon_1907	8.80760269446742	2.16396861561215e-27	Upregulated
B. infantis	Blon_0738	13.2812413306295	3.52645629611699e-27	Upregulated
B. infantis	Blon_2049	13.7203696217122	3.52645629611699e-27	Upregulated
B. infantis	Blon_1923	14.406014946738	4.2445262868397e-27	Upregulated
E. coli	b2039	-2.02014567671345	1.47518372424793e-26	Downregulated
B. infantis	Blon_1941	10.304223043289	9.11235618634286e-26	Upregulated
B. infantis	Blon_2134	10.959181536506	1.64496178577126e-25	Upregulated
B. infantis	Blon_0189	7.28909968919737	5.00831168486767e-25	Upregulated
B. infantis	Blon_0565	10.058971222389	6.07248328257983e-25	Upregulated
B. infantis	Blon_0612	17.603234671008	7.80986504957802e-25	Upregulated
B. infantis	Blon_0281	9.97908121222472	1.67961996802969e-24	Upregulated
E. coli	b2726	-3.70075075937135	2.31936854213022e-24	Downregulated
E. coli	b2721	-4.23444172685613	6.43741773636709e-24	Downregulated
B. infantis	Blon_2334	17.3314268882796	6.43741773636709e-24	Upregulated
E. coli	b4079	-3.94336521268677	6.9558067277876e-24	Downregulated
B. infantis	Blon_1095	17.1842118802439	6.97328980344059e-24	Upregulated
B. infantis	Blon_0308	12.3477717952173	6.97328980344059e-24	Upregulated
B. infantis	Blon_0904	9.74082699478597	7.7335154318492e-24	Upregulated
B. infantis	Blon_1147	5.46278248332349	3.2747753061101e-23	Upregulated
B. infantis	Blon_1922	17.3712820875539	5.86632110558786e-23	Upregulated
B. infantis	Blon_1893	12.3569308754583	1.31482536628998e-22	Upregulated
B. infantis	Blon_0259	11.9146931441013	1.68315707039488e-22	Upregulated
B. infantis	Blon_1836	16.1212386500101	4.18856938786663e-22	Upregulated
E. coli	b2723	-4.26181723435058	7.79887581176221e-22	Downregulated
B. breve	BBBR_1484	3.63575429855724	9.28890897640115e-22	Upregulated
B. infantis	Blon_0882	16.9561613772759	1.81715226240005e-21	Upregulated
B. infantis	Blon_0123	12.0065975415918	3.19279328017997e-21	Upregulated
B. infantis	Blon_0173	11.9613556824051	3.60675157920827e-21	Upregulated
B. infantis	Blon_2184	16.7997376247839	8.76821262729801e-21	Upregulated
B. infantis	Blon_0840	16.1417718162363	1.09036684462152e-20	Upregulated
B. infantis	Blon_1754	11.1640464515619	1.71967208672584e-20	Upregulated
B. infantis	Blon_1096	15.5347272052812	2.61968543998681e-20	Upregulated
B. infantis	Blon_1602	12.7463721065929	2.65813867076503e-20	Upregulated
B. infantis	Blon_2139	10.6500358008619	4.62957900855016e-20	Upregulated
B. infantis	Blon_1164	16.0165653109541	5.21466747388527e-20	Upregulated
B. infantis	Blon_0187	6.59826103842771	5.57483838805593e-20	Upregulated
E. coli	b4352	-2.89849924401597	5.6712236878864e-20	Downregulated
B. infantis	Blon_2469	15.6174121154207	1.04311699785729e-19	Upregulated
B. infantis	Blon_1745	16.3976274789869	1.12326626836163e-19	Upregulated
B. infantis	Blon_0355	15.9341013681179	1.46708119869683e-19	Upregulated
B. infantis	Blon_0102	15.4063831377723	1.48435315188636e-19	Upregulated
E. coli	b2722	-4.13609460048969	1.48547914310727e-19	Downregulated
B. infantis	Blon_2478	15.5654452471998	2.14549230075251e-19	Upregulated
B. infantis	Blon_2271	15.0681820557879	3.93665111824927e-19	Upregulated
B. infantis	Blon_0007	16.2393857394436	4.31420714104789e-19	Upregulated
B. infantis	Blon_0181	15.4778345043728	4.57878449161836e-19	Upregulated
B. infantis	Blon_2217	15.8816285713313	5.82389628451248e-19	Upregulated
B. infantis	Blon_0952	16.5026810771366	7.09109012892935e-19	Upregulated
B. infantis	Blon_2171	15.3456301056904	7.80104521270133e-19	Upregulated
B. infantis	Blon_0702	13.8096544365459	7.97238850584657e-19	Upregulated
B. infantis	Blon_2152	16.0326171085733	8.09718335186261e-19	Upregulated
B. infantis	Blon_1847	16.2090571741999	8.09718335186261e-19	Upregulated
B. infantis	Blon_0704	15.662974819233	1.17661046271343e-18	Upregulated
B. infantis	Blon_0191	15.3156145063725	1.63701813603478e-18	Upregulated
B. infantis	Blon_2078	15.7342539286585	1.65410158394752e-18	Upregulated
B. infantis	Blon_2328	15.1237118929169	1.76895743077483e-18	Upregulated
B. infantis	Blon_1259	15.2901126631654	2.18860084528622e-18	Upregulated
B. infantis	Blon_0275	16.0794057005306	2.2095926219017e-18	Upregulated
B. infantis	Blon_0420	16.1826312834581	2.41460565233983e-18	Upregulated
B. infantis	Blon_0951	15.0346222466707	3.76397602795644e-18	Upregulated
B. infantis	Blon_1154	8.44728076428738	4.00402665702846e-18	Upregulated
B. infantis	Blon_1761	16.099063013174	4.26865432915369e-18	Upregulated
B. infantis	Blon_2423	5.06489901401184	6.22930370367158e-18	Upregulated
B. infantis	Blon_0305	14.8687490353693	6.53397509282195e-18	Upregulated
B. infantis	Blon_0932	15.0196946117597	6.59124676519465e-18	Upregulated
B. infantis	Blon_0083	15.2143186653543	6.70655839969209e-18	Upregulated
B. infantis	Blon_1842	16.2410761760169	9.46984529140095e-18	Upregulated
B. infantis	Blon_0540	15.0655881537287	9.98010048752641e-18	Upregulated
B. infantis	Blon_1007	15.1017185966338	1.01194053858429e-17	Upregulated
B. infantis	Blon_2397	15.7003859171722	1.27418422026333e-17	Upregulated
B. infantis	Blon_0931	15.3002332521212	1.30236948866039e-17	Upregulated
B. breve	BBBR_0510	4.50662259549375	1.53807618298751e-17	Upregulated
B. infantis	Blon_0881	16.7690914230609	1.82723354785646e-17	Upregulated
B. breve	BBBR_0705	4.01379988781164	1.9178742142596e-17	Upregulated
E. coli	b3891	-2.00864203288037	1.97906180132797e-17	Downregulated
B. infantis	Blon_0694	13.92881794998	2.05426725347215e-17	Upregulated
B. infantis	Blon_2475	17.0437654266925	2.11860742189827e-17	Upregulated
B. infantis	Blon_1731	13.7366128329768	2.26360259153584e-17	Upregulated
B. infantis	Blon_0960	14.8321527191442	2.44052279046074e-17	Upregulated
B. infantis	Blon_1012	16.3994666030454	2.44052279046074e-17	Upregulated
B. infantis	Blon_0925	13.7876853011059	2.62548453543141e-17	Upregulated
B. infantis	Blon_1580	15.5920820341324	3.29991998653294e-17	Upregulated
