microorganism	locus_tag	log2FoldChange	padj	diffexpr
E. coli	b0411	-3.35871220640764	2.46368132714035e-43	Downregulated
B. thetaiotaomicron	BT_4295	8.13900133978176	2.95066182520748e-26	Upregulated
E. coli	b2803	5.72802986451333	2.959728475245e-24	Upregulated
E. coli	b0873	-2.77613363942779	3.67374272197093e-19	Downregulated
E. coli	b0898	-2.76785805185336	1.60901517421557e-18	Downregulated
E. coli	b1967	3.88098830603883	1.45875013005188e-17	Upregulated
B. thetaiotaomicron	BT_3789	8.71567835835845	5.6818327699217e-17	Upregulated
E. coli	b1722	-3.64127840357229	1.16025603718563e-16	Downregulated
E. coli	b2804	4.48803513267256	2.12376296878736e-16	Upregulated
E. coli	b2802	5.70964509386352	1.4465528934531e-15	Upregulated
E. coli	b4122	-2.21469243054433	2.97032610986843e-15	Downregulated
B. thetaiotaomicron	BT_3788	9.78928195183156	4.14163432931368e-14	Upregulated
E. coli	b0872	-2.64552545969675	4.14163432931368e-14	Downregulated
B. bifidum	BbifJCM1254_13340	-2.108557279621	7.69967599197587e-14	Downregulated
B. bifidum	BbifJCM1254_09020	-2.47604623045155	1.24063003240651e-13	Downregulated
E. coli	b1597	-2.23589836485261	5.03973745422722e-13	Downregulated
B. thetaiotaomicron	BT_3774	6.65327799140222	1.08436573089901e-12	Upregulated
B. bifidum	BbifJCM1254_13360	-3.28718660525431	1.1216257666093e-12	Downregulated
L. symbiosum	HMPREF9475_02232	-3.87172243338216	2.14342046393668e-12	Downregulated
E. coli	b2799	5.22821263760336	3.10051918446605e-12	Upregulated
B. thetaiotaomicron	BT_4135	12.4451568575403	4.45785030995837e-12	Upregulated
B. bifidum	BbifJCM1254_05300	-5.4807689361968	5.55118142940478e-12	Downregulated
B. thetaiotaomicron	BT_2626	8.92508054000395	6.45524416410141e-12	Upregulated
E. coli	b4484	2.98865598632581	1.30794052993527e-11	Upregulated
B. bifidum	BbifJCM1254_01140	-2.72131040380589	2.01249085378791e-11	Downregulated
E. coli	b2964	-3.23070759219425	2.10730853711495e-11	Downregulated
B. thetaiotaomicron	BT_3787	12.1817428507957	2.60998952239094e-11	Upregulated
B. thetaiotaomicron	BT_3792	8.01606707359498	2.64643332719298e-11	Upregulated
L. symbiosum	HMPREF9475_04142	-4.75413475369672	8.23236045226999e-11	Downregulated
B. thetaiotaomicron	BT_4296	12.7779408019952	1.00412891802627e-10	Upregulated
L. symbiosum	HMPREF9475_03712	-7.25918882683534	1.04330101241054e-10	Downregulated
B. bifidum	BbifJCM1254_06150	-2.77067537551204	2.105937685699e-10	Downregulated
B. thetaiotaomicron	BT_2486	5.56008792815772	2.44273904831734e-10	Upregulated
E. coli	b0485	3.75184154963613	2.73834879689317e-10	Upregulated
B. thetaiotaomicron	BT_2623	8.00177480767774	2.85384993211219e-10	Upregulated
B. bifidum	BbifJCM1254_09130	-2.3215128273692	3.00880599006919e-10	Downregulated
E. coli	b1747	5.01845450029648	4.29222119312789e-10	Upregulated
E. coli	b4123	-2.05918384841333	4.40328315362107e-10	Downregulated
E. coli	b0486	4.35155375312649	4.43128036334523e-10	Upregulated
B. bifidum	BbifJCM1254_17360	-2.19864924397839	4.48169999057937e-10	Downregulated
E. coli	b4359	-2.06498737779769	4.6504405480136e-10	Downregulated
B. thetaiotaomicron	BT_0565	-2.44144124319483	5.16180100775494e-10	Downregulated
E. coli	b2147	-3.32756485218638	5.38988679593132e-10	Downregulated
B. thetaiotaomicron	BT_3784	12.5620032793947	5.38988679593132e-10	Upregulated
E. coli	b4002	3.01173044460059	6.08796607378717e-10	Upregulated
E. coli	b1474	-2.71338366633916	6.68019949343348e-10	Downregulated
B. bifidum	BbifJCM1254_03690	-3.2153409147981	6.68019949343348e-10	Downregulated
L. symbiosum	HMPREF9475_00792	-7.40614898964372	7.1531214145548e-10	Downregulated
B. thetaiotaomicron	BT_4298	10.5200560839276	9.66438093181859e-10	Upregulated
E. coli	b3068	3.27633739936063	1.11804707888786e-09	Upregulated
B. bifidum	BbifJCM1254_11200	-2.53272765918357	1.26802233697864e-09	Downregulated
B. thetaiotaomicron	BT_0300	5.50169492778675	1.42928139461567e-09	Upregulated
B. thetaiotaomicron	BT_3791	9.81860852739283	1.59510681504284e-09	Upregulated
