microorganism	locus_tag	log2FoldChange	padj	diffexpr
B. infantis	Blon_2284	-11.1302665590669	1.87913829811566e-72	Downregulated
B. infantis	Blon_2270	-11.0754974468404	2.11184718172415e-65	Downregulated
B. infantis	Blon_1722	-9.68196285415516	1.68429395780529e-59	Downregulated
B. infantis	Blon_0900	-9.21173736335491	5.66483370697453e-57	Downregulated
B. infantis	Blon_0307	-8.55865340901185	1.91256870670378e-54	Downregulated
B. infantis	Blon_1087	-9.56125228730155	2.0517778809621e-54	Downregulated
B. infantis	Blon_0614	-8.66510357994819	9.48058220949183e-53	Downregulated
B. infantis	Blon_0612	-9.99563866975922	1.35511676378347e-52	Downregulated
B. infantis	Blon_0702	-6.9871286531237	7.79166475172549e-52	Downregulated
B. infantis	Blon_2334	-10.9278546037396	9.95995273501744e-52	Downregulated
B. infantis	Blon_1836	-9.48485188474911	4.60788418622578e-51	Downregulated
B. infantis	Blon_0922	-10.6649118737619	1.05867703094994e-47	Downregulated
B. infantis	Blon_0309	-9.83649987463022	1.95949480291817e-46	Downregulated
B. infantis	Blon_0417	-9.72858668987788	9.09445675540889e-45	Downregulated
B. infantis	Blon_0070	-8.56778023615542	3.75498847739542e-44	Downregulated
B. infantis	Blon_0260	-10.0016903797537	6.43525088507048e-44	Downregulated
B. infantis	Blon_2198	-10.884256904824	6.79905863550054e-44	Downregulated
B. infantis	Blon_1095	-8.94393395117388	2.40269662069441e-42	Downregulated
B. infantis	Blon_0738	-11.2612838754199	1.68107055429858e-41	Downregulated
B. infantis	Blon_2049	-10.7313774053131	8.09740141786762e-41	Downregulated
B. infantis	Blon_1715	-10.7207076735846	9.35355198818598e-41	Downregulated
B. infantis	Blon_0925	-10.161914132737	3.41252639319378e-40	Downregulated
B. thetaiotaomicron	BT_4295	9.3260476763972	5.48592471290634e-40	Upregulated
B. infantis	Blon_0840	-8.98577966916589	1.99860755234262e-38	Downregulated
B. infantis	Blon_0170	-8.92575491367452	7.67724426962259e-38	Downregulated
B. infantis	Blon_1164	-9.89804563029812	2.19014460458232e-37	Downregulated
B. infantis	Blon_0308	-9.01903860217555	2.19014460458232e-37	Downregulated
