microorganism	locus_tag	log2FoldChange	padj	diffexpr
B. bifidum	BbifJCM1254_13340	-4.13932148876964	3.36639877220379e-56	Downregulated
B. bifidum	BbifJCM1254_17360	-4.90991770067325	3.23063828897152e-52	Downregulated
B. bifidum	BbifJCM1254_09610	-3.93150727860502	4.66340821172262e-50	Downregulated
B. bifidum	BbifJCM1254_07740	-5.75176162178008	3.79789027176196e-46	Downregulated
B. bifidum	BbifJCM1254_02840	-4.38002372557651	3.79789027176196e-46	Downregulated
B. bifidum	BbifJCM1254_14710	-5.54307245124811	3.79789027176196e-46	Downregulated
B. bifidum	BbifJCM1254_08470	-5.12907705673693	4.92368449122737e-46	Downregulated
B. bifidum	BbifJCM1254_08040	-5.61809476423358	1.5143560761059e-44	Downregulated
B. bifidum	BbifJCM1254_03330	-4.95500087577578	3.26132556600522e-43	Downregulated
B. bifidum	BbifJCM1254_14660	-3.75358484522633	3.26132556600522e-43	Downregulated
B. bifidum	BbifJCM1254_17780	-4.82868905534116	2.77266587108769e-41	Downregulated
B. bifidum	BbifJCM1254_17680	-5.51286991081497	6.27077564242588e-41	Downregulated
B. bifidum	BbifJCM1254_05080	-5.40529071146983	1.03075425216768e-40	Downregulated
B. bifidum	BbifJCM1254_02860	-4.90780004730479	1.34554859382101e-40	Downregulated
B. bifidum	BbifJCM1254_17750	-4.70575039653833	2.28506417760156e-40	Downregulated
E. coli	b3833	2.12943251079003	3.85938564598044e-40	Upregulated
B. bifidum	BbifJCM1254_05750	-3.86364495770979	7.65970096361619e-40	Downregulated
B. bifidum	BbifJCM1254_01140	-4.7132587103599	1.17315836745124e-39	Downregulated
E. coli	b4147	3.72451311928159	1.44575292897441e-39	Upregulated
B. bifidum	BbifJCM1254_14670	-3.85941680264031	9.55319271361788e-39	Downregulated
B. bifidum	BbifJCM1254_05760	-4.18566364925615	1.10718945450445e-38	Downregulated
B. bifidum	BbifJCM1254_12000	-4.82943681503393	1.57528175932368e-38	Downregulated
B. bifidum	BbifJCM1254_12100	-4.42133767375533	1.57528175932368e-38	Downregulated
B. bifidum	BbifJCM1254_06150	-5.00938361592197	7.00020028203761e-38	Downregulated
E. coli	b2296	2.4944632045285	1.66216461939933e-37	Upregulated
B. bifidum	BbifJCM1254_09020	-3.93781604050645	2.61712357442486e-37	Downregulated
E. coli	b0926	3.42350062612347	4.92659251514895e-37	Upregulated
