microorganism	locus_tag	log2FoldChange	padj	diffexpr
B. bifidum	BbifJCM1254_13340	-5.78089985201111	1.23299087073667e-112	Downregulated
B. bifidum	BbifJCM1254_09610	-5.55123777503835	2.60838684371076e-105	Downregulated
B. bifidum	BbifJCM1254_09020	-5.82077719106193	9.00100993412687e-84	Downregulated
B. bifidum	BbifJCM1254_14660	-5.11045826741492	9.56003752689426e-83	Downregulated
B. bifidum	BbifJCM1254_14670	-5.51543779943384	2.3979139744331e-81	Downregulated
B. bifidum	BbifJCM1254_05750	-5.47311358316623	2.3979139744331e-81	Downregulated
B. bifidum	BbifJCM1254_01140	-6.46086445285669	9.82492357694809e-79	Downregulated
B. bifidum	BbifJCM1254_17360	-5.9625300421783	9.82492357694809e-79	Downregulated
B. bifidum	BbifJCM1254_02840	-5.59787446211203	1.65888430803788e-77	Downregulated
B. bifidum	BbifJCM1254_09160	-5.49931144638701	2.50243845955523e-77	Downregulated
B. bifidum	BbifJCM1254_09130	-5.86104389947282	8.86112000464483e-76	Downregulated
B. bifidum	BbifJCM1254_05760	-5.75432756989685	2.90142707864476e-74	Downregulated
B. bifidum	BbifJCM1254_08470	-6.40367120520899	3.10155086154527e-74	Downregulated
B. bifidum	BbifJCM1254_12100	-5.94519909974923	2.71734831403082e-72	Downregulated
B. bifidum	BbifJCM1254_12670	-5.22169152662236	3.56986245855895e-70	Downregulated
B. bifidum	BbifJCM1254_07740	-6.94191940262124	4.55499219500565e-69	Downregulated
B. bifidum	BbifJCM1254_08040	-6.83686699640925	3.48827573419819e-68	Downregulated
B. bifidum	BbifJCM1254_06150	-6.54435579953166	1.34127895556246e-66	Downregulated
B. bifidum	BbifJCM1254_17930	-5.4782732609716	1.27967233007983e-64	Downregulated
B. bifidum	BbifJCM1254_10410	-5.95444994733392	1.30743198070287e-63	Downregulated
B. bifidum	BbifJCM1254_17780	-5.89368809897465	6.62884327487479e-63	Downregulated
B. bifidum	BbifJCM1254_14710	-6.36711602170358	7.82382716862243e-63	Downregulated
B. bifidum	BbifJCM1254_02800	-5.62869462193891	1.141669171555e-61	Downregulated
B. bifidum	BbifJCM1254_09040	-5.83012083203848	2.53419689952348e-61	Downregulated
B. bifidum	BbifJCM1254_12000	-5.99702871167018	3.34902167523975e-61	Downregulated
B. bifidum	BbifJCM1254_03330	-5.79464933785943	1.43228934064713e-60	Downregulated
B. bifidum	BbifJCM1254_14650	-6.39826850297933	3.13011045655262e-60	Downregulated
B. bifidum	BbifJCM1254_17750	-5.66171411149389	1.69006412161869e-59	Downregulated
B. bifidum	BbifJCM1254_08900	-5.39734868903885	2.34267877889135e-59	Downregulated
B. bifidum	BbifJCM1254_13360	-6.70509992216749	6.84276669960202e-59	Downregulated
B. bifidum	BbifJCM1254_02610	-4.95224052637024	4.38852362481613e-58	Downregulated
B. bifidum	BbifJCM1254_02860	-5.78970766883298	5.69995991274263e-58	Downregulated
B. bifidum	BbifJCM1254_17680	-6.38708069296483	9.60369250952252e-57	Downregulated
B. bifidum	BbifJCM1254_11200	-5.78625090071682	3.78019963071157e-56	Downregulated
B. bifidum	BbifJCM1254_08460	-6.16145787325286	3.92436414304061e-56	Downregulated
B. bifidum	BbifJCM1254_05080	-6.26321942155012	1.01303221187737e-55	Downregulated
B. bifidum	BbifJCM1254_08990	-5.79156927762615	7.81501269633966e-55	Downregulated
B. bifidum	BbifJCM1254_09230	-5.46017924926303	3.00450120278868e-54	Downregulated
B. bifidum	BbifJCM1254_12150	-5.49716581830729	4.4957889265214e-54	Downregulated
B. bifidum	BbifJCM1254_03690	-7.1844558998675	1.94701738328042e-53	Downregulated
B. bifidum	BbifJCM1254_01660	-5.09541373390072	4.16819218196554e-52	Downregulated
B. bifidum	BbifJCM1254_07040	-6.75917542004408	3.51417889573846e-51	Downregulated
B. bifidum	BbifJCM1254_06730	-5.91789463941495	4.50567403639031e-51	Downregulated
B. bifidum	BbifJCM1254_01650	-5.27590308583938	6.24417382524183e-51	Downregulated
B. bifidum	BbifJCM1254_16920	-6.13698231525966	7.20975573732332e-51	Downregulated
B. bifidum	BbifJCM1254_09050	-5.40449443016345	7.56531951824189e-51	Downregulated
B. bifidum	BbifJCM1254_07580	-4.69919227378932	1.20673396227119e-50	Downregulated
B. bifidum	BbifJCM1254_08750	-6.45610093434762	1.88021683215663e-50	Downregulated
B. bifidum	BbifJCM1254_07730	-7.10192786455318	1.88021683215663e-50	Downregulated
B. bifidum	BbifJCM1254_09240	-5.26820647699979	2.17821606420305e-50	Downregulated
B. bifidum	BbifJCM1254_11540	-6.4106037331345	6.44487441197594e-49	Downregulated
B. bifidum	BbifJCM1254_09140	-5.18564641311634	2.53862450089686e-48	Downregulated
B. bifidum	BbifJCM1254_17340	-6.7204704175424	9.22121199587999e-48	Downregulated
B. bifidum	BbifJCM1254_11990	-5.62368500562844	1.08674160781658e-47	Downregulated
B. bifidum	BbifJCM1254_06810	-5.90086642242808	1.17862580406287e-47	Downregulated
B. bifidum	BbifJCM1254_03510	-6.51312055267478	2.63379788291563e-47	Downregulated
B. bifidum	BbifJCM1254_12080	-6.04199316680331	3.04657519344182e-47	Downregulated
B. bifidum	BbifJCM1254_15280	-6.27506231760607	3.14034721589598e-47	Downregulated
B. bifidum	BbifJCM1254_08660	-5.64735093183442	3.41935994663386e-47	Downregulated
B. bifidum	BbifJCM1254_09200	-6.13706407579398	6.47233299595076e-47	Downregulated
B. bifidum	BbifJCM1254_10270	-6.12982429863185	1.08656154069545e-46	Downregulated
B. bifidum	BbifJCM1254_08740	-5.72003010093577	2.77932976696408e-46	Downregulated
B. bifidum	BbifJCM1254_09990	-5.7983640816712	1.37817041832617e-44	Downregulated
B. bifidum	BbifJCM1254_00170	-6.19108335552755	1.40004703143401e-44	Downregulated
B. bifidum	BbifJCM1254_16000	-5.87307710509728	5.15855435095758e-44	Downregulated
B. bifidum	BbifJCM1254_13420	-6.52773921602281	5.48371654203795e-44	Downregulated
B. bifidum	BbifJCM1254_11330	-6.01222489073278	1.9786681288409e-43	Downregulated
B. bifidum	BbifJCM1254_13290	-5.98927742509539	2.26984129379366e-43	Downregulated
B. bifidum	BbifJCM1254_07870	-5.99892351272115	4.56162581551714e-43	Downregulated
B. bifidum	BbifJCM1254_05150	-6.08932513707039	4.56162581551714e-43	Downregulated
B. bifidum	BbifJCM1254_13540	-5.73390926923982	7.29087437554149e-43	Downregulated
B. bifidum	BbifJCM1254_15630	-5.54460447816322	1.05389771823976e-42	Downregulated
B. bifidum	BbifJCM1254_14930	-5.09377149265376	1.14057282061967e-42	Downregulated
B. bifidum	BbifJCM1254_03730	-7.10876830760967	6.2861524979353e-42	Downregulated
B. bifidum	BbifJCM1254_08650	-5.89327321538851	9.04275030169175e-42	Downregulated
B. bifidum	BbifJCM1254_17670	-6.83065060395779	1.02063866561655e-41	Downregulated
B. bifidum	BbifJCM1254_09030	-5.64162377464108	1.55022982097782e-41	Downregulated
B. bifidum	BbifJCM1254_14840	-5.32911634558238	3.75464210561694e-41	Downregulated
B. bifidum	BbifJCM1254_09110	-5.28702038096408	7.20325549092955e-41	Downregulated
B. bifidum	BbifJCM1254_17940	-5.82164331769967	9.99587820143468e-41	Downregulated
B. bifidum	BbifJCM1254_03950	-6.51852672566216	1.62381379685609e-40	Downregulated
B. bifidum	BbifJCM1254_05560	-4.94549852624942	1.70815500924081e-40	Downregulated
B. bifidum	BbifJCM1254_09090	-5.62822261220978	3.95391780621473e-40	Downregulated
B. bifidum	BbifJCM1254_03700	-6.18738236226743	4.50891989475388e-40	Downregulated
B. bifidum	BbifJCM1254_02260	-6.73081186386673	7.27358301638228e-40	Downregulated
B. bifidum	BbifJCM1254_04030	-6.42350431729851	7.608083472307e-40	Downregulated
B. bifidum	BbifJCM1254_08910	-5.51875576644757	9.26867707152433e-40	Downregulated
B. bifidum	BbifJCM1254_09570	-5.89157318637537	9.95612911254948e-40	Downregulated
B. bifidum	BbifJCM1254_04980	-6.10500544853194	1.23348687772019e-39	Downregulated
B. bifidum	BbifJCM1254_07980	-5.95898084864964	1.53000889825954e-39	Downregulated
B. bifidum	BbifJCM1254_15210	-5.62494162319373	2.17419045518623e-39	Downregulated
B. bifidum	BbifJCM1254_07720	-6.19191459440319	2.97737548088136e-39	Downregulated
B. bifidum	BbifJCM1254_09180	-5.97484302823609	5.83900567037472e-39	Downregulated
B. bifidum	BbifJCM1254_11410	-5.92078792200347	1.70981143914808e-38	Downregulated
E. coli	b3923	-3.69393563545202	2.73216050107637e-38	Downregulated
B. bifidum	BbifJCM1254_03280	-5.68459404573805	5.12585071240646e-38	Downregulated
B. bifidum	BbifJCM1254_08030	-5.66446037528935	5.19659777433878e-38	Downregulated
B. bifidum	BbifJCM1254_13130	-5.87396874693693	5.89597097130287e-38	Downregulated
B. bifidum	BbifJCM1254_09220	-5.45298944565424	6.89958334550532e-38	Downregulated
B. bifidum	BbifJCM1254_05230	-5.84426226451416	1.59984742662589e-37	Downregulated
B. bifidum	BbifJCM1254_06740	-6.26525689407877	2.5253185147847e-37	Downregulated
B. bifidum	BbifJCM1254_10160	-5.31607434007587	4.79332159491018e-37	Downregulated
B. bifidum	BbifJCM1254_14630	-5.91045224775281	6.44090877884314e-37	Downregulated
B. bifidum	BbifJCM1254_15550	-6.26522698095694	6.96648737776462e-37	Downregulated
B. bifidum	BbifJCM1254_10150	-5.15508686424607	8.43044530383119e-37	Downregulated
B. bifidum	BbifJCM1254_16190	-5.28815516717358	9.56964349369287e-37	Downregulated
B. bifidum	BbifJCM1254_01100	-5.60140319372748	1.01426081115042e-36	Downregulated
B. bifidum	BbifJCM1254_15690	-6.21307752076347	1.54281777347006e-36	Downregulated
B. bifidum	BbifJCM1254_09100	-5.42566957079323	2.17492590628059e-36	Downregulated
B. bifidum	BbifJCM1254_14530	-6.66926871214887	2.25486664264474e-36	Downregulated
B. bifidum	BbifJCM1254_05060	-6.73502839706845	2.64849605562177e-36	Downregulated
B. bifidum	BbifJCM1254_03980	-5.93840212640427	4.14108892697702e-36	Downregulated
B. bifidum	BbifJCM1254_11300	-6.8280611256141	5.46042044679293e-36	Downregulated
B. bifidum	BbifJCM1254_17440	-4.78371562704617	1.72953243547811e-35	Downregulated
B. bifidum	BbifJCM1254_06310	-5.75752674566855	1.85902432372858e-35	Downregulated
B. bifidum	BbifJCM1254_09190	-5.83231486973103	3.69783821075178e-35	Downregulated
B. bifidum	BbifJCM1254_01010	-5.47168658906218	1.49343903689605e-34	Downregulated
B. bifidum	BbifJCM1254_01430	-7.79630815978796	1.93538489220044e-34	Downregulated
B. bifidum	BbifJCM1254_15000	-5.51606103771428	2.46271169100914e-34	Downregulated
B. bifidum	BbifJCM1254_11230	-6.42800278096654	3.58376656498832e-34	Downregulated
B. bifidum	BbifJCM1254_05570	-5.12934207927394	3.58376656498832e-34	Downregulated
B. bifidum	BbifJCM1254_06720	-5.24363021681713	4.13402593387908e-34	Downregulated
B. bifidum	BbifJCM1254_15410	-7.33192684916884	4.14559863086484e-34	Downregulated
B. bifidum	BbifJCM1254_08060	-5.72097896772345	4.46718163971453e-34	Downregulated
E. coli	b2803	6.91629344281991	4.60653320750631e-34	Upregulated
B. bifidum	BbifJCM1254_00810	-6.06580506802099	5.09278555784728e-34	Downregulated
B. bifidum	BbifJCM1254_15790	-5.48705112640741	5.50200731602235e-34	Downregulated
L. symbiosum	HMPREF9475_02251	-5.71696953799013	5.85190366679994e-34	Downregulated
B. bifidum	BbifJCM1254_12610	-5.84443066704963	6.5863303268934e-34	Downregulated
B. bifidum	BbifJCM1254_09550	-5.41503423162112	9.80827284577085e-34	Downregulated
B. bifidum	BbifJCM1254_10340	-6.42848137958646	1.02812697676717e-33	Downregulated
B. bifidum	BbifJCM1254_15900	-5.83661396724762	1.16270838329555e-33	Downregulated
B. bifidum	BbifJCM1254_08070	-6.25561339853849	1.55264387188124e-33	Downregulated
