microorganism	locus_tag	log2FoldChange	padj	diffexpr
B. bifidum	BbifJCM1254_13340	-5.21575755683696	1.83689380041433e-91	Downregulated
B. bifidum	BbifJCM1254_09610	-4.40466311295899	1.5516865225402e-65	Downregulated
B. bifidum	BbifJCM1254_01140	-5.90465338879913	2.09599436359711e-65	Downregulated
B. bifidum	BbifJCM1254_08470	-6.00487337266209	6.8355171040432e-65	Downregulated
B. bifidum	BbifJCM1254_09020	-5.10629763503014	1.84001476440407e-64	Downregulated
B. bifidum	BbifJCM1254_02840	-5.06822926592892	2.45680990848553e-63	Downregulated
B. bifidum	BbifJCM1254_14660	-4.453513798407	6.56368883987291e-63	Downregulated
B. bifidum	BbifJCM1254_12100	-5.36538768502973	1.16362808378289e-58	Downregulated
B. bifidum	BbifJCM1254_14670	-4.61133600224753	9.7088905270692e-57	Downregulated
B. bifidum	BbifJCM1254_09160	-4.71408487415365	1.18681451936164e-56	Downregulated
B. bifidum	BbifJCM1254_05760	-5.00738527254384	4.55811250660299e-56	Downregulated
B. bifidum	BbifJCM1254_07740	-6.19027281000333	1.02077893744969e-54	Downregulated
B. bifidum	BbifJCM1254_09130	-4.93959250023986	1.18917962136919e-53	Downregulated
B. bifidum	BbifJCM1254_06150	-5.86092040621089	2.84361314610987e-53	Downregulated
B. bifidum	BbifJCM1254_17360	-4.9029843609267	3.17378266876437e-53	Downregulated
B. bifidum	BbifJCM1254_12000	-5.56946043931301	9.99776242730255e-53	Downregulated
B. bifidum	BbifJCM1254_05750	-4.3762048026988	4.59766397310676e-52	Downregulated
B. bifidum	BbifJCM1254_08040	-5.96509779680007	8.4741549194966e-52	Downregulated
B. bifidum	BbifJCM1254_17750	-5.22645909828309	1.42315168222117e-50	Downregulated
B. bifidum	BbifJCM1254_17780	-5.19878888673562	7.15687756130326e-49	Downregulated
B. bifidum	BbifJCM1254_12670	-4.34913645087522	1.37154142840475e-48	Downregulated
B. bifidum	BbifJCM1254_02800	-4.99139655360716	2.03459568204959e-48	Downregulated
B. bifidum	BbifJCM1254_03690	-6.73323445569114	9.71625572218336e-47	Downregulated
B. bifidum	BbifJCM1254_09040	-5.05104857107509	5.78306494085589e-46	Downregulated
B. bifidum	BbifJCM1254_11200	-5.21713515356805	1.42152254139689e-45	Downregulated
B. bifidum	BbifJCM1254_13360	-5.89962356998801	1.75047189259859e-45	Downregulated
B. bifidum	BbifJCM1254_08990	-5.26710123732405	3.496317075713e-45	Downregulated
B. bifidum	BbifJCM1254_05080	-5.61723463924008	1.03836384642558e-44	Downregulated
B. bifidum	BbifJCM1254_14650	-5.47796597585587	4.70297262788245e-44	Downregulated
B. bifidum	BbifJCM1254_17930	-4.51889616344062	5.56052714255204e-44	Downregulated
B. bifidum	BbifJCM1254_08900	-4.6120291522127	2.65128988331381e-43	Downregulated
B. bifidum	BbifJCM1254_09230	-4.81016073061906	4.68340045301033e-42	Downregulated
B. bifidum	BbifJCM1254_12150	-4.80237549855813	3.51868500202207e-41	Downregulated
B. bifidum	BbifJCM1254_14710	-5.14560713825185	6.51964879734009e-41	Downregulated
B. bifidum	BbifJCM1254_09240	-4.71364655328533	3.19470703484061e-40	Downregulated
B. bifidum	BbifJCM1254_09200	-5.67609693152629	4.8367764237469e-40	Downregulated
B. bifidum	BbifJCM1254_01650	-4.67430527095872	6.11275072296751e-40	Downregulated
B. bifidum	BbifJCM1254_10270	-5.63121589181628	2.6578579692867e-39	Downregulated
B. bifidum	BbifJCM1254_07730	-6.25490871001412	5.1038578377191e-39	Downregulated
B. bifidum	BbifJCM1254_09050	-4.7222473145972	9.38785678201702e-39	Downregulated
B. bifidum	BbifJCM1254_17680	-5.24067664440003	3.99122520520394e-38	Downregulated
B. bifidum	BbifJCM1254_01660	-4.35231781427472	5.33639843686399e-38	Downregulated
B. bifidum	BbifJCM1254_09140	-4.57666227976068	1.37161170816884e-37	Downregulated
B. bifidum	BbifJCM1254_02860	-4.63700684487539	3.9714984354328e-37	Downregulated
B. bifidum	BbifJCM1254_10410	-4.5480217281121	6.16774301421167e-37	Downregulated
B. bifidum	BbifJCM1254_15280	-5.55481153474791	6.16774301421167e-37	Downregulated
B. bifidum	BbifJCM1254_06810	-5.19808556140162	6.34716250161348e-37	Downregulated
B. bifidum	BbifJCM1254_03330	-4.52273604259748	6.70712150010179e-37	Downregulated
B. bifidum	BbifJCM1254_11990	-4.92629017435455	1.36737815022551e-36	Downregulated
B. bifidum	BbifJCM1254_03510	-5.7267184661748	1.5580864620154e-36	Downregulated
B. bifidum	BbifJCM1254_16920	-5.19941185056032	1.61399274843333e-36	Downregulated
