microorganism	locus_tag	log2FoldChange	padj	diffexpr
E. coli	b2092	4.75175774686719	6.70681559716933e-41	Upregulated
B. bifidum	BbifJCM1254_13340	-3.3633176761927	4.2542735395286e-37	Downregulated
B. thetaiotaomicron	BT_4295	8.25839764027822	4.95098814716084e-32	Upregulated
E. coli	b2095	3.98973085905584	1.27460797938885e-31	Upregulated
E. coli	b2091	4.95810934040765	2.978606208206e-31	Upregulated
E. coli	b2803	6.06529475871397	9.34257615425509e-29	Upregulated
B. bifidum	BbifJCM1254_09020	-3.38037178958452	1.98846498632445e-27	Downregulated
B. bifidum	BbifJCM1254_09160	-3.26652096222064	1.87243019369922e-26	Downregulated
B. thetaiotaomicron	BT_1072	-5.84441486075942	1.52234206043624e-25	Downregulated
B. bifidum	BbifJCM1254_09130	-3.4343143704688	3.88245054682603e-25	Downregulated
E. coli	b2093	4.59533291378253	2.56680859751614e-24	Upregulated
B. thetaiotaomicron	BT_3787	7.97936432857773	1.70884548171113e-23	Upregulated
B. bifidum	BbifJCM1254_07740	-4.0133217959594	2.35103595948562e-22	Downregulated
E. coli	b3923	-2.82749421757297	1.06677515210527e-21	Downregulated
B. bifidum	BbifJCM1254_14660	-2.6455462142417	1.45821187971319e-21	Downregulated
P. acidilactici	HN015_06870	-4.70432100968631	1.47082377592571e-21	Downregulated
B. bifidum	BbifJCM1254_03690	-4.56825001487214	4.7564493429662e-21	Downregulated
B. bifidum	BbifJCM1254_12100	-3.2714125935736	4.7564493429662e-21	Downregulated
B. bifidum	BbifJCM1254_07730	-4.63552648890894	6.28167510798105e-21	Downregulated
B. thetaiotaomicron	BT_3789	6.83089228958554	6.74819005528385e-21	Upregulated
B. infantis	Blon_0141	6.93010979438179	1.19099019272034e-20	Upregulated
P. acidilactici	HN015_09970	-4.8502400275141	1.39079854249087e-20	Downregulated
B. thetaiotaomicron	BT_1073	-5.40723248791611	1.39079854249087e-20	Downregulated
B. thetaiotaomicron	BT_4135	5.96008650946829	1.49411158539076e-20	Upregulated
B. bifidum	BbifJCM1254_14670	-2.80565558973288	1.54324297401813e-20	Downregulated
B. bifidum	BbifJCM1254_09610	-2.50057038331444	1.94251563586927e-20	Downregulated
B. bifidum	BbifJCM1254_05750	-2.75190672760073	3.221021457637e-20	Downregulated
P. acidilactici	HN015_09210	-5.6751771247806	3.47945677364873e-20	Downregulated
E. coli	b2096	3.40065837301047	3.48004096457491e-20	Upregulated
B. thetaiotaomicron	BT_3791	6.49162177012861	7.35597499068798e-20	Upregulated
B. bifidum	BbifJCM1254_08470	-3.33745391792581	1.85354831491188e-19	Downregulated
E. coli	b3604	4.08245054506289	1.93206151893517e-19	Upregulated
B. thetaiotaomicron	BT_3737	-5.8738507909381	2.99869570707194e-19	Downregulated
P. acidilactici	HN015_07100	-4.31430278144751	4.76793472900056e-19	Downregulated
B. bifidum	BbifJCM1254_09040	-3.30565072550542	4.76793472900056e-19	Downregulated
E. coli	b1415	5.98178946947689	8.46448614177541e-19	Upregulated
B. bifidum	BbifJCM1254_01140	-3.23519494688108	9.39259074665122e-19	Downregulated
B. bifidum	BbifJCM1254_02800	-3.10958980890604	1.16254967494357e-18	Downregulated
P. acidilactici	HN015_02120	-3.52812030739986	1.34651368019496e-18	Downregulated
B. bifidum	BbifJCM1254_09140	-3.20648315190773	3.4756355781377e-18	Downregulated
B. bifidum	BbifJCM1254_02840	-2.73818625126569	3.6456854501404e-18	Downregulated
P. acidilactici	HN015_06735	-4.30272001168867	5.07954341859812e-18	Downregulated
B. bifidum	BbifJCM1254_05760	-2.82983950346976	1.00137111735285e-17	Downregulated
B. thetaiotaomicron	BT_0924	-4.59012147504739	1.03702233073833e-17	Downregulated
E. coli	b3471	-3.02769803251696	1.19106625686988e-17	Downregulated
P. acidilactici	HN015_06940	-5.09343969481439	1.27532593039041e-17	Downregulated
E. coli	b3922	-3.01046207664682	1.663467888978e-17	Downregulated
E. coli	b2802	5.91377311620057	1.70804245992051e-17	Upregulated
B. bifidum	BbifJCM1254_17360	-2.81141726889782	2.27519049330229e-17	Downregulated
P. acidilactici	HN015_07500	-4.63881723494014	2.47705638677469e-17	Downregulated
E. coli	b2804	4.33610999225466	2.53329855019122e-17	Upregulated
B. bifidum	BbifJCM1254_09050	-3.11483498868704	1.0839127690617e-16	Downregulated
B. bifidum	BbifJCM1254_06150	-3.32258814555787	1.10647455057878e-16	Downregulated
B. thetaiotaomicron	BT_0565	-3.11328701209524	1.33677913253965e-16	Downregulated
P. acidilactici	HN015_02220	-5.8063813510077	1.70182381205226e-16	Downregulated
B. bifidum	BbifJCM1254_17930	-2.77852329380402	2.17256337429604e-16	Downregulated
B. bifidum	BbifJCM1254_12000	-3.12928657484234	3.30263413315698e-16	Downregulated
B. thetaiotaomicron	BT_2267	-5.3684596590046	4.27002803367484e-16	Downregulated
B. bifidum	BbifJCM1254_07720	-3.9726391058538	4.73947610210949e-16	Downregulated
B. bifidum	BbifJCM1254_13360	-3.50958168164296	9.17960389857167e-16	Downregulated
P. acidilactici	HN015_00030	-4.30591520161512	9.23112464436557e-16	Downregulated
B. thetaiotaomicron	BT_4296	8.48256374168025	1.50167368510582e-15	Upregulated
B. thetaiotaomicron	BT_3788	7.35872793736843	2.43899893587816e-15	Upregulated
B. thetaiotaomicron	BT_0656	-5.36471799794083	3.86932720165256e-15	Downregulated
B. bifidum	BbifJCM1254_17780	-2.90089951363337	4.70919064116478e-15	Downregulated
P. acidilactici	HN015_06140	-4.33868488809194	4.97380943252526e-15	Downregulated
B. thetaiotaomicron	BT_2629	6.88231412876557	5.17631956901439e-15	Upregulated
B. bifidum	BbifJCM1254_09990	-3.38551484596891	6.1344870934247e-15	Downregulated
B. bifidum	BbifJCM1254_17750	-2.84026133715837	7.15540176414283e-15	Downregulated
P. acidilactici	HN015_08605	-5.44964529802189	1.30751074386389e-14	Downregulated
P. acidilactici	HN015_01535	-4.07637365624304	1.32340626269187e-14	Downregulated
B. bifidum	BbifJCM1254_15280	-3.50173661142996	1.51676967722987e-14	Downregulated
B. bifidum	BbifJCM1254_03510	-3.64281045919795	1.53609748158641e-14	Downregulated
P. acidilactici	HN015_06605	-5.10585540393752	1.57389596016037e-14	Downregulated
B. bifidum	BbifJCM1254_09100	-3.42678339147152	2.6783435139329e-14	Downregulated
E. coli	b3670	3.46574819557531	2.75183154443839e-14	Upregulated
E. coli	b4142	-4.26715477392459	2.79184747042894e-14	Downregulated
P. acidilactici	HN015_02105	-4.18242338434321	3.18073561443226e-14	Downregulated
B. bifidum	BbifJCM1254_09230	-2.81912026253807	3.19330146795986e-14	Downregulated
B. bifidum	BbifJCM1254_08990	-2.9636278645821	3.55463446130474e-14	Downregulated
P. acidilactici	HN015_08135	-4.49691153617576	3.57806404030964e-14	Downregulated
B. thetaiotaomicron	BT_0541	-3.71078242595474	3.78067613414169e-14	Downregulated
B. bifidum	BbifJCM1254_11200	-2.92256200617704	4.48752668075021e-14	Downregulated
P. acidilactici	HN015_06260	-4.97065280429054	4.92558522178839e-14	Downregulated
B. bifidum	BbifJCM1254_05080	-3.14657163106599	5.26216244075793e-14	Downregulated
P. acidilactici	HN015_01015	-4.2106655241654	5.88830788901369e-14	Downregulated
B. bifidum	BbifJCM1254_08040	-3.13842445575993	7.11547269740232e-14	Downregulated
B. thetaiotaomicron	BT_4136	7.08884351040776	8.5154295969463e-14	Upregulated
B. thetaiotaomicron	BT_3792	6.86222159624414	8.5154295969463e-14	Upregulated
P. acidilactici	HN015_07225	-5.34760050332127	1.06747424630261e-13	Downregulated
P. acidilactici	HN015_01975	-4.75287409706917	1.22627355672593e-13	Downregulated
P. acidilactici	HN015_00255	-7.21769566315358	1.27680818439793e-13	Downregulated
B. bifidum	BbifJCM1254_09110	-3.05807408680489	1.38533528219649e-13	Downregulated
B. thetaiotaomicron	BT_4690	-4.48258495096266	1.42020861083626e-13	Downregulated
B. bifidum	BbifJCM1254_08900	-2.57339322623883	1.7968208929037e-13	Downregulated
P. acidilactici	HN015_08590	-5.6417594626653	1.83494568857049e-13	Downregulated
P. acidilactici	HN015_04155	-4.89529697715046	1.8810522101141e-13	Downregulated
E. coli	b0267	-2.846537590495	2.25033977299324e-13	Downregulated
B. bifidum	BbifJCM1254_02260	-3.88974341529809	2.25202927874244e-13	Downregulated
P. acidilactici	HN015_08450	-4.06352176472446	2.5049479146757e-13	Downregulated
B. thetaiotaomicron	BT_3958	7.65258549565519	2.5049479146757e-13	Upregulated
B. thetaiotaomicron	BT_3790	7.31868214169104	2.5049479146757e-13	Upregulated
B. bifidum	BbifJCM1254_09200	-3.28851234332164	3.10872032085555e-13	Downregulated
B. bifidum	BbifJCM1254_09030	-3.18371640103083	3.78315389774242e-13	Downregulated
B. bifidum	BbifJCM1254_09240	-2.69004094272596	3.78315389774242e-13	Downregulated
P. acidilactici	HN015_06665	-4.37289759089519	3.79597210057191e-13	Downregulated
B. thetaiotaomicron	BT_4134	7.26518748358166	4.72709647359356e-13	Upregulated
E. coli	b0607	-2.2527883540731	5.91801933449538e-13	Downregulated
B. bifidum	BbifJCM1254_17670	-3.84721825310457	5.99448161635384e-13	Downregulated
B. thetaiotaomicron	BT_1268	-4.56915135618781	6.47673214210644e-13	Downregulated
B. bifidum	BbifJCM1254_16000	-3.21227476253603	6.92675025155173e-13	Downregulated
P. acidilactici	HN015_00010	-4.89447117658604	7.59370197989102e-13	Downregulated
P. acidilactici	HN015_01845	-4.88072458315668	8.24744486169223e-13	Downregulated
P. acidilactici	HN015_07220	-5.11009575179966	9.19675244911e-13	Downregulated
B. bifidum	BbifJCM1254_14710	-2.91080497786368	9.19859552793614e-13	Downregulated
B. bifidum	BbifJCM1254_10270	-3.20970587784031	1.19675241965959e-12	Downregulated
B. thetaiotaomicron	BT_1074	-5.04806250897301	1.35660483300082e-12	Downregulated
B. bifidum	BbifJCM1254_05060	-3.96709269713508	1.60050499697931e-12	Downregulated
E. coli	b2799	5.12934989702211	1.62487261956469e-12	Upregulated
P. acidilactici	HN015_01160	-4.95058256370403	1.65297086731717e-12	Downregulated
P. acidilactici	HN015_05090	-6.51883123469454	1.70433406611942e-12	Downregulated
B. thetaiotaomicron	BT_3784	7.67480731998784	1.83822136462398e-12	Upregulated
B. bifidum	BbifJCM1254_05560	-2.73535585857096	1.90158531286796e-12	Downregulated
E. coli	b3225	4.83799257994282	1.90193359067456e-12	Upregulated
B. bifidum	BbifJCM1254_17680	-3.01938685615424	2.41192025086133e-12	Downregulated
B. bifidum	BbifJCM1254_03730	-3.85976171915227	2.76245870293771e-12	Downregulated
P. acidilactici	HN015_01945	-4.1099882277895	3.4213098049481e-12	Downregulated
B. thetaiotaomicron	BT_2626	4.76197909641478	3.4213098049481e-12	Upregulated
P. acidilactici	HN015_05120	-5.62312722123308	3.9724757331861e-12	Downregulated
E. coli	b2094	3.88145416491583	4.29957745935384e-12	Upregulated
B. bifidum	BbifJCM1254_07040	-3.29713144607576	4.29957745935384e-12	Downregulated
E. coli	b1198	2.79131474216822	4.54501844847035e-12	Upregulated
B. bifidum	BbifJCM1254_09150	-3.25963466609783	5.04220990628504e-12	Downregulated
E. coli	b2240	3.53398167743573	5.19173912323113e-12	Upregulated
P. acidilactici	HN015_03790	-4.50182570701202	5.4236367692407e-12	Downregulated
P. acidilactici	HN015_04745	-4.93777725122401	5.51714716102377e-12	Downregulated
B. bifidum	BbifJCM1254_14650	-2.89459087546664	5.64298103117066e-12	Downregulated
B. bifidum	BbifJCM1254_12150	-2.56968860834057	6.00727472931859e-12	Downregulated
B. bifidum	BbifJCM1254_14530	-3.81156833093195	6.19740206228051e-12	Downregulated
B. bifidum	BbifJCM1254_08660	-2.82481678488916	6.39425371780492e-12	Downregulated
B. bifidum	BbifJCM1254_09190	-3.37195502470029	7.32352335499927e-12	Downregulated
E. coli	b3605	2.95650520919729	8.29364485034338e-12	Upregulated
P. acidilactici	HN015_05165	-6.29401993116371	8.83055719638083e-12	Downregulated
B. bifidum	BbifJCM1254_09220	-3.02292604079261	9.52586675228935e-12	Downregulated
P. acidilactici	HN015_07905	-4.54715321358254	1.01125462113424e-11	Downregulated
E. coli	b3751	2.40429004811146	1.09429658581787e-11	Upregulated
B. bifidum	BbifJCM1254_12080	-3.03129321496373	1.13278556305922e-11	Downregulated
E. coli	b3750	2.91199708508272	1.15746261759995e-11	Upregulated
P. acidilactici	HN015_05575	-4.49606622069324	1.58872467588766e-11	Downregulated
B. thetaiotaomicron	BT_3736	-5.66868590850428	1.70315221440699e-11	Downregulated
P. acidilactici	HN015_05615	-4.07177795788078	1.7495488480999e-11	Downregulated
P. acidilactici	HN015_06695	-4.20192085645974	1.7495488480999e-11	Downregulated
B. thetaiotaomicron	BT_1812	-3.93032811315047	1.92821770767446e-11	Downregulated
P. acidilactici	HN015_08365	-4.54054622022731	2.10913717825157e-11	Downregulated
B. bifidum	BbifJCM1254_02860	-2.55767930186555	2.95902219761165e-11	Downregulated
B. bifidum	BbifJCM1254_11300	-3.84276398801515	2.9618519436456e-11	Downregulated
B. bifidum	BbifJCM1254_01660	-2.3473958745683	3.16273988987187e-11	Downregulated
B. bifidum	BbifJCM1254_03700	-3.22811003990193	3.47863814372719e-11	Downregulated
E. coli	b3603	4.46495118179955	3.98993803900197e-11	Upregulated
B. bifidum	BbifJCM1254_01900	-3.4354303773148	3.99919008063919e-11	Downregulated
E. coli	b3671	3.22267269131593	4.16895744899151e-11	Upregulated
B. bifidum	BbifJCM1254_01650	-2.45970882001717	4.20045936749638e-11	Downregulated
B. bifidum	BbifJCM1254_08070	-3.57163810132793	4.31541589656468e-11	Downregulated
P. acidilactici	HN015_01360	-4.05484331599641	4.69134614292566e-11	Downregulated
E. coli	b3708	6.04127407873018	5.92576272397656e-11	Upregulated
B. bifidum	BbifJCM1254_11330	-3.03672201689336	5.92576272397656e-11	Downregulated
P. acidilactici	HN015_04205	-4.76348772508156	6.78529862405989e-11	Downregulated
B. bifidum	BbifJCM1254_09180	-3.12620317087474	6.8153083681146e-11	Downregulated
B. bifidum	BbifJCM1254_06890	-4.5885206215292	7.49053381525746e-11	Downregulated
B. bifidum	BbifJCM1254_10410	-2.492305712585	8.32130190152927e-11	Downregulated
E. coli	b2172	-3.90279596343647	8.61152740069923e-11	Downregulated
B. bifidum	BbifJCM1254_17340	-3.21516011010842	8.86281163641895e-11	Downregulated
P. acidilactici	HN015_08350	-4.18677705562674	8.89226562817927e-11	Downregulated
P. acidilactici	HN015_08385	-5.4571789335145	8.94334882359218e-11	Downregulated
B. bifidum	BbifJCM1254_06730	-2.7327537695339	8.94334882359218e-11	Downregulated
B. bifidum	BbifJCM1254_08650	-2.94524860639975	9.75705065497743e-11	Downregulated
P. acidilactici	HN015_08075	-4.80658510303236	1.01263009527865e-10	Downregulated
P. acidilactici	HN015_02050	-3.6606234874404	1.02428088098262e-10	Downregulated
B. thetaiotaomicron	BT_4689	-7.26425343344911	1.13534972138257e-10	Downregulated
P. acidilactici	HN015_01670	-4.7132290855744	1.15992959572208e-10	Downregulated
P. acidilactici	HN015_03990	-5.11097014519576	1.15992959572208e-10	Downregulated
P. acidilactici	HN015_07025	-4.70994204967794	1.16324849522536e-10	Downregulated
P. acidilactici	HN015_04280	-4.37482268079365	1.20737649917696e-10	Downregulated
P. acidilactici	HN015_07470	-4.36288865196544	1.28819660694958e-10	Downregulated
P. acidilactici	HN015_01735	-4.21882364158216	1.30748556938552e-10	Downregulated
B. bifidum	BbifJCM1254_10340	-3.58517801352685	1.34126339783102e-10	Downregulated
B. bifidum	BbifJCM1254_06810	-2.74012687907112	1.5145003137121e-10	Downregulated
B. bifidum	BbifJCM1254_05570	-2.8150619055502	1.84778693209929e-10	Downregulated
P. acidilactici	HN015_04735	-5.30472597662432	2.06728119239253e-10	Downregulated
B. bifidum	BbifJCM1254_07980	-3.02327820157668	2.43785393432129e-10	Downregulated
B. bifidum	BbifJCM1254_09000	-3.22464164629379	2.49642183497452e-10	Downregulated
P. acidilactici	HN015_02135	-3.46229001078263	2.78827110879868e-10	Downregulated
B. bifidum	BbifJCM1254_09570	-2.98396740132207	3.10947492037711e-10	Downregulated
P. acidilactici	HN015_06730	-3.85726073377672	3.20338693777944e-10	Downregulated
E. coli	b2341	2.28083967111591	3.2591729184484e-10	Upregulated
P. acidilactici	HN015_08375	-4.43815707944607	3.51883352276938e-10	Downregulated
B. bifidum	BbifJCM1254_11540	-2.95449602305357	3.51883352276938e-10	Downregulated
P. acidilactici	HN015_04920	-4.39751017322744	3.59110325057003e-10	Downregulated
P. acidilactici	HN015_06265	-4.37240653600666	3.61387405308784e-10	Downregulated
P. acidilactici	HN015_09135	-4.96131449381319	3.70985282916183e-10	Downregulated
E. coli	b3158	-2.09317251983031	3.79530981246482e-10	Downregulated
P. acidilactici	HN015_09350	-5.50264674392442	3.89947372766008e-10	Downregulated
