microorganism	locus_tag	log2FoldChange	padj	diffexpr
B. thetaiotaomicron	BT_4135	9.13980479344655	2.88062945250404e-29	Upregulated
B. thetaiotaomicron	BT_4295	7.50647070015779	6.55041570405072e-29	Upregulated
B. thetaiotaomicron	BT_3789	7.94929579279087	4.90262591166573e-26	Upregulated
B. thetaiotaomicron	BT_3787	8.69123113669659	4.90262591166573e-26	Upregulated
B. infantis	Blon_0141	6.62487257840434	3.51112695547728e-24	Upregulated
B. thetaiotaomicron	BT_3791	7.47538129166055	3.51112695547728e-24	Upregulated
B. thetaiotaomicron	BT_2629	8.29147467063434	1.14436288815518e-18	Upregulated
E. coli	b2167	-3.50864298711151	1.54724171572888e-17	Downregulated
B. thetaiotaomicron	BT_3788	7.73000334669013	2.06009993436969e-16	Upregulated
B. thetaiotaomicron	BT_2626	5.7052183244741	3.46531831678032e-16	Upregulated
B. thetaiotaomicron	BT_3792	7.66951612935548	6.27580255973711e-16	Upregulated
E. coli	b3158	-2.70381465946978	7.92553504291596e-16	Downregulated
B. thetaiotaomicron	BT_3784	9.59321921825433	2.53664806328091e-15	Upregulated
B. thetaiotaomicron	BT_3958	7.81570047432173	8.25088932227703e-15	Upregulated
E. coli	b3091	-2.92680331842576	3.15214327024389e-14	Downregulated
B. thetaiotaomicron	BT_4296	7.78202882305857	3.98229235944014e-14	Upregulated
B. thetaiotaomicron	BT_3790	7.33224767506645	4.36330071682626e-14	Upregulated
E. coli	b3092	-3.27432601594265	5.07622740588669e-14	Downregulated
B. thetaiotaomicron	BT_2486	5.27123514723592	1.17514011557385e-13	Upregulated
B. thetaiotaomicron	BT_4134	8.98684140730311	3.65932052086682e-13	Upregulated
E. coli	b3923	-2.19353048587949	5.83405031088231e-13	Downregulated
B. thetaiotaomicron	BT_2624	6.21093162341851	9.00779164743015e-13	Upregulated
B. bifidum	BbifJCM1254_13570	4.75603921992185	2.08022970807896e-12	Upregulated
E. coli	b3159	-2.47813290727512	4.04393323056585e-12	Downregulated
B. thetaiotaomicron	BT_2627	5.75224006555508	4.47662101289036e-12	Upregulated
B. thetaiotaomicron	BT_3959	6.5616087187259	3.95099851105183e-11	Upregulated
B. infantis	Blon_2372	11.0533912832363	7.11307328324304e-11	Upregulated
B. thetaiotaomicron	BT_2623	5.92818576886419	1.61299891738522e-10	Upregulated
B. thetaiotaomicron	BT_3774	4.40514414673622	2.69145552069043e-10	Upregulated
B. thetaiotaomicron	BT_2625	6.59722945204606	5.02718540110172e-10	Upregulated
E. coli	b1164	-3.15672910054958	7.47175325505879e-10	Downregulated
E. coli	b0385	-2.22954287656591	1.12257041249189e-09	Downregulated
