microorganism	locus_tag	log2FoldChange	padj	diffexpr
E. coli	b0411	-4.25696355674423	1.40652081695885e-58	Downregulated
E. coli	b4147	-4.38996728515463	4.30842931036903e-54	Downregulated
E. coli	b4177	-2.17208712270639	1.83435669892743e-49	Downregulated
E. coli	b1093	-2.54324359605117	6.09520263942178e-47	Downregulated
E. coli	b2296	-2.75380138122489	1.02729074086959e-44	Downregulated
E. coli	b3833	-2.22357061700023	3.09071629071856e-42	Downregulated
E. coli	b1831	-2.99074753910871	2.49869597613357e-41	Downregulated
E. coli	b2585	-3.30849730766626	2.59507140116109e-38	Downregulated
E. coli	b4375	-2.51205929851612	8.19716617179208e-38	Downregulated
E. coli	b0431	-3.5105056798945	6.41238728298534e-37	Downregulated
E. coli	b0025	-2.93027365168056	8.900962586809e-36	Downregulated
E. coli	b0176	-2.75944039617977	3.8836518203342e-35	Downregulated
E. coli	b4122	-3.75519903869933	6.43957046594131e-35	Downregulated
E. coli	b2286	-3.08008257171848	1.81831764315076e-34	Downregulated
E. coli	b1123	-3.74511440299936	1.84232945838198e-34	Downregulated
E. coli	b0726	-4.06943430506189	2.13681654720249e-33	Downregulated
E. coli	b1637	-3.03505628512267	3.25047954954553e-33	Downregulated
E. coli	b3165	-2.03729262894846	4.95253685160531e-33	Downregulated
E. coli	b0736	-2.52742992580627	9.81927685367634e-33	Downregulated
E. coli	b3891	-2.95639329289748	1.24447636066345e-32	Downregulated
E. coli	b0503	-3.02445380980472	4.23539758512503e-32	Downregulated
E. coli	b0931	-3.07155174551565	1.37806320176734e-31	Downregulated
E. coli	b2092	-4.12428020919251	1.40959450931802e-31	Downregulated
E. coli	b2316	-2.58633336281257	3.960038362937e-31	Downregulated
E. coli	b2697	-2.85693388159096	1.35791568630125e-30	Downregulated
E. coli	b4348	-3.8898799322594	3.0877382942618e-30	Downregulated
E. coli	b2156	-4.00452682711112	5.78596942491393e-30	Downregulated
E. coli	b0181	-2.26840186688073	9.67143279427117e-30	Downregulated
E. coli	b0432	-3.13385602819392	1.02144181288857e-29	Downregulated
E. coli	b0910	-2.71946981950444	2.43729759804162e-29	Downregulated
E. coli	b2287	-2.33114179147229	3.64948429581697e-29	Downregulated
E. coli	b3982	-2.69955133377625	4.52621971380846e-29	Downregulated
E. coli	b3871	-3.33678217441254	6.88571206594954e-29	Downregulated
E. coli	b2183	-2.23697398582328	7.11276255084708e-29	Downregulated
