microorganism	locus_tag	log2FoldChange	padj	diffexpr
B. thetaiotaomicron	BT_0924	5.66064344723038	6.00833094185609e-25	Upregulated
P. acidilactici	HN015_02105	4.78680997537357	1.19798559839501e-22	Upregulated
P. acidilactici	HN015_06605	4.99062712324717	7.88356180593095e-20	Upregulated
P. acidilactici	HN015_02120	3.25904318744981	3.62393536701935e-17	Upregulated
P. acidilactici	HN015_00255	8.51185382972383	7.20276140523072e-17	Upregulated
P. acidilactici	HN015_06735	3.60785404063518	6.69893114843177e-16	Upregulated
P. acidilactici	HN015_01360	4.04654450437599	8.14256947072194e-16	Upregulated
E. coli	b2342	-3.71774155974268	8.43984135863072e-16	Downregulated
P. acidilactici	HN015_06940	3.26419795180384	1.45057812875657e-15	Upregulated
B. thetaiotaomicron	BT_1973	2.28101198935082	1.78912231532693e-14	Upregulated
B. thetaiotaomicron	BT_0925	4.91517117577109	1.99689024512028e-14	Upregulated
P. acidilactici	HN015_06870	3.42791648828455	4.49072534223296e-14	Upregulated
P. acidilactici	HN015_07100	3.34573932034813	7.56015920021122e-14	Upregulated
P. acidilactici	HN015_09380	4.34695046114243	1.06584548044517e-13	Upregulated
P. acidilactici	HN015_00010	3.7060436247673	1.55468661750554e-13	Upregulated
P. acidilactici	HN015_02585	3.93985634617395	2.94457257814355e-13	Upregulated
P. acidilactici	HN015_00910	4.19409542355929	4.56886835511629e-13	Upregulated
E. coli	b4147	-2.08563043538783	4.94914415585251e-13	Downregulated
P. acidilactici	HN015_05590	4.58739849308499	1.19190251098421e-12	Upregulated
P. acidilactici	HN015_01535	2.9042920205609	1.82776135886484e-12	Upregulated
B. thetaiotaomicron	BT_0565	2.60460245999645	2.19258498285074e-12	Upregulated
P. acidilactici	HN015_00920	6.4346609639759	2.28615731673667e-12	Upregulated
P. acidilactici	HN015_07930	5.46329672705385	7.88203987966098e-12	Upregulated
P. acidilactici	HN015_06665	3.31699597100676	9.1655298149764e-12	Upregulated
P. acidilactici	HN015_00250	7.32727059465262	1.8748103597874e-11	Upregulated
P. acidilactici	HN015_06860	4.76799276051145	2.04381406403264e-11	Upregulated
B. thetaiotaomicron	BT_2119	3.54059332907647	2.11443647996467e-11	Upregulated
P. acidilactici	HN015_06140	3.05204225158294	2.23618200101034e-11	Upregulated
P. acidilactici	HN015_00245	7.80264981413073	3.16598397982687e-11	Upregulated
P. acidilactici	HN015_08365	4.24639800055901	3.39238093329683e-11	Upregulated
P. acidilactici	HN015_04080	4.7638597854563	4.43291006873494e-11	Upregulated
E. coli	b2095	-2.22918609976548	5.0409373559068e-11	Downregulated
P. acidilactici	HN015_07795	3.91617077271891	5.10574608256001e-11	Upregulated
P. acidilactici	HN015_09395	4.71543849862636	5.84373957432922e-11	Upregulated
E. coli	b3604	-3.09275486448704	6.90240955512977e-11	Downregulated
P. acidilactici	HN015_08285	4.18453316855864	7.50161260046823e-11	Upregulated
P. acidilactici	HN015_07030	4.09848379179225	9.47681683001585e-11	Upregulated
P. acidilactici	HN015_02220	3.37068062080091	9.47681683001585e-11	Upregulated
P. acidilactici	HN015_04025	4.40904701673014	1.01593332618199e-10	Upregulated
P. acidilactici	HN015_05015	5.12949271669051	1.02765325323201e-10	Upregulated
E. coli	b3605	-2.8013575281313	1.03901526360714e-10	Downregulated
P. acidilactici	HN015_07975	4.16741168321522	1.17826884668327e-10	Upregulated
B. thetaiotaomicron	BT_1072	3.49346835678619	1.40731623306549e-10	Upregulated
P. acidilactici	HN015_00240	6.83733340346088	1.48782518854593e-10	Upregulated
P. acidilactici	HN015_09970	2.55026499069713	1.79148111394368e-10	Upregulated
B. thetaiotaomicron	BT_1830	3.03533957804323	1.96511711140872e-10	Upregulated
P. acidilactici	HN015_02200	3.87865944132997	2.35627254818858e-10	Upregulated
E. coli	b2147	-3.90771651293535	2.52313741007854e-10	Downregulated
P. acidilactici	HN015_08870	4.5061070785701	2.95358211283291e-10	Upregulated
P. acidilactici	HN015_01765	5.22573999413749	2.97543105546483e-10	Upregulated
P. acidilactici	HN015_05690	3.93687637920956	3.43889070851833e-10	Upregulated
P. acidilactici	HN015_06590	4.1539282529647	3.56221506612783e-10	Upregulated
B. thetaiotaomicron	BT_1269	3.19917255438986	3.67055906802286e-10	Upregulated
P. acidilactici	HN015_06730	3.53852584507111	3.68550045765863e-10	Upregulated
P. acidilactici	HN015_06545	7.30688984247459	4.19821054717603e-10	Upregulated
P. acidilactici	HN015_06355	3.80038200751586	4.22262833457776e-10	Upregulated
P. acidilactici	HN015_01735	3.73693239626018	4.59455479945429e-10	Upregulated
E. coli	b3671	-3.01654344259976	4.59911765062108e-10	Downregulated
E. coli	b2239	-2.94604621616814	4.64705773433139e-10	Downregulated
E. coli	b2092	-2.19976827595365	4.98163407712765e-10	Downregulated
E. coli	b2237	-2.1875690386019	5.22637441254303e-10	Downregulated
E. coli	b4484	-2.83820430709876	5.51891217051702e-10	Downregulated
E. coli	b3603	-4.15011456527292	6.5328506066476e-10	Downregulated
B. thetaiotaomicron	BT_2097	4.4095438811616	7.13463747487325e-10	Upregulated
P. acidilactici	HN015_08230	4.53093209633911	8.00999349597358e-10	Upregulated
P. acidilactici	HN015_03845	3.42367066172898	8.10197812255123e-10	Upregulated
P. acidilactici	HN015_01795	3.42100698810113	8.24962242734353e-10	Upregulated
P. acidilactici	HN015_08275	4.11551248866989	8.48128478500115e-10	Upregulated
B. thetaiotaomicron	BT_1268	3.45157178441703	9.44601158573164e-10	Upregulated
L. symbiosum	HMPREF9475_02251	2.71189721719368	9.49619707454946e-10	Upregulated
P. acidilactici	HN015_08895	5.48374061692702	9.51420694297346e-10	Upregulated
P. acidilactici	HN015_07470	3.60807160753244	1.23944446271487e-09	Upregulated
B. breve	BBBR_1593	2.41426371293527	1.27603081429671e-09	Upregulated
P. acidilactici	HN015_08200	3.80428140906219	1.29203462540913e-09	Upregulated
B. thetaiotaomicron	BT_2118	3.41328815779104	1.41263188586809e-09	Upregulated
P. acidilactici	HN015_01970	4.12225511034031	2.26654201146977e-09	Upregulated
E. coli	b4002	-3.20770865827407	2.34789519566227e-09	Downregulated
P. acidilactici	HN015_02135	3.11556525867333	2.37795863882294e-09	Upregulated
P. acidilactici	HN015_07905	3.4021945756584	2.44406085234938e-09	Upregulated
P. acidilactici	HN015_01730	4.82267287172772	2.59365249110629e-09	Upregulated
P. acidilactici	HN015_07500	2.81654053793381	2.77634388443367e-09	Upregulated
P. acidilactici	HN015_09210	3.01832378560981	2.9596481592393e-09	Upregulated
E. coli	b1498	-5.97325791604927	3.00408512953039e-09	Downregulated
P. acidilactici	HN015_04110	3.46214192908119	3.02261277751995e-09	Upregulated
P. acidilactici	HN015_02125	3.41801957716977	3.11546896190554e-09	Upregulated
P. acidilactici	HN015_08500	3.82129981407917	3.12683979485922e-09	Upregulated
P. acidilactici	HN015_01595	4.19436292317312	3.85991059459945e-09	Upregulated
P. acidilactici	HN015_07920	4.21079895023445	5.23586189019692e-09	Upregulated
