microorganism	locus_tag	log2FoldChange	padj	diffexpr
B. bifidum	BbifJCM1254_13340	4.14160269454012	3.3661724765032e-56	Upregulated
B. bifidum	BbifJCM1254_17360	4.91379202561384	3.23033886213178e-52	Upregulated
B. bifidum	BbifJCM1254_09610	3.93353743621681	4.6630793210511e-50	Upregulated
B. bifidum	BbifJCM1254_07740	5.75486800903084	3.79733607369026e-46	Upregulated
B. bifidum	BbifJCM1254_02840	4.38296934980771	3.79733607369026e-46	Upregulated
B. bifidum	BbifJCM1254_14710	5.54559803471258	3.79733607369026e-46	Upregulated
B. bifidum	BbifJCM1254_08470	5.13111184472209	4.9231592570833e-46	Upregulated
B. bifidum	BbifJCM1254_08040	5.61937025154195	1.51412315144051e-44	Upregulated
B. bifidum	BbifJCM1254_03330	4.95932924522291	3.26112126555938e-43	Upregulated
B. bifidum	BbifJCM1254_14660	3.75592665263528	3.26112126555938e-43	Upregulated
B. bifidum	BbifJCM1254_17780	4.83267407273544	2.77241558921424e-41	Upregulated
B. bifidum	BbifJCM1254_17680	5.51454614803767	6.26978918247395e-41	Upregulated
B. bifidum	BbifJCM1254_05080	5.40979342143179	1.03065156768894e-40	Upregulated
B. bifidum	BbifJCM1254_02860	4.91191969177023	1.34541093900281e-40	Upregulated
B. bifidum	BbifJCM1254_17750	4.70990238919536	2.28487226371277e-40	Upregulated
E. coli	b3833	-2.12846673246784	3.8595373141443e-40	Downregulated
B. bifidum	BbifJCM1254_05750	3.86683373891599	7.65916846152001e-40	Upregulated
B. bifidum	BbifJCM1254_01140	4.71393846152983	1.1730325981787e-39	Upregulated
E. coli	b4147	-3.72220958902751	1.4458469547674e-39	Downregulated
B. bifidum	BbifJCM1254_14670	3.86207377066582	9.55259712142069e-39	Upregulated
B. bifidum	BbifJCM1254_05760	4.18908648655392	1.10711280490855e-38	Upregulated
B. bifidum	BbifJCM1254_12000	4.83200618852462	1.57515954059679e-38	Upregulated
B. bifidum	BbifJCM1254_12100	4.42370209882685	1.57515954059679e-38	Upregulated
B. bifidum	BbifJCM1254_06150	5.01124635012307	6.99951890023476e-38	Upregulated
E. coli	b2296	-2.49299832780332	1.6622412792437e-37	Downregulated
B. bifidum	BbifJCM1254_09020	3.9399977536134	2.61698091955492e-37	Upregulated
E. coli	b0926	-3.42058949742119	4.92693666512837e-37	Downregulated
B. bifidum	BbifJCM1254_08460	5.02537650033741	8.94568394053199e-37	Upregulated
E. coli	b0025	-2.92252019434281	1.60008733582796e-36	Downregulated
B. bifidum	BbifJCM1254_07730	6.05550088256815	4.0321675469498e-36	Upregulated
B. bifidum	BbifJCM1254_06810	5.17211988629027	4.0321675469498e-36	Upregulated
B. bifidum	BbifJCM1254_10410	4.58149899534468	4.45684220633123e-36	Upregulated
B. bifidum	BbifJCM1254_14650	5.02465989236162	7.81777144455167e-36	Upregulated
B. bifidum	BbifJCM1254_09130	4.09380535885923	2.03263997511365e-35	Upregulated
E. coli	b0726	-4.14978266998457	4.49322226225929e-35	Downregulated
E. coli	b1479	-4.35617761079256	7.03729992220361e-35	Downregulated
E. coli	b1246	-4.1040764147951	1.02576103860485e-34	Downregulated
B. bifidum	BbifJCM1254_07040	5.62055610705772	1.04738906088359e-34	Upregulated
B. bifidum	BbifJCM1254_09160	3.72663422519018	1.91937415978257e-34	Upregulated
E. coli	b3163	-3.01560955160672	1.9578469361159e-34	Downregulated
E. coli	b4111	-3.39814719233426	2.68050381844356e-34	Downregulated
B. bifidum	BbifJCM1254_16920	5.07439850266728	3.03487302907016e-34	Upregulated
B. bifidum	BbifJCM1254_03690	5.74502939244208	1.04444686819876e-33	Upregulated
B. bifidum	BbifJCM1254_17340	5.69937394607571	1.55694382354437e-33	Upregulated
E. coli	b2803	-7.06865715377944	9.69856608370908e-33	Downregulated
B. bifidum	BbifJCM1254_00170	5.3593499727885	1.32211635195827e-32	Upregulated
B. thetaiotaomicron	BT_0565	4.34705563129496	2.49536002896286e-32	Upregulated
B. bifidum	BbifJCM1254_10270	5.07363234236347	3.6276870387489e-31	Upregulated
E. coli	b2802	-8.27143832034719	4.59860633476184e-31	Downregulated
B. bifidum	BbifJCM1254_11540	5.193587439819	4.8322792506278e-31	Upregulated
E. coli	b1093	-2.03980831806534	4.8322792506278e-31	Downregulated
B. bifidum	BbifJCM1254_08750	5.09314664096771	6.75557577221827e-31	Upregulated
B. bifidum	BbifJCM1254_02800	3.98445258842657	8.37212557210315e-31	Upregulated
B. bifidum	BbifJCM1254_14840	4.66246258595453	9.03122791908528e-31	Upregulated
B. bifidum	BbifJCM1254_06730	4.65779585712276	1.2545278945472e-30	Upregulated
B. bifidum	BbifJCM1254_08740	4.70509036031915	1.85541179482067e-30	Upregulated
P. acidilactici	HN015_02120	4.49971583706835	2.42362054239853e-30	Upregulated
B. bifidum	BbifJCM1254_17930	3.78531595746049	3.22880962661983e-30	Upregulated
E. coli	b1637	-2.86113778857351	3.91233667711215e-30	Downregulated
B. bifidum	BbifJCM1254_08900	3.86347433531786	5.71738501131616e-30	Upregulated
E. coli	b4161	-2.26540352941792	6.64880577711853e-30	Downregulated
B. bifidum	BbifJCM1254_01650	4.0671109606529	1.37198964494712e-29	Upregulated
B. bifidum	BbifJCM1254_15410	6.8642085046805	1.59885567268373e-29	Upregulated
B. bifidum	BbifJCM1254_13420	5.41257232073039	2.35877593813658e-29	Upregulated
B. bifidum	BbifJCM1254_01660	3.83855164574087	2.80366760565563e-29	Upregulated
B. bifidum	BbifJCM1254_03730	5.98701825773296	2.87360564778123e-29	Upregulated
B. bifidum	BbifJCM1254_15630	4.65220991361931	6.53144518862616e-29	Upregulated
E. coli	b0931	-2.88370922621162	1.29957537447768e-28	Downregulated
B. bifidum	BbifJCM1254_11200	4.19281405766513	1.36377743138405e-28	Upregulated
B. bifidum	BbifJCM1254_09040	4.07276590616452	1.39089635896815e-28	Upregulated
P. acidilactici	HN015_07100	5.3002812403093	1.54945802668631e-28	Upregulated
B. bifidum	BbifJCM1254_07980	5.0825396972482	1.95230845724526e-28	Upregulated
