microorganism	locus_tag	log2FoldChange	padj	diffexpr
E. coli	b3612	-2.18646455680119	4.80090652678156e-24	Downregulated
B. bifidum	BbifJCM1254_12670	-2.23122439317434	1.14410207843165e-17	Downregulated
E. coli	b0503	-2.23046305353739	2.5485012311462e-16	Downregulated
E. coli	b4147	-2.38279238352782	2.82112460758476e-15	Downregulated
E. coli	b4002	-4.41329851527049	5.95627486235653e-15	Downregulated
E. coli	b3739	-2.51959607765514	8.39283335491492e-14	Downregulated
E. coli	b2496	-2.897698588522	7.50433477065227e-12	Downregulated
E. coli	b1221	-2.30495613634686	5.96571336930211e-11	Downregulated
E. coli	b1876	-2.12251218871068	7.13717254142809e-10	Downregulated
E. coli	b4025	-2.15380554960187	5.378537766006e-09	Downregulated
B. bifidum	BbifJCM1254_13360	-2.130978595342	5.378537766006e-09	Downregulated
E. coli	b4131	3.29956136439841	7.30077704381645e-09	Upregulated
E. coli	b1830	-2.01461124809507	7.73248042534453e-09	Downregulated
E. coli	b0238	-2.18014224814106	9.7484065177397e-09	Downregulated
B. bifidum	BbifJCM1254_16000	-2.0255026281371	1.10762170706987e-08	Downregulated
B. breve	BBBR_0062	2.156899491125	1.41072696673737e-08	Upregulated
E. coli	b0122	-2.94305512479898	2.1174173096549e-08	Downregulated
E. coli	b3476	-2.06274005574783	5.00728792609081e-08	Downregulated
E. coli	b2197	-3.13137258843293	6.23082028675713e-08	Downregulated
E. coli	b4132	3.18063965486852	1.42918821526837e-07	Upregulated
E. coli	b2580	-2.18525546958439	1.46535920518759e-07	Downregulated
E. coli	b3775	-2.53132617831285	2.58429405135672e-07	Downregulated
E. coli	b1591	-2.2097817530986	6.13678390037624e-07	Downregulated
E. coli	b1928	-2.11595112112964	7.35203485083035e-07	Downregulated
E. coli	b0496	-2.30851254699438	9.64168463649646e-07	Downregulated
E. coli	b0752	-2.50512617888084	9.79123515820766e-07	Downregulated
B. bifidum	BbifJCM1254_12690	-2.30535624323	1.11571207727369e-06	Downregulated
E. coli	b3479	-2.00819719787401	1.56709720738461e-06	Downregulated
E. coli	b4079	-2.00293039842642	1.74532751442725e-06	Downregulated
E. coli	b3180	-2.46866762232421	2.07758980041087e-06	Downregulated
E. coli	b1787	-2.39321859818306	2.55816946333024e-06	Downregulated
E. coli	b3009	-2.18128568403266	2.59248718436184e-06	Downregulated
E. coli	b1828	-2.79712303035077	2.78834714734771e-06	Downregulated
B. bifidum	BbifJCM1254_03500	-2.0909743040987	3.20985065580972e-06	Downregulated
E. coli	b0393	-2.10137432000215	3.43122019298476e-06	Downregulated
E. coli	b1781	-2.07667137725591	4.71524822602554e-06	Downregulated
E. coli	b1116	-2.29009279456593	4.8701386020837e-06	Downregulated
E. coli	b2026	-2.01201952661668	5.55918336156459e-06	Downregulated
E. coli	b0767	-2.37738719686004	6.22964042792672e-06	Downregulated
E. coli	b4354	-3.62621597163911	6.43414835061847e-06	Downregulated
E. coli	b3059	-2.11493533475677	6.75829684421065e-06	Downregulated
E. coli	b3206	-2.10902097980492	7.02031978844333e-06	Downregulated
