microorganism	locus_tag	log2FoldChange	padj	diffexpr
B. breve	BBBR_0062	5.52330858962977	3.02612237349728e-43	Upregulated
B. breve	BBBR_1177	-4.33489475522314	2.16630506410187e-28	Downregulated
B. breve	BBBR_0510	-5.35326496741462	4.49766122032928e-28	Downregulated
B. breve	BBBR_0349	-5.20971449947564	6.30078144740237e-28	Downregulated
B. breve	BBBR_1484	-3.97555305335995	1.67792505455091e-25	Downregulated
B. breve	BBBR_0435	-4.65213060681152	1.70022138273666e-25	Downregulated
B. breve	BBBR_1720	-3.87548854003619	1.47548016527628e-24	Downregulated
B. breve	BBBR_1204	-3.95375530096438	7.48021806468539e-24	Downregulated
B. breve	BBBR_1594	-4.6456721876238	4.55287711458928e-23	Downregulated
B. breve	BBBR_0711	-4.59589352644182	6.14420257720458e-23	Downregulated
B. breve	BBBR_0240	-4.34597629419875	1.04867200352471e-22	Downregulated
B. breve	BBBR_1573	-4.54849968156108	1.28647761116499e-22	Downregulated
B. breve	BBBR_1625	-4.42596003473808	1.56214372073634e-22	Downregulated
B. breve	BBBR_1685	-4.26935414416611	2.40898655726412e-22	Downregulated
B. breve	BBBR_0705	-4.50186029176897	3.15294598705697e-22	Downregulated
B. breve	BBBR_0059	-4.16669824843986	4.55180862077353e-22	Downregulated
B. breve	BBBR_1380	-4.23523770429551	5.33769234114211e-22	Downregulated
B. breve	BBBR_0423	-4.63833781897079	1.12251488583149e-21	Downregulated
B. breve	BBBR_1619	-5.04935323327277	1.54309038306126e-21	Downregulated
B. breve	BBBR_0952	-3.63239615491511	2.52553918437423e-21	Downregulated
B. breve	BBBR_1640	-4.26556324462378	2.75410870904488e-21	Downregulated
B. breve	BBBR_0263	-3.64565511275054	2.97402761361897e-21	Downregulated
B. breve	BBBR_1085	-4.73684000516041	2.97402761361897e-21	Downregulated
B. breve	BBBR_1548	-3.9133376023837	4.64896004688857e-21	Downregulated
B. breve	BBBR_1633	-4.69905035163085	4.94681464173227e-20	Downregulated
B. thetaiotaomicron	BT_0687	-5.70170596365087	5.95989972670517e-20	Downregulated
B. breve	BBBR_1620	-4.73814920521469	6.12520843421976e-20	Downregulated
B. breve	BBBR_0675	-3.56782909291293	6.27485562087682e-20	Downregulated
B. breve	BBBR_0308	-4.25515277017224	6.70827716247934e-20	Downregulated
B. breve	BBBR_1605	-4.63626946435642	9.47253546571014e-20	Downregulated
B. breve	BBBR_0434	-4.63336005454439	1.82707760179992e-19	Downregulated
B. breve	BBBR_0266	-4.28230596582045	2.76854925437095e-19	Downregulated
B. breve	BBBR_0442	-4.63959040872805	4.21863647012722e-19	Downregulated
B. breve	BBBR_1654	-4.34682826651463	5.28409455065206e-19	Downregulated
B. breve	BBBR_0002	-4.594432890968	6.39978049956151e-19	Downregulated
B. breve	BBBR_1614	-4.09328874193397	1.25586625724322e-18	Downregulated
B. breve	BBBR_0011	-4.88265810665131	1.7590651288033e-18	Downregulated
B. breve	BBBR_0868	-3.86524939014738	1.81106098703791e-18	Downregulated
B. breve	BBBR_1502	-4.01594968423034	1.88773747124316e-18	Downregulated
B. breve	BBBR_1599	-4.51965300443027	1.96135600893445e-18	Downregulated
B. breve	BBBR_0007	-4.70259347959042	2.05478693540436e-18	Downregulated
B. breve	BBBR_1728	-4.05570097666838	2.05478693540436e-18	Downregulated
B. breve	BBBR_0709	-3.74762219956139	2.38269302548984e-18	Downregulated
B. breve	BBBR_0600	-4.25476643264732	2.57865321898542e-18	Downregulated
B. breve	BBBR_0422	-4.24949071424292	2.82108653676001e-18	Downregulated
B. breve	BBBR_0959	-3.92722308940827	3.34743730293817e-18	Downregulated
B. breve	BBBR_0723	-4.30453821692597	3.55903779604022e-18	Downregulated
B. breve	BBBR_0022	-3.94222083021431	3.71710944275164e-18	Downregulated
B. breve	BBBR_0057	-5.35615922987739	4.2044464986781e-18	Downregulated
B. breve	BBBR_1708	-4.04585788051201	5.02050165379667e-18	Downregulated
B. breve	BBBR_0164	-4.71798033204235	5.02208983309811e-18	Downregulated
B. breve	BBBR_0759	-4.39714722679175	5.57885417777515e-18	Downregulated
B. breve	BBBR_1641	-4.22757706891289	5.85524602533539e-18	Downregulated
B. breve	BBBR_1785	-4.05156682327151	5.86837794246025e-18	Downregulated
B. breve	BBBR_0576	-4.00226753014752	6.94453747074693e-18	Downregulated
B. breve	BBBR_0345	-4.3283199964223	7.57960895772045e-18	Downregulated
B. breve	BBBR_0265	-3.67438267936092	7.99086779282076e-18	Downregulated
B. breve	BBBR_1534	-4.1369372688156	1.04604187642051e-17	Downregulated
B. breve	BBBR_0410	-4.46895243136284	1.13154899647107e-17	Downregulated
B. breve	BBBR_0418	-4.8588176491107	1.37902570395857e-17	Downregulated
B. breve	BBBR_1568	-5.05187794772628	1.43225600078727e-17	Downregulated
B. breve	BBBR_0320	-4.64648154590902	1.43225600078727e-17	Downregulated
B. breve	BBBR_0973	-4.83460737013793	2.01446732347699e-17	Downregulated
B. breve	BBBR_1579	-4.81643896830035	2.07653266739089e-17	Downregulated
B. breve	BBBR_1824	-4.06264849969295	2.50555896744631e-17	Downregulated
B. breve	BBBR_1722	-3.82483146614607	4.7495941137206e-17	Downregulated
B. breve	BBBR_0533	-4.53122271518109	5.22132311047638e-17	Downregulated
B. breve	BBBR_1836	-4.63371688542193	6.50041507148067e-17	Downregulated
B. breve	BBBR_1581	-5.41592605413469	6.52308319877515e-17	Downregulated
