microorganism	locus_tag	log2FoldChange	padj	diffexpr
E. coli	b3833	-2.03350625829078	3.63830559311846e-35	Downregulated
E. coli	b3612	-2.54564660764563	6.76480338426224e-34	Downregulated
E. coli	b2296	-2.40282794262784	8.49713581058719e-34	Downregulated
E. coli	b4262	-2.53687432121189	2.70724861819294e-27	Downregulated
E. coli	b3570	-2.81420531755378	7.22790866214969e-26	Downregulated
E. coli	b4161	-2.05923998603532	1.48747493405711e-23	Downregulated
E. coli	b0503	-2.57768283131512	4.12535689653017e-23	Downregulated
E. coli	b4079	-4.00760110670838	6.53236709096354e-23	Downregulated
B. breve	BBBR_1204	5.07180288288723	1.20288978700735e-22	Upregulated
E. coli	b0926	-2.68023683224494	4.50113991676583e-22	Downregulated
E. coli	b2731	-2.02899043834864	6.04048590664024e-22	Downregulated
E. coli	b2585	-2.44138476024703	9.96597488921052e-21	Downregulated
E. coli	b4147	-2.69429406354931	3.18396091714712e-20	Downregulated
E. coli	b3163	-2.33500508067569	4.0442483376906e-20	Downregulated
E. coli	b2231	-2.47870683515066	1.41589433774919e-19	Downregulated
E. coli	b0837	-2.96361415071338	3.19507313556041e-19	Downregulated
E. coli	b0431	-2.53979581580772	3.27903276764096e-19	Downregulated
B. breve	BBBR_0705	5.6701606634479	9.89814658281662e-19	Upregulated
E. coli	b2342	-4.11118270492508	1.23984583359394e-18	Downregulated
E. coli	b2400	-2.16710080072631	2.04295542417497e-18	Downregulated
E. coli	b0931	-2.34296745028625	2.84171020604469e-18	Downregulated
E. coli	b0054	-2.28423375510183	3.41795058902607e-18	Downregulated
E. coli	b4025	-3.05852264846906	1.28434588670966e-17	Downregulated
B. bifidum	BbifJCM1254_03330	2.87308942288598	3.81326696587697e-17	Upregulated
B. breve	BBBR_1484	3.90974205129533	4.53011375044677e-17	Upregulated
B. breve	BBBR_1593	4.79970398921163	5.08867937390479e-17	Upregulated
E. coli	b1638	-2.08099078848361	6.16818837549481e-17	Downregulated
E. coli	b3871	-2.56738650239478	6.35509189018207e-17	Downregulated
E. coli	b3164	-2.60731014879246	8.18666204686068e-17	Downregulated
E. coli	b0918	-2.27141899762135	1.03231638888492e-16	Downregulated
E. coli	b3702	-2.03801162049268	1.29489929911138e-16	Downregulated
E. coli	b2723	-5.33705504461535	2.47348349172957e-16	Downregulated
E. coli	b2724	-6.60244939617589	3.73136388632126e-16	Downregulated
E. coli	b0642	-2.07888362922769	4.3240714535293e-16	Downregulated
B. bifidum	BbifJCM1254_14710	2.55089464991271	5.71592311482032e-16	Upregulated
E. coli	b0168	-2.17436104256155	5.71592311482032e-16	Downregulated
E. coli	b3260	-2.93755048650877	5.83243451948212e-16	Downregulated
E. coli	b3619	-2.02688524469912	9.29339933028353e-16	Downregulated
E. coli	b4129	-2.46517389957413	1.4386042989485e-15	Downregulated
E. coli	b0919	-2.19178759487034	1.81503711624986e-15	Downregulated
E. coli	b0369	-2.37336415547177	2.1992846894376e-15	Downregulated
E. coli	b1479	-2.89830923705097	2.36915642473732e-15	Downregulated
E. coli	b1210	-2.43610624556034	2.89645915590619e-15	Downregulated
E. coli	b3891	-2.01590896374977	3.56459675100086e-15	Downregulated
E. coli	b0529	-2.48642768859061	4.74521658368144e-15	Downregulated
E. coli	b2712	-2.84436521138138	4.74521658368144e-15	Downregulated
B. breve	BBBR_0422	5.01594358305675	4.75839447282757e-15	Upregulated
E. coli	b2721	-3.76606452796303	5.09356504273458e-15	Downregulated
E. coli	b2041	-2.10707228507799	5.28459618556477e-15	Downregulated
B. bifidum	BbifJCM1254_17680	2.4060715165021	9.55814770296342e-15	Upregulated
E. coli	b3838	-2.17164844739283	1.07451162841947e-14	Downregulated
B. bifidum	BbifJCM1254_08040	2.39915837481166	1.20404107114959e-14	Upregulated
B. breve	BBBR_1686	5.18267312095753	1.32506320453075e-14	Upregulated
E. coli	b1286	-2.36712635330127	1.72630142083444e-14	Downregulated
E. coli	b3780	-2.19179682226999	1.84239285734117e-14	Downregulated
E. coli	b1334	-2.47698703181268	2.52022128070911e-14	Downregulated
B. thetaiotaomicron	BT_1820	-5.55154717705894	7.76793122489489e-14	Downregulated
E. coli	b0484	-2.4879588946033	1.06172367626162e-13	Downregulated
E. coli	b2720	-4.350252716127	1.12251476062405e-13	Downregulated
E. coli	b1084	-2.13954841931194	1.14467833072008e-13	Downregulated
E. coli	b0810	-3.70395541643497	1.41175417612042e-13	Downregulated
E. coli	b0827	-2.49649040488995	1.61359388850853e-13	Downregulated
E. coli	b2896	-2.3568369147389	1.73606933333597e-13	Downregulated
E. coli	b3834	-2.07565058216686	1.76307917059412e-13	Downregulated
E. coli	b0955	-2.45882566884125	1.96211508876015e-13	Downregulated
B. thetaiotaomicron	BT_0656	-5.33391695656493	2.22346892420459e-13	Downregulated
E. coli	b4122	-2.30281905600667	2.51691406012096e-13	Downregulated
E. coli	b0903	-2.52634701915755	3.12278046488025e-13	Downregulated
E. coli	b1704	-2.10771319195437	3.12278046488025e-13	Downregulated
B. breve	BBBR_1177	3.49821258986185	3.6564910628204e-13	Upregulated
E. coli	b2157	-2.48518060455933	4.04178741513776e-13	Downregulated
E. coli	b2949	-2.28162158540188	6.73495762192985e-13	Downregulated
E. coli	b3997	-2.1301697081259	7.04502065326252e-13	Downregulated
E. coli	b0432	-2.05225704519741	7.04502065326252e-13	Downregulated
E. coli	b1804	-2.5306637866129	7.81356339143372e-13	Downregulated
B. bifidum	BbifJCM1254_08210	3.39789852337447	9.64374796054225e-13	Upregulated
E. coli	b1618	-2.04774577123006	9.64374796054225e-13	Downregulated
E. coli	b2509	-2.28776704514453	9.96319025428795e-13	Downregulated
E. coli	b2532	-2.13524350802239	1.0469816801289e-12	Downregulated
B. breve	BBBR_0423	4.22247878355385	1.54524926161161e-12	Upregulated
E. coli	b0211	-3.22598068755771	1.57130911324717e-12	Downregulated
B. breve	BBBR_1654	5.26092333315956	1.57130911324717e-12	Upregulated
E. coli	b1830	-2.39377050400067	1.75953138865553e-12	Downregulated
E. coli	b1246	-2.44275176661445	2.11278544366037e-12	Downregulated
E. coli	b1656	-2.15580218464505	2.24607058156614e-12	Downregulated
B. bifidum	BbifJCM1254_16270	3.56472731401934	2.28306421193446e-12	Upregulated
E. coli	b3094	-2.38040750776517	2.63492102917607e-12	Downregulated
E. coli	b4111	-2.01996005334729	3.28141211943866e-12	Downregulated
B. breve	BBBR_0263	3.10771334796971	3.78863085852699e-12	Upregulated
E. coli	b1133	-2.23191795391905	3.90401457072952e-12	Downregulated
B. bifidum	BbifJCM1254_02610	2.15812817552928	4.2912839805777e-12	Upregulated
E. coli	b1207	-2.14962601703269	7.496424072504e-12	Downregulated
E. coli	b2725	-5.18750912817647	7.5285217020913e-12	Downregulated
