microorganism	locus_tag	log2FoldChange	padj	diffexpr
B. bifidum	BbifJCM1254_09610	4.28998313198061	2.12574593565043e-58	Upregulated
E. coli	b3612	-3.23634467099947	6.65414464200551e-56	Downregulated
E. coli	b2296	-2.93150623821869	2.47834678123434e-51	Downregulated
E. coli	b3833	-2.38899373111511	1.45291382010202e-50	Downregulated
B. bifidum	BbifJCM1254_03330	5.48288322048959	1.45291382010202e-50	Upregulated
B. bifidum	BbifJCM1254_14710	5.4016627635901	1.63150479520045e-49	Upregulated
B. bifidum	BbifJCM1254_05750	4.34164036547176	2.87136199251464e-49	Upregulated
B. bifidum	BbifJCM1254_02840	4.45579301532446	6.0694888055797e-49	Upregulated
B. bifidum	BbifJCM1254_02860	5.49816497872669	6.1853467886318e-48	Upregulated
B. bifidum	BbifJCM1254_17360	4.57310999033917	2.94337620091951e-47	Upregulated
E. coli	b2585	-3.59625835162398	2.74399255308396e-46	Downregulated
B. bifidum	BbifJCM1254_17680	5.02013958339296	7.620905270209e-44	Upregulated
B. bifidum	BbifJCM1254_17780	4.91955543530395	7.620905270209e-44	Upregulated
B. bifidum	BbifJCM1254_08460	5.56307533286017	1.26823033977651e-43	Upregulated
B. bifidum	BbifJCM1254_13340	3.5121342412271	6.47487983227861e-43	Upregulated
B. bifidum	BbifJCM1254_07740	5.13479454996214	7.05527620620587e-43	Upregulated
B. bifidum	BbifJCM1254_14660	3.61267774033564	5.57087436998934e-42	Upregulated
B. bifidum	BbifJCM1254_08040	4.49101824888699	8.29900052240648e-42	Upregulated
B. bifidum	BbifJCM1254_08470	4.35778009417436	2.19035393168587e-41	Upregulated
B. bifidum	BbifJCM1254_10410	4.70780773694448	1.24830924308997e-39	Upregulated
E. coli	b4352	-5.22860548446661	4.40553796364788e-39	Downregulated
E. coli	b4147	-3.69061531379439	5.38407334610151e-39	Downregulated
B. bifidum	BbifJCM1254_17750	4.50506520957704	1.83050898022884e-38	Upregulated
B. bifidum	BbifJCM1254_12100	4.14719845492821	1.1961181192197e-37	Upregulated
B. bifidum	BbifJCM1254_14670	3.71075662234209	2.01979730528682e-37	Upregulated
B. bifidum	BbifJCM1254_06810	5.21603301565413	3.51629883132532e-37	Upregulated
E. coli	b0025	-2.90770155307998	3.50953026216931e-36	Downregulated
B. bifidum	BbifJCM1254_07040	5.44224165342067	3.85749685256614e-36	Upregulated
E. coli	b0726	-4.2098027293798	4.97128250505357e-36	Downregulated
B. bifidum	BbifJCM1254_14650	4.46276507176841	5.72711194701736e-36	Upregulated
B. bifidum	BbifJCM1254_17340	5.10612073486138	1.01236729381209e-35	Upregulated
E. coli	b4025	-4.31202253963909	1.556593682288e-35	Downregulated
B. bifidum	BbifJCM1254_12000	4.24557566245953	3.21939707865785e-35	Upregulated
