microorganism	locus_tag	log2FoldChange	padj	diffexpr
E. coli	b0411	-4.14774986933146	6.09453682459033e-59	Downregulated
B. bifidum	BbifJCM1254_09610	3.7062824605741	5.07099238668496e-50	Upregulated
B. bifidum	BbifJCM1254_13340	3.62390530904214	1.91295480129379e-45	Upregulated
B. bifidum	BbifJCM1254_05750	4.09340378869457	7.62409975368082e-45	Upregulated
B. bifidum	BbifJCM1254_02610	5.02426711448083	8.78796856853416e-42	Upregulated
B. bifidum	BbifJCM1254_01140	3.66362651127125	1.28736111412369e-39	Upregulated
B. bifidum	BbifJCM1254_10410	5.38814321728018	1.27233562581822e-38	Upregulated
B. bifidum	BbifJCM1254_14670	3.73264658195856	1.98128518976864e-38	Upregulated
B. bifidum	BbifJCM1254_08460	5.24638177296663	5.95257687942487e-38	Upregulated
B. bifidum	BbifJCM1254_12100	4.10638092274593	1.77323761979015e-37	Upregulated
B. bifidum	BbifJCM1254_07740	4.79114649092673	5.77451410593747e-37	Upregulated
B. bifidum	BbifJCM1254_08470	4.04696954630483	4.13537792783237e-36	Upregulated
B. bifidum	BbifJCM1254_05760	3.97071033160252	6.02201672767848e-36	Upregulated
B. bifidum	BbifJCM1254_14660	3.27545737363161	1.65000909107036e-35	Upregulated
B. bifidum	BbifJCM1254_08040	4.08349344338957	2.00902681922539e-35	Upregulated
B. bifidum	BbifJCM1254_14650	4.55995012409466	2.27418152822435e-35	Upregulated
B. bifidum	BbifJCM1254_14710	4.27946129993803	1.97215281448644e-34	Upregulated
B. bifidum	BbifJCM1254_17780	4.27700654695082	9.60470308570347e-34	Upregulated
B. bifidum	BbifJCM1254_12670	3.26496364549793	3.15533901954904e-33	Upregulated
B. bifidum	BbifJCM1254_02840	3.55389147320534	3.70606121160579e-33	Upregulated
B. bifidum	BbifJCM1254_03330	4.24480471525098	4.61182421659176e-33	Upregulated
B. bifidum	BbifJCM1254_17930	3.8918391878936	4.61182421659176e-33	Upregulated
B. bifidum	BbifJCM1254_07580	4.25266111946271	1.32755841630322e-32	Upregulated
B. bifidum	BbifJCM1254_09160	3.42776256076513	3.83942165139486e-32	Upregulated
B. bifidum	BbifJCM1254_01660	4.06154714391269	4.76280691839098e-32	Upregulated
B. bifidum	BbifJCM1254_02860	4.26237975769347	5.35162108174738e-32	Upregulated
B. bifidum	BbifJCM1254_17360	3.69093997724883	1.79412700214402e-31	Upregulated
B. bifidum	BbifJCM1254_09130	3.46460328350366	2.10155725480706e-31	Upregulated
B. bifidum	BbifJCM1254_03950	5.81752717984249	4.42035996324743e-30	Upregulated
B. bifidum	BbifJCM1254_09020	3.28051392700275	4.42035996324743e-30	Upregulated
B. bifidum	BbifJCM1254_11990	4.690257251677	8.26187396744201e-30	Upregulated
B. bifidum	BbifJCM1254_12000	3.88680342185329	9.2067050131285e-30	Upregulated
B. bifidum	BbifJCM1254_17680	3.8355629272364	1.18858096747551e-29	Upregulated
B. bifidum	BbifJCM1254_06730	4.4991179790248	1.27222478226181e-29	Upregulated
B. bifidum	BbifJCM1254_05230	5.87333016395113	2.33855393191809e-29	Upregulated
B. bifidum	BbifJCM1254_11540	4.16910465449025	2.54205891495957e-28	Upregulated
B. bifidum	BbifJCM1254_07730	5.05304439060396	2.81560480892798e-28	Upregulated
B. bifidum	BbifJCM1254_06810	4.57029391109616	2.93170797135928e-28	Upregulated
B. bifidum	BbifJCM1254_06150	3.68168163270498	5.54199880647634e-28	Upregulated
B. bifidum	BbifJCM1254_07040	4.56708396499092	6.0285472003663e-28	Upregulated
B. bifidum	BbifJCM1254_17340	4.37407646793271	6.533854925392e-28	Upregulated
B. bifidum	BbifJCM1254_13540	5.04646728921257	1.29026287539294e-27	Upregulated
B. bifidum	BbifJCM1254_08900	3.62802804688728	1.61847123277947e-27	Upregulated
B. bifidum	BbifJCM1254_16920	4.4306962272418	1.61847123277947e-27	Upregulated
B. bifidum	BbifJCM1254_09040	3.46478038253508	1.92742027598796e-27	Upregulated
B. bifidum	BbifJCM1254_17750	3.75420324141771	3.33505990129096e-27	Upregulated
B. bifidum	BbifJCM1254_14930	4.29661069351493	4.10155868279212e-27	Upregulated
E. coli	b2240	-5.43731143573019	9.6090648307809e-27	Downregulated
B. bifidum	BbifJCM1254_12080	4.17481367461234	2.61077618556342e-26	Upregulated
B. bifidum	BbifJCM1254_10160	4.56169608484264	3.75595513905957e-26	Upregulated
B. bifidum	BbifJCM1254_02800	3.60236385886964	9.71286632089818e-26	Upregulated
B. bifidum	BbifJCM1254_01030	5.65352311802366	6.67841601696473e-25	Upregulated
B. bifidum	BbifJCM1254_15690	5.53788218548396	7.20138966235876e-25	Upregulated
B. bifidum	BbifJCM1254_05150	4.56480331438488	7.95843372347972e-25	Upregulated
B. bifidum	BbifJCM1254_01650	3.62285211495611	8.47767027893699e-25	Upregulated
B. bifidum	BbifJCM1254_10960	5.15636128728709	1.10546533448187e-24	Upregulated
B. bifidum	BbifJCM1254_08740	4.05631502091134	1.10546533448187e-24	Upregulated
B. bifidum	BbifJCM1254_17440	4.07544972586236	1.332492820857e-24	Upregulated
B. bifidum	BbifJCM1254_07600	6.87633716280417	1.85049048092555e-24	Upregulated
B. bifidum	BbifJCM1254_17400	6.68392669532997	2.09105675540099e-24	Upregulated
B. bifidum	BbifJCM1254_15630	4.18485855464076	2.43016671130706e-24	Upregulated
B. bifidum	BbifJCM1254_07720	4.86393683390286	5.08467925760021e-24	Upregulated
B. bifidum	BbifJCM1254_16000	3.99232303600871	5.25312838737022e-24	Upregulated
B. bifidum	BbifJCM1254_00170	4.14936267363005	5.34892544605336e-24	Upregulated
B. bifidum	BbifJCM1254_13420	3.63758683025387	7.02049707114823e-24	Upregulated
B. bifidum	BbifJCM1254_12150	3.58010336891517	1.05357253922712e-23	Upregulated
B. bifidum	BbifJCM1254_05560	3.81553023065066	1.67899050435263e-23	Upregulated
B. bifidum	BbifJCM1254_15360	5.27549871524867	1.72462130086136e-23	Upregulated
E. coli	b2092	-3.50123782263389	2.22053283497889e-23	Downregulated
B. bifidum	BbifJCM1254_03980	5.27906373538476	2.42580200056621e-23	Upregulated
B. bifidum	BbifJCM1254_10150	4.12042052848258	3.46829271217155e-23	Upregulated
B. bifidum	BbifJCM1254_15210	4.45891460900973	4.58270714400004e-23	Upregulated
B. bifidum	BbifJCM1254_11300	3.92305549944921	5.74482450363206e-23	Upregulated
B. bifidum	BbifJCM1254_03730	4.40392926823132	5.74482450363206e-23	Upregulated
B. bifidum	BbifJCM1254_02130	4.67833257260592	7.48773511953145e-23	Upregulated
B. bifidum	BbifJCM1254_11410	4.57805095346894	7.89978201100554e-23	Upregulated
B. bifidum	BbifJCM1254_17670	3.41080994245406	9.99031400441176e-23	Upregulated
B. bifidum	BbifJCM1254_13130	4.60883716243733	1.06989276141325e-22	Upregulated
B. bifidum	BbifJCM1254_05080	3.79182589319757	1.10860503859497e-22	Upregulated
B. bifidum	BbifJCM1254_09200	3.7616811424157	1.78378431258577e-22	Upregulated
B. bifidum	BbifJCM1254_08060	5.12194538496168	1.80620483887515e-22	Upregulated
B. bifidum	BbifJCM1254_09090	4.13480369757481	1.8445998589502e-22	Upregulated
B. bifidum	BbifJCM1254_08030	4.33970703393949	4.19921444318193e-22	Upregulated
B. bifidum	BbifJCM1254_10390	6.72380236571339	4.19921444318193e-22	Upregulated
E. coli	b2239	-4.49643171881946	6.21402934515335e-22	Downregulated
B. bifidum	BbifJCM1254_09050	3.47119049748819	6.93096710637285e-22	Upregulated
E. coli	b4355	-4.99591031427179	7.27837764491802e-22	Downregulated
B. bifidum	BbifJCM1254_10460	5.34948081715299	8.24996399016491e-22	Upregulated
B. bifidum	BbifJCM1254_05240	5.89929261184494	8.70693248098476e-22	Upregulated
B. bifidum	BbifJCM1254_09240	3.38707859298797	1.08669785504859e-21	Upregulated
B. bifidum	BbifJCM1254_13010	4.61562148715684	1.15160044878351e-21	Upregulated
B. bifidum	BbifJCM1254_01100	4.51077277089283	1.4757328679642e-21	Upregulated
B. bifidum	BbifJCM1254_06720	4.75558179678282	1.78155100314525e-21	Upregulated
B. bifidum	BbifJCM1254_10270	3.71867098366802	2.46943209733165e-21	Upregulated
B. bifidum	BbifJCM1254_04030	3.70794138727454	2.57897023949706e-21	Upregulated
B. bifidum	BbifJCM1254_00820	4.63664420495297	4.21503182197465e-21	Upregulated
B. bifidum	BbifJCM1254_13100	5.56715900605276	4.21503182197465e-21	Upregulated
B. bifidum	BbifJCM1254_06740	4.47102671147055	4.36255362696255e-21	Upregulated
B. bifidum	BbifJCM1254_13190	5.18034252736358	4.36255362696255e-21	Upregulated
B. bifidum	BbifJCM1254_16190	4.01560725904144	7.08910755018693e-21	Upregulated
B. bifidum	BbifJCM1254_09230	3.15199493593849	1.0311894847695e-20	Upregulated
B. bifidum	BbifJCM1254_03970	5.01953617582476	1.0374785303757e-20	Upregulated
B. bifidum	BbifJCM1254_04770	4.19425492403093	1.25752196047425e-20	Upregulated
B. bifidum	BbifJCM1254_06180	4.84339868742499	1.58831418490876e-20	Upregulated
B. bifidum	BbifJCM1254_04980	4.10130163018049	1.66891714376303e-20	Upregulated
B. bifidum	BbifJCM1254_09140	3.30273174352545	1.7154409831707e-20	Upregulated
