microorganism	locus_tag	log2FoldChange	padj	diffexpr
B. infantis	Blon_2284	-9.21050869451878	5.22068153119939e-58	Downregulated
B. infantis	Blon_2270	-8.84388157261768	5.05867847846075e-50	Downregulated
B. infantis	Blon_1722	-8.50714206922277	3.42277684781941e-45	Downregulated
B. infantis	Blon_0307	-9.60469143247038	1.88030064009106e-43	Downregulated
B. infantis	Blon_1087	-6.35879017581344	2.16361680859198e-38	Downregulated
B. infantis	Blon_0922	-8.87359340504711	7.41901858702097e-35	Downregulated
B. infantis	Blon_1153	-7.66862412483939	1.63432748692039e-31	Downregulated
B. infantis	Blon_0309	-9.88093148310501	4.63445255938646e-31	Downregulated
B. infantis	Blon_0070	-7.11943626484937	4.63445255938646e-31	Downregulated
B. infantis	Blon_0059	-8.78137306946071	4.63445255938646e-31	Downregulated
B. infantis	Blon_0614	-9.90591927099887	1.9392091295127e-28	Downregulated
B. infantis	Blon_0308	-9.07188807522044	1.14040560178806e-26	Downregulated
P. acidilactici	HN015_02220	5.39381504177039	4.16803150286061e-26	Upregulated
B. infantis	Blon_1715	-12.5508710149518	5.04268729988459e-26	Downregulated
B. infantis	Blon_0584	-10.1734615433181	7.51929999305114e-25	Downregulated
B. infantis	Blon_2062	-9.56722740200753	2.25566946802856e-24	Downregulated
B. infantis	Blon_1731	-10.7080626381344	3.05201948018722e-24	Downregulated
B. infantis	Blon_2016	-5.97186961173886	2.34367541439817e-23	Downregulated
B. infantis	Blon_0702	-11.462541479738	2.73003430508971e-23	Downregulated
B. infantis	Blon_1836	-11.5594401737092	5.08721909637742e-22	Downregulated
B. infantis	Blon_1923	-12.7970817724765	1.20623253468068e-21	Downregulated
B. infantis	Blon_2238	-9.84956415107651	6.82226042150713e-21	Downregulated
E. coli	b2185	2.26189346706356	1.1393322441307e-20	Upregulated
B. infantis	Blon_0142	-4.55891509513121	1.21902255939553e-20	Downregulated
B. infantis	Blon_0925	-11.2579649603079	1.24904012112107e-20	Downregulated
B. infantis	Blon_0612	-16.4543920940704	2.02495245125833e-20	Downregulated
B. infantis	Blon_1096	-16.8648908920876	6.55362232217596e-20	Downregulated
B. infantis	Blon_0260	-10.7867945272717	8.17512317790887e-20	Downregulated
B. infantis	Blon_2134	-8.94572572960726	9.44146676102932e-20	Downregulated
B. infantis	Blon_2334	-16.13298838791	1.1605322692509e-19	Downregulated
B. infantis	Blon_2233	-6.15896885821647	1.9330723808717e-19	Downregulated
B. infantis	Blon_0281	-7.04226952485541	2.32284733349388e-19	Downregulated
B. infantis	Blon_1095	-13.4189996937463	3.47127622926402e-19	Downregulated
B. infantis	Blon_1147	-6.68209588889035	3.47127622926402e-19	Downregulated
B. infantis	Blon_0565	-8.16214700462845	5.7581522996718e-19	Downregulated
B. infantis	Blon_1922	-16.2237240635257	5.83794175778548e-19	Downregulated
B. infantis	Blon_0417	-15.8059943557785	8.62481997901026e-19	Downregulated
B. infantis	Blon_0900	-15.2607179734344	1.55115033943176e-18	Downregulated
B. infantis	Blon_1941	-8.37104887154142	2.33670426806651e-18	Downregulated
B. infantis	Blon_2198	-15.6073227998976	2.58704758020647e-18	Downregulated
B. infantis	Blon_0904	-6.41419893273034	3.10258896485606e-18	Downregulated
B. infantis	Blon_2271	-10.5088402013864	5.89598292789865e-18	Downregulated
B. infantis	Blon_0738	-15.3259722275758	6.31775035599524e-18	Downregulated
B. infantis	Blon_2049	-13.087533146164	9.95911626023433e-18	Downregulated
E. coli	b3916	2.4543645799786	1.02937907608332e-17	Upregulated
B. infantis	Blon_0170	-10.5450119737953	1.16581390134767e-17	Downregulated
P. acidilactici	HN015_02120	3.21623769198549	2.88017563594466e-17	Upregulated
B. infantis	Blon_2184	-15.550093825538	3.48781513094097e-17	Downregulated
B. infantis	Blon_0029	-9.09790271147457	3.77051294377105e-17	Downregulated
