microorganism	locus_tag	log2FoldChange	padj	diffexpr
B. bifidum	BbifJCM1254_13340	5.7840466805687	1.23282038735651e-112	Upregulated
B. bifidum	BbifJCM1254_09610	5.55385381625675	2.60800590399107e-105	Upregulated
B. bifidum	BbifJCM1254_09020	5.82408658215334	8.99977461472646e-84	Upregulated
B. bifidum	BbifJCM1254_14660	5.1134280289707	9.55889765553006e-83	Upregulated
B. bifidum	BbifJCM1254_14670	5.51903965516081	2.39758040898578e-81	Upregulated
B. bifidum	BbifJCM1254_05750	5.4779146764098	2.39758040898578e-81	Upregulated
B. bifidum	BbifJCM1254_01140	6.46221055371545	9.82352995604701e-79	Upregulated
B. bifidum	BbifJCM1254_17360	5.96726012981403	9.82352995604701e-79	Upregulated
B. bifidum	BbifJCM1254_02840	5.60159311289997	1.65866494343331e-77	Upregulated
B. bifidum	BbifJCM1254_09160	5.50280646480122	2.50211727329276e-77	Upregulated
B. bifidum	BbifJCM1254_09130	5.8641364700674	8.85978597053004e-76	Upregulated
B. bifidum	BbifJCM1254_05760	5.75896903103547	2.90102731727294e-74	Upregulated
B. bifidum	BbifJCM1254_08470	6.40653592766121	3.10098073902942e-74	Upregulated
B. bifidum	BbifJCM1254_12100	5.94749579925333	2.71692254066193e-72	Upregulated
B. bifidum	BbifJCM1254_12670	5.22395488615688	3.56933702210658e-70	Upregulated
B. bifidum	BbifJCM1254_07740	6.94620928869439	4.55411328590337e-69	Upregulated
B. bifidum	BbifJCM1254_08040	6.83893102620186	3.4874118808627e-68	Upregulated
B. bifidum	BbifJCM1254_06150	6.54739071065907	1.34102254823414e-66	Upregulated
B. bifidum	BbifJCM1254_17930	5.48287459056594	1.27950345712002e-64	Upregulated
B. bifidum	BbifJCM1254_10410	5.95803730029335	1.30719516171749e-63	Upregulated
B. bifidum	BbifJCM1254_17780	5.89939855163473	6.62790546891944e-63	Upregulated
B. bifidum	BbifJCM1254_14710	6.36937958294214	7.82224832249966e-63	Upregulated
B. bifidum	BbifJCM1254_02800	5.6346312438199	1.14151466916757e-61	Upregulated
B. bifidum	BbifJCM1254_09040	5.83306805172577	2.53378517297057e-61	Upregulated
B. bifidum	BbifJCM1254_12000	6.00041826068994	3.34849348646996e-61	Upregulated
B. bifidum	BbifJCM1254_03330	5.79965182196619	1.43207737660819e-60	Upregulated
B. bifidum	BbifJCM1254_14650	6.401111301289	3.12944308016487e-60	Upregulated
B. bifidum	BbifJCM1254_17750	5.66674386250348	1.6898493311273e-59	Upregulated
B. bifidum	BbifJCM1254_08900	5.40239578618307	2.34238156047481e-59	Upregulated
B. bifidum	BbifJCM1254_13360	6.70874140057374	6.84139609751112e-59	Upregulated
B. bifidum	BbifJCM1254_02610	4.95667075533215	4.38795048500418e-58	Upregulated
B. bifidum	BbifJCM1254_02860	5.7901163910927	5.69912139112045e-58	Upregulated
B. bifidum	BbifJCM1254_17680	6.38387221804147	9.60154642510781e-57	Upregulated
B. bifidum	BbifJCM1254_11200	5.79014339765745	3.77967545175304e-56	Upregulated
B. bifidum	BbifJCM1254_08460	6.16859171639718	3.92373782491178e-56	Upregulated
B. bifidum	BbifJCM1254_05080	6.26871421109712	1.01288749161631e-55	Upregulated
B. bifidum	BbifJCM1254_08990	5.7960768474821	7.81396468876024e-55	Upregulated
B. bifidum	BbifJCM1254_09230	5.46430081538271	3.00412196210006e-54	Upregulated
B. bifidum	BbifJCM1254_12150	5.50296131333259	4.49521561651584e-54	Upregulated
B. bifidum	BbifJCM1254_03690	7.18873914653914	1.94663453177078e-53	Upregulated
B. bifidum	BbifJCM1254_01660	5.10105167435964	4.16767954954782e-52	Upregulated
B. bifidum	BbifJCM1254_07040	6.76384778785048	3.51344605454556e-51	Upregulated
B. bifidum	BbifJCM1254_06730	5.93057856031393	4.50493775038741e-51	Upregulated
B. bifidum	BbifJCM1254_01650	5.2807124318506	6.24341828067235e-51	Upregulated
B. bifidum	BbifJCM1254_16920	6.14313137662638	7.20868148285278e-51	Upregulated
B. bifidum	BbifJCM1254_09050	5.41012605873281	7.56440071266868e-51	Upregulated
B. bifidum	BbifJCM1254_07580	4.70600533891	1.20659539083712e-50	Upregulated
B. bifidum	BbifJCM1254_08750	6.46226254963531	1.87985517296045e-50	Upregulated
B. bifidum	BbifJCM1254_07730	7.10753757651769	1.87985517296045e-50	Upregulated
B. bifidum	BbifJCM1254_09240	5.27338170113561	2.17795651690666e-50	Upregulated
B. bifidum	BbifJCM1254_11540	6.41286487569471	6.44335102952553e-49	Upregulated
B. bifidum	BbifJCM1254_09140	5.19091966058037	2.53833856179254e-48	Upregulated
B. bifidum	BbifJCM1254_17340	6.7229450551485	9.21887736149208e-48	Upregulated
B. bifidum	BbifJCM1254_11990	5.6286342529744	1.08658785667619e-47	Upregulated
B. bifidum	BbifJCM1254_06810	5.9083817089252	1.17846460164728e-47	Upregulated
B. bifidum	BbifJCM1254_03510	6.51704131133756	2.6332940074545e-47	Upregulated
B. bifidum	BbifJCM1254_12080	6.04551269953073	3.04600472579471e-47	Upregulated
B. bifidum	BbifJCM1254_15280	6.28052984177233	3.13987112535074e-47	Upregulated
B. bifidum	BbifJCM1254_08660	5.65353349067099	3.41893330663128e-47	Upregulated
B. bifidum	BbifJCM1254_09200	6.14071476397968	6.47118220508508e-47	Upregulated
B. bifidum	BbifJCM1254_10270	6.1336785310733	1.08638311274989e-46	Upregulated
B. bifidum	BbifJCM1254_08740	5.72721800151472	2.77891351829403e-46	Upregulated
B. bifidum	BbifJCM1254_09990	5.80279396214861	1.37797100311683e-44	Upregulated
B. bifidum	BbifJCM1254_00170	6.19480038956786	1.39978795090872e-44	Upregulated
B. bifidum	BbifJCM1254_16000	5.87662712122351	5.15762744852811e-44	Upregulated
B. bifidum	BbifJCM1254_13420	6.52872617195593	5.48225598862578e-44	Upregulated
B. bifidum	BbifJCM1254_11330	6.0155095290673	1.97831876200881e-43	Upregulated
B. bifidum	BbifJCM1254_13290	5.99333921093318	2.26946160651271e-43	Upregulated
B. bifidum	BbifJCM1254_07870	6.00376522260685	4.56089213119359e-43	Upregulated
B. bifidum	BbifJCM1254_05150	6.09547482069002	4.56089213119359e-43	Upregulated
B. bifidum	BbifJCM1254_13540	5.74002002682132	7.2897389132966e-43	Upregulated
B. bifidum	BbifJCM1254_15630	5.54795607599777	1.05372562964146e-42	Upregulated
B. bifidum	BbifJCM1254_14930	5.09929174307002	1.14043262568063e-42	Upregulated
B. bifidum	BbifJCM1254_03730	7.11144863032142	6.28449308703504e-42	Upregulated
B. bifidum	BbifJCM1254_08650	5.90255316208776	9.04152320083237e-42	Upregulated
B. bifidum	BbifJCM1254_17670	6.83014782336613	1.0203087813473e-41	Upregulated
B. bifidum	BbifJCM1254_09030	5.64708625756617	1.55002612919592e-41	Upregulated
B. bifidum	BbifJCM1254_14840	5.33381957006863	3.75418591119277e-41	Upregulated
B. bifidum	BbifJCM1254_09110	5.29240170037223	7.20243406389379e-41	Upregulated
B. bifidum	BbifJCM1254_17940	5.82742413449145	9.99448432380813e-41	Upregulated
