microorganism	locus_tag	log2FoldChange	padj	diffexpr
E. coli	b3612	2.18836532125659	4.80069565690622e-24	Upregulated
B. bifidum	BbifJCM1254_12670	2.23662169854908	1.1374857793497e-17	Upregulated
E. coli	b0503	2.23194190341311	2.78010035526262e-16	Upregulated
E. coli	b4147	2.38442246415843	2.98699853923136e-15	Upregulated
E. coli	b4002	4.41833537092518	6.77764249958904e-15	Upregulated
E. coli	b3739	2.52188611948866	9.48719781981935e-14	Upregulated
E. coli	b2496	2.90090707324951	8.2361246144133e-12	Upregulated
E. coli	b1221	2.30883690783366	6.42436125514902e-11	Upregulated
E. coli	b1876	2.1252132398928	7.47683672694712e-10	Upregulated
E. coli	b4025	2.15755691171268	5.5423174828699e-09	Upregulated
B. bifidum	BbifJCM1254_13360	2.14582996377093	5.5423174828699e-09	Upregulated
E. coli	b4131	-3.28298643054041	7.50423768990319e-09	Downregulated
E. coli	b1830	2.01822217422865	7.94122745706418e-09	Upregulated
E. coli	b0238	2.18320412153158	1.00063534561347e-08	Upregulated
B. bifidum	BbifJCM1254_16000	2.03353214719149	1.13594220326637e-08	Upregulated
B. breve	BBBR_0062	-2.1502273601824	1.44585244984706e-08	Downregulated
E. coli	b0122	2.94695838329416	2.16546371497709e-08	Upregulated
E. coli	b3476	2.06825504150446	5.09689488819794e-08	Upregulated
E. coli	b2197	3.13530700721829	6.33841591537578e-08	Upregulated
E. coli	b4132	-3.16731114330087	1.44977772381642e-07	Downregulated
E. coli	b2580	2.18867784486666	1.48632698980447e-07	Upregulated
E. coli	b3775	2.53790336766299	2.61629550152613e-07	Upregulated
E. coli	b2790	2.006314404407	3.45511248050112e-07	Upregulated
E. coli	b1591	2.21331740455808	6.19898041648758e-07	Upregulated
E. coli	b1928	2.12014172719358	7.4230087393739e-07	Upregulated
E. coli	b0496	2.31190686769803	9.75296324585409e-07	Upregulated
E. coli	b0752	2.51443690765326	9.90437040647045e-07	Upregulated
B. bifidum	BbifJCM1254_12690	2.31849116015174	1.12554623557785e-06	Upregulated
E. coli	b3479	2.01298654918427	1.57972996410107e-06	Upregulated
E. coli	b4079	2.00665345916565	1.75908976257291e-06	Upregulated
E. coli	b3180	2.4746809019213	2.08911785277672e-06	Upregulated
E. coli	b1787	2.39668509985653	2.57156065967144e-06	Upregulated
E. coli	b3009	2.18811508803022	2.60587635934794e-06	Upregulated
