microorganism	locus_tag	log2FoldChange	padj	diffexpr
B. breve	BBBR_1177	-4.55851183087137	1.1795658072028e-31	Downregulated
B. breve	BBBR_1484	-4.12991270552158	1.20538839006084e-27	Downregulated
B. breve	BBBR_1548	-4.44635560992361	3.17853039745638e-26	Downregulated
B. breve	BBBR_0510	-4.73554341462892	9.29743679089322e-26	Downregulated
B. breve	BBBR_0059	-4.41645486655351	2.06354752674572e-25	Downregulated
B. breve	BBBR_1178	-3.71243540191761	2.22585932239944e-25	Downregulated
B. breve	BBBR_0435	-4.27162809013738	3.05012576609236e-25	Downregulated
B. breve	BBBR_0952	-3.96013026287822	4.10083385260564e-25	Downregulated
B. breve	BBBR_0066	-4.01468930412773	4.10083385260564e-25	Downregulated
B. breve	BBBR_1380	-4.37678508805804	4.43948779635037e-25	Downregulated
B. breve	BBBR_0711	-4.61586367000569	4.74434489140927e-25	Downregulated
B. breve	BBBR_1204	-3.96394676839255	1.46036837101214e-24	Downregulated
B. breve	BBBR_1589	-4.84822909632605	1.585463065109e-24	Downregulated
B. breve	BBBR_1594	-4.71232075656508	1.60233328333019e-24	Downregulated
B. breve	BBBR_1785	-5.14758715288431	2.2392430296018e-24	Downregulated
B. breve	BBBR_1502	-4.73916287668589	3.4266645086014e-24	Downregulated
B. breve	BBBR_0240	-4.26208021115019	5.91501681213754e-24	Downregulated
B. breve	BBBR_0022	-4.66633426874534	8.04630668719743e-24	Downregulated
B. breve	BBBR_0600	-5.10153660377241	8.30859723707371e-24	Downregulated
B. breve	BBBR_0868	-4.50910811012208	9.87288444589182e-24	Downregulated
B. breve	BBBR_0944	-4.59160164480665	2.94906435780306e-23	Downregulated
B. breve	BBBR_0959	-4.4946388736625	7.58327425709898e-23	Downregulated
B. breve	BBBR_1720	-3.64032953606709	9.90831557393433e-23	Downregulated
B. breve	BBBR_1619	-4.59911478209599	1.72717626726874e-22	Downregulated
B. breve	BBBR_1412	-3.66144891635495	5.01695980324379e-22	Downregulated
B. breve	BBBR_0349	-4.09042670417516	1.50376147021188e-21	Downregulated
B. breve	BBBR_0442	-4.88159568358668	2.83391555290856e-21	Downregulated
B. breve	BBBR_0675	-3.6580550179943	2.85876499273652e-21	Downregulated
B. breve	BBBR_1534	-4.56374951210509	3.27615098385833e-21	Downregulated
B. breve	BBBR_0002	-4.64143050771835	3.52903221809206e-21	Downregulated
B. breve	BBBR_0920	-4.03161329641683	5.39732696081824e-21	Downregulated
B. breve	BBBR_1625	-3.99754574327432	1.53278008152916e-20	Downregulated
P. acidilactici	HN015_02220	4.86395776923702	1.86663144557762e-20	Upregulated
B. breve	BBBR_0705	-4.21947538747622	1.94976246586962e-20	Downregulated
B. breve	BBBR_0709	-3.9398560615398	2.30187942615414e-20	Downregulated
B. breve	BBBR_0154	-4.9856673787312	2.65835000751526e-20	Downregulated
B. breve	BBBR_1640	-4.00802740914081	4.13160710845757e-20	Downregulated
B. infantis	Blon_2419	-3.72411286066266	4.18420074032379e-20	Downregulated
B. breve	BBBR_1685	-3.91219883649951	5.05290739672307e-20	Downregulated
B. breve	BBBR_0422	-4.42520091983456	5.33217394393513e-20	Downregulated
B. infantis	Blon_2420	-3.89478311216141	7.35352474939777e-20	Downregulated
B. breve	BBBR_0423	-4.29892753392775	1.01244032200271e-19	Downregulated
B. breve	BBBR_1085	-4.29481738323249	1.26581883929377e-19	Downregulated
B. breve	BBBR_1191	-4.85702597989876	1.39328814732725e-19	Downregulated
B. breve	BBBR_1573	-4.06149755460163	1.48354335964433e-19	Downregulated
B. breve	BBBR_1824	-4.2879772233485	1.48354335964433e-19	Downregulated
B. breve	BBBR_1633	-4.17988950822782	1.59798435466602e-19	Downregulated
B. breve	BBBR_1565	-3.95647370323019	1.60963032023889e-19	Downregulated
B. breve	BBBR_0434	-4.50064429403615	1.88791631108378e-19	Downregulated
B. breve	BBBR_0007	-4.67548220987116	2.34045460769894e-19	Downregulated
B. breve	BBBR_1605	-4.46434203695724	2.38928702794805e-19	Downregulated
B. breve	BBBR_1406	-4.43349788277628	2.42894367232842e-19	Downregulated
B. breve	BBBR_1620	-4.3935705990235	3.57303785273606e-19	Downregulated
