microorganism	locus_tag	log2FoldChange	padj	diffexpr
B. bifidum	BbifJCM1254_12670	3.26292815679223	5.71562856494205e-42	Upregulated
B. bifidum	BbifJCM1254_09610	3.00842490740674	1.83379274367674e-38	Upregulated
B. bifidum	BbifJCM1254_01140	3.17120862669672	3.33022336103282e-38	Upregulated
B. bifidum	BbifJCM1254_02610	3.61032406882749	2.77240761256963e-34	Upregulated
B. bifidum	BbifJCM1254_08040	3.62325980654621	5.01512326617973e-34	Upregulated
B. bifidum	BbifJCM1254_10410	3.38785404807079	1.57523666649935e-31	Upregulated
B. bifidum	BbifJCM1254_14650	3.42358449406573	2.04201312346418e-29	Upregulated
B. bifidum	BbifJCM1254_03330	3.71690125809431	5.92815861500915e-29	Upregulated
B. bifidum	BbifJCM1254_14710	3.37768021179649	1.68516497877214e-28	Upregulated
B. bifidum	BbifJCM1254_17680	3.27796551635592	4.34366442745825e-28	Upregulated
B. bifidum	BbifJCM1254_07580	3.20031794646908	1.49267635592289e-27	Upregulated
B. bifidum	BbifJCM1254_11540	3.36399347811362	8.62077607382632e-27	Upregulated
B. bifidum	BbifJCM1254_13420	3.38667294401527	1.37286551260093e-26	Upregulated
B. bifidum	BbifJCM1254_08470	3.00053583043742	4.6173692184229e-24	Upregulated
B. bifidum	BbifJCM1254_17340	3.40564063622817	1.38117815647223e-23	Upregulated
B. breve	BBBR_1204	5.06310276962616	6.63934699209988e-23	Upregulated
B. bifidum	BbifJCM1254_06150	3.14586484872465	6.96817354807832e-23	Upregulated
B. bifidum	BbifJCM1254_04030	3.40403535598322	7.38906200490396e-23	Upregulated
B. bifidum	BbifJCM1254_17360	3.08340265108617	1.77016106672047e-22	Upregulated
B. bifidum	BbifJCM1254_14950	4.11771454371451	3.1562998675617e-22	Upregulated
B. bifidum	BbifJCM1254_02840	2.79937337426168	3.18210346970829e-22	Upregulated
B. bifidum	BbifJCM1254_08460	3.69008193590335	3.5350352365512e-22	Upregulated
B. bifidum	BbifJCM1254_08750	3.88375320654068	4.37300992288989e-22	Upregulated
B. bifidum	BbifJCM1254_13540	3.63654906672324	5.43732202451265e-22	Upregulated
B. bifidum	BbifJCM1254_13290	3.55014919112155	6.391998361978e-22	Upregulated
B. bifidum	BbifJCM1254_14670	2.65405564068733	1.04995244480814e-21	Upregulated
B. bifidum	BbifJCM1254_15040	3.80663522442054	1.09050815328529e-21	Upregulated
B. bifidum	BbifJCM1254_17670	2.89495748670384	2.50696649623726e-21	Upregulated
B. bifidum	BbifJCM1254_14660	2.4105138533083	2.57419617904612e-21	Upregulated
B. breve	BBBR_1593	5.29289505506833	2.83886434898037e-21	Upregulated
B. bifidum	BbifJCM1254_02860	3.14819772920289	3.20075142378834e-21	Upregulated
B. breve	BBBR_0705	5.95577463080382	5.26768598043352e-21	Upregulated
B. bifidum	BbifJCM1254_05750	2.66418060305441	6.79715890904501e-21	Upregulated
B. bifidum	BbifJCM1254_00170	3.39390074483386	7.48364644017147e-21	Upregulated
B. bifidum	BbifJCM1254_13340	2.37328502004067	1.24787278091105e-20	Upregulated
B. bifidum	BbifJCM1254_15630	2.90384198829249	4.63445152317175e-20	Upregulated
B. bifidum	BbifJCM1254_05760	2.85694614638871	5.53307661930085e-20	Upregulated
B. bifidum	BbifJCM1254_11210	3.40255465030858	6.33523271797408e-20	Upregulated
B. bifidum	BbifJCM1254_06730	3.1006578442468	1.02588052363599e-19	Upregulated
B. bifidum	BbifJCM1254_16270	4.41531380220066	1.48643171097174e-19	Upregulated
B. bifidum	BbifJCM1254_12100	2.61140480587533	1.80783134338323e-19	Upregulated
B. bifidum	BbifJCM1254_11300	2.88496547470455	2.07958373828983e-19	Upregulated
B. bifidum	BbifJCM1254_08740	3.20541379186861	2.15603205556264e-19	Upregulated
B. bifidum	BbifJCM1254_13360	3.10734386591035	4.35319897487258e-19	Upregulated
B. bifidum	BbifJCM1254_11990	3.13680981453768	4.41631713239068e-19	Upregulated
B. bifidum	BbifJCM1254_07040	3.35717816761133	4.94157080721269e-19	Upregulated
B. bifidum	BbifJCM1254_15210	3.01366466297015	5.49102967897331e-19	Upregulated
B. bifidum	BbifJCM1254_12000	2.79258772891731	5.79976080763034e-19	Upregulated
