microorganism	locus_tag	log2FoldChange	padj	diffexpr
B. bifidum	BbifJCM1254_09610	5.90958360140724	3.03836485614347e-117	Upregulated
B. bifidum	BbifJCM1254_05750	5.9509844281373	2.59281604753947e-94	Upregulated
B. bifidum	BbifJCM1254_13340	5.15568814619148	1.0342518810312e-93	Upregulated
B. bifidum	BbifJCM1254_01140	5.17431972162301	3.4041667806407e-82	Upregulated
B. bifidum	BbifJCM1254_14660	4.96202573934463	7.3022299628294e-82	Upregulated
B. bifidum	BbifJCM1254_02840	5.67409813743491	3.30820356217265e-81	Upregulated
B. bifidum	BbifJCM1254_14670	5.36775424575103	1.6967285170322e-80	Upregulated
B. bifidum	BbifJCM1254_12670	4.82521914662758	2.94692725805858e-74	Upregulated
B. bifidum	BbifJCM1254_09130	5.38848377908103	3.24379744762534e-73	Upregulated
B. bifidum	BbifJCM1254_12100	5.67176402529117	3.24379744762534e-73	Upregulated
B. bifidum	BbifJCM1254_17360	5.62698176564736	2.04132135098107e-72	Upregulated
B. bifidum	BbifJCM1254_08470	5.63338162960237	2.56440057361325e-71	Upregulated
B. bifidum	BbifJCM1254_09160	5.08153419280828	6.59679495157395e-71	Upregulated
B. bifidum	BbifJCM1254_09020	5.01698239241632	4.33243966742535e-70	Upregulated
B. bifidum	BbifJCM1254_08040	5.70768763534861	4.62905242551964e-70	Upregulated
B. bifidum	BbifJCM1254_10410	6.08352828248926	2.39361344551084e-69	Upregulated
B. bifidum	BbifJCM1254_05760	5.44506649456715	5.54390160906386e-69	Upregulated
B. bifidum	BbifJCM1254_03330	6.32258030448992	5.5481533699986e-69	Upregulated
B. bifidum	BbifJCM1254_17930	5.57368785515768	4.72256961995116e-68	Upregulated
B. bifidum	BbifJCM1254_14710	6.22499176175898	6.05028499525065e-68	Upregulated
B. bifidum	BbifJCM1254_07740	6.33048663827339	2.61586924351178e-66	Upregulated
B. bifidum	BbifJCM1254_17780	5.98512136734576	2.84642839577974e-66	Upregulated
B. bifidum	BbifJCM1254_02860	6.38008383040794	3.59165674750731e-66	Upregulated
B. bifidum	BbifJCM1254_14650	5.83851629891405	1.93835212233158e-64	Upregulated
B. bifidum	BbifJCM1254_08460	6.70520493641567	2.00857814447591e-64	Upregulated
B. bifidum	BbifJCM1254_09040	5.51279179419099	6.12909244430502e-64	Upregulated
B. bifidum	BbifJCM1254_17680	5.8887974097394	1.07104415944138e-62	Upregulated
B. bifidum	BbifJCM1254_02610	4.9976887032429	3.31589534494903e-61	Upregulated
B. bifidum	BbifJCM1254_08900	5.42234594544019	5.86150102944221e-61	Upregulated
B. bifidum	BbifJCM1254_12000	5.41414479133527	3.74559089218129e-59	Upregulated
B. bifidum	BbifJCM1254_01660	5.39398301090218	4.24704195644708e-58	Upregulated
B. bifidum	BbifJCM1254_06150	5.27223306984262	5.52554231036083e-58	Upregulated
B. bifidum	BbifJCM1254_02800	5.41598732198317	6.73324719589056e-58	Upregulated
B. bifidum	BbifJCM1254_17750	5.46207146735605	2.00422503072446e-57	Upregulated
B. bifidum	BbifJCM1254_13360	5.7826196021367	8.85540015658555e-56	Upregulated
B. bifidum	BbifJCM1254_11540	5.74041084607139	7.08700073693399e-55	Upregulated
B. bifidum	BbifJCM1254_06730	5.91981269624886	2.33466831653907e-54	Upregulated
B. bifidum	BbifJCM1254_07040	6.58498278725964	4.02069691698279e-54	Upregulated
B. bifidum	BbifJCM1254_01650	5.36321246984683	8.73388040151516e-54	Upregulated
B. bifidum	BbifJCM1254_17340	6.12866161767865	3.73762451274035e-53	Upregulated
B. bifidum	BbifJCM1254_09230	5.09741048619603	7.17550134805568e-52	Upregulated
B. bifidum	BbifJCM1254_13420	5.72640481605537	1.6330955342828e-51	Upregulated
B. bifidum	BbifJCM1254_17670	5.34732363193309	3.28215230662923e-51	Upregulated
B. bifidum	BbifJCM1254_08740	6.10222448359239	3.53994298373999e-51	Upregulated
B. bifidum	BbifJCM1254_08750	6.20327004569113	3.63686143065412e-50	Upregulated
B. bifidum	BbifJCM1254_12080	5.58578218671214	4.54361966382063e-50	Upregulated
B. bifidum	BbifJCM1254_09240	5.17351417786755	8.34400552699088e-50	Upregulated
B. bifidum	BbifJCM1254_05080	5.65058947926439	2.02754198643053e-49	Upregulated
B. bifidum	BbifJCM1254_09050	5.22965404864136	4.80493821819441e-49	Upregulated
B. bifidum	BbifJCM1254_06810	5.95211915464011	5.46610390555736e-49	Upregulated
B. bifidum	BbifJCM1254_09200	5.76176861233397	8.06803147585533e-49	Upregulated
B. bifidum	BbifJCM1254_16920	5.789348044476	1.18941804944796e-48	Upregulated
B. bifidum	BbifJCM1254_07580	4.36875060777305	1.32491205212441e-48	Upregulated
B. bifidum	BbifJCM1254_16000	5.83123739337817	4.05748785629982e-48	Upregulated
B. bifidum	BbifJCM1254_14930	5.41139967212522	1.21394298245053e-47	Upregulated
B. bifidum	BbifJCM1254_13540	6.05737999000546	3.63925811714208e-47	Upregulated
B. bifidum	BbifJCM1254_11200	4.84817660011893	3.74523644498894e-47	Upregulated
B. bifidum	BbifJCM1254_15630	5.8254187966355	6.59669982420941e-47	Upregulated
B. bifidum	BbifJCM1254_07730	6.34324342000416	6.80235396835025e-47	Upregulated
B. bifidum	BbifJCM1254_09140	5.02949073469049	7.13338782480406e-47	Upregulated
B. bifidum	BbifJCM1254_12150	4.99869145615375	1.05105163107618e-46	Upregulated
B. bifidum	BbifJCM1254_08990	4.9810528937111	2.51593814245289e-46	Upregulated
B. bifidum	BbifJCM1254_11300	5.91843899505096	8.30919590030725e-46	Upregulated
B. bifidum	BbifJCM1254_05560	5.248960277774	2.58055368985605e-45	Upregulated
B. bifidum	BbifJCM1254_00170	5.52911136800836	3.91426821232751e-45	Upregulated
B. bifidum	BbifJCM1254_05150	6.05705028114825	3.91426821232751e-45	Upregulated
B. bifidum	BbifJCM1254_03950	6.9171994829769	4.8493338675929e-45	Upregulated
B. bifidum	BbifJCM1254_03510	5.57035344608776	1.06851451667983e-44	Upregulated
B. bifidum	BbifJCM1254_03280	6.29747933405494	1.20149564401942e-44	Upregulated
B. bifidum	BbifJCM1254_09090	6.10225285790189	2.09911721663312e-44	Upregulated
B. bifidum	BbifJCM1254_09990	5.40666796579749	3.59132920082918e-44	Upregulated
B. bifidum	BbifJCM1254_13290	5.49602248566509	5.68517248748854e-44	Upregulated
B. bifidum	BbifJCM1254_11990	5.01330584541913	6.39119967225403e-44	Upregulated
B. bifidum	BbifJCM1254_03730	6.10611192718081	1.17737891698732e-43	Upregulated
B. bifidum	BbifJCM1254_03690	5.7672750185382	1.30696149478502e-43	Upregulated
B. bifidum	BbifJCM1254_15210	5.78222996729998	2.86966161929712e-43	Upregulated
B. bifidum	BbifJCM1254_10270	5.24035479880442	5.50353373545518e-43	Upregulated
B. bifidum	BbifJCM1254_04030	5.06066910690018	2.12051629342264e-42	Upregulated
