microorganism	locus_tag	log2FoldChange	padj	diffexpr
B. breve	BBBR_1204	6.40033008668681	3.2866102740685e-52	Upregulated
B. breve	BBBR_0062	-5.80346707884727	1.76454143483243e-48	Downregulated
B. breve	BBBR_0705	7.28809340975514	3.7866412318836e-48	Upregulated
B. breve	BBBR_1484	5.83832473377269	3.7866412318836e-48	Upregulated
B. breve	BBBR_1177	6.02438388537989	4.48756888825852e-48	Upregulated
B. breve	BBBR_1720	5.55346150052403	1.37388290348815e-46	Upregulated
B. breve	BBBR_1685	6.80159437943468	5.88434221834615e-45	Upregulated
B. breve	BBBR_1573	6.96769046664908	1.59049715892654e-41	Upregulated
B. breve	BBBR_1548	5.92873096670673	2.50457789843939e-41	Upregulated
B. breve	BBBR_0263	5.38619275288817	5.20460031489463e-40	Upregulated
B. breve	BBBR_1594	6.98101936262083	7.46838105942777e-40	Upregulated
B. breve	BBBR_0423	6.6141908771429	1.3326463038307e-38	Upregulated
B. breve	BBBR_0952	4.95404070830263	3.79439766928605e-38	Upregulated
B. breve	BBBR_1728	6.55895937413011	3.72200858785898e-37	Upregulated
B. breve	BBBR_1654	7.34107560199116	4.14855329284057e-37	Upregulated
B. breve	BBBR_0442	7.50465142874596	9.23456778834564e-37	Upregulated
B. breve	BBBR_1640	6.23951211075946	1.19358602626863e-36	Upregulated
B. breve	BBBR_0675	4.96471801803169	4.57002174812293e-36	Upregulated
B. breve	BBBR_0349	7.21476585791015	1.0180451970274e-35	Upregulated
B. breve	BBBR_0266	6.26440924799466	4.08834801944212e-35	Upregulated
B. breve	BBBR_1625	6.39465172674639	6.68679559789868e-35	Upregulated
B. breve	BBBR_0422	6.24658243870926	1.57433417643558e-34	Upregulated
B. breve	BBBR_0454	5.4699565299981	2.38493996843493e-34	Upregulated
B. breve	BBBR_1686	6.78712546880034	1.3584903405397e-33	Upregulated
B. breve	BBBR_0510	7.73902265488392	2.12218764144177e-33	Upregulated
B. breve	BBBR_0265	5.43952011245801	5.60423706997261e-33	Upregulated
B. bifidum	BbifJCM1254_13340	3.05680561818258	7.2882393230178e-33	Upregulated
B. breve	BBBR_0435	6.0377876397136	1.13561999221712e-32	Upregulated
B. breve	BBBR_1552	8.46461517977636	2.53540652461802e-32	Upregulated
B. breve	BBBR_1605	6.54768682585555	2.70805330433558e-32	Upregulated
B. breve	BBBR_0240	6.14641106419312	1.12059353455604e-31	Upregulated
B. breve	BBBR_0434	7.04823920794614	1.46788333435793e-31	Upregulated
B. breve	BBBR_0709	5.0753226482123	1.4889598190426e-31	Upregulated
B. infantis	Blon_2419	4.90416544887749	1.66975777205564e-31	Upregulated
B. breve	BBBR_1502	6.23366792380168	1.90184600013216e-31	Upregulated
B. breve	BBBR_0723	6.23118220035688	1.90184600013216e-31	Upregulated
B. breve	BBBR_1614	5.57746124257254	3.43649089901904e-31	Upregulated
B. breve	BBBR_1361	6.36041856622857	5.30209007951806e-31	Upregulated
B. breve	BBBR_1641	8.42080441956215	6.72392285921778e-31	Upregulated
B. breve	BBBR_0011	6.95343402882882	6.87248608640916e-31	Upregulated
B. breve	BBBR_1534	5.84555060762866	6.96300605606221e-31	Upregulated
B. breve	BBBR_0535	6.45920955403746	1.12375284589087e-30	Upregulated
