microorganism	locus_tag	log2FoldChange	padj	diffexpr
B. infantis	Blon_0702	-6.25594230318315	9.30367585432058e-41	Downregulated
B. infantis	Blon_0612	-7.67258253121227	1.11367548019601e-33	Downregulated
B. infantis	Blon_2469	-8.45545396651855	2.31653395953928e-33	Downregulated
B. breve	BBBR_0062	-4.8134465043973	2.64121566532989e-33	Downregulated
B. infantis	Blon_1836	-6.90161277776724	1.17262452031679e-32	Downregulated
B. breve	BBBR_1380	4.2969858688175	8.96027728301778e-32	Upregulated
B. infantis	Blon_2334	-7.45555098279078	1.68130945858687e-31	Downregulated
B. infantis	Blon_0900	-6.11181711006017	7.99693398642728e-31	Downregulated
B. breve	BBBR_1593	4.38600594689345	9.85750130184456e-31	Upregulated
B. infantis	Blon_0882	-8.80880785528561	1.40299263909856e-29	Downregulated
B. thetaiotaomicron	BT_0687	6.92642709825716	1.55120998155386e-29	Upregulated
B. breve	BBBR_0059	4.06712270232564	1.70662724095333e-28	Upregulated
B. infantis	Blon_0307	-5.80379236424742	6.25943629101103e-28	Downregulated
B. infantis	Blon_2284	-5.14691409473996	1.49004930727766e-27	Downregulated
B. infantis	Blon_0738	-6.98033252349167	3.36665181719728e-27	Downregulated
B. infantis	Blon_1164	-7.44344025246216	6.02105514816839e-27	Downregulated
B. infantis	Blon_2478	-7.23466229175043	6.49611971029407e-27	Downregulated
B. infantis	Blon_2328	-6.83903179532131	3.05597868417118e-26	Downregulated
B. infantis	Blon_0181	-7.1238983375148	3.05847633207512e-26	Downregulated
B. infantis	Blon_2217	-8.35961072156966	3.05847633207512e-26	Downregulated
B. infantis	Blon_1095	-6.85665741737976	3.06587820952314e-26	Downregulated
B. infantis	Blon_0614	-5.29619753361709	4.05743599479817e-26	Downregulated
B. infantis	Blon_0083	-8.02586084921401	6.71490665072998e-26	Downregulated
B. infantis	Blon_2264	-7.22697530280053	7.45790144172252e-26	Downregulated
B. infantis	Blon_0417	-6.75384512276155	5.57269086616351e-25	Downregulated
B. infantis	Blon_2198	-6.8162073735174	1.28721356202917e-24	Downregulated
B. infantis	Blon_2171	-6.81826463250021	2.44401226169911e-24	Downregulated
B. infantis	Blon_0840	-6.6948055956017	2.9978011404668e-24	Downregulated
B. breve	BBBR_0002	4.33494379725821	3.64227186074704e-24	Upregulated
B. infantis	Blon_0191	-6.75881137314822	1.04389056590165e-23	Downregulated
B. breve	BBBR_1722	4.18553228233398	1.29216858982083e-23	Upregulated
B. infantis	Blon_1315	-7.4944965876019	1.3542959043599e-23	Downregulated
B. breve	BBBR_1177	3.66919979120828	1.53531994367588e-23	Upregulated
B. breve	BBBR_0576	3.95669737692759	1.58028310492772e-23	Upregulated
B. breve	BBBR_0263	3.68354832617044	1.70248834896431e-23	Upregulated
B. breve	BBBR_0435	3.67384091929745	1.70248834896431e-23	Upregulated
P. acidilactici	HN015_06870	4.42968686234393	2.45446066529941e-23	Upregulated
B. infantis	Blon_0932	-7.13333356811296	2.45446066529941e-23	Downregulated
B. infantis	Blon_0305	-6.47025482432163	2.45446066529941e-23	Downregulated
B. infantis	Blon_0102	-6.05841647995611	3.75922128936124e-23	Downregulated
B. infantis	Blon_0355	-7.22609738752594	6.57671604571639e-23	Downregulated
P. acidilactici	HN015_01535	3.82920525286486	1.51437577357952e-22	Upregulated
B. thetaiotaomicron	BT_0924	5.19068541060658	1.52800756232287e-22	Upregulated
B. infantis	Blon_0259	-6.0756767622868	3.14511122736736e-22	Downregulated
B. infantis	Blon_1731	-6.08908114896194	3.23662023589943e-22	Downregulated
B. infantis	Blon_1881	-7.27586114001321	3.48086027536287e-22	Downregulated
B. infantis	Blon_0123	-7.11338241808656	3.67967095139833e-22	Downregulated
P. acidilactici	HN015_06940	3.77077107078337	7.14780345538506e-22	Upregulated
B. infantis	Blon_2483	-7.20210098986949	8.68023497562347e-22	Downregulated
B. breve	BBBR_1913	3.8613758528648	9.58984867421869e-22	Upregulated
B. infantis	Blon_2034	-8.14368751105566	1.54365521614355e-21	Downregulated
B. breve	BBBR_0959	3.92026301952628	1.54365521614355e-21	Upregulated
B. infantis	Blon_0592	-6.89910808605683	1.56344529971729e-21	Downregulated
B. breve	BBBR_0711	3.75319565665054	1.60147275130982e-21	Upregulated
B. infantis	Blon_2426	-6.15694217611253	2.26293018111529e-21	Downregulated
B. infantis	Blon_2184	-7.55461343653776	2.37319703787174e-21	Downregulated
B. breve	BBBR_1720	3.44683318279208	3.14669165625813e-21	Upregulated
B. infantis	Blon_1847	-8.17419416879041	3.40594426335362e-21	Downregulated
B. infantis	Blon_0173	-6.79913325768501	4.04009564167979e-21	Downregulated
B. infantis	Blon_0081	-8.55548758592914	5.29313246374074e-21	Downregulated
P. acidilactici	HN015_09970	3.46850619847888	5.72857292534168e-21	Upregulated
B. infantis	Blon_1740	-7.15486506594375	8.56273954042849e-21	Downregulated
B. infantis	Blon_1893	-6.62377152963982	8.91820438779182e-21	Downregulated
B. infantis	Blon_0180	-7.24722965832513	9.6967579416294e-21	Downregulated
B. infantis	Blon_0704	-7.01832767193685	1.16854369800211e-20	Downregulated
B. infantis	Blon_0961	-6.61097486293089	1.29684805157577e-20	Downregulated
B. infantis	Blon_0260	-4.99912515820702	1.53748794389587e-20	Downregulated
B. infantis	Blon_2419	3.68072184474478	1.64333531886487e-20	Upregulated
B. breve	BBBR_1204	3.51032819153356	1.70410921195542e-20	Upregulated
B. infantis	Blon_0309	-5.42870524046046	1.70410921195542e-20	Downregulated
B. breve	BBBR_1619	3.76475731589663	2.21076221218239e-20	Upregulated
P. acidilactici	HN015_02120	3.49749358438383	2.41306193856565e-20	Upregulated
B. infantis	Blon_0773	-7.30356084656511	3.00586046007964e-20	Downregulated
B. infantis	Blon_0931	-7.19420914405365	3.61857521880745e-20	Downregulated
B. infantis	Blon_0363	-7.25451770561099	4.03284288945198e-20	Downregulated
B. infantis	Blon_0084	-7.89158271617996	4.03284288945198e-20	Downregulated
B. infantis	Blon_0170	-5.53650947636644	4.22752989517066e-20	Downregulated
B. infantis	Blon_0964	-7.86347226474597	4.60799915623297e-20	Downregulated
B. infantis	Blon_2049	-6.47494962804531	6.64182619094486e-20	Downregulated
B. infantis	Blon_0949	-5.7264685700623	8.26936599735138e-20	Downregulated
B. infantis	Blon_0131	-5.71878719830245	8.92288079179615e-20	Downregulated
B. infantis	Blon_0852	-8.354669559288	9.91324989253818e-20	Downregulated
B. infantis	Blon_1146	-7.42775071246142	1.43048675713592e-19	Downregulated
P. acidilactici	HN015_06605	4.82993325134294	1.52317919595715e-19	Upregulated
B. breve	BBBR_0779	5.46440341789351	1.68565928547952e-19	Upregulated
B. infantis	Blon_0261	-8.27525012404458	1.68565928547952e-19	Downregulated
B. breve	BBBR_1785	3.71758648869001	1.80537248360809e-19	Upregulated
P. acidilactici	HN015_02105	4.23361397294149	2.5557422323003e-19	Upregulated
B. breve	BBBR_0610	4.07382482100393	2.64817128732371e-19	Upregulated
B. infantis	Blon_1096	-6.87722552533566	3.43971825357153e-19	Downregulated
B. infantis	Blon_1452	-6.79318820965134	3.81943750220292e-19	Downregulated
B. infantis	Blon_2265	-7.44945403757096	3.88292007512431e-19	Downregulated
B. infantis	Blon_1007	-6.24955612194148	6.02590632811824e-19	Downregulated
B. breve	BBBR_1708	3.35001348202075	6.16822457472212e-19	Upregulated
P. acidilactici	HN015_07100	3.91559818848381	6.69646529274752e-19	Upregulated
B. infantis	Blon_0540	-6.33154725070368	8.08347010147057e-19	Downregulated
B. infantis	Blon_0925	-5.72152299774634	9.99726254203592e-19	Downregulated
B. infantis	Blon_1259	-6.19686444131826	1.15195839166921e-18	Downregulated
B. infantis	Blon_0960	-6.19776315591231	1.15536510243706e-18	Downregulated
P. acidilactici	HN015_00010	4.25776783682483	1.2182495463794e-18	Upregulated
B. infantis	Blon_2188	-6.48149172931705	1.54060884944866e-18	Downregulated
P. acidilactici	HN015_06665	4.13759834559497	1.93168730843895e-18	Upregulated
B. breve	BBBR_0682	4.47162829720268	1.99148000484321e-18	Upregulated
B. infantis	Blon_0888	-7.45368418062783	2.33175692730921e-18	Downregulated
P. acidilactici	HN015_07500	3.94895012823473	2.56671650469185e-18	Upregulated
B. infantis	Blon_2078	-6.85323623940167	3.33388923858026e-18	Downregulated
B. breve	BBBR_0210	3.73854664840116	3.3942234774266e-18	Upregulated
B. infantis	Blon_0117	-7.71640663725082	3.93254466557561e-18	Downregulated
P. acidilactici	HN015_06140	3.77136324079537	5.30964018568029e-18	Upregulated
B. infantis	Blon_2420	3.2575566831595	5.55572477319792e-18	Upregulated
B. breve	BBBR_0396	4.92408172214918	5.99477107334652e-18	Upregulated
B. breve	BBBR_1502	3.65411750013514	6.90967593302366e-18	Upregulated
B. infantis	Blon_1922	-6.26079711771745	7.32080531781669e-18	Downregulated
B. infantis	Blon_0938	-7.08509967479891	7.5173400996508e-18	Downregulated
B. infantis	Blon_1580	-7.84802095315653	9.70254301590759e-18	Downregulated
B. infantis	Blon_0870	-7.39091198263328	1.07488522883219e-17	Downregulated
B. breve	BBBR_0590	3.96954784344177	1.10964890568035e-17	Upregulated
B. breve	BBBR_0510	3.52832680218864	1.11945264446893e-17	Upregulated
P. acidilactici	HN015_06735	3.71820634611881	1.12374376241999e-17	Upregulated
B. infantis	Blon_2336	-8.72090215520252	1.131178376792e-17	Downregulated
B. breve	BBBR_0071	4.48781611279768	1.20596133426238e-17	Upregulated
B. infantis	Blon_1995	-7.89146505492455	1.24406963113978e-17	Downregulated
B. breve	BBBR_0172	3.74411092172046	1.3342169049714e-17	Upregulated
B. infantis	Blon_2474	-7.91880182637358	1.5041694484134e-17	Downregulated
B. breve	BBBR_0600	3.67191605809089	1.70686157960887e-17	Upregulated
B. infantis	Blon_2241	-6.87635181019725	1.78289867554563e-17	Downregulated
B. infantis	Blon_0957	-8.6766233355212	2.35255546984683e-17	Downregulated
P. acidilactici	HN015_04215	4.08126166508827	2.56443685601276e-17	Upregulated
B. infantis	Blon_0819	-7.2124746177915	2.6667120217036e-17	Downregulated
B. infantis	Blon_0951	-5.52315186258312	3.46748290096507e-17	Downregulated
B. breve	BBBR_1250	4.77193068471806	3.56386181739758e-17	Upregulated
B. infantis	Blon_2297	-7.73940397454206	3.7421176683654e-17	Downregulated
B. breve	BBBR_1589	3.89677543793925	4.81057189865356e-17	Upregulated
B. infantis	Blon_1875	-6.561073325905	5.08857976931024e-17	Downregulated
B. infantis	Blon_0007	-6.78537145885603	5.7410045444309e-17	Downregulated
B. breve	BBBR_0675	3.15450691385081	6.0088498540351e-17	Upregulated
B. breve	BBBR_1824	3.70991812784685	6.05920137142855e-17	Upregulated
P. acidilactici	HN015_01360	4.02660168412471	6.59355475632605e-17	Upregulated
B. breve	BBBR_1776	3.52577283844333	6.60481867877999e-17	Upregulated
B. infantis	Blon_2271	-4.68279658291798	8.93170371146125e-17	Downregulated
B. infantis	Blon_0694	-5.69663744224027	1.02517909729939e-16	Downregulated
B. infantis	Blon_0715	-7.32830363869836	1.39329770393603e-16	Downregulated
B. infantis	Blon_1481	-7.65495763516356	1.65249299949184e-16	Downregulated
B. infantis	Blon_2243	-7.07221813811157	1.73709248962657e-16	Downregulated
B. infantis	Blon_1984	-8.24675778772094	1.79798119765669e-16	Downregulated
B. infantis	Blon_1092	-8.0402064107115	1.92787389415934e-16	Downregulated
B. infantis	Blon_1884	-7.86259314379822	1.98313635516131e-16	Downregulated
B. breve	BBBR_0261	3.82683191139647	2.07960645203404e-16	Upregulated
B. breve	BBBR_1178	2.75160982684281	2.09081494163071e-16	Upregulated
B. infantis	Blon_1707	-7.94685648896055	2.13282083528976e-16	Downregulated
B. breve	BBBR_1748	4.9994488281822	2.58528079655884e-16	Upregulated
B. infantis	Blon_1842	-7.81424796552975	2.73869293755055e-16	Downregulated
B. breve	BBBR_0952	3.03720549169601	2.84843354012031e-16	Upregulated
B. infantis	Blon_0011	-6.38571141561418	2.9582423406853e-16	Downregulated
B. infantis	Blon_0935	-7.43629607898122	3.42905745277297e-16	Downregulated
B. infantis	Blon_1761	-7.17233880695296	3.49294505713204e-16	Downregulated
B. breve	BBBR_0868	3.16929105530748	3.83483576456625e-16	Upregulated
B. breve	BBBR_0011	4.30385679648966	4.11282616819867e-16	Upregulated
B. breve	BBBR_1599	3.51240997118137	4.12974374736721e-16	Upregulated
B. infantis	Blon_2270	-4.16869653864634	4.64169078062637e-16	Downregulated
B. infantis	Blon_0088	-7.44298732537886	4.6974029810836e-16	Downregulated
B. infantis	Blon_0393	-9.43650453078732	4.92940391132511e-16	Downregulated
B. infantis	Blon_1762	-7.66082893470125	5.77607676770658e-16	Downregulated
B. infantis	Blon_0824	-6.41619068116399	6.0993788367543e-16	Downregulated
B. breve	BBBR_1579	3.8131611354016	6.58945844474556e-16	Upregulated
B. infantis	Blon_0856	-8.48823558419551	6.67220387658347e-16	Downregulated
B. breve	BBBR_0710	3.00398809464495	6.69358813890355e-16	Upregulated
B. breve	BBBR_1736	3.99777876766515	6.71597637624419e-16	Upregulated
B. breve	BBBR_0260	3.54798168829661	7.71234316660184e-16	Upregulated
P. acidilactici	HN015_00255	8.00336696450965	8.33001656550237e-16	Upregulated
B. infantis	Blon_2397	-6.80416212333418	8.38220641159047e-16	Downregulated
B. breve	BBBR_1836	3.915735440478	8.4642209163999e-16	Upregulated
B. breve	BBBR_1833	4.41326899823231	8.4642209163999e-16	Upregulated
B. infantis	Blon_0036	-7.6330974653571	8.91383688408997e-16	Downregulated
B. infantis	Blon_1923	-6.49435650157134	8.93455362156332e-16	Downregulated
B. infantis	Blon_0306	-6.64952637395102	9.25786698737159e-16	Downregulated
B. infantis	Blon_2152	-6.47992368916457	9.99770170052686e-16	Downregulated
B. infantis	Blon_1715	-5.96746690449435	1.00755791868176e-15	Downregulated
B. infantis	Blon_2490	-8.00295732463478	1.18506431801805e-15	Downregulated
P. acidilactici	HN015_02095	4.53068915972455	1.23687692232354e-15	Upregulated
B. infantis	Blon_1159	-6.6769652188802	1.2857262210157e-15	Downregulated
B. breve	BBBR_1883	5.5134904873511	1.2970330628792e-15	Upregulated
B. infantis	Blon_0275	-6.76278764242734	1.42090170649487e-15	Downregulated
B. infantis	Blon_2375	-6.88159424275386	1.45394148133467e-15	Downregulated
B. breve	BBBR_0418	3.83876953890707	1.48426704847208e-15	Upregulated
B. infantis	Blon_1996	-7.90054458660946	1.49126368207863e-15	Downregulated
B. infantis	Blon_1162	-7.24512817696853	1.52452778134072e-15	Downregulated
B. infantis	Blon_0368	-7.7520095015236	1.81329027579384e-15	Downregulated
P. acidilactici	HN015_08450	3.77216315807729	1.83770799364942e-15	Upregulated
B. breve	BBBR_1847	3.95299597326196	1.91238325573745e-15	Upregulated
B. breve	BBBR_0262	3.68937498366679	1.96299496362577e-15	Upregulated
B. breve	BBBR_0265	3.21278766149976	2.0357335878952e-15	Upregulated
B. infantis	Blon_0897	-6.61595593306668	2.08758112847376e-15	Downregulated
B. infantis	Blon_0308	-4.91387612585663	2.11958996559078e-15	Downregulated
B. infantis	Blon_1769	-7.69543975015527	2.15717980952263e-15	Downregulated
B. breve	BBBR_1723	3.66036285657734	2.31901649044354e-15	Upregulated
B. breve	BBBR_1548	3.12441482877326	2.4631315047172e-15	Upregulated
B. infantis	Blon_0952	-7.06820526640992	2.47403363671272e-15	Downregulated
B. infantis	Blon_0652	-7.33402250575831	2.50971761397359e-15	Downregulated
B. infantis	Blon_1591	-8.147529169602	2.51843878676713e-15	Downregulated
B. infantis	Blon_0314	-7.25802431756976	2.61455872723211e-15	Downregulated
B. breve	BBBR_0778	4.91210244591795	2.80948685142023e-15	Upregulated
