microorganism	locus_tag	log2FoldChange	padj	diffexpr
B. bifidum	BbifJCM1254_13340	5.21858082806174	1.83669042601643e-91	Upregulated
B. bifidum	BbifJCM1254_09610	4.40675059072665	1.55154710258573e-65	Upregulated
B. bifidum	BbifJCM1254_01140	5.9056407152472	2.09558825983064e-65	Upregulated
B. bifidum	BbifJCM1254_08470	6.00737684247095	6.8344351297996e-65	Upregulated
B. bifidum	BbifJCM1254_09020	5.10910152312268	1.83982770597574e-64	Upregulated
B. bifidum	BbifJCM1254_02840	5.07154944071207	2.4565487640343e-63	Upregulated
B. bifidum	BbifJCM1254_14660	4.45610337640659	6.56310256724308e-63	Upregulated
B. bifidum	BbifJCM1254_12100	5.36819866061429	1.16348371335527e-58	Upregulated
B. bifidum	BbifJCM1254_14670	4.61433904544387	9.70800440031302e-57	Upregulated
B. bifidum	BbifJCM1254_09160	4.71703011962401	1.18670603327444e-56	Upregulated
B. bifidum	BbifJCM1254_05760	5.01139510601588	4.5576475670632e-56	Upregulated
B. bifidum	BbifJCM1254_07740	6.1937171078114	1.02063007225932e-54	Upregulated
B. bifidum	BbifJCM1254_09130	4.94203472745194	1.18905866469663e-53	Upregulated
B. bifidum	BbifJCM1254_06150	5.86330981618728	2.84319458740218e-53	Upregulated
B. bifidum	BbifJCM1254_17360	4.90681256822111	3.17349041979278e-53	Upregulated
B. bifidum	BbifJCM1254_12000	5.572426739842	9.99643411083927e-53	Upregulated
B. bifidum	BbifJCM1254_05750	4.3796546279529	4.59725621792545e-52	Upregulated
B. bifidum	BbifJCM1254_08040	5.96641914096851	8.47262090768818e-52	Upregulated
B. bifidum	BbifJCM1254_17750	5.23103363739542	1.42300066256008e-50	Upregulated
B. bifidum	BbifJCM1254_17780	5.20301185099882	7.15611470303778e-49	Upregulated
B. bifidum	BbifJCM1254_12670	4.35097993689548	1.37140373197299e-48	Upregulated
B. bifidum	BbifJCM1254_02800	4.99668320539537	2.03438115758766e-48	Upregulated
B. bifidum	BbifJCM1254_03690	6.73679792751009	9.71463928309447e-47	Upregulated
B. bifidum	BbifJCM1254_09040	5.05337800852701	5.78238668085719e-46	Upregulated
B. bifidum	BbifJCM1254_11200	5.22046262911312	1.42136768975995e-45	Upregulated
B. bifidum	BbifJCM1254_13360	5.90238014840103	1.75021313492627e-45	Upregulated
B. bifidum	BbifJCM1254_08990	5.26561699395641	3.49594220853756e-45	Upregulated
B. bifidum	BbifJCM1254_05080	5.62190564221922	1.03825013033766e-44	Upregulated
B. bifidum	BbifJCM1254_14650	5.48002494939534	4.70226554119945e-44	Upregulated
B. bifidum	BbifJCM1254_17930	4.5226916218603	5.56003943356632e-44	Upregulated
B. bifidum	BbifJCM1254_08900	4.61635444984934	2.65104815827239e-43	Upregulated
B. bifidum	BbifJCM1254_09230	4.81368632330269	4.68295731192718e-42	Upregulated
B. bifidum	BbifJCM1254_12150	4.80742981249355	3.51834839633908e-41	Upregulated
B. bifidum	BbifJCM1254_14710	5.14763940656224	6.51884249109884e-41	Upregulated
B. bifidum	BbifJCM1254_09240	4.71852207518315	3.19440666256756e-40	Upregulated
