microorganism	locus_tag	log2FoldChange	padj	diffexpr
B. breve	BBBR_0062	-5.52115272347126	3.02637882797683e-43	Downregulated
B. breve	BBBR_1177	4.34691270440443	2.16593113454512e-28	Upregulated
B. breve	BBBR_0510	5.37027560133859	4.49672668398092e-28	Upregulated
B. breve	BBBR_0349	5.22523404008421	6.29956072254865e-28	Upregulated
B. breve	BBBR_1484	3.98960862873172	1.67766091425074e-25	Upregulated
B. breve	BBBR_0435	4.66483254381556	1.69994523622549e-25	Upregulated
B. breve	BBBR_1720	3.88646155821145	1.4752621007677e-24	Upregulated
B. breve	BBBR_1204	3.96718509951219	7.47893263727639e-24	Upregulated
B. breve	BBBR_1594	4.66278826420751	4.55204124902707e-23	Upregulated
B. breve	BBBR_0711	4.61270595910477	6.14308441638367e-23	Upregulated
B. breve	BBBR_0240	4.35877866852973	1.04879884794465e-22	Upregulated
B. breve	BBBR_1573	4.56613428618975	1.28623694345251e-22	Upregulated
B. breve	BBBR_1625	4.44050855217425	1.56189053168248e-22	Upregulated
B. breve	BBBR_1685	4.28482863226074	2.40857292512359e-22	Upregulated
B. breve	BBBR_0705	4.52169106540029	3.15229389299642e-22	Upregulated
B. breve	BBBR_0059	4.17947640312955	4.55113104545213e-22	Upregulated
B. breve	BBBR_1380	4.24789725233242	5.33691043272477e-22	Upregulated
B. breve	BBBR_0423	4.65778858129605	1.12229909989707e-21	Upregulated
B. breve	BBBR_1619	5.06588747355692	1.54282280419572e-21	Upregulated
B. breve	BBBR_0952	3.64479619792432	2.52517326250537e-21	Upregulated
B. breve	BBBR_1640	4.2812218914502	2.75365170636343e-21	Upregulated
B. breve	BBBR_0263	3.65692437490152	2.97351922132645e-21	Upregulated
B. breve	BBBR_1085	4.75403431688343	2.97351922132645e-21	Upregulated
B. breve	BBBR_1548	3.92691912178465	4.64824939031597e-21	Upregulated
B. breve	BBBR_1633	4.71533015819234	4.94710719712007e-20	Upregulated
B. thetaiotaomicron	BT_0687	5.73084363194289	5.95861160090541e-20	Upregulated
B. breve	BBBR_1620	4.75802589241503	6.12409427579091e-20	Upregulated
B. breve	BBBR_0675	3.57964705356954	6.27400128132916e-20	Upregulated
B. breve	BBBR_0308	4.27144796376832	6.70718958225933e-20	Upregulated
B. breve	BBBR_1605	4.65718724008609	9.47075669668356e-20	Upregulated
B. breve	BBBR_0434	4.6544374387053	1.82673536630642e-19	Upregulated
B. breve	BBBR_0266	4.29002344818927	2.76809170504866e-19	Upregulated
B. breve	BBBR_0442	4.66336916246364	4.21777714612531e-19	Upregulated
B. breve	BBBR_1654	4.36730698562145	5.28311199019689e-19	Upregulated
B. breve	BBBR_0002	4.61274835046747	6.39871690663121e-19	Upregulated
B. breve	BBBR_1614	4.10971391194776	1.25567203677269e-18	Upregulated
B. breve	BBBR_0011	4.90840207059702	1.75870673327764e-18	Upregulated
B. breve	BBBR_0868	3.87886133717805	1.81080942245292e-18	Upregulated
B. breve	BBBR_1502	4.03224547821046	1.88744266138815e-18	Upregulated
B. breve	BBBR_1599	4.5363402563237	1.96105371867888e-18	Upregulated
B. breve	BBBR_0007	4.72562600202616	2.0548318584353e-18	Upregulated
B. breve	BBBR_1728	4.07281069497212	2.0548318584353e-18	Upregulated
B. breve	BBBR_0709	3.76228356243514	2.38234356793373e-18	Upregulated
B. breve	BBBR_0600	4.27250596741476	2.57823601033427e-18	Upregulated
B. breve	BBBR_0422	4.27019303464638	2.82057059197001e-18	Upregulated
B. breve	BBBR_0959	3.94418877091294	3.3468947770416e-18	Upregulated
B. breve	BBBR_0723	4.32445967474575	3.55841844143181e-18	Upregulated
B. breve	BBBR_0022	3.95561346527784	3.7166233525649e-18	Upregulated
B. breve	BBBR_0057	5.37783749955476	4.20366156917382e-18	Upregulated
B. breve	BBBR_1708	4.05946566650971	5.01983065907866e-18	Upregulated
B. breve	BBBR_0164	4.73734831368365	5.02127196772136e-18	Upregulated
B. breve	BBBR_0759	4.41834209609219	5.57785731150145e-18	Upregulated
B. breve	BBBR_1641	4.24794250245685	5.85420316813328e-18	Upregulated
B. breve	BBBR_1785	4.06685628327138	5.86752857414285e-18	Upregulated
B. breve	BBBR_0576	4.01754827678803	6.94353581655521e-18	Upregulated
B. breve	BBBR_0345	4.34864070502062	7.57830918386956e-18	Upregulated
B. breve	BBBR_0265	3.68891568024098	7.98978037087772e-18	Upregulated
B. breve	BBBR_1534	4.15589268583616	1.04586802607505e-17	Upregulated
B. breve	BBBR_0410	4.49091302442957	1.13134457992247e-17	Upregulated
B. breve	BBBR_0418	4.88071557552906	1.37878159967494e-17	Upregulated
B. breve	BBBR_1568	5.07366009740172	1.43199852085998e-17	Upregulated
B. breve	BBBR_0320	4.66710040113864	1.43199852085998e-17	Upregulated
B. breve	BBBR_0973	4.85299323180449	2.01414253856707e-17	Upregulated
B. breve	BBBR_1579	4.8392953313318	2.07615911434276e-17	Upregulated
B. breve	BBBR_1824	4.08008512580402	2.50517241892092e-17	Upregulated
B. breve	BBBR_1722	3.83720724636494	4.7489361336396e-17	Upregulated
B. breve	BBBR_0533	4.55533024998029	5.22036459063755e-17	Upregulated
B. breve	BBBR_1836	4.65802537760502	6.4992030864601e-17	Upregulated
B. breve	BBBR_1581	5.45538307296935	6.52142277819493e-17	Upregulated
B. breve	BBBR_1361	4.36270940735585	6.85211765636569e-17	Upregulated
B. breve	BBBR_0610	4.13232027108318	7.14945082623965e-17	Upregulated
B. breve	BBBR_1060	4.81911892722553	8.71738487668413e-17	Upregulated
B. breve	BBBR_1064	5.49673107333908	1.06735658319511e-16	Upregulated
B. breve	BBBR_1058	4.17811340548028	1.4036350079229e-16	Upregulated
B. breve	BBBR_0976	4.42892309847219	1.46032049504773e-16	Upregulated
B. breve	BBBR_0440	4.60353305873986	1.50992229852634e-16	Upregulated
B. breve	BBBR_0866	4.83862486111263	1.8914308191183e-16	Upregulated
B. breve	BBBR_1229	4.66711197777304	2.0687031597146e-16	Upregulated
B. breve	BBBR_0154	4.40048190224243	2.12352748304096e-16	Upregulated
B. breve	BBBR_0429	5.21480303533388	2.54275338169181e-16	Upregulated
B. breve	BBBR_1337	5.13872180732147	2.91862276830372e-16	Upregulated
B. breve	BBBR_0513	4.53220597702639	2.99335225863873e-16	Upregulated
B. breve	BBBR_0628	4.5923440495002	4.23749552185806e-16	Upregulated
B. breve	BBBR_0185	4.34701363340853	5.29624741607595e-16	Upregulated
B. breve	BBBR_1631	3.78911566854885	5.63839027817635e-16	Upregulated
B. breve	BBBR_1727	4.29861913412577	6.51885027600157e-16	Upregulated
B. breve	BBBR_0250	4.81268968020476	7.90443290909923e-16	Upregulated
B. breve	BBBR_0236	4.46829333211291	7.92556167109158e-16	Upregulated
B. breve	BBBR_0779	5.01571755619581	9.03766412166028e-16	Upregulated
B. breve	BBBR_1737	4.4408607881886	9.36758652762541e-16	Upregulated
B. breve	BBBR_1927	5.05947259349406	1.09186014652724e-15	Upregulated
