microorganism	locus_tag	log2FoldChange	padj	diffexpr
B. breve	BBBR_1177	4.57014505606943	1.1793556770921e-31	Upregulated
B. breve	BBBR_1484	4.14110307327793	1.20519403109912e-27	Upregulated
B. breve	BBBR_1548	4.45909244395809	3.17801358666215e-26	Upregulated
B. breve	BBBR_0510	4.7523324735709	9.29558659139318e-26	Upregulated
B. breve	BBBR_0059	4.42834474899219	2.06322502699056e-25	Upregulated
B. breve	BBBR_1178	3.71941805881377	2.22563110445457e-25	Upregulated
B. breve	BBBR_0435	4.28380043200085	3.04964245551635e-25	Upregulated
B. breve	BBBR_0952	3.97153915257041	4.10042031721284e-25	Upregulated
B. breve	BBBR_0066	4.02096438706692	4.10042031721284e-25	Upregulated
B. breve	BBBR_1380	4.38842423017578	4.43881229562047e-25	Upregulated
B. breve	BBBR_0711	4.63154615863095	4.74346514603208e-25	Upregulated
B. breve	BBBR_1204	3.97723320086628	1.46011648636009e-24	Upregulated
B. breve	BBBR_1589	4.86534849475555	1.58517610699042e-24	Upregulated
B. breve	BBBR_1594	4.72913407111897	1.60203516620241e-24	Upregulated
B. breve	BBBR_1785	5.16803770365661	2.23886174050196e-24	Upregulated
B. breve	BBBR_1502	4.75428008069747	3.42607977726477e-24	Upregulated
B. breve	BBBR_0240	4.27443909261371	5.91411996132023e-24	Upregulated
B. breve	BBBR_0022	4.67846066034657	8.2889460994654e-24	Upregulated
B. breve	BBBR_0600	5.11808595866096	8.55141895936092e-24	Upregulated
B. breve	BBBR_0868	4.52178528142396	1.01534245542425e-23	Upregulated
B. breve	BBBR_0944	4.60367145336017	3.02624638530509e-23	Upregulated
B. breve	BBBR_0959	4.51078272162784	7.75425627070787e-23	Upregulated
B. breve	BBBR_1720	3.65145434966229	1.01270478234204e-22	Upregulated
B. breve	BBBR_1619	4.61463900629638	1.7614236334712e-22	Upregulated
B. breve	BBBR_1412	3.66935467082144	5.09735521080102e-22	Upregulated
B. breve	BBBR_0349	4.10624673509061	1.54838179612795e-21	Upregulated
B. breve	BBBR_0442	4.90475290077209	2.91202415634228e-21	Upregulated
B. breve	BBBR_0675	3.66966177236076	2.93633448717101e-21	Upregulated
B. breve	BBBR_1534	4.58182931903298	3.3629266972194e-21	Upregulated
B. breve	BBBR_0002	4.65867074556021	3.61860494214344e-21	Upregulated
B. breve	BBBR_0920	4.04121786156646	5.45947572245436e-21	Upregulated
B. breve	BBBR_1625	4.01211193036379	1.54920075915161e-20	Upregulated
P. acidilactici	HN015_02220	-4.84890406425785	1.88698716243517e-20	Downregulated
B. breve	BBBR_0705	4.2396560453255	1.97010929564907e-20	Upregulated
B. breve	BBBR_0709	3.95411403030565	2.32575985316134e-20	Upregulated
B. breve	BBBR_0154	5.00647766903965	2.6847089251146e-20	Upregulated
B. breve	BBBR_1640	4.02371391903462	4.16954678471613e-20	Upregulated
B. infantis	Blon_2419	3.73922343105781	4.22263038464965e-20	Upregulated
B. breve	BBBR_1685	3.92800464644512	5.09639056270469e-20	Upregulated
B. breve	BBBR_0422	4.44546772697545	5.37713337213562e-20	Upregulated
B. infantis	Blon_2420	3.90899059581284	7.41480443435341e-20	Upregulated
B. breve	BBBR_0423	4.31881882834598	1.02041520800167e-19	Upregulated
B. breve	BBBR_1085	4.31207511479265	1.27549925048902e-19	Upregulated
B. breve	BBBR_1191	4.87470521018902	1.40378120931326e-19	Upregulated
B. breve	BBBR_1573	4.07960117329919	1.49446008063373e-19	Upregulated
B. breve	BBBR_1824	4.30464356039777	1.49446008063373e-19	Upregulated
B. breve	BBBR_1633	4.19559374617357	1.609571947397e-19	Upregulated
B. breve	BBBR_1565	3.9684751414131	1.62142127016227e-19	Upregulated
B. breve	BBBR_0434	4.52157417368419	1.90124261718655e-19	Upregulated
B. breve	BBBR_0007	4.69787479238162	2.35636583328352e-19	Upregulated
B. breve	BBBR_1605	4.48517075592552	2.40543422883715e-19	Upregulated
B. breve	BBBR_1406	4.45033300189775	2.44520642754913e-19	Upregulated
B. breve	BBBR_1620	4.41321543439972	3.57369876327875e-19	Upregulated
B. breve	BBBR_0057	4.92729224441471	3.67621016524568e-19	Upregulated
B. breve	BBBR_1232	4.21751188056616	4.42427579722273e-19	Upregulated
B. breve	BBBR_1599	4.32273003470759	4.93200247437985e-19	Upregulated
B. breve	BBBR_0513	4.86118642684651	5.25163203265858e-19	Upregulated
B. breve	BBBR_0576	3.84889454563349	9.94569393499981e-19	Upregulated
B. breve	BBBR_1683	4.66801848186428	1.16234424836214e-18	Upregulated
B. breve	BBBR_0345	4.38422453867134	1.48626711914615e-18	Upregulated
B. breve	BBBR_1366	3.88846827258367	1.56341663741627e-18	Upregulated
B. breve	BBBR_0610	4.25259006759907	1.56654858184003e-18	Upregulated
B. breve	BBBR_0636	5.39863907583717	1.74635682733161e-18	Upregulated
B. breve	BBBR_1326	5.33393043296414	1.74765505280193e-18	Upregulated
B. breve	BBBR_1364	4.30565149935663	1.80320159698989e-18	Upregulated
B. breve	BBBR_1552	5.87640926295687	1.837247186818e-18	Upregulated
B. breve	BBBR_0236	4.81325377815633	1.95490187328286e-18	Upregulated
B. breve	BBBR_1361	4.49980949538171	2.45851766061347e-18	Upregulated
B. breve	BBBR_0263	3.25632279020474	2.75359346911107e-18	Upregulated
B. breve	BBBR_1337	4.9557366992974	3.02049094415957e-18	Upregulated
B. breve	BBBR_0011	4.74230405512464	3.60941943867215e-18	Upregulated
B. breve	BBBR_0429	5.02405650011644	3.60941943867215e-18	Upregulated
B. infantis	Blon_1087	4.26590786588691	4.0449166058439e-18	Upregulated
