microorganism	locus_tag	log2FoldChange	padj	diffexpr
B. breve	BBBR_1204	9.13527989413833	1.56538692462817e-76	Upregulated
B. breve	BBBR_1484	7.99387673085231	1.74861897883246e-75	Upregulated
B. breve	BBBR_1177	7.95175470152372	8.04131981522352e-72	Upregulated
B. breve	BBBR_1720	6.52516085102739	1.23255377164845e-65	Upregulated
B. breve	BBBR_0952	6.45439366929508	1.1780561624038e-63	Upregulated
B. breve	BBBR_0705	10.3194454354628	1.19719260650919e-63	Upregulated
B. breve	BBBR_0263	6.87225540064969	4.29200404308153e-62	Upregulated
B. breve	BBBR_1685	7.75357870281532	6.27264129405982e-61	Upregulated
B. breve	BBBR_0423	9.02657518612651	3.71059656141669e-58	Upregulated
B. breve	BBBR_1573	8.59411777000114	1.99312423196449e-57	Upregulated
B. breve	BBBR_0675	6.22737782583091	2.08914295591763e-56	Upregulated
B. breve	BBBR_1548	6.59762268140557	1.18371666231267e-54	Upregulated
B. breve	BBBR_0422	9.43257820236471	2.29211897716361e-54	Upregulated
B. breve	BBBR_1594	7.89069396331342	4.90652184470609e-54	Upregulated
B. breve	BBBR_0709	6.76279192346549	7.46785505462105e-54	Upregulated
B. infantis	Blon_2419	6.468927990316	2.05182195277293e-52	Upregulated
B. breve	BBBR_0265	7.07208627363877	1.39941640993608e-51	Upregulated
B. breve	BBBR_1728	7.58241513708954	3.12619629081781e-51	Upregulated
B. breve	BBBR_1640	8.63481077279304	6.6591290332148e-51	Upregulated
B. breve	BBBR_0266	7.56571207642977	2.11301342647808e-50	Upregulated
B. breve	BBBR_1614	7.35986361129286	4.56163144577648e-50	Upregulated
B. breve	BBBR_1534	8.03085922384597	1.8604657683825e-49	Upregulated
B. breve	BBBR_0442	9.06796969876519	2.44357658656962e-49	Upregulated
B. breve	BBBR_0535	8.41684809429613	4.94108155188514e-49	Upregulated
B. breve	BBBR_1625	7.81061132766688	1.10495568810677e-48	Upregulated
B. breve	BBBR_0536	7.75736935025961	2.2026872166938e-47	Upregulated
B. breve	BBBR_0759	8.49318148868231	3.16496708338747e-47	Upregulated
B. breve	BBBR_1686	9.21869660422102	3.90971426370983e-47	Upregulated
B. breve	BBBR_1361	7.9155014174458	1.46175541328167e-45	Upregulated
B. breve	BBBR_0240	7.13338557714295	1.88648031932194e-45	Upregulated
B. breve	BBBR_0723	8.8929673447227	7.06622935122402e-45	Upregulated
B. breve	BBBR_1552	10.8860313640934	2.09003935678904e-44	Upregulated
B. breve	BBBR_1502	7.35213259957337	2.26726664829064e-44	Upregulated
B. breve	BBBR_1641	9.01855007867306	3.3164043960894e-44	Upregulated
B. breve	BBBR_1654	9.78941706659048	5.99273962371438e-44	Upregulated
B. breve	BBBR_0345	7.12105664071436	5.99273962371438e-44	Upregulated
B. breve	BBBR_1605	9.20344615444824	1.46101324216239e-43	Upregulated
B. breve	BBBR_0011	8.7738440235803	1.82981844870274e-43	Upregulated
B. breve	BBBR_1058	7.23680743032207	4.29484195932649e-43	Upregulated
B. breve	BBBR_1085	7.61641140282515	8.34301254980452e-43	Upregulated
B. breve	BBBR_0264	6.70164911711034	3.94815557326265e-42	Upregulated
B. breve	BBBR_0510	9.28228228118662	6.305793970823e-41	Upregulated
