microorganism	locus_tag	log2FoldChange	padj	diffexpr
B. bifidum	BbifJCM1254_09610	4.76289054822308	2.65108033682505e-75	Upregulated
B. bifidum	BbifJCM1254_13340	4.58992870004579	6.40530233219085e-74	Upregulated
B. bifidum	BbifJCM1254_02840	5.14417372988563	2.05051967700283e-66	Upregulated
B. bifidum	BbifJCM1254_01140	4.61813003135808	1.43494806834466e-65	Upregulated
B. breve	BBBR_1177	6.42367054282791	3.57254947708852e-64	Upregulated
B. bifidum	BbifJCM1254_05750	4.85399009985928	1.04864396245822e-62	Upregulated
B. bifidum	BbifJCM1254_14660	4.31287743582546	1.22100498151374e-61	Upregulated
B. bifidum	BbifJCM1254_08470	5.23425711154294	1.50860343441195e-61	Upregulated
B. breve	BBBR_1484	6.12848954495935	2.29331794394082e-61	Upregulated
B. breve	BBBR_1204	6.2672949005316	5.87183980974451e-60	Upregulated
B. bifidum	BbifJCM1254_12100	5.09159996301564	4.63382457970341e-59	Upregulated
B. breve	BBBR_0705	7.44858245878222	1.10860690610466e-58	Upregulated
B. breve	BBBR_0510	8.14944859565374	1.798167757579e-56	Upregulated
B. bifidum	BbifJCM1254_14670	4.46305741653699	1.16106511868569e-55	Upregulated
B. breve	BBBR_0435	6.65438129142937	1.22542674019486e-53	Upregulated
B. breve	BBBR_1573	7.02494429882291	8.80635229811246e-53	Upregulated
B. breve	BBBR_0349	6.80541072535969	1.39995755089251e-52	Upregulated
B. bifidum	BbifJCM1254_17780	5.28974615863606	1.19466101593724e-51	Upregulated
B. bifidum	BbifJCM1254_09020	4.301549598492	1.50179272757851e-51	Upregulated
B. bifidum	BbifJCM1254_07740	5.57661827545776	2.08524993848672e-51	Upregulated
B. bifidum	BbifJCM1254_05760	4.69726401747323	2.49482362218798e-51	Upregulated
B. bifidum	BbifJCM1254_09160	4.29553500766098	9.63956912882923e-51	Upregulated
B. bifidum	BbifJCM1254_09130	4.46636478481512	2.15931852006381e-50	Upregulated
B. bifidum	BbifJCM1254_08040	4.83815657422853	2.5210064043514e-50	Upregulated
B. bifidum	BbifJCM1254_12000	4.98618286972214	2.90343684257766e-50	Upregulated
B. bifidum	BbifJCM1254_12670	3.95270961980723	5.50841451545903e-50	Upregulated
B. breve	BBBR_1685	6.30193583468909	2.78490391817252e-49	Upregulated
B. breve	BBBR_0059	6.10451507990815	5.65779715748372e-49	Upregulated
B. breve	BBBR_0240	6.2051751273424	1.12453456382207e-48	Upregulated
B. bifidum	BbifJCM1254_17750	5.02630467864055	1.24576107008106e-48	Upregulated
B. breve	BBBR_1654	7.20212241206173	2.02132341423929e-48	Upregulated
B. breve	BBBR_0308	7.05614853359358	4.99453484310079e-48	Upregulated
B. bifidum	BbifJCM1254_17360	4.56613724363918	6.55012702287017e-48	Upregulated
B. bifidum	BbifJCM1254_09040	4.73342353622022	3.2949344796203e-47	Upregulated
B. breve	BBBR_0442	7.5213961860348	6.58892765513876e-47	Upregulated
B. bifidum	BbifJCM1254_17930	4.61378966184188	9.79452626385906e-47	Upregulated
B. breve	BBBR_1502	6.66126666532323	2.11965188100922e-46	Upregulated
B. breve	BBBR_1594	6.47116647688996	2.13866894839155e-46	Upregulated
B. breve	BBBR_1625	6.19874902174378	2.14082554024601e-46	Upregulated
B. bifidum	BbifJCM1254_14650	4.91802157263529	8.6926465492448e-46	Upregulated
B. breve	BBBR_0959	6.67664125180352	1.17452123665217e-45	Upregulated
B. breve	BBBR_0263	5.24096837549589	1.95469582988293e-45	Upregulated
B. bifidum	BbifJCM1254_02800	4.77783040403427	3.77655621057329e-45	Upregulated
B. breve	BBBR_1605	7.18126794491658	4.13874060233855e-45	Upregulated
B. breve	BBBR_1380	5.53432849719065	4.59394793173406e-45	Upregulated
B. breve	BBBR_1640	6.1353595416546	4.96413452012738e-45	Upregulated
B. bifidum	BbifJCM1254_08900	4.63644309488367	1.00838101840613e-44	Upregulated
B. bifidum	BbifJCM1254_02860	5.22716900767058	1.65314672441048e-44	Upregulated
B. breve	BBBR_0423	6.58371009154022	2.67386944714692e-44	Upregulated
B. bifidum	BbifJCM1254_03330	5.05050954827881	3.78748787367934e-44	Upregulated
B. bifidum	BbifJCM1254_06150	4.58786617286942	4.08154376998323e-44	Upregulated
B. bifidum	BbifJCM1254_14710	5.00398038434898	5.91571857285019e-44	Upregulated
B. breve	BBBR_1548	5.57512947708018	7.96732734310761e-44	Upregulated
B. breve	BBBR_0062	-5.4033190329569	1.89532232177162e-43	Downregulated
B. bifidum	BbifJCM1254_01660	4.65064217237475	2.13314394100629e-43	Upregulated
B. breve	BBBR_0868	5.98056013955601	2.44080922601656e-43	Upregulated
B. breve	BBBR_1641	6.72821990404442	3.69852225545418e-43	Upregulated
B. breve	BBBR_0434	7.00676247261291	7.00227373961278e-43	Upregulated
B. breve	BBBR_1619	6.65908687588782	9.14776672446967e-43	Upregulated
B. bifidum	BbifJCM1254_01650	4.76124618283818	1.27568049652219e-42	Upregulated
B. breve	BBBR_1686	6.99535992383579	2.61387969448768e-42	Upregulated
B. breve	BBBR_1620	7.03348400756358	2.79972537921305e-42	Upregulated
B. breve	BBBR_0711	8.70283483131358	6.76284511018321e-42	Upregulated
B. breve	BBBR_1534	6.48032335683774	6.88470927233003e-42	Upregulated
B. breve	BBBR_0422	6.49687555280419	9.25700464359009e-42	Upregulated
B. breve	BBBR_0600	6.70078383591326	9.57694964423444e-42	Upregulated
B. bifidum	BbifJCM1254_09200	5.30047362163228	1.35229333707422e-41	Upregulated
B. bifidum	BbifJCM1254_13360	4.97618725419023	1.4991415595005e-41	Upregulated
B. bifidum	BbifJCM1254_08460	5.34722996537657	3.18752687276567e-41	Upregulated
B. breve	BBBR_0007	7.92336944243803	3.30983135071527e-41	Upregulated
B. breve	BBBR_0576	6.41439840548503	4.87126399191691e-41	Upregulated
B. bifidum	BbifJCM1254_10410	4.67692970334115	4.93868775406476e-41	Upregulated
B. bifidum	BbifJCM1254_17680	4.74785131469841	7.19714766332688e-41	Upregulated
B. breve	BBBR_0410	7.09563426345843	7.19714766332688e-41	Upregulated
B. breve	BBBR_0952	4.94253961209174	1.36913967231484e-40	Upregulated
B. breve	BBBR_1728	6.03865796276436	1.40899689122461e-40	Upregulated
B. bifidum	BbifJCM1254_13420	5.04545394519563	2.51171292048823e-40	Upregulated
B. breve	BBBR_0723	6.47277581120736	2.87774548026244e-40	Upregulated
B. breve	BBBR_0779	10.4031693158062	4.29587945570118e-40	Upregulated
B. breve	BBBR_0533	7.59527081415095	5.12223189051675e-40	Upregulated
B. bifidum	BbifJCM1254_09240	4.61865515820086	5.7464406835584e-40	Upregulated
B. breve	BBBR_1708	5.92251969059081	6.87528467011392e-40	Upregulated
B. breve	BBBR_0759	6.6278224748044	7.56275378945022e-40	Upregulated
B. bifidum	BbifJCM1254_09230	4.44674839113941	8.13172483546578e-40	Upregulated
B. breve	BBBR_1631	6.15799503717733	3.9306587299281e-39	Upregulated
B. bifidum	BbifJCM1254_05080	5.0033529769604	5.07895481252756e-39	Upregulated
B. breve	BBBR_1593	5.18009611456454	9.16011929402621e-39	Upregulated
B. breve	BBBR_0610	6.35309539825292	2.02864219657527e-38	Upregulated
B. bifidum	BbifJCM1254_06810	5.24851263716507	2.36620200926011e-38	Upregulated
B. breve	BBBR_0002	7.48425329230151	4.65445358815129e-38	Upregulated
B. breve	BBBR_1085	6.03476928023182	4.90859035968138e-38	Upregulated
B. breve	BBBR_0154	6.99685565565579	1.2411203187038e-37	Upregulated
B. bifidum	BbifJCM1254_11540	4.7387331121006	1.26434018390016e-37	Upregulated
B. breve	BBBR_1720	4.62037415814745	1.49220944287193e-37	Upregulated
B. bifidum	BbifJCM1254_09050	4.54655120314255	2.27232957416525e-37	Upregulated
B. breve	BBBR_1581	9.70718671637788	2.27232957416525e-37	Upregulated
B. breve	BBBR_1629	6.74025977488861	2.40479392541597e-37	Upregulated
B. breve	BBBR_0320	6.89451338948553	2.56110475214699e-37	Upregulated
B. breve	BBBR_1212	7.76419395100564	2.5688283766241e-37	Upregulated
B. breve	BBBR_1785	5.65094756832273	2.70489876556886e-37	Upregulated
B. bifidum	BbifJCM1254_08990	4.45017512995009	2.80409665905265e-37	Upregulated
B. breve	BBBR_0011	6.95889880894763	2.84708520200268e-37	Upregulated
B. bifidum	BbifJCM1254_03690	5.31482027572339	2.99337990163802e-37	Upregulated
B. bifidum	BbifJCM1254_11200	4.27808611852007	4.57398507188036e-37	Upregulated
B. breve	BBBR_0976	6.7936822774942	4.84688828226979e-37	Upregulated
B. breve	BBBR_1599	6.14255224515541	6.32850654179851e-37	Upregulated
B. breve	BBBR_0266	5.84071298986342	6.32850654179851e-37	Upregulated
B. breve	BBBR_0675	4.77818094441216	7.38324751677933e-37	Upregulated
B. infantis	Blon_2419	5.0171658394543	8.9509567258529e-37	Upregulated
B. breve	BBBR_0866	7.52317811629299	9.07193028556968e-37	Upregulated
B. breve	BBBR_0078	6.36755219673527	1.28369453553225e-36	Upregulated
B. bifidum	BbifJCM1254_09140	4.4197812565931	1.62681204061901e-36	Upregulated
B. breve	BBBR_1836	7.85761930353069	2.22898143880616e-36	Upregulated
B. breve	BBBR_0900	7.1731210701522	2.86249498822822e-36	Upregulated
B. breve	BBBR_1361	6.415079280168	2.9953024045707e-36	Upregulated
B. breve	BBBR_1633	5.64406366734269	3.03311574150516e-36	Upregulated
B. breve	BBBR_0709	5.22953120677978	4.23806469818168e-36	Upregulated
B. breve	BBBR_1552	8.36375533204905	5.50517775967231e-36	Upregulated
B. bifidum	BbifJCM1254_16000	5.01721924561425	5.76222483950158e-36	Upregulated
B. breve	BBBR_1433	7.53504901533242	6.18293935592795e-36	Upregulated
B. breve	BBBR_1229	7.06269349494032	1.20172815599702e-35	Upregulated
B. breve	BBBR_1722	5.3755386425604	1.33847929819697e-35	Upregulated
B. breve	BBBR_1618	5.93427777330837	1.43642793637285e-35	Upregulated
B. bifidum	BbifJCM1254_10270	4.74102685863461	1.57338841337903e-35	Upregulated
B. bifidum	BbifJCM1254_07730	5.49452731818318	1.6016677966997e-35	Upregulated
B. breve	BBBR_1617	5.40787305480305	1.88370055885681e-35	Upregulated
B. breve	BBBR_0418	6.97546279139118	2.26884738698975e-35	Upregulated
B. bifidum	BbifJCM1254_09990	4.80747293131417	2.79635999155177e-35	Upregulated
B. breve	BBBR_0309	6.51195179398817	2.8528166263131e-35	Upregulated
B. bifidum	BbifJCM1254_03280	5.57091469400932	2.97008943302222e-35	Upregulated
B. breve	BBBR_0210	6.46984634216294	3.01812556182946e-35	Upregulated
B. bifidum	BbifJCM1254_05230	5.69876832328769	3.01812556182946e-35	Upregulated
B. breve	BBBR_1058	6.10928252576119	3.04268188504249e-35	Upregulated
B. bifidum	BbifJCM1254_07040	5.28437387567222	3.04268188504249e-35	Upregulated
B. bifidum	BbifJCM1254_12150	4.30257046657414	5.74904524185687e-35	Upregulated
B. bifidum	BbifJCM1254_08750	5.14823426147795	5.76870289166128e-35	Upregulated
B. breve	BBBR_1824	5.67892869485885	6.42418389997182e-35	Upregulated
B. breve	BBBR_0973	6.6568522930536	6.9734851087462e-35	Upregulated
B. bifidum	BbifJCM1254_15630	4.9819048685972	1.12429852196162e-34	Upregulated
B. breve	BBBR_1738	6.14101794657639	1.1323455294315e-34	Upregulated
B. breve	BBBR_0236	6.77617121041109	1.42856833227218e-34	Upregulated
B. bifidum	BbifJCM1254_16920	4.8503422302136	1.48888715498967e-34	Upregulated
B. breve	BBBR_1568	7.15069994575234	1.75288950635795e-34	Upregulated
B. breve	BBBR_0397	7.37658219086607	3.09154482402451e-34	Upregulated
B. breve	BBBR_0440	7.32282414985178	3.49479694150263e-34	Upregulated
B. breve	BBBR_0628	6.79786126533238	3.55830617828286e-34	Upregulated
B. breve	BBBR_0265	5.00424383152053	3.636418874309e-34	Upregulated
B. breve	BBBR_1060	6.94124581826106	4.38580011238862e-34	Upregulated
B. breve	BBBR_1683	6.34088093695263	4.66852421294474e-34	Upregulated
B. breve	BBBR_0513	7.02665899033971	4.93224190424988e-34	Upregulated
B. bifidum	BbifJCM1254_00170	4.76747223091092	5.91652218914227e-34	Upregulated
B. bifidum	BbifJCM1254_03730	5.35337615037873	6.43765084277217e-34	Upregulated
B. bifidum	BbifJCM1254_06890	7.03912357838785	7.83147294397611e-34	Upregulated
B. breve	BBBR_1614	5.40269363637567	1.28591792166915e-33	Upregulated
B. breve	BBBR_0636	7.74868903464596	1.35121556371042e-33	Upregulated
B. breve	BBBR_0433	7.58095229495645	1.39768271115845e-33	Upregulated
B. breve	BBBR_1566	7.1138016888026	1.64734527767986e-33	Upregulated
B. breve	BBBR_0239	7.10538991204562	2.23218724251978e-33	Upregulated
B. bifidum	BbifJCM1254_17340	4.83180253328734	2.36416557422905e-33	Upregulated
B. bifidum	BbifJCM1254_03510	4.78286584137472	2.36416557422905e-33	Upregulated
B. breve	BBBR_1500	7.0600644558413	2.72787899597338e-33	Upregulated
B. bifidum	BbifJCM1254_12080	4.52792972714554	2.87550119878737e-33	Upregulated
B. breve	BBBR_0333	7.15343103603061	5.28171815867474e-33	Upregulated
B. breve	BBBR_0535	6.44189235655606	5.90075684448061e-33	Upregulated
B. breve	BBBR_1737	6.44622445637463	5.90075684448061e-33	Upregulated
B. bifidum	BbifJCM1254_11990	4.31492934183989	5.90075684448061e-33	Upregulated
B. breve	BBBR_0057	7.9393134899524	7.49390343894121e-33	Upregulated
B. bifidum	BbifJCM1254_13290	4.71206023412836	9.95296590463322e-33	Upregulated
B. bifidum	BbifJCM1254_08740	4.8513123843994	1.01572196860488e-32	Upregulated
B. breve	BBBR_1418	6.78802826459438	1.08072757473618e-32	Upregulated
B. breve	BBBR_0185	6.15811194854162	1.09581515009805e-32	Upregulated
B. breve	BBBR_1201	6.78272877394802	1.31053747672401e-32	Upregulated
B. breve	BBBR_1700	6.09321647273386	1.32159393308035e-32	Upregulated
B. breve	BBBR_1623	6.02937120397887	3.3640341463468e-32	Upregulated
B. thetaiotaomicron	BT_0687	7.09963435205513	4.93747581672528e-32	Upregulated
B. bifidum	BbifJCM1254_09220	4.89890628001673	6.14503828073577e-32	Upregulated
B. bifidum	BbifJCM1254_09100	4.8489701411447	8.82804699229294e-32	Upregulated
B. breve	BBBR_0944	4.97881550780248	1.0058568801923e-31	Upregulated
B. bifidum	BbifJCM1254_09030	4.70857356418849	1.29100246432207e-31	Upregulated
B. bifidum	BbifJCM1254_17670	4.17652068089883	1.54677459412235e-31	Upregulated
B. breve	BBBR_1324	6.94776380245901	1.54677459412235e-31	Upregulated
B. breve	BBBR_0429	6.90352003234249	1.72736468907301e-31	Upregulated
B. breve	BBBR_1913	5.42538038791621	2.06701452429187e-31	Upregulated
B. breve	BBBR_1337	7.1196086932593	2.11976136349665e-31	Upregulated
B. bifidum	BbifJCM1254_09090	5.09912794457734	2.23787808666453e-31	Upregulated
B. breve	BBBR_1615	5.44418411260517	2.43829782885516e-31	Upregulated
B. bifidum	BbifJCM1254_04030	4.31743445470273	2.58729232110294e-31	Upregulated
B. bifidum	BbifJCM1254_07600	7.73635551989552	2.66404325153458e-31	Upregulated
B. bifidum	BbifJCM1254_04980	4.99774685226381	3.44433265316149e-31	Upregulated
B. bifidum	BbifJCM1254_05560	4.30185071002727	4.14058167243327e-31	Upregulated
B. bifidum	BbifJCM1254_16190	4.77733000440857	4.52259743238489e-31	Upregulated
B. breve	BBBR_1757	7.04962068344838	4.8456318591652e-31	Upregulated
B. bifidum	BbifJCM1254_11300	4.84438984425186	4.97087084409576e-31	Upregulated
B. breve	BBBR_0975	8.02605074331235	5.42131639468623e-31	Upregulated
B. bifidum	BbifJCM1254_06730	4.4379826539607	6.63193819903247e-31	Upregulated
B. breve	BBBR_0891	8.55147630838291	9.45035641409433e-31	Upregulated
B. breve	BBBR_1519	5.62413675912905	9.76553273023839e-31	Upregulated
B. breve	BBBR_0260	5.2722629830037	1.11714819116013e-30	Upregulated
B. breve	BBBR_1326	6.6729684032811	1.19558879077952e-30	Upregulated
B. breve	BBBR_1927	7.54192942790465	1.38821604017496e-30	Upregulated
B. bifidum	BbifJCM1254_14930	4.29676983744771	1.80562608129054e-30	Upregulated
B. breve	BBBR_1621	5.67015682220654	1.80562608129054e-30	Upregulated
B. breve	BBBR_1579	8.6343773946342	1.83310231041631e-30	Upregulated
B. breve	BBBR_0345	5.5920493909977	2.20097696843705e-30	Upregulated
B. breve	BBBR_0209	6.68511333767241	2.3463017804274e-30	Upregulated
B. bifidum	BbifJCM1254_01430	6.41966494849538	2.38807448226384e-30	Upregulated
B. bifidum	BbifJCM1254_15280	4.61815598182864	2.50813843786572e-30	Upregulated
B. breve	BBBR_0603	6.98374788550318	2.63552785430889e-30	Upregulated
B. breve	BBBR_1508	7.09257291190751	2.84595394060177e-30	Upregulated
B. breve	BBBR_1364	5.39926908092635	2.86233052584073e-30	Upregulated
B. breve	BBBR_0859	6.59973072889162	2.99798420724918e-30	Upregulated
B. bifidum	BbifJCM1254_10340	5.49227085269365	3.34389497244681e-30	Upregulated
B. bifidum	BbifJCM1254_13130	5.16983138922349	3.53373103674133e-30	Upregulated
B. breve	BBBR_1616	5.66468080083992	3.87123433470234e-30	Upregulated
B. bifidum	BbifJCM1254_06980	5.03393709157285	4.13748355375446e-30	Upregulated
B. bifidum	BbifJCM1254_05150	4.90792590896466	4.42374619733769e-30	Upregulated
B. bifidum	BbifJCM1254_03710	5.18617504783507	4.42374619733769e-30	Upregulated
B. breve	BBBR_1064	8.36067526120004	4.96809239163796e-30	Upregulated
B. bifidum	BbifJCM1254_06360	7.44243805922426	5.27313271041012e-30	Upregulated
B. breve	BBBR_0415	6.82673316605347	5.54322872359649e-30	Upregulated
B. breve	BBBR_1185	7.04990600511705	6.06964449177884e-30	Upregulated
B. bifidum	BbifJCM1254_14530	5.45225785838594	6.57004621892891e-30	Upregulated
B. breve	BBBR_1199	6.68715245761244	7.44521630400607e-30	Upregulated
B. breve	BBBR_0053	7.30328359714854	9.04941625159767e-30	Upregulated
B. infantis	Blon_2420	4.39546569594908	9.69378790438938e-30	Upregulated
B. bifidum	BbifJCM1254_09110	4.31053255753105	1.07855030873996e-29	Upregulated
B. bifidum	BbifJCM1254_06310	4.83244261977022	1.27551795809268e-29	Upregulated
B. bifidum	BbifJCM1254_06370	7.11020214891594	1.32899827560699e-29	Upregulated
B. breve	BBBR_0697	7.02590500786644	1.562808257216e-29	Upregulated
B. breve	BBBR_0056	7.96247985039495	1.65435967014779e-29	Upregulated
B. breve	BBBR_0961	6.97651448627731	2.16358321584537e-29	Upregulated
B. breve	BBBR_1590	6.7714144266076	2.16959704174621e-29	Upregulated
B. bifidum	BbifJCM1254_08660	4.29178493177203	2.26860130626375e-29	Upregulated
B. breve	BBBR_1055	7.52409737013009	2.39607325004617e-29	Upregulated
B. breve	BBBR_1589	5.17600128460013	2.64823585966559e-29	Upregulated
B. bifidum	BbifJCM1254_07720	5.29178451132219	3.62869366330796e-29	Upregulated
