microorganism	locus_tag	log2FoldChange	padj	diffexpr
E. coli	b0411	-4.55291132652274	4.60605361420883e-76	Downregulated
E. coli	b2092	-5.10666027932507	7.06280205210157e-48	Downregulated
E. coli	b2095	-4.11055002601216	1.36694070925114e-33	Downregulated
E. coli	b2091	-4.9234847825753	9.46479495552738e-31	Downregulated
E. coli	b2240	-5.28220972057968	3.07167701433234e-25	Downregulated
E. coli	b2093	-4.55721493512943	1.20500246534692e-23	Downregulated
E. coli	b2239	-4.53194514252996	7.92947328061198e-22	Downregulated
E. coli	b0837	3.02190593202442	2.44376605692123e-20	Upregulated
E. coli	b3753	-2.63773270777318	2.6173419057568e-20	Downregulated
B. infantis	Blon_0141	-6.90958558868005	4.49694402766996e-20	Downregulated
E. coli	b3751	-3.21125906881655	9.89693810223911e-20	Downregulated
E. coli	b2797	-4.65657876447701	2.84590998329048e-19	Downregulated
E. coli	b0699	2.25217693799494	6.56823845821835e-19	Upregulated
E. coli	b2147	-4.77760973545884	1.69413418649376e-18	Downregulated
E. coli	b1597	-2.66281203317299	1.69413418649376e-18	Downregulated
E. coli	b2964	-4.26061902885208	2.30069579895359e-18	Downregulated
E. coli	b2148	-5.99952787759615	6.67209760343087e-17	Downregulated
E. coli	b2096	-3.11861923469215	9.74171700336513e-17	Downregulated
E. coli	b2518	-3.1776101649289	1.48044586960436e-16	Downregulated
E. coli	b2149	-6.30773898844133	1.75008574234827e-16	Downregulated
E. coli	b1123	-2.11864512623611	8.61125972048546e-16	Downregulated
E. coli	b3750	-3.47823425932073	9.28259436117407e-16	Downregulated
E. coli	b1967	3.60738958287267	1.74281332152029e-15	Upregulated
E. coli	b3604	-3.62508762623023	4.30869191791176e-15	Downregulated
E. coli	b2146	-4.75486235420527	1.05058602702349e-14	Downregulated
B. thetaiotaomicron	BT_3392	5.31486376336097	2.34312447710501e-14	Upregulated
E. coli	b1782	-3.18567456482988	4.17600750347392e-14	Downregulated
E. coli	b1722	-3.29095567573256	6.16050101669556e-14	Downregulated
E. coli	b2796	-4.29141786730138	6.41423461366866e-14	Downregulated
B. thetaiotaomicron	BT_0656	5.45471447570322	7.84353667119259e-14	Upregulated
E. coli	b1955	4.68985135790727	1.05488825271086e-13	Upregulated
B. thetaiotaomicron	BT_0901	3.91632484280795	1.39621206063334e-13	Upregulated
E. coli	b4379	-3.10255398390268	2.58853550233567e-13	Downregulated
E. coli	b1226	2.7392089052005	3.41950014520157e-13	Upregulated
E. coli	b2171	-2.996481334056	3.72930376782084e-13	Downregulated
E. coli	b0485	4.23579579262357	3.72930376782084e-13	Upregulated
E. coli	b0915	-2.39803698933685	1.18735550176183e-12	Downregulated
B. thetaiotaomicron	BT_1820	5.13107211508486	2.45588204665426e-12	Upregulated
B. thetaiotaomicron	BT_1693	5.78976406040068	3.14246530894032e-12	Upregulated
B. thetaiotaomicron	BT_1576	4.95753241630431	3.46820788011955e-12	Upregulated
E. coli	b0898	-2.19425862451161	3.96093790032137e-12	Downregulated
