microorganism	locus_tag	log2FoldChange	padj	diffexpr
B. infantis	Blon_1722	-10.785708265324	1.27536858382011e-67	Downregulated
B. infantis	Blon_1087	-8.00123145220473	1.37642675372043e-55	Downregulated
B. infantis	Blon_2284	-12.1089185017394	6.83379922072625e-55	Downregulated
B. infantis	Blon_0070	-7.64404045943873	8.80156427374169e-41	Downregulated
B. infantis	Blon_0059	-9.52217951579402	1.79715419574851e-39	Downregulated
B. infantis	Blon_0141	-9.56329120478602	3.52592276589184e-39	Downregulated
B. infantis	Blon_2016	-7.71424457227825	1.48758604100912e-35	Downregulated
B. breve	BBBR_1484	-5.50252696892609	1.48758604100912e-35	Downregulated
B. breve	BBBR_0705	-6.89261492540244	5.44324029652065e-28	Downregulated
B. breve	BBBR_1204	-5.53559929547748	7.08921471090519e-28	Downregulated
B. infantis	Blon_1153	-11.0498391360246	3.18221871171858e-27	Downregulated
B. infantis	Blon_0417	-13.1633533830358	6.2307162490543e-27	Downregulated
B. infantis	Blon_1836	-12.6051462072182	2.47322580815837e-26	Downregulated
E. coli	b2039	2.01903525206294	8.38400674633963e-26	Upregulated
B. infantis	Blon_0029	-9.21348494327827	1.19092913618847e-25	Downregulated
B. infantis	Blon_1147	-6.3870043240379	2.26758364324341e-25	Downregulated
B. infantis	Blon_0614	-11.9430636645198	2.83877752511286e-24	Downregulated
B. breve	BBBR_0423	-5.78397420805339	1.19426854026724e-23	Downregulated
B. infantis	Blon_0694	-12.6607224638524	2.69372239588605e-23	Downregulated
B. infantis	Blon_2270	-17.3415237860109	3.04983146253686e-23	Downregulated
B. infantis	Blon_0612	-17.6160034484344	4.61121160729029e-23	Downregulated
B. infantis	Blon_1907	-8.85171479361544	1.70632156636091e-22	Downregulated
B. infantis	Blon_2334	-17.2967729305772	3.5863681381706e-22	Downregulated
B. infantis	Blon_1095	-17.3417567819128	3.84222831227539e-22	Downregulated
B. breve	BBBR_0422	-6.02967730584962	4.56133925864997e-22	Downregulated
B. infantis	Blon_2177	-5.97133618205116	4.56133925864997e-22	Downregulated
B. thetaiotaomicron	BT_0541	5.38036371240906	7.70887739366102e-22	Upregulated
B. thetaiotaomicron	BT_0924	5.1377953141496	9.80501235632634e-22	Upregulated
B. infantis	Blon_0307	-16.7178586129773	1.02870689833664e-21	Downregulated
B. breve	BBBR_1685	-4.61917191690734	1.43822700673788e-21	Downregulated
B. infantis	Blon_1922	-17.3891611781487	2.30489315623801e-21	Downregulated
B. infantis	Blon_0170	-11.5659171676204	2.73122249763185e-21	Downregulated
B. infantis	Blon_1923	-17.7264114179686	3.31329189453372e-21	Downregulated
B. infantis	Blon_1096	-15.0499031899744	4.55378617609845e-21	Downregulated
B. breve	BBBR_1573	-5.18614159758334	6.9664525346733e-21	Downregulated
