microorganism	locus_tag	log2FoldChange	padj	diffexpr
E. coli	b2092	-4.74592094738095	6.70750056828757e-41	Downregulated
B. bifidum	BbifJCM1254_13340	3.3651285533483	4.25409510638964e-37	Upregulated
B. thetaiotaomicron	BT_4295	-8.22412914473487	4.95265576747142e-32	Downregulated
E. coli	b2095	-3.98343791794597	1.27473740398917e-31	Downregulated
E. coli	b2091	-4.95097254179148	2.97887533901206e-31	Downregulated
E. coli	b2803	-6.04447520036911	9.34457225816607e-29	Downregulated
B. bifidum	BbifJCM1254_09020	3.38203277600127	1.98839169016009e-27	Upregulated
B. bifidum	BbifJCM1254_09160	3.26851899598886	1.87235625557557e-26	Upregulated
B. thetaiotaomicron	BT_1072	5.85674239809327	1.52216742199135e-25	Upregulated
B. bifidum	BbifJCM1254_09130	3.43995762043416	3.88229048609054e-25	Upregulated
E. coli	b2093	-4.58822367961202	2.56701199187574e-24	Downregulated
B. thetaiotaomicron	BT_3787	-7.93071870987774	1.70944749263122e-23	Downregulated
B. bifidum	BbifJCM1254_07740	4.01446437822298	2.35093377313768e-22	Upregulated
E. coli	b3923	2.83120697180883	1.0667151445087e-21	Upregulated
B. bifidum	BbifJCM1254_14660	2.65326299161476	1.45816903368264e-21	Upregulated
P. acidilactici	HN015_06870	4.70831086343294	1.47071293050992e-21	Upregulated
B. bifidum	BbifJCM1254_03690	4.57369823610687	4.75627774858972e-21	Upregulated
B. bifidum	BbifJCM1254_12100	3.27279089483285	4.75627774858972e-21	Upregulated
B. bifidum	BbifJCM1254_07730	4.6372300559019	6.28130183648797e-21	Upregulated
B. thetaiotaomicron	BT_3789	-6.78595273190043	6.7502702588987e-21	Downregulated
B. infantis	Blon_0141	-6.93115265849667	1.19132048161083e-20	Downregulated
P. acidilactici	HN015_09970	4.85076208155404	1.39064996989875e-20	Upregulated
B. thetaiotaomicron	BT_1073	5.42090280948767	1.39064996989875e-20	Upregulated
B. thetaiotaomicron	BT_4135	-5.91652724340496	1.49456315495992e-20	Downregulated
B. bifidum	BbifJCM1254_14670	2.80752089360895	1.54319626843404e-20	Upregulated
B. bifidum	BbifJCM1254_09610	2.5018378275467	1.94246614926806e-20	Upregulated
B. bifidum	BbifJCM1254_05750	2.75427346924432	3.22090916771566e-20	Upregulated
P. acidilactici	HN015_09210	5.67789690283711	3.47885842978849e-20	Upregulated
E. coli	b2096	-3.39333370462464	3.48034435272709e-20	Downregulated
B. thetaiotaomicron	BT_3791	-6.45134771655491	7.35801904065846e-20	Downregulated
B. bifidum	BbifJCM1254_08470	3.33799766876647	1.85348912182906e-19	Upregulated
E. coli	b3604	-4.07352712452277	1.93222731902471e-19	Downregulated
B. thetaiotaomicron	BT_3737	5.89025012404349	2.99823672964257e-19	Upregulated
P. acidilactici	HN015_07100	4.31765566952422	4.76774276296287e-19	Upregulated
B. bifidum	BbifJCM1254_09040	3.30679527639309	4.76774276296287e-19	Upregulated
E. coli	b1415	-5.95517935580244	8.46596878504785e-19	Downregulated
B. bifidum	BbifJCM1254_01140	3.23481177658486	9.39222842929882e-19	Upregulated
B. bifidum	BbifJCM1254_02800	3.11300564635336	1.16250419557635e-18	Upregulated
P. acidilactici	HN015_02120	3.53163959746316	1.3464586074068e-18	Upregulated
B. bifidum	BbifJCM1254_09140	3.20973119336351	3.47549938304276e-18	Upregulated
B. bifidum	BbifJCM1254_02840	2.73991976082595	3.64559288047594e-18	Upregulated
P. acidilactici	HN015_06735	4.30588210174121	5.07920323671421e-18	Upregulated
B. bifidum	BbifJCM1254_05760	2.83209257284955	1.00134281139963e-17	Upregulated
B. thetaiotaomicron	BT_0924	4.5996681909023	1.03693986152117e-17	Upregulated
E. coli	b3471	3.0331499256156	1.19098140599583e-17	Upregulated
P. acidilactici	HN015_06940	5.0904773152163	1.27513089052832e-17	Upregulated
E. coli	b3922	3.01507839277328	1.6633815618567e-17	Upregulated
E. coli	b2802	-5.87470519700524	1.70845670015785e-17	Downregulated
B. bifidum	BbifJCM1254_17360	2.81350367195911	2.27513393933425e-17	Upregulated
P. acidilactici	HN015_07500	4.6414746721082	2.47682060766116e-17	Upregulated
E. coli	b2804	-4.31991345144876	2.53363876513889e-17	Downregulated
B. bifidum	BbifJCM1254_09050	3.11804590289335	1.08387389378805e-16	Upregulated
B. bifidum	BbifJCM1254_06150	3.32279355913531	1.10644279916768e-16	Upregulated
B. thetaiotaomicron	BT_0565	3.11884075348799	1.33670371144917e-16	Upregulated
P. acidilactici	HN015_02220	5.80897909654753	1.70149570132118e-16	Upregulated
B. bifidum	BbifJCM1254_17930	2.78093211963975	2.17249767440525e-16	Upregulated
B. bifidum	BbifJCM1254_12000	3.13029335275158	3.30253961462163e-16	Upregulated
B. thetaiotaomicron	BT_2267	5.39109561473965	4.26940847536331e-16	Upregulated
B. bifidum	BbifJCM1254_07720	3.98015056203659	4.73920042806653e-16	Upregulated
B. bifidum	BbifJCM1254_13360	3.5098744433596	9.17929522391896e-16	Upregulated
P. acidilactici	HN015_00030	4.31176339178239	9.23053459797191e-16	Upregulated
B. thetaiotaomicron	BT_4296	-8.39542701823435	1.50223328761127e-15	Downregulated
B. thetaiotaomicron	BT_3788	-7.28522169703219	2.43982263665864e-15	Downregulated
B. thetaiotaomicron	BT_0656	5.3952714213815	3.86863022174855e-15	Upregulated
B. bifidum	BbifJCM1254_17780	2.90298856525437	4.70907081588912e-15	Upregulated
P. acidilactici	HN015_06140	4.34031451573689	4.97338037816884e-15	Upregulated
B. thetaiotaomicron	BT_2629	-6.80582539257617	5.17807400296301e-15	Downregulated
B. bifidum	BbifJCM1254_09990	3.38728578794535	6.21829226674539e-15	Upregulated
B. bifidum	BbifJCM1254_17750	2.84255011268689	7.2519176877626e-15	Upregulated
P. acidilactici	HN015_08605	5.46259041984364	1.32482134871346e-14	Upregulated
P. acidilactici	HN015_01535	4.07650061947176	1.34071625977546e-14	Upregulated
B. bifidum	BbifJCM1254_15280	3.50347304678895	1.53642097001099e-14	Upregulated
B. bifidum	BbifJCM1254_03510	3.64322481217938	1.55572921288116e-14	Upregulated
P. acidilactici	HN015_06605	5.10458919469825	1.59366855496776e-14	Upregulated
B. bifidum	BbifJCM1254_09100	3.42920517938095	2.7117163682806e-14	Upregulated
E. coli	b3670	-3.45575507818635	2.78603618901669e-14	Downregulated
E. coli	b4142	4.2755388713193	2.82574680999621e-14	Upregulated
P. acidilactici	HN015_02105	4.18642279756039	3.21886425752624e-14	Upregulated
B. bifidum	BbifJCM1254_09230	2.82092992767904	3.23123615999476e-14	Upregulated
B. bifidum	BbifJCM1254_08990	2.96531989364391	3.59636909159105e-14	Upregulated
P. acidilactici	HN015_08135	4.50775899174471	3.61945508108565e-14	Upregulated
B. thetaiotaomicron	BT_0541	3.72230880335603	3.82373251856801e-14	Upregulated
B. bifidum	BbifJCM1254_11200	2.92383391705797	4.53841885483362e-14	Upregulated
P. acidilactici	HN015_06260	4.97778495776835	4.98061212748801e-14	Upregulated
B. bifidum	BbifJCM1254_05080	3.1482782482327	5.32052043816874e-14	Upregulated
P. acidilactici	HN015_01015	4.21542273038582	5.95259973869552e-14	Upregulated
B. bifidum	BbifJCM1254_08040	3.13759570084823	7.19261316127895e-14	Upregulated
B. thetaiotaomicron	BT_4136	-7.02532980127655	8.60841550701533e-14	Downregulated
B. thetaiotaomicron	BT_3792	-6.80207808507486	8.60841550701533e-14	Downregulated
P. acidilactici	HN015_07225	5.35472189599866	1.07857158055325e-13	Upregulated
P. acidilactici	HN015_01975	4.7563200836194	1.23894519484361e-13	Upregulated
P. acidilactici	HN015_00255	7.23519140536261	1.28977129249039e-13	Upregulated
B. bifidum	BbifJCM1254_09110	3.0608598768744	1.39943731102055e-13	Upregulated
B. thetaiotaomicron	BT_4690	4.49857448389909	1.43441072104846e-13	Upregulated
B. bifidum	BbifJCM1254_08900	2.57592098596752	1.81474229398983e-13	Upregulated
P. acidilactici	HN015_08590	5.65435493786373	1.85292767506361e-13	Upregulated
P. acidilactici	HN015_04155	4.90326708717089	1.89932130218894e-13	Upregulated
E. coli	b0267	2.85053796886813	2.27208044532897e-13	Upregulated
B. bifidum	BbifJCM1254_02260	3.92510827339428	2.27362231096705e-13	Upregulated
P. acidilactici	HN015_08450	4.06660328183452	2.52915779007629e-13	Upregulated
B. thetaiotaomicron	BT_3958	-7.6123237147521	2.52915779007629e-13	Downregulated
B. thetaiotaomicron	BT_3790	-7.23515302629039	2.52915779007629e-13	Downregulated
B. bifidum	BbifJCM1254_09200	3.2891992183397	3.13739629035852e-13	Upregulated
B. bifidum	BbifJCM1254_09030	3.18511372663841	3.81744048574215e-13	Upregulated
B. bifidum	BbifJCM1254_09240	2.69291515198716	3.81744048574215e-13	Upregulated
P. acidilactici	HN015_06665	4.37360043041056	3.82987218945712e-13	Upregulated
B. thetaiotaomicron	BT_4134	-7.19809737235727	4.77077922903151e-13	Downregulated
E. coli	b0607	2.25765784433801	5.97006569766688e-13	Upregulated
B. bifidum	BbifJCM1254_17670	3.84401683264945	6.04659664867344e-13	Upregulated
B. thetaiotaomicron	BT_1268	4.57527023253915	6.53259466621147e-13	Upregulated
B. bifidum	BbifJCM1254_16000	3.21344803529146	6.98617270917498e-13	Upregulated
P. acidilactici	HN015_00010	4.8922300347374	7.65756714127318e-13	Upregulated
P. acidilactici	HN015_01845	4.87855366670034	8.31635621919718e-13	Upregulated
