microorganism	locus_tag	log2FoldChange	padj	diffexpr
E. coli	b3833	2.03446188647981	3.63817214778626e-35	Upregulated
E. coli	b3612	2.54765429571481	6.76443084669841e-34	Upregulated
E. coli	b2296	2.40427142994591	8.49676640675951e-34	Upregulated
E. coli	b4262	2.53877816109336	2.70712360629557e-27	Upregulated
E. coli	b3570	2.8167732361772	7.22752949224534e-26	Upregulated
E. coli	b4161	2.060780948586	1.48741924519618e-23	Upregulated
E. coli	b0503	2.57915583315097	4.12519252596638e-23	Upregulated
E. coli	b4079	4.01394187353048	6.5318761110387e-23	Upregulated
B. breve	BBBR_1204	-5.07279373218824	1.20299825405206e-22	Downregulated
E. coli	b0926	2.68275563260626	4.50093506948328e-22	Upregulated
E. coli	b2731	2.03067220250631	6.04025498201659e-22	Upregulated
E. coli	b2585	2.44307433016847	9.96563013665807e-21	Upregulated
E. coli	b4147	2.69603441112406	3.18385619339137e-20	Upregulated
E. coli	b3163	2.3376913475877	4.04406145107317e-20	Upregulated
E. coli	b2231	2.4818129575929	1.41582478682156e-19	Upregulated
E. coli	b0837	2.96822992538203	3.19486468265922e-19	Upregulated
E. coli	b0431	2.54289874311877	3.27891690522789e-19	Upregulated
B. breve	BBBR_0705	-5.67570057183384	9.89943742967782e-19	Downregulated
E. coli	b2342	4.11177222735751	1.239740882883e-18	Upregulated
E. coli	b2400	2.16963127881401	2.04286747760201e-18	Upregulated
E. coli	b0931	2.34484899320537	2.84161505226054e-18	Upregulated
E. coli	b0054	2.28730613175698	3.41778333977385e-18	Upregulated
E. coli	b4025	3.06318128687488	1.28427769166069e-17	Upregulated
B. bifidum	BbifJCM1254_03330	-2.86674421435651	3.81356623673761e-17	Downregulated
B. breve	BBBR_1484	-3.90862388052609	4.53029834822158e-17	Downregulated
B. breve	BBBR_1593	-4.79737935122083	5.08928483662655e-17	Downregulated
E. coli	b1638	2.08290749168767	6.16801350527234e-17	Upregulated
E. coli	b3871	2.57109983992399	6.35478361245759e-17	Upregulated
E. coli	b3164	2.61143553118833	8.1862301652464e-17	Upregulated
E. coli	b0918	2.27445702692316	1.03226891286315e-16	Upregulated
E. coli	b3702	2.04020547124349	1.2948527183271e-16	Upregulated
E. coli	b2723	5.33739022734779	2.47312620089235e-16	Upregulated
E. coli	b2724	6.59608085390108	3.73037681443149e-16	Upregulated
E. coli	b0642	2.08146978683198	4.32390041270839e-16	Upregulated
B. bifidum	BbifJCM1254_14710	-2.54542439313629	5.71566242155785e-16	Downregulated
E. coli	b0168	2.17744412212549	5.71566242155785e-16	Upregulated
E. coli	b3260	2.94219274866124	5.83213297217343e-16	Upregulated
E. coli	b3619	2.02962679196139	9.2929989563352e-16	Upregulated
E. coli	b4129	2.46945975421869	1.43852718547131e-15	Upregulated
