microorganism	locus_tag	log2FoldChange	padj	diffexpr
B. bifidum	BbifJCM1254_12670	-3.25974959301613	5.7161502907612e-42	Downregulated
B. bifidum	BbifJCM1254_09610	-3.00471067034878	1.83397622538203e-38	Downregulated
B. bifidum	BbifJCM1254_01140	-3.16746178248544	3.3305443945284e-38	Downregulated
B. bifidum	BbifJCM1254_02610	-3.60501359707275	2.77270854572362e-34	Downregulated
B. bifidum	BbifJCM1254_08040	-3.61777052599721	5.01567706843769e-34	Downregulated
B. bifidum	BbifJCM1254_10410	-3.38240457753862	1.575407512275e-31	Downregulated
B. bifidum	BbifJCM1254_14650	-3.42320015862054	2.33397562126569e-29	Downregulated
B. bifidum	BbifJCM1254_03330	-3.7099295646781	6.66994242196545e-29	Downregulated
B. bifidum	BbifJCM1254_14710	-3.3718070739012	1.87260222799987e-28	Downregulated
B. bifidum	BbifJCM1254_17680	-3.27627074582655	4.77850098527864e-28	Downregulated
B. bifidum	BbifJCM1254_07580	-3.19938511693767	1.62852001554918e-27	Downregulated
B. bifidum	BbifJCM1254_11540	-3.35822536913702	9.34009986183426e-27	Downregulated
B. bifidum	BbifJCM1254_13420	-3.38105489167654	1.47861274467298e-26	Downregulated
B. bifidum	BbifJCM1254_08470	-2.99474774546158	4.61781674091451e-24	Downregulated
B. bifidum	BbifJCM1254_17340	-3.39853646291755	1.38132318799141e-23	Downregulated
B. breve	BBBR_1204	-5.06419893719313	5.98917907464926e-23	Downregulated
B. bifidum	BbifJCM1254_06150	-3.13931342883147	6.2719799669122e-23	Downregulated
B. bifidum	BbifJCM1254_04030	-3.39751920475728	6.68597954654026e-23	Downregulated
B. bifidum	BbifJCM1254_17360	-3.0762046822601	1.60941298015142e-22	Downregulated
B. bifidum	BbifJCM1254_14950	-4.11505392839306	2.88215125916752e-22	Downregulated
B. bifidum	BbifJCM1254_02840	-2.79369114504444	2.9172009438841e-22	Downregulated
B. bifidum	BbifJCM1254_08460	-3.67987078535969	3.25264794734205e-22	Downregulated
B. bifidum	BbifJCM1254_08750	-3.87373293776965	3.94663726950059e-22	Downregulated
B. bifidum	BbifJCM1254_13540	-3.62790548419459	4.85529102127304e-22	Downregulated
B. bifidum	BbifJCM1254_13290	-3.54270039366614	5.7313200890422e-22	Downregulated
B. bifidum	BbifJCM1254_14670	-2.65490997836676	9.4504401918492e-22	Downregulated
B. bifidum	BbifJCM1254_15040	-3.79876773658366	9.85077275719603e-22	Downregulated
B. bifidum	BbifJCM1254_17670	-2.88926323953432	2.27213912705074e-21	Downregulated
B. bifidum	BbifJCM1254_14660	-2.40613071846218	2.34724906994326e-21	Downregulated
B. breve	BBBR_1593	-5.29029166309523	2.59592974356157e-21	Downregulated
B. bifidum	BbifJCM1254_02860	-3.1382325756194	2.93432161306145e-21	Downregulated
B. breve	BBBR_0705	-5.96082873070778	4.84131836985712e-21	Downregulated
B. bifidum	BbifJCM1254_05750	-2.65808415869355	6.27492149647297e-21	Downregulated
B. bifidum	BbifJCM1254_00170	-3.38629480136565	6.9230529956261e-21	Downregulated
B. bifidum	BbifJCM1254_13340	-2.36826550385267	1.15666983105266e-20	Downregulated
B. bifidum	BbifJCM1254_15630	-2.89801254129367	4.30378406785259e-20	Downregulated
B. bifidum	BbifJCM1254_05760	-2.84990473431899	5.14757083500203e-20	Downregulated
B. bifidum	BbifJCM1254_11210	-3.3950438650059	5.90385061410296e-20	Downregulated
B. bifidum	BbifJCM1254_06730	-3.09310398028543	9.57583807155887e-20	Downregulated
B. bifidum	BbifJCM1254_16270	-4.40762576304035	1.38965393411586e-19	Downregulated
B. bifidum	BbifJCM1254_12100	-2.60635548121303	1.69258683988492e-19	Downregulated
B. bifidum	BbifJCM1254_11300	-2.88173142525141	1.94978287136489e-19	Downregulated
B. bifidum	BbifJCM1254_08740	-3.19759721864214	2.02422862636087e-19	Downregulated
B. bifidum	BbifJCM1254_13360	-3.09926869949075	4.09754694557114e-19	Downregulated
B. bifidum	BbifJCM1254_11990	-3.12601589445576	4.16192668001394e-19	Downregulated
B. bifidum	BbifJCM1254_07040	-3.34766733399569	4.6725507379841e-19	Downregulated
B. bifidum	BbifJCM1254_15210	-3.00525613927219	5.19733176275372e-19	Downregulated
B. bifidum	BbifJCM1254_12000	-2.78624663356741	5.49499514441482e-19	Downregulated
B. bifidum	BbifJCM1254_12080	-2.91257372765535	5.92142113259515e-19	Downregulated
B. bifidum	BbifJCM1254_15000	-3.62409025250607	7.73906036896907e-19	Downregulated
B. bifidum	BbifJCM1254_14630	-3.31483046222225	1.52989711631691e-18	Downregulated
B. bifidum	BbifJCM1254_16920	-3.37599837820795	2.01406680493941e-18	Downregulated
B. bifidum	BbifJCM1254_08210	-4.00657420907529	2.64046826663123e-18	Downregulated
B. bifidum	BbifJCM1254_01100	-3.00604446859257	2.92215421677379e-18	Downregulated
B. bifidum	BbifJCM1254_17780	-2.90199276035334	3.92027814860689e-18	Downregulated
B. bifidum	BbifJCM1254_14940	-3.36587757004883	6.1529989859695e-18	Downregulated
B. bifidum	BbifJCM1254_03280	-3.69082706470533	8.32664274105321e-18	Downregulated
B. bifidum	BbifJCM1254_07870	-3.30026013594798	8.72686026021718e-18	Downregulated
B. bifidum	BbifJCM1254_08060	-3.67937409065015	8.74995576355574e-18	Downregulated
B. bifidum	BbifJCM1254_12900	-3.62641082749796	9.44905769452092e-18	Downregulated
B. bifidum	BbifJCM1254_11940	-3.25236389768691	1.58172133177192e-17	Downregulated
B. bifidum	BbifJCM1254_05150	-3.37599950597702	1.66673866724619e-17	Downregulated
B. bifidum	BbifJCM1254_09040	-2.45270274792191	2.10551073056636e-17	Downregulated
B. bifidum	BbifJCM1254_10460	-4.16282677315954	2.15252763563008e-17	Downregulated
B. bifidum	BbifJCM1254_09020	-2.37868922891075	2.49921518225435e-17	Downregulated
B. bifidum	BbifJCM1254_03810	-3.82202090169611	2.55826429851013e-17	Downregulated
B. bifidum	BbifJCM1254_09130	-2.35909781304292	3.29942167144528e-17	Downregulated
B. bifidum	BbifJCM1254_02630	-4.32141868855337	3.44791611800901e-17	Downregulated
B. bifidum	BbifJCM1254_11200	-2.77457711823599	3.80559003444126e-17	Downregulated
B. bifidum	BbifJCM1254_17930	-2.62226079630148	3.95561896578832e-17	Downregulated
B. bifidum	BbifJCM1254_10750	-3.84359781576357	4.34279046067681e-17	Downregulated
B. bifidum	BbifJCM1254_08900	-2.73908956156906	5.01359072162543e-17	Downregulated
B. bifidum	BbifJCM1254_13100	-3.9037451808186	5.4246312915608e-17	Downregulated
B. bifidum	BbifJCM1254_06200	-3.39352347231963	7.0633795118098e-17	Downregulated
B. bifidum	BbifJCM1254_06180	-3.27827569695229	8.6010404315481e-17	Downregulated
B. bifidum	BbifJCM1254_06740	-3.47293739448555	1.08570159088499e-16	Downregulated
B. bifidum	BbifJCM1254_08390	-3.76778381123892	1.18089611480214e-16	Downregulated
B. bifidum	BbifJCM1254_12650	-3.58587559097451	1.28072824941961e-16	Downregulated
B. bifidum	BbifJCM1254_14120	-3.59925237818699	1.59000481079342e-16	Downregulated
B. bifidum	BbifJCM1254_11330	-2.86763828448109	1.60213626812302e-16	Downregulated
B. bifidum	BbifJCM1254_11390	-3.67783671181362	1.60996611271311e-16	Downregulated
B. bifidum	BbifJCM1254_06720	-3.10858091984921	2.2922006965191e-16	Downregulated
B. breve	BBBR_1484	-3.75464910148716	2.59240415415381e-16	Downregulated
B. bifidum	BbifJCM1254_10590	-3.08716903433587	3.06478837571604e-16	Downregulated
B. bifidum	BbifJCM1254_01650	-2.72383945455395	3.51773030081263e-16	Downregulated
B. bifidum	BbifJCM1254_13130	-3.13054498616074	4.15075972114526e-16	Downregulated
B. bifidum	BbifJCM1254_07740	-2.83780167748571	4.20617120420435e-16	Downregulated
B. breve	BBBR_0263	-3.51235650956023	5.92894730747121e-16	Downregulated
B. breve	BBBR_1654	-5.89646972280479	6.15005405487184e-16	Downregulated
B. bifidum	BbifJCM1254_05300	-4.56851445612429	6.1565959733496e-16	Downregulated
B. bifidum	BbifJCM1254_01430	-3.9616741325536	6.44817757070099e-16	Downregulated
B. bifidum	BbifJCM1254_09090	-2.88089929587147	7.77674631004774e-16	Downregulated
B. bifidum	BbifJCM1254_12150	-2.83039274232763	8.16684628471511e-16	Downregulated
B. bifidum	BbifJCM1254_15690	-3.63714835142868	8.4827352218262e-16	Downregulated
B. bifidum	BbifJCM1254_17750	-2.73132356908056	8.70490475825677e-16	Downregulated
B. bifidum	BbifJCM1254_14110	-3.70395822704489	1.08530466606717e-15	Downregulated
B. bifidum	BbifJCM1254_13700	-3.72300742909462	1.39213263773286e-15	Downregulated
B. bifidum	BbifJCM1254_05080	-3.00823922764545	1.67723872794722e-15	Downregulated
