microorganism	locus_tag	log2FoldChange	padj	diffexpr
B. breve	BBBR_1204	-9.13082104600421	1.56605006566014e-76	Downregulated
B. breve	BBBR_1484	-7.98811899187349	1.74911323372361e-75	Downregulated
B. breve	BBBR_1177	-7.94498784103478	8.04367327649033e-72	Downregulated
B. breve	BBBR_1720	-6.51752838750391	1.23278255020105e-65	Downregulated
B. breve	BBBR_0952	-6.44617791260242	1.17827068096609e-63	Downregulated
B. breve	BBBR_0705	-10.3156485143566	1.19792440857656e-63	Downregulated
B. breve	BBBR_0263	-6.86534622547536	4.29288274308186e-62	Downregulated
B. breve	BBBR_1685	-7.74426410623823	6.27420764663522e-61	Downregulated
B. breve	BBBR_0423	-9.01781717690027	3.71192900642372e-58	Downregulated
B. breve	BBBR_1573	-8.58532532410761	1.99379785288067e-57	Downregulated
B. breve	BBBR_0675	-6.21917099607655	2.08950281141349e-56	Downregulated
B. breve	BBBR_1548	-6.58427148920891	1.18394792462148e-54	Downregulated
B. breve	BBBR_0422	-9.42611771352036	2.29313127720665e-54	Downregulated
B. breve	BBBR_1594	-7.88022854329389	4.90786173855816e-54	Downregulated
B. breve	BBBR_0709	-6.75311683885029	7.46925495879242e-54	Downregulated
B. infantis	Blon_2419	-6.45755750032769	2.0522724822255e-52	Downregulated
B. breve	BBBR_0265	-7.06430689855464	1.39971238396821e-51	Downregulated
B. breve	BBBR_1728	-7.57244479832864	3.12694318984979e-51	Downregulated
B. breve	BBBR_1640	-8.62969554337298	6.66182129842715e-51	Downregulated
B. breve	BBBR_0266	-7.55505949582299	2.11350381993846e-50	Downregulated
B. breve	BBBR_1614	-7.35005609036508	4.56262742851537e-50	Downregulated
B. breve	BBBR_1534	-8.02082198415432	1.86097588591275e-49	Downregulated
B. breve	BBBR_0442	-9.05637605451709	2.44451115361934e-49	Downregulated
B. breve	BBBR_0535	-8.4016675909964	4.94231377155158e-49	Downregulated
B. breve	BBBR_1625	-7.80345682103924	1.1052944037056e-48	Downregulated
B. breve	BBBR_0536	-7.74252719180422	2.2031628869135e-47	Downregulated
B. breve	BBBR_0759	-8.48290008148227	3.16598004214768e-47	Downregulated
B. breve	BBBR_1686	-9.21132993733938	3.91137568593877e-47	Downregulated
B. breve	BBBR_1361	-7.90217480856935	1.46212490025033e-45	Downregulated
B. breve	BBBR_0240	-7.12619194358123	1.88698022474089e-45	Downregulated
B. breve	BBBR_0723	-8.88774367516251	7.06920936744097e-45	Downregulated
B. breve	BBBR_1552	-10.8668675879989	2.09110248611328e-44	Downregulated
B. breve	BBBR_1502	-7.34250578390008	2.26786179850499e-44	Downregulated
B. breve	BBBR_1641	-9.01189991533386	3.317914564648e-44	Downregulated
B. breve	BBBR_1654	-9.78756796291172	5.99398896363455e-44	Downregulated
B. breve	BBBR_0345	-7.10714306171931	5.99398896363455e-44	Downregulated
B. breve	BBBR_1605	-9.19739199021654	1.46171441062463e-43	Downregulated
B. breve	BBBR_0011	-8.76020320760907	1.83044493893803e-43	Downregulated
B. breve	BBBR_1058	-7.22403608954067	4.29575120343754e-43	Downregulated
B. breve	BBBR_1085	-7.60646731725416	8.34531550267673e-43	Downregulated
B. breve	BBBR_0264	-6.68873579669333	3.94888868290452e-42	Downregulated
B. breve	BBBR_0510	-9.27824234372571	6.30955230288967e-41	Downregulated
B. breve	BBBR_1623	-7.47459905840245	7.96032389628815e-41	Downregulated
B. breve	BBBR_0435	-8.11281961103064	9.05106555831811e-41	Downregulated
B. breve	BBBR_1232	-6.32540609645087	1.09845396106657e-40	Downregulated
B. breve	BBBR_0953	-6.50641554329693	1.73198115314711e-40	Downregulated
B. breve	BBBR_0262	-7.11211523915179	4.00585534699693e-40	Downregulated
B. breve	BBBR_1618	-6.91851579369012	8.93705303242776e-40	Downregulated
B. breve	BBBR_0308	-8.3551965960964	1.06162487121406e-39	Downregulated
B. breve	BBBR_1824	-7.93891064573752	1.07549846007201e-39	Downregulated
B. breve	BBBR_1589	-6.09685692489575	2.79119439689066e-39	Downregulated
B. breve	BBBR_0059	-7.63227654754675	5.71947233986849e-39	Downregulated
B. breve	BBBR_0309	-7.88194291365595	7.48647991335696e-39	Downregulated
B. breve	BBBR_0349	-9.49217999525442	9.80978743687233e-39	Downregulated
B. breve	BBBR_1615	-7.01643555210594	1.21760146422426e-38	Downregulated
B. breve	BBBR_1412	-4.8231328629929	3.02194528958022e-38	Downregulated
B. breve	BBBR_0868	-7.77392619991807	4.42857479511459e-38	Downregulated
B. breve	BBBR_0944	-5.88009819780566	9.31197693724346e-38	Downregulated
B. breve	BBBR_1435	-6.45854906287075	1.8251636925152e-37	Downregulated
B. breve	BBBR_1727	-6.98615151174092	1.8251636925152e-37	Downregulated
B. breve	BBBR_1621	-7.10682568211471	1.88336162759324e-37	Downregulated
B. breve	BBBR_1634	-8.38684934928118	4.5899909350526e-37	Downregulated
B. breve	BBBR_0610	-7.52138395619318	4.89754872579226e-37	Downregulated
B. breve	BBBR_1785	-7.09352505418954	1.00887534596123e-36	Downregulated
B. breve	BBBR_1406	-6.38685858504634	1.144616461359e-36	Downregulated
B. breve	BBBR_0859	-8.58672014059219	1.20160955703089e-36	Downregulated
B. breve	BBBR_1700	-7.66215586800438	1.45899834866661e-36	Downregulated
B. breve	BBBR_0260	-7.31035558445762	1.98858561286792e-36	Downregulated
B. breve	BBBR_1637	-8.46071168939235	1.98858561286792e-36	Downregulated
B. breve	BBBR_0976	-7.89465276493271	2.44252336836215e-36	Downregulated
B. breve	BBBR_1593	-6.7649873855593	2.85546596685818e-36	Downregulated
B. breve	BBBR_0744	-6.65145597284616	3.1594696272586e-36	Downregulated
B. infantis	Blon_2420	-5.56666269262996	5.39595421833972e-36	Downregulated
B. breve	BBBR_1616	-6.68690835277308	5.56946420301812e-36	Downregulated
B. breve	BBBR_0022	-5.56927563458584	1.35134332241304e-35	Downregulated
B. breve	BBBR_1364	-6.40976289577175	1.40366170464563e-35	Downregulated
B. breve	BBBR_0250	-8.45909264378458	1.82993235492061e-35	Downregulated
B. breve	BBBR_0600	-7.8622900579926	1.98985685205366e-35	Downregulated
B. breve	BBBR_0062	4.85497613215571	4.18453628016493e-35	Upregulated
B. breve	BBBR_1599	-6.80072772417721	1.71280446526483e-34	Downregulated
B. breve	BBBR_1738	-7.50805081938579	4.96569499065068e-34	Downregulated
B. breve	BBBR_1683	-8.19074209613097	5.21734935739735e-34	Downregulated
B. breve	BBBR_0164	-6.76679636478733	6.03559048308827e-34	Downregulated
B. breve	BBBR_0434	-9.8897215473276	1.02987417769956e-33	Downregulated
B. breve	BBBR_1482	-6.4315889934289	1.11135349494257e-33	Downregulated
B. breve	BBBR_1334	-6.52229512457656	1.52905333127118e-33	Downregulated
B. breve	BBBR_0021	-6.71525334597845	2.27847740714022e-33	Downregulated
B. breve	BBBR_1201	-9.70787146251669	3.66606714479357e-33	Downregulated
B. breve	BBBR_0410	-9.30295237833124	3.75337476435443e-33	Downregulated
B. breve	BBBR_1191	-6.75725048398139	4.82572714567908e-33	Downregulated
B. breve	BBBR_0154	-8.40275432951037	1.03769975057156e-32	Downregulated
B. breve	BBBR_1631	-7.89943879832363	1.09258369061531e-32	Downregulated
B. breve	BBBR_1090	-5.81676436163842	1.90068394416354e-32	Downregulated
