microorganism	locus_tag	log2FoldChange	padj	diffexpr
E. coli	b2092	-4.91577267715555	5.32360628040879e-44	Downregulated
E. coli	b2091	-5.52881381576391	7.87022289197183e-39	Downregulated
E. coli	b2095	-4.08480959757932	3.51639206983421e-33	Downregulated
B. bifidum	BbifJCM1254_05750	3.23010277450649	7.33920308366675e-27	Upregulated
B. bifidum	BbifJCM1254_09610	2.85900675249608	8.15662822661374e-26	Upregulated
B. bifidum	BbifJCM1254_13340	2.73506324291286	1.29091627088088e-25	Upregulated
E. coli	b2093	-4.71526426664356	1.49928094300121e-25	Downregulated
E. coli	b3604	-4.51590925135557	2.04039178399568e-23	Downregulated
E. coli	b4379	-3.95621974160162	4.18977156418432e-22	Downregulated
E. coli	b2240	-4.91706467834582	4.3187132516169e-22	Downregulated
E. coli	b2096	-3.55762841917375	7.93293239208483e-22	Downregulated
B. bifidum	BbifJCM1254_09160	2.84641039026217	1.73673811016361e-21	Upregulated
B. bifidum	BbifJCM1254_09130	2.96414177823428	2.93995155945973e-21	Upregulated
B. bifidum	BbifJCM1254_14660	2.510135870581	4.25318577644767e-20	Upregulated
B. thetaiotaomicron	BT_0656	6.32031710156097	1.31522535347646e-19	Upregulated
E. coli	b2239	-4.26096277228356	1.42006247938105e-19	Downregulated
B. bifidum	BbifJCM1254_12100	2.99662603309941	1.43752746105961e-19	Upregulated
E. coli	b3751	-3.16761372147224	1.83252734311016e-19	Downregulated
B. bifidum	BbifJCM1254_02840	2.81336331793636	2.65289787681746e-19	Upregulated
B. bifidum	BbifJCM1254_14670	2.656292912247	4.53945972751711e-19	Upregulated
B. bifidum	BbifJCM1254_07740	3.39777173158332	1.71157686701162e-18	Upregulated
E. coli	b3753	-2.43325593739703	4.77760394261834e-18	Downregulated
B. bifidum	BbifJCM1254_09020	2.57294105360354	7.30491569900654e-18	Upregulated
B. bifidum	BbifJCM1254_09040	2.98772665657803	7.34281356207891e-18	Upregulated
B. bifidum	BbifJCM1254_17930	2.87279187136673	1.66463085426783e-17	Upregulated
B. thetaiotaomicron	BT_0541	4.28893110937732	2.32886998753256e-17	Upregulated
B. bifidum	BbifJCM1254_07730	3.87107919397506	5.08984615442481e-17	Upregulated
B. bifidum	BbifJCM1254_09140	3.04800142286037	9.08052723279266e-17	Upregulated
E. coli	b0411	-2.12273663077064	2.08391245089651e-16	Downregulated
E. coli	b4352	-2.65879513157348	2.66865785284903e-16	Downregulated
E. coli	b3750	-3.50581129605939	2.66865785284903e-16	Downregulated
B. bifidum	BbifJCM1254_02800	2.89324094103428	3.09748436265521e-16	Upregulated
E. coli	b3752	-2.43661963926747	3.42739869728198e-16	Downregulated
B. thetaiotaomicron	BT_3737	5.09217043002383	3.74528087579396e-16	Upregulated
B. bifidum	BbifJCM1254_17780	2.99089237108474	4.35142824999673e-16	Upregulated
B. thetaiotaomicron	BT_2267	5.36135589801976	5.21583421063254e-16	Upregulated
E. coli	b4380	-3.70629608047968	5.61207552839639e-16	Downregulated
B. thetaiotaomicron	BT_0901	3.74145222980851	9.29732211083771e-16	Upregulated
B. bifidum	BbifJCM1254_08940	4.70891941589242	9.99802862936319e-16	Upregulated
E. coli	b1819	-2.08363205837067	1.13699168942331e-15	Downregulated
E. coli	b3605	-3.45006896940136	1.2826684066778e-15	Downregulated
B. bifidum	BbifJCM1254_02860	3.14874819560352	1.59742891494066e-15	Upregulated
B. bifidum	BbifJCM1254_07720	3.90471608985921	2.13187754495577e-15	Upregulated
B. thetaiotaomicron	BT_4500	5.18587815860757	2.37713139186608e-15	Upregulated
E. coli	b2150	-5.5090433236605	3.11772537278713e-15	Downregulated
B. bifidum	BbifJCM1254_09050	2.93710903249303	3.23977586274539e-15	Upregulated
B. bifidum	BbifJCM1254_05560	3.03854942668224	6.7097392862587e-15	Upregulated
B. bifidum	BbifJCM1254_05760	2.51702998967894	1.60888366709364e-14	Upregulated
B. thetaiotaomicron	BT_1820	5.34287339603462	1.84202743254498e-14	Upregulated
B. bifidum	BbifJCM1254_10390	6.08799590867566	1.91878777536288e-14	Upregulated
E. coli	b2149	-5.7993807605035	2.39389041201466e-14	Downregulated
B. bifidum	BbifJCM1254_08470	2.56450333060605	2.88785440175511e-14	Upregulated
B. bifidum	BbifJCM1254_09100	3.28567918271504	4.53256495254032e-14	Upregulated
B. bifidum	BbifJCM1254_17360	2.47174106225242	7.4390521248728e-14	Upregulated
B. bifidum	BbifJCM1254_01660	2.64543064386778	8.40073073900667e-14	Upregulated
B. bifidum	BbifJCM1254_08900	2.59654632242686	9.17141266175915e-14	Upregulated
B. bifidum	BbifJCM1254_16000	3.1710516599876	1.19006238356874e-13	Upregulated
E. coli	b2094	-4.12154073993411	2.02254752738715e-13	Downregulated
B. bifidum	BbifJCM1254_17750	2.63735459391297	3.13255485998339e-13	Upregulated
B. bifidum	BbifJCM1254_09990	2.99150106259165	3.2747268832491e-13	Upregulated
B. thetaiotaomicron	BT_4690	4.41440584473941	3.70568415202995e-13	Upregulated
B. thetaiotaomicron	BT_0157	4.6363711425277	6.19283963362455e-13	Upregulated
B. bifidum	BbifJCM1254_06370	4.73412251530614	6.48602958016664e-13	Upregulated
B. bifidum	BbifJCM1254_03690	3.14637830669281	7.19210389922245e-13	Upregulated
E. coli	b2957	-3.94214264971922	7.73251404998493e-13	Downregulated
B. bifidum	BbifJCM1254_14710	2.76960164078343	8.01430444352468e-13	Upregulated
B. bifidum	BbifJCM1254_12000	2.54390650292428	1.03277122710875e-12	Upregulated
