microorganism	locus_tag	log2FoldChange	padj	diffexpr
E. coli	b2167	4.5187988695901	3.08950400218691e-27	Upregulated
B. infantis	Blon_0141	-6.60034758907332	2.58435681621618e-23	Downregulated
E. coli	b0411	-2.38023149091028	7.65352363745905e-22	Downregulated
E. coli	b1597	-2.90438686840851	9.8444512222045e-22	Downregulated
E. coli	b1967	4.30468790268421	9.8444512222045e-22	Upregulated
E. coli	b2168	5.65885475184946	4.94410666732468e-19	Upregulated
E. coli	b2169	5.72985176812528	2.19046468156185e-18	Upregulated
E. coli	b0837	2.67251998583278	1.07398615166915e-15	Upregulated
E. coli	b1955	5.04772031927738	1.91153334102575e-15	Upregulated
E. coli	b0485	4.47858963420162	3.26917789738358e-14	Upregulated
E. coli	b0871	4.58823972512476	1.17556246664189e-13	Upregulated
E. coli	b3092	3.33844916918838	1.5686229491966e-13	Upregulated
E. coli	b4376	4.04090713087237	1.69104767436821e-13	Upregulated
E. coli	b1747	5.82786718325606	2.70645312641349e-13	Upregulated
E. coli	b1164	3.82188669867236	7.56305690067675e-13	Upregulated
B. bifidum	BbifJCM1254_09610	-2.14854553228786	9.73846753336024e-13	Downregulated
E. coli	b3023	2.26182951542972	1.30872324945962e-12	Upregulated
E. coli	b1276	3.28322717541212	5.14251216587218e-12	Upregulated
E. coli	b0486	4.79593064635957	5.14998421263001e-12	Upregulated
E. coli	b1683	4.16937296358238	1.13330317831545e-11	Upregulated
E. coli	b1953	4.52083874511122	3.87958848088392e-11	Upregulated
E. coli	b1990	3.00053931570436	4.63102501660236e-11	Upregulated
E. coli	b2661	4.02674099064513	6.93120984894462e-11	Upregulated
E. coli	b4568	3.99435058593163	1.00569062630862e-10	Upregulated
E. coli	b3003	3.85071389357994	1.06470805681762e-10	Upregulated
E. coli	b1226	2.42670723313989	2.68888711048048e-10	Upregulated
E. coli	b3097	2.99236771191969	2.68888711048048e-10	Upregulated
E. coli	b1003	3.63050611424226	2.70234700833435e-10	Upregulated
E. coli	b2465	3.96130615108336	3.04110728012609e-10	Upregulated
E. coli	b3091	2.52915000929433	3.9607465854458e-10	Upregulated
