microorganism	locus_tag	log2FoldChange	padj	diffexpr
B. infantis	Blon_2284	-10.2823911160655	8.47037157783705e-82	Downregulated
B. infantis	Blon_2270	-10.8824006773652	1.07771099839625e-70	Downregulated
B. infantis	Blon_1722	-9.44419333635921	1.41201041010903e-57	Downregulated
B. infantis	Blon_1087	-7.02314554294207	2.6959634249987e-53	Downregulated
E. coli	b0104	2.35882273678034	5.7208746147122e-51	Upregulated
B. infantis	Blon_0141	-9.24887111310112	4.3519895221629e-48	Downregulated
B. infantis	Blon_0614	-10.675393690735	1.65373313861285e-47	Downregulated
B. infantis	Blon_0922	-12.0718499903938	2.80495926703887e-46	Downregulated
B. infantis	Blon_1153	-9.95521205085113	5.24059362017256e-44	Downregulated
E. coli	b3612	2.66182113581299	1.12711020593794e-40	Upregulated
B. infantis	Blon_1715	-13.2540559225615	3.41350917869709e-40	Downregulated
B. infantis	Blon_0059	-8.40875359299712	5.39488637138197e-38	Downregulated
B. infantis	Blon_0584	-11.3564031492348	2.68121583183914e-36	Downregulated
B. infantis	Blon_2016	-6.86105706756174	7.27690857896519e-33	Downregulated
B. infantis	Blon_0070	-6.04133188849677	8.20229094609368e-33	Downregulated
B. infantis	Blon_0309	-12.3554833533576	8.26179750259417e-33	Downregulated
B. infantis	Blon_2062	-11.4314609618574	4.75420455432089e-32	Downregulated
B. infantis	Blon_0170	-11.0827737545673	1.4571129933631e-31	Downregulated
B. infantis	Blon_0260	-11.7866689305507	1.62171309192797e-31	Downregulated
B. infantis	Blon_0029	-8.29738721265793	4.40691030993854e-31	Downregulated
B. infantis	Blon_0307	-13.4435286386863	2.43584397666051e-30	Downregulated
E. coli	b2720	4.2773969459573	2.70169307502729e-29	Upregulated
B. infantis	Blon_0900	-13.1765490008614	2.8355532296283e-29	Downregulated
B. infantis	Blon_0417	-13.6765144255861	1.52232087892467e-28	Downregulated
B. infantis	Blon_2233	-9.16756805425806	4.23103303071382e-28	Downregulated
B. infantis	Blon_2198	-13.4938108512996	1.30780590289569e-27	Downregulated
B. infantis	Blon_1907	-8.7802187915616	2.16487263057076e-27	Downregulated
B. infantis	Blon_0738	-13.2344143391255	3.53173105057636e-27	Downregulated
B. infantis	Blon_2049	-13.6843905773045	3.53173105057636e-27	Downregulated
B. infantis	Blon_1923	-14.3695780587023	4.25151132337086e-27	Downregulated
E. coli	b2039	2.02148662520163	1.47513368420268e-26	Upregulated
B. infantis	Blon_1941	-10.2523542720015	9.11667769828994e-26	Downregulated
B. infantis	Blon_2134	-10.9136475951625	1.64610220757562e-25	Downregulated
B. infantis	Blon_0189	-7.2645928987534	5.00960928665149e-25	Downregulated
B. infantis	Blon_0565	-10.0213133100682	6.07615918411377e-25	Downregulated
B. infantis	Blon_0612	-18.0802194457406	7.8203860765452e-25	Downregulated
B. infantis	Blon_0281	-9.95165888135835	1.68068350055429e-24	Downregulated
E. coli	b2726	3.70457209459323	2.31923770906029e-24	Upregulated
E. coli	b2721	4.24139976326189	6.44593105771803e-24	Upregulated
B. infantis	Blon_2334	-17.761923767145	6.44593105771803e-24	Downregulated
E. coli	b4079	3.95113473484688	6.95516497580496e-24	Upregulated
B. infantis	Blon_1095	-17.8068888809782	6.98323588846477e-24	Downregulated
B. infantis	Blon_0308	-12.3525044603484	6.98323588846477e-24	Downregulated
B. infantis	Blon_0904	-9.72322951688975	7.73826596369752e-24	Downregulated
B. infantis	Blon_1147	-5.43930755158023	3.27542654568893e-23	Downregulated
B. infantis	Blon_1922	-17.8551318671363	5.8736204569726e-23	Downregulated
B. infantis	Blon_1893	-12.3281307857425	1.31644863431457e-22	Downregulated
B. infantis	Blon_0259	-11.8768571849693	1.68494220306507e-22	Downregulated
B. infantis	Blon_1836	-16.8129626117937	4.19313423433949e-22	Downregulated
E. coli	b2723	4.27049715436912	7.79817774734641e-22	Upregulated
B. breve	BBBR_1484	-3.62994439458312	9.28957846089866e-22	Downregulated
B. infantis	Blon_0882	-17.2468311002601	1.81949911215731e-21	Downregulated
B. infantis	Blon_0123	-11.9622386325946	3.19615055823961e-21	Downregulated
B. infantis	Blon_0173	-11.913650668263	3.61042979006649e-21	Downregulated
B. infantis	Blon_2184	-17.1899711606939	8.77855272024769e-21	Downregulated
B. infantis	Blon_0840	-16.5498240846208	1.09157648503816e-20	Downregulated
B. infantis	Blon_1754	-11.0511204512216	1.72052719304675e-20	Downregulated
B. infantis	Blon_1096	-15.5448792873949	2.6250041472404e-20	Downregulated
B. infantis	Blon_1602	-12.693155264306	2.66119194575993e-20	Downregulated
B. infantis	Blon_2139	-10.6088855565618	4.63291720299746e-20	Downregulated
B. infantis	Blon_1164	-16.3140029729812	5.22066934655781e-20	Downregulated
B. infantis	Blon_0187	-6.57639530624899	5.57606557937802e-20	Downregulated
E. coli	b4352	2.90451346120734	5.67075693377286e-20	Upregulated
B. infantis	Blon_2469	-16.0089861156271	1.04428437439648e-19	Downregulated
B. infantis	Blon_1745	-16.9411216342171	1.12446240311873e-19	Downregulated
B. infantis	Blon_0355	-16.3226977624743	1.4686362662839e-19	Downregulated
B. infantis	Blon_0102	-15.8881760114842	1.48537683164073e-19	Downregulated
E. coli	b2722	4.14267513455339	1.48537683164073e-19	Upregulated
B. infantis	Blon_2478	-15.9550483019367	2.1478588443497e-19	Downregulated
B. infantis	Blon_2271	-15.6028204701973	3.94063762523257e-19	Downregulated
B. infantis	Blon_0007	-16.5403417868792	4.31906502892159e-19	Downregulated
B. infantis	Blon_0181	-15.8040151529016	4.58359146957243e-19	Downregulated
B. infantis	Blon_2217	-16.0912337205521	5.83062339191247e-19	Downregulated
B. infantis	Blon_0952	-16.8611780405746	7.09887030128164e-19	Downregulated
B. infantis	Blon_2171	-15.7175232712304	7.80882389855684e-19	Downregulated
B. infantis	Blon_0702	-13.8721283163237	7.98702428894426e-19	Downregulated
B. infantis	Blon_2152	-16.4175002040232	8.10630342763145e-19	Downregulated
B. infantis	Blon_1847	-16.4892498825125	8.10630342763145e-19	Downregulated
B. infantis	Blon_0704	-15.996165229033	1.17783542531372e-18	Downregulated
B. infantis	Blon_0191	-15.5792339917133	1.63874893239563e-18	Downregulated
B. infantis	Blon_2078	-16.1181859670396	1.65589254585328e-18	Downregulated
B. infantis	Blon_2328	-15.4290256392749	1.77074925276794e-18	Downregulated
B. infantis	Blon_1259	-15.7154761381581	2.19064605496215e-18	Downregulated
B. infantis	Blon_0275	-16.3798398099612	2.21198558895285e-18	Downregulated
B. infantis	Blon_0420	-16.5087461177982	2.4171914733023e-18	Downregulated
B. infantis	Blon_0951	-15.4540570587752	3.7674131552525e-18	Downregulated
B. infantis	Blon_1154	-8.40831904422947	4.00559473805897e-18	Downregulated
B. infantis	Blon_1761	-16.3548244087886	4.27336024263133e-18	Downregulated
B. infantis	Blon_2423	-5.0475159396364	6.23020491205372e-18	Downregulated
B. infantis	Blon_0305	-15.2176399668831	6.54011648900704e-18	Downregulated
B. infantis	Blon_0932	-15.412140797449	6.59781099135452e-18	Downregulated
B. infantis	Blon_0083	-15.4213274634356	6.71366822782993e-18	Downregulated
B. infantis	Blon_1842	-16.5121632531727	9.48014738111817e-18	Downregulated
B. infantis	Blon_0540	-15.4230728595338	9.9894762743e-18	Downregulated
B. infantis	Blon_1007	-15.3728251766309	1.01295447544636e-17	Downregulated
B. infantis	Blon_2397	-15.9688385399917	1.27551375194778e-17	Downregulated
B. infantis	Blon_0931	-15.562768767275	1.30369468461042e-17	Downregulated
B. breve	BBBR_0510	-4.5019890132206	1.53821371376248e-17	Downregulated
B. infantis	Blon_0881	-17.2306918890738	1.82918114231415e-17	Downregulated
B. breve	BBBR_0705	-4.00559109262223	1.91801583656253e-17	Downregulated
E. coli	b3891	2.01133678010067	1.9789724836067e-17	Upregulated
B. infantis	Blon_0694	-13.999953439306	2.05782256466496e-17	Downregulated
B. infantis	Blon_2475	-17.3815425307221	2.12091414853863e-17	Downregulated
B. infantis	Blon_1731	-13.7365548155702	2.26711608522331e-17	Downregulated
B. infantis	Blon_0960	-15.1797450396947	2.44316913040289e-17	Downregulated
B. infantis	Blon_1012	-16.6657859679755	2.44316913040289e-17	Downregulated
B. infantis	Blon_0925	-13.7919988797111	2.62966863475688e-17	Downregulated
B. infantis	Blon_1580	-15.9386704966442	3.30335840199649e-17	Downregulated
B. infantis	Blon_2483	-15.166250681503	3.32348644257978e-17	Downregulated
B. infantis	Blon_2336	-16.3217447179094	3.99066165631171e-17	Downregulated
B. infantis	Blon_1315	-15.0232391278674	4.14025670999958e-17	Downregulated
B. infantis	Blon_0081	-15.601775110454	4.30147224674411e-17	Downregulated
B. infantis	Blon_1482	-16.3666274493318	4.34925214670151e-17	Downregulated
B. infantis	Blon_0363	-15.2871219303018	4.34925214670151e-17	Downregulated
B. infantis	Blon_0084	-15.5065600672326	4.46449947313722e-17	Downregulated
E. coli	b0410	2.07127106566118	5.60070756211298e-17	Upregulated
B. infantis	Blon_0306	-15.5293636781362	5.74997037903964e-17	Downregulated
B. infantis	Blon_2177	-4.96195500105871	7.59005074355401e-17	Downregulated
B. infantis	Blon_1452	-15.0742385211516	8.06954980373737e-17	Downregulated
B. infantis	Blon_2490	-16.1914782638165	8.23908310534498e-17	Downregulated
B. infantis	Blon_2034	-15.2141249164786	8.26722563291607e-17	Downregulated
E. coli	b3916	2.39334483343262	8.33983575642347e-17	Upregulated
B. infantis	Blon_2048	-17.7517691518467	1.36059970617921e-16	Downregulated
B. infantis	Blon_0261	-15.3826901616659	1.57568995434045e-16	Downregulated
B. infantis	Blon_2144	-15.4608867171594	1.68393015653488e-16	Downregulated
B. infantis	Blon_0961	-14.6786044868264	1.7972129829828e-16	Downregulated
B. infantis	Blon_0549	-16.2489145093341	1.88223630124185e-16	Downregulated
B. infantis	Blon_0117	-15.3191262288135	2.08810538148949e-16	Downregulated
B. breve	BBBR_0349	-3.75237248584176	2.08810538148949e-16	Downregulated
B. infantis	Blon_1875	-14.9740548163335	2.28413455180633e-16	Downregulated
E. coli	b0565	2.73230621596664	2.6708134836797e-16	Upregulated
B. infantis	Blon_0679	-15.2237230494513	2.69115132810272e-16	Downregulated
B. infantis	Blon_2241	-14.9917290206113	2.84636822705182e-16	Downregulated
B. infantis	Blon_1057	-16.1822577042082	3.19060504866015e-16	Downregulated
B. infantis	Blon_0077	-15.7821701265499	3.25587535814046e-16	Downregulated
B. infantis	Blon_0011	-14.8980102019126	3.41606085533507e-16	Downregulated
B. infantis	Blon_2264	-13.2788690574762	3.81065745414447e-16	Downregulated
E. coli	b2724	4.29184401819059	4.50183137528536e-16	Upregulated
B. infantis	Blon_0088	-15.3403469866916	4.86370828141705e-16	Downregulated
B. infantis	Blon_0180	-14.5796574347648	4.93690446605509e-16	Downregulated
E. coli	b3746	2.02714842537562	5.11709662495891e-16	Upregulated
B. infantis	Blon_1689	-10.4022096464089	5.19864495752977e-16	Downregulated
B. infantis	Blon_1612	-16.6082811071334	5.30470543251203e-16	Downregulated
B. infantis	Blon_0803	-16.5309858678976	5.4199997163012e-16	Downregulated
B. infantis	Blon_1170	-16.1915294011279	7.06109408548014e-16	Downregulated
B. infantis	Blon_0949	-14.1263139537028	7.52557887905726e-16	Downregulated
B. infantis	Blon_0593	-15.774259405605	7.52557887905726e-16	Downregulated
B. infantis	Blon_2302	-15.5452323932155	8.1455584421478e-16	Downregulated
B. infantis	Blon_0957	-15.3872447432418	9.37006214510379e-16	Downregulated
B. infantis	Blon_0798	-10.5571823026799	9.96606989252999e-16	Downregulated
B. infantis	Blon_1769	-15.3939790736216	9.97558476455824e-16	Downregulated
B. infantis	Blon_2293	-16.371592385016	1.12927643255688e-15	Downregulated
B. infantis	Blon_1881	-14.1798168211067	1.20365425596688e-15	Downregulated
B. infantis	Blon_2265	-14.5492994104503	1.32116614095019e-15	Downregulated
B. infantis	Blon_0586	-9.63465676714404	1.37505868447092e-15	Downregulated
B. infantis	Blon_0035	-15.4796155080637	1.44048532642625e-15	Downregulated
B. infantis	Blon_0131	-13.955928850517	1.50850269414627e-15	Downregulated
B. infantis	Blon_0870	-14.6997411374353	1.50850269414627e-15	Downregulated
B. infantis	Blon_2238	-13.3810079256946	1.57834591600312e-15	Downregulated
B. infantis	Blon_1740	-14.2154002174942	1.58113375230417e-15	Downregulated
B. infantis	Blon_0188	-6.16659848421109	1.80155766891794e-15	Downregulated
B. infantis	Blon_2211	-16.4202334711806	1.82720364669854e-15	Downregulated
B. infantis	Blon_0852	-14.4930480103632	1.89889863025976e-15	Downregulated
B. infantis	Blon_2067	-16.4597090695929	1.9036330508244e-15	Downregulated
B. infantis	Blon_1995	-14.7931704660169	2.04504120106944e-15	Downregulated
B. infantis	Blon_0764	-14.8216103523072	2.12346319536805e-15	Downregulated
B. infantis	Blon_0773	-14.2005718076832	2.27258480462605e-15	Downregulated
B. infantis	Blon_1481	-14.8765741810011	2.40516272892394e-15	Downregulated
B. infantis	Blon_0592	-13.9688551389733	2.43409268959737e-15	Downregulated
B. infantis	Blon_1146	-14.2717682773211	2.61042781687307e-15	Downregulated
B. infantis	Blon_0232	-8.26798460962726	2.72100000033243e-15	Downregulated
B. breve	BBBR_0175	-5.76500421237985	2.78666710325413e-15	Downregulated
B. infantis	Blon_0143	-13.6782117940785	3.04902139759209e-15	Downregulated
B. infantis	Blon_0897	-14.5222993252636	3.43523460496697e-15	Downregulated
B. infantis	Blon_0935	-14.6971227655042	3.92840139800997e-15	Downregulated
E. coli	b0757	2.90700796927651	4.1646297672108e-15	Upregulated
B. infantis	Blon_2332	-15.0466779785562	4.27165041238592e-15	Downregulated
B. infantis	Blon_2331	-15.6048148833528	4.33990104932467e-15	Downregulated
B. breve	BBBR_0434	-4.08523982668418	4.66764505070338e-15	Downregulated
B. infantis	Blon_1906	-9.53186578239368	5.07423588598442e-15	Downregulated
E. coli	b2712	2.61821088067501	5.22246346940773e-15	Upregulated
B. infantis	Blon_0938	-14.2069147717332	5.28453773130412e-15	Downregulated
E. coli	b2803	4.22312377933037	5.78876669848926e-15	Upregulated
B. infantis	Blon_1984	-14.8002408635161	6.00428572398106e-15	Downregulated
B. infantis	Blon_2266	-15.6122577029816	6.05540969374737e-15	Downregulated
B. infantis	Blon_0964	-13.9327723403495	6.36352172650709e-15	Downregulated
B. infantis	Blon_2474	-14.4147166817478	6.64904554116833e-15	Downregulated
B. infantis	Blon_2032	-17.2081214121437	6.9154141767112e-15	Downregulated
B. infantis	Blon_2188	-13.8532903721209	7.31316107306639e-15	Downregulated
B. infantis	Blon_2228	-14.4089275380442	7.38029264059488e-15	Downregulated
B. infantis	Blon_1453	-14.095173940498	7.71179885413266e-15	Downregulated
B. infantis	Blon_0923	-13.9194797517897	7.71179885413266e-15	Downregulated
