microorganism	locus_tag	log2FoldChange	padj	diffexpr
B. thetaiotaomicron	BT_4135	-9.10243008108193	2.88188089583616e-29	Downregulated
B. thetaiotaomicron	BT_4295	-7.47706621518301	6.55249418049487e-29	Downregulated
B. thetaiotaomicron	BT_3789	-7.90886686723811	4.90454931087566e-26	Downregulated
B. thetaiotaomicron	BT_3787	-8.64622776713123	4.90454931087566e-26	Downregulated
B. infantis	Blon_0141	-6.62189852471824	3.51218718629304e-24	Downregulated
B. thetaiotaomicron	BT_3791	-7.43919263686655	3.51218718629304e-24	Downregulated
B. thetaiotaomicron	BT_2629	-8.2216369712219	1.14479091206129e-18	Downregulated
E. coli	b2167	3.51856498804484	1.54708162175048e-17	Upregulated
B. thetaiotaomicron	BT_3788	-7.65989325923917	2.06080533072329e-16	Downregulated
B. thetaiotaomicron	BT_2626	-5.66871823899484	3.46611010030643e-16	Downregulated
B. thetaiotaomicron	BT_3792	-7.61535691187569	6.27766459838925e-16	Downregulated
E. coli	b3158	2.70921822191419	7.92502516693918e-16	Upregulated
B. thetaiotaomicron	BT_3784	-9.49763777376447	2.53779153437766e-15	Downregulated
B. thetaiotaomicron	BT_3958	-7.77893293359798	8.25366996743706e-15	Downregulated
E. coli	b3091	2.93366361504964	3.15192661079436e-14	Upregulated
B. thetaiotaomicron	BT_4296	-7.69237296510409	3.98369202924923e-14	Downregulated
B. thetaiotaomicron	BT_3790	-7.25470643900227	4.36467832159982e-14	Downregulated
E. coli	b3092	3.28291218390189	5.07584766832167e-14	Upregulated
B. thetaiotaomicron	BT_2486	-5.25080483275269	1.17529711158466e-13	Downregulated
B. thetaiotaomicron	BT_4134	-8.94601157469366	3.66103703128181e-13	Downregulated
E. coli	b3923	2.1967806101992	5.833830482285e-13	Upregulated
B. thetaiotaomicron	BT_2624	-6.17186414302471	9.00977995395025e-13	Downregulated
B. bifidum	BbifJCM1254_13570	-4.75348138384016	2.08045098823127e-12	Downregulated
E. coli	b3159	2.48382076202214	3.93138180105671e-12	Upregulated
B. thetaiotaomicron	BT_2627	-5.71120990727541	4.35652772901586e-12	Downregulated
B. thetaiotaomicron	BT_3959	-6.51156488707761	3.85784075678946e-11	Downregulated
B. infantis	Blon_2372	-11.5657684483625	6.95761507459821e-11	Downregulated
B. thetaiotaomicron	BT_2623	-5.87008263972473	1.57975360062955e-10	Downregulated
B. thetaiotaomicron	BT_3774	-4.37712300684008	2.63799193116363e-10	Downregulated
B. thetaiotaomicron	BT_2625	-6.52584035357059	4.93167597812426e-10	Downregulated
E. coli	b1164	3.16828999149426	7.33537186643506e-10	Upregulated
E. coli	b0385	2.23350728131387	1.10283406475202e-09	Upregulated
E. coli	b3922	2.24976107379964	1.1992250534851e-09	Upregulated
B. thetaiotaomicron	BT_4136	-10.5555873834441	3.02017904284079e-09	Downregulated
E. coli	b3476	2.19022740811302	3.61607764959971e-09	Upregulated
B. thetaiotaomicron	BT_1512	-4.76390216721249	7.03522060936805e-09	Downregulated
B. thetaiotaomicron	BT_4481	-5.51806564248844	1.04562653180738e-08	Downregulated
B. thetaiotaomicron	BT_0300	-4.00325151819429	1.20364727107981e-08	Downregulated
B. infantis	Blon_0143	-10.3818631782918	1.26659544037642e-08	Downregulated
E. coli	b3365	2.11612015600677	4.14200080103231e-08	Upregulated
E. coli	b0267	2.20659674542972	7.33245268552825e-08	Upregulated
B. thetaiotaomicron	BT_4133	-8.3487612239834	1.28239901530242e-07	Downregulated
E. coli	b3060	2.50194495290527	1.29249235392789e-07	Upregulated
E. coli	b2168	3.23916785146543	1.97914937836376e-07	Upregulated
E. coli	b4128	2.11067826353313	2.01864533573128e-07	Upregulated
L. symbiosum	HMPREF9475_02232	2.90007346174011	2.0320881786362e-07	Upregulated
E. coli	b3093	2.92013075026088	2.19616400042272e-07	Upregulated
E. coli	b1285	2.00731561805233	4.3388334606026e-07	Upregulated
B. thetaiotaomicron	BT_2622	-6.06751699693388	5.43386964528017e-07	Downregulated
E. coli	b2172	3.15294298820018	6.52832724150834e-07	Upregulated
B. thetaiotaomicron	BT_2621	-6.18706217500957	8.01249552839972e-07	Downregulated
E. coli	b2957	2.82645283704431	1.0170509131309e-06	Upregulated
B. thetaiotaomicron	BT_0210	-5.20212130240045	1.0299718176876e-06	Downregulated
B. infantis	Blon_2414	3.94690148960761	1.33847863741447e-06	Upregulated
B. infantis	Blon_0694	-8.49671305473418	1.38151673965112e-06	Downregulated
E. coli	b3003	2.62437179582539	1.8665536792551e-06	Upregulated
