microorganism	locus_tag	log2FoldChange	padj	diffexpr
B. bifidum	BbifJCM1254_09610	-4.28820961798058	2.12590516345332e-58	Downregulated
E. coli	b3612	3.2385916346181	6.65361347975682e-56	Upregulated
E. coli	b2296	2.93309033756628	2.47819772515497e-51	Upregulated
E. coli	b3833	2.3899967647049	1.45308236155182e-50	Upregulated
B. bifidum	BbifJCM1254_03330	-5.47928123332828	1.45308236155182e-50	Downregulated
B. bifidum	BbifJCM1254_14710	-5.39882331770079	1.63171583932238e-49	Downregulated
B. bifidum	BbifJCM1254_05750	-4.33883580744832	2.87156688805949e-49	Downregulated
B. bifidum	BbifJCM1254_02840	-4.45292429840507	6.06995097566688e-49	Downregulated
B. bifidum	BbifJCM1254_02860	-5.4949241554336	6.18606949434508e-48	Downregulated
B. bifidum	BbifJCM1254_17360	-4.56893295634857	2.94364109487357e-47	Downregulated
E. coli	b2585	3.59841989024217	2.74379565522684e-46	Upregulated
B. bifidum	BbifJCM1254_17680	-5.01738196345907	7.62158350125515e-44	Downregulated
B. bifidum	BbifJCM1254_17780	-4.91568897924965	7.62158350125515e-44	Downregulated
B. bifidum	BbifJCM1254_08460	-5.55808701890594	1.26836791150865e-43	Downregulated
B. bifidum	BbifJCM1254_13340	-3.50949017228342	6.47529534625341e-43	Downregulated
B. bifidum	BbifJCM1254_07740	-5.13473969290369	7.05595818437937e-43	Downregulated
B. bifidum	BbifJCM1254_14660	-3.6061978183572	5.57121113622096e-42	Downregulated
B. bifidum	BbifJCM1254_08040	-4.48778671407985	8.29974360678126e-42	Downregulated
B. bifidum	BbifJCM1254_08470	-4.35471658881984	2.19052607229441e-41	Downregulated
B. bifidum	BbifJCM1254_10410	-4.70507882275352	1.24843663608338e-39	Downregulated
E. coli	b4352	5.23280502998438	4.40494432714334e-39	Upregulated
E. coli	b4147	3.69289709355487	5.38372927909451e-39	Upregulated
B. bifidum	BbifJCM1254_17750	-4.50069588448465	1.83065737001573e-38	Downregulated
B. bifidum	BbifJCM1254_12100	-4.14451154696285	1.1961999594884e-37	Downregulated
B. bifidum	BbifJCM1254_14670	-3.70800261234948	2.01991857973081e-37	Downregulated
B. bifidum	BbifJCM1254_06810	-5.20957991045479	3.51665326189522e-37	Downregulated
E. coli	b0025	2.90961675301971	3.50933964983863e-36	Upregulated
B. bifidum	BbifJCM1254_07040	-5.43823771352853	3.85794706025699e-36	Downregulated
E. coli	b0726	4.21573702450119	4.97078008873088e-36	Upregulated
B. bifidum	BbifJCM1254_14650	-4.45970505017686	5.72761781174475e-36	Downregulated
B. bifidum	BbifJCM1254_17340	-5.10267975782785	1.01248613276358e-35	Downregulated
E. coli	b4025	4.31796153007077	1.55644006174978e-35	Upregulated
B. bifidum	BbifJCM1254_12000	-4.24220038974181	3.21963708427534e-35	Downregulated
B. bifidum	BbifJCM1254_05080	-4.78556549533292	4.53528616574218e-35	Downregulated
B. bifidum	BbifJCM1254_08740	-5.07749211792328	1.61894875005641e-34	Downregulated
