microorganism	locus_tag	log2FoldChange	padj	diffexpr
B. bifidum	BbifJCM1254_09610	-5.9072198107595	3.03883563017768e-117	Downregulated
B. bifidum	BbifJCM1254_05750	-5.94715593434363	2.5931871925654e-94	Downregulated
B. bifidum	BbifJCM1254_13340	-5.15219090899172	1.03438874045903e-93	Downregulated
B. bifidum	BbifJCM1254_01140	-5.17153351887185	3.40462458752924e-82	Downregulated
B. bifidum	BbifJCM1254_14660	-4.9671637677963	7.3030715086596e-82	Downregulated
B. bifidum	BbifJCM1254_02840	-5.67046265231008	3.30863620235139e-81	Downregulated
B. bifidum	BbifJCM1254_14670	-5.36406830646313	1.69694735085246e-80	Downregulated
B. bifidum	BbifJCM1254_12670	-4.82274647469902	2.94729458694996e-74	Downregulated
B. bifidum	BbifJCM1254_09130	-5.38218496382142	3.24425051755837e-73	Downregulated
B. bifidum	BbifJCM1254_12100	-5.66820386895392	3.24425051755837e-73	Downregulated
B. bifidum	BbifJCM1254_17360	-5.62195745024508	2.04160236143436e-72	Downregulated
B. bifidum	BbifJCM1254_08470	-5.63066213091298	2.56475557486508e-71	Downregulated
B. bifidum	BbifJCM1254_09160	-5.07774043997659	6.59758346967174e-71	Downregulated
B. bifidum	BbifJCM1254_09020	-5.01306114899642	4.33296304506408e-70	Downregulated
B. bifidum	BbifJCM1254_08040	-5.70632722662203	4.62974902794324e-70	Downregulated
B. bifidum	BbifJCM1254_10410	-6.0801483524791	2.39405143095605e-69	Downregulated
B. bifidum	BbifJCM1254_05760	-5.44016606416281	5.54464034707205e-69	Downregulated
B. bifidum	BbifJCM1254_03330	-6.31828170844061	5.54905417348924e-69	Downregulated
B. bifidum	BbifJCM1254_17930	-5.56920341442484	4.72318898197407e-68	Downregulated
B. bifidum	BbifJCM1254_14710	-6.22166661869882	6.05137544865331e-68	Downregulated
B. bifidum	BbifJCM1254_07740	-6.32515809942689	2.61627906483705e-66	Downregulated
B. bifidum	BbifJCM1254_17780	-5.98032998988108	2.84682642832327e-66	Downregulated
B. bifidum	BbifJCM1254_02860	-6.37613006474626	3.5922580025859e-66	Downregulated
B. bifidum	BbifJCM1254_14650	-5.834742042073	1.93866495282482e-64	Downregulated
B. bifidum	BbifJCM1254_08460	-6.69890696165871	2.00891672497419e-64	Downregulated
B. bifidum	BbifJCM1254_09040	-5.50658973205219	6.12994157230249e-64	Downregulated
B. bifidum	BbifJCM1254_17680	-5.8856139955305	1.07122382655984e-62	Downregulated
B. bifidum	BbifJCM1254_02610	-4.99336598431232	3.31632568195183e-61	Downregulated
B. bifidum	BbifJCM1254_08900	-5.41734629004562	5.86223624083854e-61	Downregulated
B. bifidum	BbifJCM1254_12000	-5.41000152184838	3.74606973224033e-59	Downregulated
B. bifidum	BbifJCM1254_01660	-5.38866926669315	4.24756944640744e-58	Downregulated
B. bifidum	BbifJCM1254_06150	-5.2674803495369	5.52625257673696e-58	Downregulated
B. bifidum	BbifJCM1254_02800	-5.40983645709998	6.73414869658425e-58	Downregulated
B. bifidum	BbifJCM1254_17750	-5.45683342462771	2.00447094350267e-57	Downregulated
B. bifidum	BbifJCM1254_13360	-5.77733244675132	8.85666296794099e-56	Downregulated
B. bifidum	BbifJCM1254_11540	-5.73676407183062	7.088153526662e-55	Downregulated
B. bifidum	BbifJCM1254_06730	-5.90925102678256	2.33503352807682e-54	Downregulated
B. bifidum	BbifJCM1254_07040	-6.57980930559035	4.02143653351948e-54	Downregulated
B. bifidum	BbifJCM1254_01650	-5.35853454843458	8.73492716778596e-54	Downregulated
B. bifidum	BbifJCM1254_17340	-6.1245164319619	3.73829592878512e-53	Downregulated
B. bifidum	BbifJCM1254_09230	-5.09289982045133	7.17632131399156e-52	Downregulated
B. bifidum	BbifJCM1254_13420	-5.72307237788834	1.63336536578486e-51	Downregulated
B. bifidum	BbifJCM1254_17670	-5.34350085554021	3.28262515557889e-51	Downregulated
B. bifidum	BbifJCM1254_08740	-6.09535631863033	3.54052158797219e-51	Downregulated
B. bifidum	BbifJCM1254_08750	-6.19661176151311	3.63740613818943e-50	Downregulated
B. bifidum	BbifJCM1254_12080	-5.58142319718044	4.54429510059386e-50	Downregulated
B. bifidum	BbifJCM1254_09240	-5.1679630304218	8.34497867567508e-50	Downregulated
B. bifidum	BbifJCM1254_05080	-5.64417162806786	2.0278019237606e-49	Downregulated
B. bifidum	BbifJCM1254_09050	-5.22383919234874	4.80550604184126e-49	Downregulated
B. bifidum	BbifJCM1254_06810	-5.94469304836534	5.46684339080844e-49	Downregulated
B. bifidum	BbifJCM1254_09200	-5.75730128269743	8.06920343423073e-49	Downregulated
B. bifidum	BbifJCM1254_16920	-5.7826589519851	1.18958104511231e-48	Downregulated
B. bifidum	BbifJCM1254_07580	-4.36706294750119	1.32505278670327e-48	Downregulated
B. bifidum	BbifJCM1254_16000	-5.82756764457964	4.05816809080926e-48	Downregulated
B. bifidum	BbifJCM1254_14930	-5.40261499784242	1.21409824945524e-47	Downregulated
B. bifidum	BbifJCM1254_13540	-6.05190243728788	3.63986118929643e-47	Downregulated
B. bifidum	BbifJCM1254_11200	-4.84318407655147	3.74565450188876e-47	Downregulated
B. bifidum	BbifJCM1254_15630	-5.82264408175679	6.59787581141676e-47	Downregulated
B. bifidum	BbifJCM1254_07730	-6.33572193616491	6.8033748496565e-47	Downregulated
B. bifidum	BbifJCM1254_09140	-5.02406070991487	7.13416977455786e-47	Downregulated
B. bifidum	BbifJCM1254_12150	-4.99236297576701	1.05118034968701e-46	Downregulated
B. bifidum	BbifJCM1254_08990	-4.97556533256749	2.5162268013343e-46	Downregulated
B. bifidum	BbifJCM1254_11300	-5.91523373887292	8.31076062945398e-46	Downregulated
B. bifidum	BbifJCM1254_05560	-5.24298613921168	2.58085429396008e-45	Downregulated
B. bifidum	BbifJCM1254_00170	-5.52400961595062	3.91486637013831e-45	Downregulated
B. bifidum	BbifJCM1254_05150	-6.05083319988257	3.91486637013831e-45	Downregulated
B. bifidum	BbifJCM1254_03950	-6.90645632656566	4.85015331073457e-45	Downregulated
B. bifidum	BbifJCM1254_03510	-5.56443672583055	1.0686568965578e-44	Downregulated
B. bifidum	BbifJCM1254_03280	-6.29050460523259	1.20167038477872e-44	Downregulated
B. bifidum	BbifJCM1254_09090	-6.09835416070111	2.09949224703993e-44	Downregulated
B. bifidum	BbifJCM1254_09990	-5.40154311421213	3.59177273827256e-44	Downregulated
B. bifidum	BbifJCM1254_13290	-5.4909712663541	5.68593102629537e-44	Downregulated
B. bifidum	BbifJCM1254_11990	-5.0076136000171	6.39197387418502e-44	Downregulated
B. bifidum	BbifJCM1254_03730	-6.10000469549245	1.17756530377694e-43	Downregulated
B. bifidum	BbifJCM1254_03690	-5.75980157258424	1.30713467841634e-43	Downregulated
B. bifidum	BbifJCM1254_15210	-5.77856747074386	2.87015374219846e-43	Downregulated
B. bifidum	BbifJCM1254_10270	-5.23487933821394	5.50419322541989e-43	Downregulated
B. bifidum	BbifJCM1254_04030	-5.05577969755262	2.12078702297597e-42	Downregulated
B. bifidum	BbifJCM1254_15690	-7.23663200624588	4.31908070434778e-42	Downregulated
B. bifidum	BbifJCM1254_05230	-6.24486805678378	4.41538995943349e-42	Downregulated
B. bifidum	BbifJCM1254_09030	-5.41691324627119	2.16389297720067e-41	Downregulated
B. bifidum	BbifJCM1254_13130	-6.09122887968729	2.25334433413931e-41	Downregulated
B. bifidum	BbifJCM1254_08660	-5.11756714168804	3.50599129599683e-41	Downregulated
B. bifidum	BbifJCM1254_07870	-5.38423081458838	5.46049022888345e-41	Downregulated
B. bifidum	BbifJCM1254_17440	-5.15490367924866	7.07834176101587e-41	Downregulated
B. bifidum	BbifJCM1254_14840	-5.06303846987296	8.07295450952954e-41	Downregulated
B. bifidum	BbifJCM1254_15280	-5.33304137629873	5.69042710139454e-40	Downregulated
B. bifidum	BbifJCM1254_01100	-5.30432752172586	8.30155194038895e-40	Downregulated
B. bifidum	BbifJCM1254_14630	-6.58170284451581	1.13522513268157e-39	Downregulated
B. bifidum	BbifJCM1254_04980	-5.64976846796903	2.01521824077418e-39	Downregulated
B. bifidum	BbifJCM1254_07600	-8.68456134182579	3.85424618128568e-39	Downregulated
B. bifidum	BbifJCM1254_16190	-5.38044866186442	5.66520572065548e-39	Downregulated
B. bifidum	BbifJCM1254_00810	-6.63702410750825	6.17187858384173e-39	Downregulated
B. bifidum	BbifJCM1254_11330	-4.7311983277987	7.69278525920883e-39	Downregulated
B. bifidum	BbifJCM1254_03980	-6.02649920745871	9.73466146398246e-39	Downregulated
B. bifidum	BbifJCM1254_06740	-5.98762291496675	9.73466146398246e-39	Downregulated
B. bifidum	BbifJCM1254_06720	-5.80632824411876	1.56507420158701e-38	Downregulated
B. bifidum	BbifJCM1254_07720	-6.11685492933542	1.58464467234738e-38	Downregulated
B. bifidum	BbifJCM1254_08030	-5.55965816665125	1.85370938214643e-38	Downregulated
B. bifidum	BbifJCM1254_14940	-5.83727030831993	1.91850606065103e-38	Downregulated
B. bifidum	BbifJCM1254_06310	-5.54432204664073	1.93210372223179e-38	Downregulated
B. bifidum	BbifJCM1254_08910	-5.34340162194912	2.07026649304136e-38	Downregulated
B. bifidum	BbifJCM1254_09110	-4.93106451199779	2.26661998093001e-38	Downregulated
B. bifidum	BbifJCM1254_02130	-5.48475290370807	6.63996627827623e-38	Downregulated
B. bifidum	BbifJCM1254_08060	-6.11626970394289	7.35852676567868e-38	Downregulated
B. bifidum	BbifJCM1254_10460	-7.1704266035188	9.93650636670135e-38	Downregulated
B. bifidum	BbifJCM1254_17400	-8.1577044407294	1.44176166764365e-37	Downregulated
B. bifidum	BbifJCM1254_01430	-7.16851624143994	1.76101159521501e-37	Downregulated
B. bifidum	BbifJCM1254_09220	-5.32128756736346	2.04190483249613e-37	Downregulated
B. bifidum	BbifJCM1254_09100	-5.2809509330755	2.60203579958865e-37	Downregulated
B. bifidum	BbifJCM1254_15790	-6.09791598127241	2.93798216740959e-37	Downregulated
B. bifidum	BbifJCM1254_09550	-5.75609304966293	3.81526841546598e-37	Downregulated
B. bifidum	BbifJCM1254_00820	-6.05299940781655	5.27397407791716e-37	Downregulated
B. bifidum	BbifJCM1254_16280	-6.31003503505675	5.32612043416594e-37	Downregulated
B. bifidum	BbifJCM1254_06180	-6.2727070862387	7.79431045466619e-37	Downregulated
B. bifidum	BbifJCM1254_11410	-5.58335348354388	7.86433841368725e-37	Downregulated
B. bifidum	BbifJCM1254_15360	-5.8798932718563	9.49537386269225e-37	Downregulated
B. bifidum	BbifJCM1254_09080	-6.13997504947178	1.56057525724188e-36	Downregulated
B. bifidum	BbifJCM1254_01030	-6.55714667349075	1.94474845072916e-36	Downregulated
B. bifidum	BbifJCM1254_05570	-5.241521618406	3.1515105395695e-36	Downregulated
B. bifidum	BbifJCM1254_10960	-5.26450219289474	5.11847616873398e-36	Downregulated
B. bifidum	BbifJCM1254_03970	-6.0145867592699	6.54783271132818e-36	Downregulated
B. bifidum	BbifJCM1254_17940	-5.08256170189624	1.12637153409719e-35	Downregulated
B. bifidum	BbifJCM1254_09460	-5.76329368562485	1.44980968098421e-35	Downregulated
B. bifidum	BbifJCM1254_06980	-5.48432461067138	2.84838943089706e-35	Downregulated
B. bifidum	BbifJCM1254_10390	-9.44748448658795	3.00020401152684e-35	Downregulated
B. bifidum	BbifJCM1254_09570	-4.97171909566354	3.49690612414095e-35	Downregulated
B. bifidum	BbifJCM1254_11210	-6.57759072050741	3.66612278721503e-35	Downregulated
B. bifidum	BbifJCM1254_11940	-5.32152146581789	3.73428043162581e-35	Downregulated
B. bifidum	BbifJCM1254_02460	-5.55267265615697	4.65019179799248e-35	Downregulated
B. bifidum	BbifJCM1254_09180	-5.55430966761593	4.98321545905904e-35	Downregulated
B. bifidum	BbifJCM1254_15040	-5.83394448740466	5.93729306236582e-35	Downregulated
B. bifidum	BbifJCM1254_13100	-7.41953799506015	7.75993365283515e-35	Downregulated
B. bifidum	BbifJCM1254_11960	-5.45725453350531	8.56859286294622e-35	Downregulated
B. bifidum	BbifJCM1254_06890	-7.14452717981362	9.17025978630314e-35	Downregulated
B. bifidum	BbifJCM1254_08390	-6.43972862863939	1.25017545178265e-34	Downregulated
B. bifidum	BbifJCM1254_13190	-6.53879813367163	1.2937406684744e-34	Downregulated
