microorganism	locus_tag	log2FoldChange	padj	diffexpr
E. coli	b2092	4.9217892596896	5.32302338802449e-44	Upregulated
E. coli	b2091	5.53683163505209	7.86931632144996e-39	Upregulated
E. coli	b2095	4.09120341278425	3.51601962231609e-33	Upregulated
B. bifidum	BbifJCM1254_05750	-3.22812309818371	7.33946284458434e-27	Downregulated
B. bifidum	BbifJCM1254_09610	-2.858000852087	8.15684817773871e-26	Downregulated
B. bifidum	BbifJCM1254_13340	-2.7328861776949	1.29096801440634e-25	Downregulated
E. coli	b2093	4.72258750105096	1.49915477487205e-25	Upregulated
E. coli	b3604	4.52555083509241	2.04017983801027e-23	Upregulated
E. coli	b4379	3.96317776236129	4.18939728612721e-22	Upregulated
E. coli	b2240	4.92896955864375	4.3182364791274e-22	Upregulated
E. coli	b2096	3.56513701497545	7.93218779421685e-22	Upregulated
B. bifidum	BbifJCM1254_09160	-2.8441238772404	1.7368016655944e-21	Downregulated
B. bifidum	BbifJCM1254_09130	-2.96218379659423	2.94005242613015e-21	Downregulated
B. bifidum	BbifJCM1254_14660	-2.50841317901721	4.25330585578049e-20	Downregulated
B. thetaiotaomicron	BT_0656	-6.29354209401355	1.31547341898321e-19	Downregulated
E. coli	b2239	4.27252105031784	1.41991629822038e-19	Upregulated
B. bifidum	BbifJCM1254_12100	-2.99489918961088	1.43757205541736e-19	Downregulated
E. coli	b3751	3.17359821656453	1.83239211273036e-19	Upregulated
B. bifidum	BbifJCM1254_02840	-2.81170115049972	2.65296351021367e-19	Downregulated
B. bifidum	BbifJCM1254_14670	-2.65432241951672	4.53959164942183e-19	Downregulated
B. bifidum	BbifJCM1254_07740	-3.39545930095022	1.71163362645903e-18	Downregulated
E. coli	b3753	2.43647323968102	4.77736776178615e-18	Upregulated
B. bifidum	BbifJCM1254_09020	-2.57061711825049	7.3051518312546e-18	Downregulated
B. bifidum	BbifJCM1254_09040	-2.98608460530081	7.34305138450733e-18	Downregulated
B. bifidum	BbifJCM1254_17930	-2.87049071790572	1.66468041968265e-17	Downregulated
B. thetaiotaomicron	BT_0541	-4.27757474495738	2.32913617957813e-17	Downregulated
B. bifidum	BbifJCM1254_07730	-3.86729079617169	5.09006852981849e-17	Downregulated
B. bifidum	BbifJCM1254_09140	-3.04457835354357	9.08087351618136e-17	Downregulated
E. coli	b0411	2.12650802753788	2.0838351516515e-16	Upregulated
E. coli	b4352	2.66506807606794	2.66847512154607e-16	Upregulated
E. coli	b3750	3.51318363915624	2.66847512154607e-16	Upregulated
B. bifidum	BbifJCM1254_02800	-2.88959764834682	3.09760462919467e-16	Downregulated
