parameter,index,value
mu_max,1,0.810446615426908
kd,2,0.0400776291498881
Y_XCom_SLNT,3,0.149027481022086
Y_XCom_S2FL,4,0.544479363075855
Y_XCom_3SL,5,0.783100947026124
Y_XCom_SLactose,6,1.06852175831216
Y_XCom_SGalactose,7,4.87918129609886
Y_XCom_SGlucose,8,47.3262234638166
Y_XCom_SNeu5Ac,9,49.9440405103047
Y_XCom_SFucose,10,0.738771164795191
k1,11,0.0001
k2,12,0.0730091582600074
k3,13,0.0728705351805474
k4,14,0.5009143281397
K_SLNT,15,50
K_S2FL,16,49.9954399431281
K_S3SL,17,0.00123342243728317
K_SLactose,18,43.7180387399094
K_SGalactose,19,49.5506770873895
K_SGlucose,20,49.9999999939224
K_SNeu5Ac,21,18.8091400530181
K_SFucose,22,0.141503146028998
