parameter,index,value
mu_max,1,1.9368895612273
kd,2,0.1
Y_XCom_SLNT,3,0.353399630995788
Y_XCom_S2FL,4,0.483344469605691
Y_XCom_3SL,5,50
Y_XCom_SLactose,6,0.41797299376766
Y_XCom_SGalactose,7,49.9999991880668
Y_XCom_SGlucose,8,49.312380622088
Y_XCom_SNeu5Ac,9,49.9999997419976
Y_XCom_SFucose,10,1.59787558709917
k1,11,0.0736329078746903
k2,12,0.137320597562948
k3,13,0.484519895093518
k4,14,0.0567913488577976
K_SLNT,15,17.925615324441
K_S2FL,16,49.6288289046932
K_S3SL,17,49.9989432222649
K_SLactose,18,5.68440571126361
K_SGalactose,19,49.52428510331
K_SGlucose,20,20.9075062954877
K_SNeu5Ac,21,33.1058128076456
K_SFucose,22,6.18782139387954
