parameter,index,value
mu_max,1,1.21899768140695
kd,2,0.0577381970430945
Y_XCom_SLNT,3,0.164244934642573
Y_XCom_S2FL,4,2.9593335443856
Y_XCom_3SL,5,49.9999999906868
Y_XCom_SLactose,6,0.30091536710141
Y_XCom_SGalactose,7,45.529726129862
Y_XCom_SGlucose,8,36.824281076002
Y_XCom_SNeu5Ac,9,49.9999999906868
Y_XCom_SFucose,10,0.481927006925925
k1,11,0.22044459278513
k2,12,0.369480786877314
k3,13,0.818983532573493
k4,14,0.264884042974086
K_SLNT,15,0.816450007953423
K_S2FL,16,49.9999999906868
K_S3SL,17,49.9999994988811
K_SLactose,18,3.84036420636605
K_SGalactose,19,21.9492689619356
K_SGlucose,20,1.66530861806818
K_SNeu5Ac,21,37.995870797099
K_SFucose,22,1.86124538346878
