parameter,index,value
mu_max,1,0.933369357098224
kd,2,0.0999999999894043
Y_XCom_SLNT,3,0.537498908156538
Y_XCom_S2FL,4,0.55478225114151
Y_XCom_3SL,5,50
Y_XCom_SLactose,6,0.490958434520755
Y_XCom_SGalactose,7,28.1594099633005
Y_XCom_SGlucose,8,21.8444288172659
Y_XCom_SNeu5Ac,9,50
Y_XCom_SFucose,10,4.06392209125617
k1,11,0.0193927395197332
k2,12,0.0205575349948891
k3,13,0.29749661315727
k4,14,0.0270265602842341
K_SLNT,15,49.9999999947016
K_S2FL,16,0.0429682786241875
K_S3SL,17,50
K_SLactose,18,1.22227769336829
K_SGalactose,19,14.3065139909203
K_SGlucose,20,45.0453941032787
K_SNeu5Ac,21,9.1442624205459
K_SFucose,22,0.125906487716113
