parameter,index,value
mu_max,1,2
kd,2,0.0324864344015799
Y_XCom_SLNT,3,0.201345337475507
Y_XCom_S2FL,4,0.322741052368726
Y_XCom_3SL,5,50
Y_XCom_SLactose,6,0.793868707883096
Y_XCom_SGalactose,7,49.1155896621005
Y_XCom_SGlucose,8,48.6528973280191
Y_XCom_SNeu5Ac,9,49.9999997773639
Y_XCom_SFucose,10,2.54551068121183
k1,11,0.22348271515889
k2,12,0.202425464147802
k3,13,1.25763201332967
k4,14,0.239623247850172
K_SLNT,15,50
K_S2FL,16,21.9491164389871
K_S3SL,17,50
K_SLactose,18,2.17266488267788
K_SGalactose,19,41.4964190890544
K_SGlucose,20,45.5219841529752
K_SNeu5Ac,21,49.9998982430964
K_SFucose,22,48.9808949505372
