parameter,index,value
mu_max,1,2
kd,2,0.1
Y_XCom_SLNT,3,1.39383606736463
Y_XCom_S2FL,4,3.31642699393589
Y_XCom_3SL,5,50
Y_XCom_SLactose,6,0.293241116809198
Y_XCom_SGalactose,7,24.453552827438
Y_XCom_SGlucose,8,11.1804175268192
Y_XCom_SNeu5Ac,9,50
Y_XCom_SFucose,10,49.9921652330372
k1,11,0.291259236221728
k2,12,0.255965634099824
k3,13,0.521316324780364
k4,14,0.0778575718185031
K_SLNT,15,32.7288990615856
K_S2FL,16,46.0072948671266
K_S3SL,17,50
K_SLactose,18,3.3808973256835
K_SGalactose,19,39.2916983687822
K_SGlucose,20,48.7007202410084
K_SNeu5Ac,21,50
K_SFucose,22,25.8902112996201
