parameter,index,value
mu_max,1,1.0087934314757
kd,2,0.1
Y_XCom_SLNT,3,0.398332944180578
Y_XCom_S2FL,4,0.601105561626173
Y_XCom_3SL,5,74.9999982116426
Y_XCom_SLactose,6,0.525251184707877
Y_XCom_SGalactose,7,75
Y_XCom_SGlucose,8,45.168491726731
Y_XCom_SNeu5Ac,9,75
Y_XCom_SFucose,10,74.9999999860285
k1,11,1.00139715419549e-05
k2,12,0.038218132997056
k3,13,0.257392513908137
k4,14,1e-05
K_SLNT,15,73.3257169960289
K_S2FL,16,1.02235446712777e-05
K_S3SL,17,58.7747678727857
K_SLactose,18,1.06144332823238
K_SGalactose,19,20.6456937789775
K_SGlucose,20,3.87399164620114
K_SNeu5Ac,21,74.9999999860285
K_SFucose,22,1.0645210099999
