exp,parameter,value
bbif,mu_max,1.36266885340192
bbif,mu_max,0.827686275336077
bbif,mu_max,0.826774517894235
bbif,mu_max,1.18501821150896
bbif,mu_max,0.825289171162849
bbif,mu_max,0.824205361237234
bbif,mu_max,0.826809390621735
bbif,mu_max,0.826605227786944
bbif,mu_max,0.827498498427118
bbif,mu_max,0.825277990161462
bbif,mu_max,0.824988571494377
bbif,mu_max,1.2691358479963
bbif,mu_max,1.40338291834396
bbif,mu_max,0.819653561595026
bbif,mu_max,0.826774517894235
bbif,mu_max,1.40338291834396
bbif,mu_max,1.40338291834396
bbif,mu_max,0.827686275336077
bbif,mu_max,0.826908429125231
bbif,mu_max,1.23767141344576
bbif,kd,0.0423221898595703
bbif,kd,0.0408152587680826
bbif,kd,0.041002912253293
bbif,kd,0.0510362321833833
bbif,kd,0.0408710525357139
bbif,kd,0.0409613377603313
bbif,kd,0.0409311314479207
bbif,kd,0.0411287848284869
bbif,kd,0.0407977392927029
bbif,kd,0.040685615544104
bbif,kd,0.0414099405159067
bbif,kd,0.0549848984107321
bbif,kd,0.0492007630146383
bbif,kd,0.0414251487605905
bbif,kd,0.041002912253293
bbif,kd,0.0492007630146383
bbif,kd,0.0492007630146383
bbif,kd,0.0408152587680826
bbif,kd,0.040486324725505
bbif,kd,0.0530458328845039
bbif,Y_XCom_SGalactose,49.9341921226963
bbif,Y_XCom_SGalactose,75
bbif,Y_XCom_SGalactose,75
bbif,Y_XCom_SGalactose,1e-05
bbif,Y_XCom_SGalactose,42.7588527105339
bbif,Y_XCom_SGalactose,55.2157740195959
bbif,Y_XCom_SGalactose,1e-05
bbif,Y_XCom_SGalactose,65.4695988779585
bbif,Y_XCom_SGalactose,54.0444164858787
bbif,Y_XCom_SGalactose,73.250885360715
bbif,Y_XCom_SGalactose,48.9501161687482
bbif,Y_XCom_SGalactose,71.3357653725957
bbif,Y_XCom_SGalactose,43.2185758795013
bbif,Y_XCom_SGalactose,67.3861190756987
bbif,Y_XCom_SGalactose,75
bbif,Y_XCom_SGalactose,43.2185758795013
bbif,Y_XCom_SGalactose,43.2185758795013
bbif,Y_XCom_SGalactose,75
bbif,Y_XCom_SGalactose,70.343443542138
bbif,Y_XCom_SGalactose,75
bbif,Y_XCom_SGlucose,61.4141645862927
bbif,Y_XCom_SGlucose,21.4111915555451
bbif,Y_XCom_SGlucose,64.4284488010426
bbif,Y_XCom_SGlucose,0.344731458616381
bbif,Y_XCom_SGlucose,66.2618587781168
bbif,Y_XCom_SGlucose,2.3084263156416
bbif,Y_XCom_SGlucose,18.927020102241
bbif,Y_XCom_SGlucose,75
bbif,Y_XCom_SGlucose,2.26189487908329
bbif,Y_XCom_SGlucose,66.0457602716656
bbif,Y_XCom_SGlucose,23.3207228932932
bbif,Y_XCom_SGlucose,74.9999999911746
bbif,Y_XCom_SGlucose,74.5824521589708
bbif,Y_XCom_SGlucose,74.181596966983
bbif,Y_XCom_SGlucose,64.4284488010426
bbif,Y_XCom_SGlucose,74.5824521589708
bbif,Y_XCom_SGlucose,74.5824521589708
bbif,Y_XCom_SGlucose,21.4111915555451
bbif,Y_XCom_SGlucose,16.8506357796508
bbif,Y_XCom_SGlucose,0.497797203706768
bbif,k2,0.0641121577707014
bbif,k2,0.0686408304871682
bbif,k2,0.0691416686933566
bbif,k2,0.0450922560406425
bbif,k2,0.0693047825168861
bbif,k2,0.0696090957280284
bbif,k2,0.0690640805729202
bbif,k2,0.0692748964772497
bbif,k2,0.0688292920848095
bbif,k2,0.0691605995476998
bbif,k2,0.069841733780102
